,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
109,T108,T108,Ryan Moore,82,-0.017,-1.135,65
110,111,111,Ollie Schniederjans,92,-0.019,-1.526,81
111,112,112,William McGirt,89,-0.025,-1.8030000000000002,72
112,113,113,Lucas Glover,93,-0.026000000000000002,-2.239,86
113,114,114,J.J. Spaun,92,-0.027000000000000003,-1.963,72
114,115,115,Ryan Armour,63,-0.028999999999999998,-1.42,49
115,116,116,J.B. Holmes,83,-0.032,-1.9780000000000002,61
116,117,117,Dominic Bozzelli,69,-0.033,-1.8030000000000002,55
117,118,118,Ben Martin,86,-0.044000000000000004,-3.114,70
118,119,119,David Hearn,93,-0.052000000000000005,-3.7039999999999997,71
119,T120,T120,Trey Mullinax,88,-0.057,-3.986,70
120,T120,T120,Shawn Stefani,72,-0.057,-3.427,60
121,122,122,Justin Rose,66,-0.063,-3.339,53
122,123,123,Patrick Rodgers,76,-0.066,-4.378,66
123,124,124,Chris Kirk,89,-0.07400000000000001,-5.152,70
124,125,125,Jonathan Randolph,68,-0.076,-3.8680000000000003,51
125,126,126,Grayson Murray,94,-0.08199999999999999,-6.93,85
126,127,127,Francesco Molinari,75,-0.08900000000000001,-5.244,59
127,128,128,Adam Scott,58,-0.09699999999999999,-4.06,42
128,129,129,Patton Kizzire,84,-0.10300000000000001,-7.426,72
129,130,130,Nick Watney,75,-0.113,-7.247999999999999,64
130,131,131,J.T. Poston,95,-0.11699999999999999,-8.505,73
131,132,132,Chris Stroud,67,-0.126,-6.046,48
132,133,133,Jim Herman,77,-0.127,-8.381,66
133,T134,T134,Jason Bohn,75,-0.133,-8.252,62
134,T134,T134,Tony Finau,106,-0.133,-12.113,91
135,T136,T136,Smylie Kaufman,76,-0.13699999999999998,-8.611,63
136,T136,T136,Brian Stuard,93,-0.13699999999999998,-9.421,69
137,138,138,Ryan Brehm,83,-0.149,-9.71,65
138,139,139,Steven Bowditch,59,-0.15,-6.745,45
139,140,140,Ben Crane,86,-0.155,-10.665,69
140,141,141,Kelly Kraft,75,-0.157,-10.2,65
141,142,142,Emiliano Grillo,90,-0.17300000000000001,-11.407,66
142,143,143,Bubba Watson,71,-0.187,-9.91,53
143,144,144,Nick Taylor,97,-0.191,-15.842,83
144,145,145,Bryson DeChambeau,91,-0.193,-14.116,73
145,146,146,Mark Hubbard,81,-0.2,-12.184000000000001,61
146,147,147,Ryo Ishikawa,56,-0.204,-8.769,43
147,148,148,Cameron Percy,71,-0.205,-11.28,55
148,149,149,Keegan Bradley,104,-0.21600000000000003,-19.669,91
149,150,150,Andrew Loupe,55,-0.242,-11.367,47
150,151,151,Branden Grace,70,-0.248,-11.638,47
151,152,152,Rick Lamb,54,-0.254,-9.64,38
152,153,153,Matt Every,76,-0.272,-16.609,61
153,154,154,Bud Cauley,92,-0.273,-22.35,82
154,155,155,Kyle Reifers,96,-0.276,-20.397000000000002,74
155,156,156,Kevin Streelman,90,-0.281,-21.945,78
156,157,157,Chad Campbell,97,-0.28600000000000003,-24.296999999999997,85
157,158,158,Kevin Chappell,95,-0.303,-21.814,72
158,159,159,Rory McIlroy,51,-0.304,-10.947000000000001,36
159,T160,T160,Steven Alker,69,-0.309,-15.755999999999998,51
160,T160,T160,Kyle Stanley,104,-0.309,-28.999000000000002,94
161,162,162,Sergio Garcia,65,-0.311,-14.299000000000001,46
162,T163,T163,Miguel Angel Carballo,63,-0.32,-13.749,43
163,T163,T163,Scott Stallings,81,-0.32,-21.749000000000002,68
164,T163,T163,Tyrone Van Aswegen,105,-0.32,-25.570999999999998,80
165,166,166,Anirban Lahiri,72,-0.336,-19.797,59
166,167,167,Hideki Matsuyama,83,-0.345,-20.381,59
167,168,168,Russell Knox,75,-0.349,-18.819000000000003,54
168,169,169,Rory Sabbatini,71,-0.35700000000000004,-18.910999999999998,53
169,170,170,Alex Cejka,85,-0.359,-22.281,62
170,171,171,Byeong Hun An,77,-0.375,-21.401,57
171,172,172,Gary Woodland,94,-0.381,-25.913,68
172,173,173,Si Woo Kim,80,-0.392,-23.525,60
173,174,174,Harold Varner III,101,-0.402,-34.559,86
174,175,175,Jason Kokrak,95,-0.405,-33.637,83
175,176,176,Jhonattan Vegas,95,-0.413,-29.289,71
176,177,177,Retief Goosen,52,-0.425,-17.412,41
177,178,178,Luke List,102,-0.426,-36.663000000000004,86
178,179,179,J.J. Henry,92,-0.43,-32.264,75
179,180,180,Roberto Castro,70,-0.447,-24.151,54
180,181,181,Ken Duke,77,-0.452,-27.136,60
181,182,182,Robert Garrigus,78,-0.456,-27.37,60
182,183,183,Brett Drewitt,57,-0.457,-19.66,43
183,184,184,D.A. Points,68,-0.478,-27.7,58
184,185,185,Brett Stegmaier,78,-0.514,-29.838,58
185,186,186,Rod Pampling,71,-0.518,-34.213,66
186,187,187,Scott Piercy,70,-0.526,-25.761999999999997,49
187,188,188,Brad Fritsch,56,-0.596,-25.049,42
188,189,189,Boo Weekley,75,-0.9540000000000001,-58.165,61
189,190,190,Ryan Palmer,61,-1.159,-56.812,49
