,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
46,T46,,Patton Kizzire,84,"46' 0""",20.437,37
47,T46,,Marc Leishman,94,"46' 0""",12.695,23
48,T46,,William McGirt,89,"46' 0""",17.675,32
49,T46,,Brian Stuard,93,"46' 0""",11.582,21
50,T51,,Hudson Swafford,94,"45' 8""",14.257,26
51,T51,,Michael Thompson,60,"45' 8""",9.871,18
52,T53,,Dominic Bozzelli,69,"45' 7""",15.870999999999999,29
53,T53,,Adam Hadwin,98,"45' 7""",16.953,31
54,T55,,Chris Kirk,89,"45' 6""",9.289,17
55,T55,,Kevin Kisner,105,"45' 6""",16.932000000000002,31
56,57,,Bryce Molder,74,"45' 5""",13.635,25
57,T58,,Michael Kim,94,"45' 4""",21.776,40
58,T58,,Geoff Ogilvy,80,"45' 4""",14.151,26
59,60,,Sergio Garcia,65,"45' 2""",15.716,29
60,T61,,Alex Cejka,85,"45' 1""",17.852,33
61,T61,,Kevin Chappell,95,"45' 1""",23.250999999999998,43
62,T61,,Ryan Palmer,61,"45' 1""",15.696,29
63,T61,,Kyle Reifers,96,"45' 1""",21.109,39
64,T65,,Paul Casey,94,"45' 0""",13.508,25
65,T65,,Charles Howell III,86,"45' 0""",13.495999999999999,25
66,T65,,Trey Mullinax,88,"45' 0""",16.205,30
67,T65,,Richy Werenski,81,"45' 0""",14.588,27
68,69,,Bubba Watson,71,"44' 11""",15.629000000000001,29
69,T70,,Blayne Barber,77,"44' 9""",19.332,36
70,T70,,Bill Haas,92,"44' 9""",17.722,33
71,T72,,Steven Alker,69,"44' 8""",13.411,25
72,T72,,Martin Flores,88,"44' 8""",16.63,31
73,T72,,Pat Perez,93,"44' 8""",17.149,32
74,T75,,Andres Gonzales,73,"44' 7""",19.269000000000002,36
75,T75,,Matt Jones,64,"44' 7""",12.837,24
76,77,,Bud Cauley,92,"44' 6""",17.608,33
77,78,,Harris English,84,"44' 5""",14.92,28
78,T79,,Aaron Baddeley,61,"44' 4""",9.038,17
79,T79,,Sebastián Muñoz,51,"44' 4""",11.704,22
80,T79,,Carl Pettersson,63,"44' 4""",10.106,19
81,82,,John Huh,92,"44' 3""",16.465,31
82,T83,,Søren Kjeldsen,58,"44' 2""",5.2989999999999995,10
83,T83,,Seamus Power,86,"44' 2""",18.016,34
84,T83,,Webb Simpson,102,"44' 2""",19.592,37
85,T86,,Charley Hoffman,112,"44' 0""",25.892,49
86,T86,,Shawn Stefani,72,"44' 0""",15.311,29
87,T88,,Byeong Hun An,77,"43' 9""",14.69,28
88,T88,,Nick Watney,75,"43' 9""",15.738,30
89,T90,,Retief Goosen,52,"43' 8""",11.523,22
90,T90,,Brett Stegmaier,78,"43' 8""",15.734000000000002,30
91,T90,,Kevin Streelman,90,"43' 8""",22.541999999999998,43
92,93,,Bryson DeChambeau,91,"43' 7""",21.965,42
93,94,,Gary Woodland,94,"43' 6""",20.361,39
94,95,,Fabián Gómez,61,"43' 5""",11.981,23
95,96,,Jamie Lovemark,98,"43' 4""",15.595,30
96,T97,,Kevin Na,86,"43' 3""",17.645,34
97,T97,,C.T. Pan,88,"43' 3""",20.744,40
98,T97,,Chez Reavie,98,"43' 3""",14.009,27
99,T97,,Harold Varner III,101,"43' 3""",30.596999999999998,59
100,101,,Tag Ridings,67,"43' 2""",9.844,19
101,102,,Brooks Koepka,88,"43' 1""",14.993,29
102,T103,,Brett Drewitt,57,"43' 0""",15.982000000000001,31
103,T103,,Mackenzie Hughes,106,"43' 0""",22.694000000000003,44
104,T103,,Martin Laird,83,"43' 0""",15.489,30
105,106,,Branden Grace,70,"42' 11""",9.779,19
106,T107,,David Hearn,93,"42' 10""",16.973,33
107,T107,,Adam Scott,58,"42' 10""",9.243,18
108,T109,,Zach Johnson,81,"42' 9""",13.856,27
109,T109,,Ben Martin,86,"42' 9""",15.905999999999999,31
110,111,,Johnson Wagner,71,"42' 8""",14.341,28
111,T112,,Roberto Castro,70,"42' 7""",17.385,34
112,T112,,Tyrone Van Aswegen,105,"42' 7""",20.955,41
113,T114,,Graham DeLaet,82,"42' 5""",15.789000000000001,31
114,T114,,Si Woo Kim,80,"42' 5""",14.769,29
115,T114,,Peter Malnati,91,"42' 5""",14.24,28
116,117,,Brendan Steele,89,"42' 4""",19.319000000000003,38
117,T118,,Lucas Glover,93,"42' 3""",17.245,34
118,T118,,David Lingmerth,79,"42' 3""",13.175,26
119,T118,,Boo Weekley,75,"42' 3""",25.875,51
120,T121,,Jason Dufner,89,"42' 0""",22.160999999999998,44
121,T121,,Seung-Yul Noh,91,"42' 0""",18.155,36
122,T121,,Louis Oosthuizen,69,"42' 0""",11.094000000000001,22
123,124,,Xander Schauffele,96,"41' 11""",17.593,35
124,T125,,Brad Fritsch,56,"41' 10""",14.06,28
125,T125,,J.J. Spaun,92,"41' 10""",19.08,38
126,T125,,Steve Wheatcroft,51,"41' 10""",9.54,19
127,T128,,Ryan Armour,63,"41' 9""",11.013,22
128,T128,,Cameron Tringale,89,"41' 9""",14.517000000000001,29
129,130,,Rory Sabbatini,71,"41' 7""",12.979000000000001,26
130,131,,Wesley Bryan,95,"41' 6""",13.449000000000002,27
131,T132,,Robert Garrigus,78,"41' 5""",18.404,37
132,T132,,Justin Rose,66,"41' 5""",9.934,20
133,T134,,Cody Gribble,79,"41' 4""",13.88,28
134,T134,,Sam Saunders,76,"41' 4""",16.871,34
135,T136,,Rafa Cabrera Bello,63,"41' 3""",9.398,19
136,T136,,Emiliano Grillo,90,"41' 3""",19.29,39
137,T136,,Billy Hurley III,80,"41' 3""",14.864,30
138,T136,,Scott Stallings,81,"41' 3""",18.31,37
139,T136,,Jhonattan Vegas,95,"41' 3""",20.288,41
140,T141,,Kelly Kraft,75,"41' 1""",13.814,28
141,T141,,Graeme McDowell,56,"41' 1""",13.308,27
142,143,,Jason Bohn,75,"41' 0""",11.315999999999999,23
143,T144,,Billy Horschel,88,"40' 10""",19.599,40
144,T144,,Scott Piercy,70,"40' 10""",12.74,26
145,146,,Anirban Lahiri,72,"40' 9""",13.214,27
146,T147,,Ben Crane,86,"40' 8""",13.65,28
147,T147,,Tim Wilkinson,64,"40' 8""",8.788,18
148,149,,Matt Kuchar,95,"40' 7""",17.531,36
149,T150,,Scott Brown,95,"40' 6""",14.107000000000001,29
150,T150,,Brian Harman,104,"40' 6""",12.145,25
151,T150,,Justin Thomas,86,"40' 6""",12.144,25
152,153,,Tom Hoge,54,"40' 5""",11.151,23
153,T154,,Jason Kokrak,95,"40' 4""",27.586,57
154,T154,,Danny Lee,93,"40' 4""",13.08,27
155,T154,,Rory McIlroy,51,"40' 4""",9.676,20
156,T154,,D.A. Points,68,"40' 4""",14.509,30
157,158,,Jonathan Randolph,68,"40' 2""",10.612,22
158,159,,Miguel Angel Carballo,63,"40' 0""",12.972000000000001,27
159,160,,Nicholas Lindheim,58,"39' 11""",11.964,25
160,161,,Smylie Kaufman,76,"39' 10""",12.437000000000001,26
161,162,,Phil Mickelson,85,"39' 9""",9.539,20
162,163,,Jonas Blixt,74,"39' 7""",12.36,26
163,164,,Daniel Berger,91,"39' 6""",12.312999999999999,26
164,165,,Jim Herman,77,"39' 5""",15.132,32
165,166,,Stewart Cink,93,"39' 4""",16.042,34
166,T167,,Russell Knox,75,"39' 3""",15.547,33
167,T167,,Chris Stroud,67,"39' 3""",11.763,25
168,T169,,Greg Chalmers,75,"39' 2""",12.692,27
169,T169,,K.J. Choi,72,"39' 2""",7.042999999999999,15
170,T171,,Zac Blair,105,"39' 0""",16.845,36
171,T171,,Ryan Blaum,100,"39' 0""",16.383,35
172,T171,,Jim Furyk,54,"39' 0""",7.022,15
173,T171,,J.T. Poston,95,"39' 0""",11.224,24
174,175,,Whee Kim,74,"38' 10""",11.192,24
175,T176,,Francesco Molinari,75,"38' 8""",14.841,32
176,T176,,Kyle Stanley,104,"38' 8""",28.781999999999996,62
177,T178,,Luke List,102,"38' 6""",24.511999999999997,53
178,T178,,Cameron Smith,86,"38' 6""",13.412,29
179,180,,Hideki Matsuyama,83,"38' 2""",14.205,31
180,T181,,Ryan Brehm,83,"37' 11""",17.273,38
181,T181,,Grayson Murray,94,"37' 11""",16.851,37
182,T183,,Rick Lamb,54,"37' 8""",8.127,18
183,T183,,Ian Poulter,72,"37' 8""",11.764000000000001,26
184,185,,Rickie Fowler,78,"37' 2""",10.254000000000001,23
185,186,,Ryo Ishikawa,56,"37' 1""",5.79,13
186,187,,Sean O'Hair,84,"36' 10""",14.602,33
187,188,,Camilo Villegas,76,"35' 11""",13.353,31
188,189,,Shane Lowry,52,"32' 1""",5.782,15
