,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
96,T95,,Martin Laird,83,"41' 8""",1416.3329999999999,34
97,T98,,Lucas Glover,93,"41' 7""",1621.0829999999999,39
98,T98,,Kelly Kraft,75,"41' 7""",1413.1670000000001,34
99,100,,Ben Martin,86,"41' 6""",1536.6670000000001,37
100,101,,Carl Pettersson,63,"41' 5""",910.4169999999999,22
101,T102,,Graham DeLaet,82,"41' 4""",1363.3329999999999,33
102,T102,,Brad Fritsch,56,"41' 4""",1238.75,30
103,T104,,Harold Varner III,101,"41' 3""",2762.25,67
104,T104,,Johnson Wagner,71,"41' 3""",1360.5829999999999,33
105,T106,,Xander Schauffele,96,"41' 2""",1605.5,39
106,T106,,Steve Wheatcroft,51,"41' 2""",823.1669999999999,20
107,T108,,J.J. Spaun,92,"41' 1""",1641.6670000000001,40
108,T108,,Hudson Swafford,94,"41' 1""",1439.0829999999999,35
109,110,,Roberto Castro,70,"41' 0""",1557.0,38
110,T111,,Blayne Barber,77,"40' 11""",1678.4170000000001,41
111,T111,,Jamie Lovemark,98,"40' 11""",1392.5,34
112,T111,,Brett Stegmaier,78,"40' 11""",1432.25,35
113,T111,,Gary Woodland,94,"40' 11""",1760.25,43
114,T115,,Brian Harman,104,"40' 9""",1141.083,28
115,T115,,Matt Kuchar,95,"40' 9""",1548.9170000000001,38
116,T115,,Cameron Tringale,89,"40' 9""",1302.833,32
117,T118,,Robert Garrigus,78,"40' 7""",1623.3329999999999,40
118,T118,,Fabián Gómez,61,"40' 7""",1015.1669999999999,25
119,T118,,Si Woo Kim,80,"40' 7""",1542.0829999999999,38
120,T118,,Sebastián Muñoz,51,"40' 7""",1015.5830000000001,25
121,T122,,Emiliano Grillo,90,"40' 5""",1657.3329999999999,41
122,T122,,Billy Hurley III,80,"40' 5""",1414.1670000000001,35
123,T122,,David Lingmerth,79,"40' 5""",1172.583,29
124,T122,,Kevin Na,86,"40' 5""",1537.25,38
125,T126,,Jason Dufner,89,"40' 4""",1936.8329999999999,48
126,T126,,Nicholas Lindheim,58,"40' 4""",1210.333,30
127,T128,,Rafa Cabrera Bello,63,"40' 3""",885.6669999999999,22
128,T128,,Brett Drewitt,57,"40' 3""",1367.1670000000001,34
129,T128,,Tom Hoge,54,"40' 3""",965.0830000000001,24
130,T128,,Danny Lee,93,"40' 3""",1207.917,30
131,T128,,Tag Ridings,67,"40' 3""",925.25,23
132,T128,,Boo Weekley,75,"40' 3""",2295.0,57
133,T134,,Graeme McDowell,56,"40' 2""",1206.0,30
134,T134,,Tim Wilkinson,64,"40' 2""",803.8330000000001,20
135,136,,Mackenzie Hughes,106,"40' 1""",2123.917,53
136,137,,Jhonattan Vegas,95,"39' 10""",1792.25,45
137,T138,,Miguel Angel Carballo,63,"39' 9""",1152.75,29
138,T138,,Ben Crane,86,"39' 9""",1233.0,31
139,T138,,Sam Saunders,76,"39' 9""",1470.75,37
140,141,,Brooks Koepka,88,"39' 8""",1269.0,32
141,T142,,Smylie Kaufman,76,"39' 6""",1185.583,30
142,T142,,Scott Piercy,70,"39' 6""",1183.833,30
143,T142,,Justin Rose,66,"39' 6""",907.75,23
144,T145,,Cody Gribble,79,"39' 5""",1181.583,30
145,T145,,Webb Simpson,102,"39' 5""",1734.3329999999999,44
146,T147,,Branden Grace,70,"39' 3""",942.5,24
147,T147,,Billy Horschel,88,"39' 3""",1767.0829999999999,45
148,T147,,Rory Sabbatini,71,"39' 3""",1138.417,29
149,150,,Daniel Berger,91,"39' 2""",1175.167,30
150,T151,,K.J. Choi,72,"38' 11""",661.1669999999999,17
151,T151,,Francesco Molinari,75,"38' 11""",1284.417,33
152,153,,Rory McIlroy,51,"38' 10""",816.0,21
153,154,,Ryo Ishikawa,56,"38' 8""",657.5830000000001,17
154,T155,,Jonas Blixt,74,"38' 6""",1078.833,28
155,T155,,Greg Chalmers,75,"38' 6""",1078.833,28
156,T155,,D.A. Points,68,"38' 6""",1270.0,33
157,T158,,Russell Knox,75,"38' 4""",1379.0829999999999,36
158,T158,,Scott Stallings,81,"38' 4""",1610.3329999999999,42
159,T160,,Chris Kirk,89,"38' 3""",841.5830000000001,22
160,T160,,Søren Kjeldsen,58,"38' 3""",496.917,13
161,162,,Stewart Cink,93,"38' 1""",1371.8329999999999,36
162,163,,Ryan Blaum,100,"38' 0""",1480.6670000000001,39
163,164,,Peter Malnati,91,"37' 11""",1288.833,34
164,T165,,Scott Brown,95,"37' 10""",1249.5,33
165,T165,,Jonathan Randolph,68,"37' 10""",946.5830000000001,25
166,T165,,Kyle Stanley,104,"37' 10""",2457.083,65
167,168,,Whee Kim,74,"37' 9""",943.0,25
168,169,,Ian Poulter,72,"37' 8""",980.3330000000001,26
169,T170,,Ryan Brehm,83,"37' 7""",1504.6670000000001,40
170,T170,,Wesley Bryan,95,"37' 7""",1164.917,31
171,T172,,Jim Furyk,54,"37' 5""",599.0,16
172,T172,,Jim Herman,77,"37' 5""",1273.25,34
173,T172,,Justin Thomas,86,"37' 5""",1122.75,30
174,T175,,Luke List,102,"37' 4""",2126.333,57
175,T175,,Phil Mickelson,85,"37' 4""",821.0830000000001,22
176,T175,,Grayson Murray,94,"37' 4""",1569.0,42
177,T178,,Jason Kokrak,95,"37' 3""",2456.083,66
178,T178,,J.T. Poston,95,"37' 3""",1118.417,30
179,180,,Anirban Lahiri,72,"37' 0""",1184.25,32
180,T181,,Cameron Smith,86,"35' 10""",1218.0,34
181,T181,,Chris Stroud,67,"35' 10""",1039.667,29
182,183,,Sean O'Hair,84,"35' 9""",1252.667,35
183,184,,Rick Lamb,54,"35' 8""",712.5830000000001,20
184,185,,Rickie Fowler,78,"35' 7""",997.0,28
185,186,,Hideki Matsuyama,83,"34' 9""",1250.083,36
186,187,,Zac Blair,105,"34' 8""",1454.9170000000001,42
187,188,,Camilo Villegas,76,"34' 5""",1169.583,34
188,189,,Shane Lowry,52,"32' 1""",481.833,15
