,Putting_from_-__20_RANK THIS WEEK,Putting_from_-__20_RANK LAST WEEK,Putting_from_-__20_PLAYER NAME,Putting_from_-__20_ROUNDS,Putting_from_-__20_% MADE,Putting_from_-__20_ATTEMPTS,Putting_from_-__20_PUTTS MADE
85,86,79,J.J. Spaun,68,7.5,280,21
86,87,80,Nick Watney,67,7.49,307,23
87,88,87,Haotong Li,32,7.48,107,8
88,89,T49,Webb Simpson,53,7.45,255,19
89,90,88,Xander Schauffele,55,7.44,215,16
90,91,T102,Johnson Wagner,45,7.43,202,15
91,T92,T81,Sangmoon Bae,42,7.41,162,12
92,T92,T90,Freddie Jacobson,37,7.41,135,10
93,94,93,Tyrrell Hatton,46,7.37,190,14
94,T95,T94,Sung Kang,67,7.35,313,23
95,T95,T94,Adam Scott,41,7.35,136,10
96,97,96,Pat Perez,52,7.34,177,13
97,T98,61,Daniel Berger,48,7.33,232,17
98,T98,T112,Ollie Schniederjans,63,7.33,273,20
99,100,97,Adam Svensson,51,7.32,205,15
100,T101,T99,Patton Kizzire,58,7.31,219,16
101,T101,T99,Luke List,52,7.31,260,19
102,T103,151,Roberto Díaz,51,7.3,178,13
103,T103,T81,David Hearn,41,7.3,137,10
104,105,71,Zach Johnson,50,7.21,208,15
105,T106,107,Kevin Kisner,65,7.17,251,18
106,T106,92,Jim Knous,55,7.17,223,16
107,108,89,Richy Werenski,63,7.14,308,22
108,109,124,Dylan Frittelli,55,7.09,268,19
109,110,T102,Jonas Blixt,66,7.07,297,21
110,111,T109,Keith Mitchell,64,7.05,241,17
111,112,106,Martin Laird,60,7.0,300,21
112,T113,T104,Adam Schenk,80,6.96,359,25
113,T113,128,Kevin Tway,62,6.96,273,19
114,115,T116,Matt Wallace,31,6.92,130,9
115,116,119,Charles Howell III,64,6.9,261,18
116,117,120,Hunter Mahan,45,6.86,204,14
117,118,T104,Adam Hadwin,66,6.82,264,18
118,119,121,Kiradech Aphibarnrat,49,6.81,191,13
119,120,T122,John Huh,35,6.79,162,11
120,121,108,Sergio Garcia,39,6.76,148,10
121,T122,98,Lucas Bjerregaard,37,6.72,134,9
122,T122,126,Emiliano Grillo,65,6.72,238,16
123,124,T112,Scott Langley,60,6.69,284,19
124,125,127,Matthew Fitzpatrick,42,6.67,195,13
125,126,130,Ryan Blaum,67,6.6,318,21
126,T127,125,Scott Brown,66,6.59,273,18
127,T127,158,Sungjae Im,88,6.59,410,27
128,T127,T131,Kyoung-Hoon Lee,72,6.59,273,18
129,T127,T131,Kevin Streelman,63,6.59,334,22
130,131,133,Ernie Els,43,6.58,152,10
131,132,118,Julián Etulain,55,6.57,198,13
132,T133,138,Brice Garnett,63,6.53,245,16
133,T133,148,Henrik Stenson,46,6.53,199,13
134,135,T122,Ryan Armour,66,6.5,277,18
135,136,135,Paul Casey,51,6.49,185,12
136,137,136,Jason Dufner,56,6.48,247,16
137,138,T116,Brian Harman,67,6.41,281,18
138,139,139,Rafa Cabrera Bello,57,6.37,204,13
139,140,T109,Stephan Jaeger,59,6.35,252,16
140,141,140,James Hahn,34,6.31,111,7
141,142,141,Andrew Landry,56,6.28,223,14
142,T143,T142,Tommy Fleetwood,43,6.25,144,9
143,T143,T142,Chris Kirk,47,6.25,208,13
144,T143,T155,Brady Schnell,38,6.25,144,9
145,146,T109,Justin Thomas,49,6.18,178,11
146,147,129,Alex Noren,49,6.13,212,13
147,148,T149,Troy Merritt,42,6.11,180,11
148,149,152,Jhonattan Vegas,60,6.09,279,17
149,150,147,Dominic Bozzelli,53,6.08,181,11
150,151,153,Hideki Matsuyama,59,6.07,247,15
151,152,134,Cody Gribble,52,6.03,232,14
152,153,137,Fabián Gómez,44,6.02,166,10
153,154,154,Matt Kuchar,65,6.01,283,17
154,155,T145,Brandon Harkins,67,5.98,234,14
155,156,144,Chase Wright,53,5.96,235,14
156,T157,T155,Harris English,72,5.95,370,22
157,T157,T175,Wes Roach,45,5.95,168,10
158,159,T145,Kyle Jones,49,5.94,219,13
159,160,T149,Aaron Wise,52,5.91,237,14
160,161,160,Kyle Stanley,53,5.85,188,11
161,162,159,Robert Streb,60,5.78,277,16
162,T163,164,Jim Herman,37,5.77,156,9
163,T163,161,Adam Long,52,5.77,260,15
164,T165,T165,Brooks Koepka,49,5.59,179,10
165,T165,163,Francesco Molinari,41,5.59,143,8
166,167,171,Seamus Power,58,5.56,270,15
167,168,177,Kramer Hickok,59,5.53,253,14
168,T169,T165,Max Homa,61,5.49,273,15
169,T169,T165,Grayson Murray,36,5.49,164,9
170,171,162,Carlos Ortiz,60,5.48,310,17
171,172,169,Byeong Hun An,54,5.45,202,11
172,173,T165,Tom Hoge,70,5.43,258,14
173,174,170,Michael Kim,51,5.42,203,11
174,175,173,Ian Poulter,49,5.38,186,10
175,176,T155,Alex Cejka,41,5.37,149,8
176,177,T184,Joaquin Niemann,68,5.32,263,14
177,178,178,Marc Leishman,52,5.24,229,12
178,179,181,Ryan Palmer,56,5.22,230,12
179,180,192,Danny Willett,47,5.2,250,13
180,181,T175,Trey Mullinax,67,5.16,310,16
181,182,T179,Russell Knox,65,5.14,311,16
182,183,T190,Bubba Watson,47,5.05,218,11
183,T184,195,J.J. Henry,42,5.0,180,9
184,T184,T182,Satoshi Kodaira,51,5.0,200,10
185,T186,T179,Wyndham Clark,61,4.91,265,13
186,T186,172,Jimmy Walker,61,4.91,265,13
187,188,197,D.J. Trahan,33,4.8,125,6
188,189,187,Tyler Duncan,66,4.69,277,13
189,190,T184,Hudson Swafford,59,4.67,257,12
190,191,T199,José de Jesús Rodríguez,51,4.66,193,9
191,192,188,D.A. Points,33,4.63,108,5
192,193,T182,J.B. Holmes,54,4.58,153,7
193,194,T190,Chris Thompson,34,4.55,132,6
194,195,186,Alex Prugh,54,4.53,243,11
195,196,194,Bill Haas,58,4.48,290,13
196,197,T199,Sam Saunders,53,4.2,262,11
197,198,193,Jim Furyk,53,4.17,264,11
198,199,189,Ben Crane,41,4.03,149,6
199,200,196,Scott Stallings,63,4.02,249,10
200,201,198,Martin Trainer,51,3.98,201,8
201,202,204,Seth Reeves,52,3.88,206,8
202,203,201,Keegan Bradley,65,3.73,268,10
203,204,203,Russell Henley,56,3.52,256,9
204,205,202,Louis Oosthuizen,43,3.51,114,4
205,206,999,Tyrone Van Aswegen,30,3.45,116,4
206,207,205,Jonathan Byrd,43,3.18,157,5
207,208,207,Josh Teater,47,2.65,189,5
208,209,206,Rod Pampling,40,2.1,143,3
