,3-Putt_Avoidance_-_Round_4_RANK THIS WEEK,3-Putt_Avoidance_-_Round_4_RANK LAST WEEK,3-Putt_Avoidance_-_Round_4_PLAYER NAME,3-Putt_Avoidance_-_Round_4_%,3-Putt_Avoidance_-_Round_4_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_4_TOTAL HOLES
45,T44,T48,Rory McIlroy,2.02,4,198
46,T47,T60,Stephan Jaeger,2.08,3,144
47,T47,25,Adam Schenk,2.08,6,288
48,T47,T28,Robert Streb,2.08,3,144
49,T50,47,Tony Finau,2.14,5,234
50,T50,T56,Joaquin Niemann,2.14,5,234
51,T52,T48,Anders Albertson,2.22,2,90
52,T52,T60,Harris English,2.22,6,270
53,T52,T48,Julián Etulain,2.22,4,180
54,T52,T64,Jim Furyk,2.22,4,180
55,T52,T64,Scott Langley,2.22,4,180
56,T52,T48,Ollie Schniederjans,2.22,4,180
57,T58,T56,Trey Mullinax,2.31,5,216
58,T58,T56,Jordan Spieth,2.31,5,216
59,T58,T56,Jhonattan Vegas,2.31,5,216
60,T61,T76,Wes Roach,2.38,3,126
61,T61,T60,Patrick Rodgers,2.38,3,126
62,T63,63,Billy Horschel,2.43,7,288
63,T63,75,Sungjae Im,2.43,7,288
64,T65,T64,Jason Day,2.47,4,162
65,T65,T64,Aaron Wise,2.47,4,162
66,T67,T68,Brandon Harkins,2.53,5,198
67,T67,T68,Max Homa,2.53,5,198
68,T67,T68,Sam Ryder,2.53,5,198
69,T67,T76,Harold Varner III,2.53,5,198
70,T71,T71,Lucas Glover,2.56,6,234
71,T71,T71,Sung Kang,2.56,6,234
72,T71,T71,C.T. Pan,2.56,6,234
73,T71,T76,Jimmy Walker,2.56,6,234
74,T75,T76,Paul Casey,2.78,5,180
75,T75,T76,Alex Cejka,2.78,2,72
76,T75,T76,Stewart Cink,2.78,2,72
77,T75,T76,Austin Cook,2.78,3,108
78,T75,T107,Tyler Duncan,2.78,5,180
79,T75,T76,Ernie Els,2.78,4,144
80,T75,T76,Chesson Hadley,2.78,4,144
81,T75,T76,Jim Herman,2.78,1,36
82,T75,T76,Beau Hossler,2.78,6,216
83,T75,T76,Freddie Jacobson,2.78,2,72
84,T75,T76,Kyle Jones,2.78,2,72
85,T75,T76,Whee Kim,2.78,3,108
86,T75,T76,Michael Kim,2.78,2,72
87,T75,T76,Kevin Kisner,2.78,6,216
88,T75,T76,Patton Kizzire,2.78,5,180
89,T75,T76,Hunter Mahan,2.78,3,108
90,T75,T76,Troy Merritt,2.78,4,144
91,T75,T76,Francesco Molinari,2.78,4,144
92,T75,T107,Ryan Palmer,2.78,5,180
93,T75,999,Martin Piller,2.78,2,72
94,T75,T76,Jon Rahm,2.78,5,180
95,T75,T76,Sam Saunders,2.78,4,144
96,T75,T76,Brendan Steele,2.78,4,144
97,T75,T71,Nick Taylor,2.78,7,252
98,T75,T141,Chris Thompson,2.78,2,72
99,T75,T76,Martin Trainer,2.78,3,108
100,T75,T76,Johnson Wagner,2.78,4,144
101,T75,T76,Nick Watney,2.78,6,216
102,T103,102,Rory Sabbatini,2.96,8,270
103,T103,T119,Brandt Snedeker,2.96,8,270
104,105,T123,Graeme McDowell,2.99,7,234
105,T106,T103,Sam Burns,3.03,6,198
106,T106,T127,Dylan Frittelli,3.03,6,198
107,T106,T103,Marc Leishman,3.03,6,198
108,T106,T103,Cameron Smith,3.03,6,198
109,T106,T127,Justin Thomas,3.03,6,198
110,T106,T103,Michael Thompson,3.03,6,198
111,T112,T107,Kiradech Aphibarnrat,3.09,5,162
112,T112,T107,Corey Conners,3.09,5,162
113,T112,T107,Bryson DeChambeau,3.09,5,162
114,T112,T107,Tyrrell Hatton,3.09,5,162
115,T112,T107,Satoshi Kodaira,3.09,5,162
116,T112,T107,Nate Lashley,3.09,5,162
117,T112,T107,"Ted Potter, Jr.",3.09,5,162
118,T112,T134,Henrik Stenson,3.09,5,162
119,T120,T141,Cody Gribble,3.17,4,126
120,T120,T119,Phil Mickelson,3.17,4,126
121,T120,T119,Alex Prugh,3.17,4,126
122,T120,T39,Sepp Straka,3.17,4,126
123,T120,T119,Chris Stroud,3.17,4,126
124,T125,T123,Kyoung-Hoon Lee,3.24,7,216
125,T125,T123,Keith Mitchell,3.24,7,216
126,T125,T123,Vaughn Taylor,3.24,7,216
127,T128,T141,Scott Brown,3.33,6,180
128,T128,T127,Justin Harding,3.33,3,90
129,T128,T127,Kramer Hickok,3.33,6,180
130,T128,T107,Brooks Koepka,3.33,6,180
131,T128,T127,Kevin Na,3.33,6,180
132,T128,T107,Alex Noren,3.33,6,180
133,T128,T127,Scott Piercy,3.33,9,270
134,135,133,Rafa Cabrera Bello,3.42,8,234
135,T136,T134,Roberto Díaz,3.47,5,144
136,T136,T134,Martin Kaymer,3.47,5,144
137,T136,T134,Adam Scott,3.47,5,144
138,T139,T138,Byeong Hun An,3.54,7,198
139,T139,T138,Ryan Moore,3.54,7,198
140,T139,T138,Kevin Streelman,3.54,7,198
141,T142,T141,Cameron Davis,3.7,6,162
142,T142,T48,Talor Gooch,3.7,4,108
143,T142,T141,Emiliano Grillo,3.7,10,270
144,T142,T141,Charley Hoffman,3.7,6,162
145,T142,T141,Andrew Landry,3.7,6,162
146,T142,T141,Matt Wallace,3.7,4,108
147,148,149,Joel Dahmen,3.82,11,288
148,T149,T150,Russell Knox,3.85,9,234
149,T149,T150,Chez Reavie,3.85,9,234
150,T149,T150,Gary Woodland,3.85,9,234
151,T152,T166,Zach Johnson,3.89,7,180
152,T152,T107,Martin Laird,3.89,7,180
153,T152,T166,Roger Sloan,3.89,7,180
154,T152,T153,Scott Stallings,3.89,7,180
155,T156,T155,Jason Dufner,3.97,5,126
156,T156,T155,Fabián Gómez,3.97,5,126
157,T156,165,Adam Hadwin,3.97,10,252
158,T159,T157,Ryan Blaum,4.04,8,198
159,T159,T157,Patrick Reed,4.04,8,198
160,T159,T171,Kevin Tway,4.04,8,198
161,T159,T153,Peter Uihlein,4.04,8,198
162,163,159,J.T. Poston,4.07,11,270
163,T164,T160,David Hearn,4.17,3,72
164,T164,T160,Russell Henley,4.17,6,144
165,T164,T160,John Huh,4.17,3,72
166,T164,T160,Anirban Lahiri,4.17,6,144
167,T168,T160,Dominic Bozzelli,4.32,7,162
168,T168,T166,Tommy Fleetwood,4.32,7,162
169,T170,T171,Brice Garnett,4.44,8,180
170,T170,T171,Bill Haas,4.44,8,180
171,T170,T171,Grayson Murray,4.44,4,90
172,T170,T171,John Senden,4.44,4,90
173,T170,T166,Cameron Tringale,4.44,8,180
174,175,177,Jason Kokrak,4.51,13,288
175,T176,T178,Lucas Bjerregaard,4.63,5,108
176,T176,T178,Haotong Li,4.63,5,108
177,T176,T171,Josh Teater,4.63,5,108
178,T176,T178,Tiger Woods,4.63,5,108
179,180,192,Danny Lee,4.7,11,234
180,T181,T182,Abraham Ancer,4.76,12,252
181,T181,193,Matt Kuchar,4.76,12,252
182,T181,T182,Curtis Luck,4.76,6,126
183,T181,T182,Hideki Matsuyama,4.76,12,252
184,T181,T182,Adam Svensson,4.76,6,126
185,T186,T186,Shawn Stefani,4.86,7,144
186,T186,T194,Danny Willett,4.86,7,144
187,T188,T188,Matthew Fitzpatrick,4.94,8,162
188,T188,T186,Bubba Watson,4.94,8,162
189,T190,T166,Roberto Castro,5.0,9,180
190,T190,190,Cameron Champ,5.0,9,180
191,T190,T188,Hank Lebioda,5.0,9,180
192,193,191,Branden Grace,5.05,10,198
193,194,T178,Keegan Bradley,5.13,12,234
194,T195,T194,Tom Hoge,5.56,9,162
195,T195,T200,Rod Pampling,5.56,3,54
196,T195,T194,Seamus Power,5.56,6,108
197,T195,T194,Seth Reeves,5.56,7,126
198,199,198,J.B. Holmes,6.35,8,126
199,200,199,Pat Perez,6.67,12,180
200,T201,T200,Bronson Burgoon,8.33,6,72
201,T201,T200,John Chin,8.33,6,72
