,Putting_from_5_RANK THIS WEEK,Putting_from_5_RANK LAST WEEK,Putting_from_5_PLAYER NAME,Putting_from_5_ROUNDS,Putting_from_5_% MADE,Putting_from_5_ATTEMPTS,Putting_from_5_PUTTS MADE
109,T110,T133,Brandon Harkins,67,79.69,64,51
110,T110,108,Ben Silverman,54,79.69,64,51
111,T110,116,Gary Woodland,63,79.69,64,51
112,113,T117,Marc Leishman,52,79.63,54,43
113,114,T66,Robert Streb,60,79.59,49,39
114,115,140,Sungjae Im,88,79.57,93,74
115,116,T138,Jim Herman,37,79.55,44,35
116,117,999,Tyrone Van Aswegen,30,79.31,29,23
117,T118,T146,Wes Roach,45,79.17,48,38
118,T118,T100,Bubba Watson,47,79.17,48,38
119,120,124,Chesson Hadley,58,79.1,67,53
120,121,125,Matt Jones,67,79.07,43,34
121,122,T186,D.J. Trahan,33,78.95,19,15
122,123,T109,Ryan Armour,66,78.87,71,56
123,T124,T130,Sangmoon Bae,42,78.79,33,26
124,T124,T120,J.J. Henry,42,78.79,33,26
125,T124,T126,Max Homa,61,78.79,66,52
126,T124,T126,Grayson Murray,36,78.79,33,26
127,128,119,Chris Stroud,54,78.72,47,37
128,T129,T117,Cody Gribble,52,78.69,61,48
129,T129,128,Michael Thompson,56,78.69,61,48
130,131,129,"Ted Potter, Jr.",56,78.67,75,59
131,T132,T59,Lucas Bjerregaard,37,78.57,28,22
132,T132,122,Corey Conners,62,78.57,56,44
133,T132,T109,Nate Lashley,44,78.57,42,33
134,T132,T130,Kevin Streelman,63,78.57,70,55
135,T132,T146,Adam Svensson,51,78.57,42,33
136,T132,137,Nick Watney,67,78.57,56,44
137,138,54,Richy Werenski,63,78.26,69,54
138,139,136,Cameron Champ,58,78.21,78,61
139,140,T138,Adam Schenk,80,78.02,91,71
140,141,153,Jonathan Byrd,43,78.0,50,39
141,142,T120,Brandt Snedeker,68,77.97,59,46
142,T143,143,Kramer Hickok,59,77.78,63,49
143,T143,T141,D.A. Points,33,77.78,18,14
144,T143,T154,Kevin Tway,62,77.78,72,56
145,T143,T165,Johnson Wagner,45,77.78,36,28
146,T147,144,Alex Cejka,41,77.27,44,34
147,T147,T169,Henrik Stenson,46,77.27,44,34
148,149,157,Austin Cook,50,77.08,48,37
149,T150,T133,Martin Trainer,51,77.05,61,47
150,T150,T160,Aaron Wise,52,77.05,61,47
151,152,T167,Keegan Bradley,65,77.03,74,57
152,T153,145,Jim Knous,55,76.92,52,40
153,T153,T141,Seamus Power,58,76.92,65,50
154,T153,T146,Patrick Rodgers,44,76.92,39,30
155,T153,T146,John Senden,39,76.92,39,30
156,157,152,Jason Kokrak,68,76.71,73,56
157,158,177,Tyler Duncan,66,76.6,47,36
158,159,T193,Rod Pampling,40,76.47,34,26
159,160,T154,Dylan Frittelli,55,76.36,55,42
160,161,156,Emiliano Grillo,65,76.32,76,58
161,162,184,Jimmy Walker,61,76.0,75,57
162,163,158,Trey Mullinax,67,75.95,79,60
163,164,159,Jordan Spieth,57,75.93,54,41
164,165,T160,Stewart Cink,33,75.86,29,22
165,T166,183,Cameron Davis,54,75.81,62,47
166,T166,T162,Xander Schauffele,55,75.81,62,47
167,168,T165,Haotong Li,32,75.76,33,25
168,169,T167,Jhonattan Vegas,60,75.71,70,53
169,T170,T169,Paul Casey,51,75.61,41,31
170,T170,T169,Matthew Fitzpatrick,42,75.61,41,31
171,172,T186,Whee Kim,57,75.51,49,37
172,173,172,Aaron Baddeley,51,75.47,53,40
173,174,151,J.B. Holmes,54,75.44,57,43
174,175,174,Kyoung-Hoon Lee,72,75.38,65,49
175,T176,T146,Ben Crane,41,75.0,28,21
176,T176,T180,Russell Henley,56,75.0,56,42
177,T176,T180,Martin Laird,60,75.0,60,45
178,T176,T175,Joaquin Niemann,68,75.0,64,48
179,T176,T70,Peter Uihlein,65,75.0,48,36
180,181,T175,Kelly Kraft,67,74.6,63,47
181,182,T178,Fabián Gómez,44,74.29,35,26
182,T183,T178,Hank Lebioda,55,74.24,66,49
183,T183,173,J.J. Spaun,68,74.24,66,49
184,185,123,Joey Garber,44,74.19,31,23
185,186,T180,Hideki Matsuyama,59,74.07,54,40
186,T187,198,Cameron Tringale,52,74.0,50,37
187,T187,135,Danny Willett,47,74.0,50,37
188,189,T162,Scott Brown,66,73.53,68,50
189,190,T162,Tom Hoge,70,73.44,64,47
190,T191,T186,Rafa Cabrera Bello,57,73.33,60,44
191,T191,T186,Louis Oosthuizen,43,73.33,30,22
192,193,190,Vaughn Taylor,69,73.13,67,49
193,T194,191,Dustin Johnson,47,72.73,44,32
194,T194,192,Patton Kizzire,58,72.73,44,32
195,196,T193,Tommy Fleetwood,43,72.41,29,21
196,197,195,J.T. Poston,76,72.37,76,55
197,T198,196,Byeong Hun An,54,72.22,54,39
198,T198,204,Stephan Jaeger,59,72.22,54,39
199,T198,185,Alex Prugh,54,72.22,54,39
200,201,197,Jonas Blixt,66,71.93,57,41
201,202,T199,Scott Stallings,63,71.79,78,56
202,T203,T199,Russell Knox,65,71.43,63,45
203,T203,T199,Phil Mickelson,41,71.43,42,30
204,205,203,Adam Scott,41,69.44,36,25
205,T206,205,Brady Schnell,38,66.67,36,24
206,T206,202,Sepp Straka,48,66.67,33,22
207,208,207,John Chin,38,64.29,28,18
208,209,206,Branden Grace,62,63.27,49,31
