,3-Putt_Avoidance_-_Round_1_RANK THIS WEEK,3-Putt_Avoidance_-_Round_1_RANK LAST WEEK,3-Putt_Avoidance_-_Round_1_PLAYER NAME,3-Putt_Avoidance_-_Round_1_%,3-Putt_Avoidance_-_Round_1_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_1_TOTAL HOLES
48,T47,T56,Wes Roach,2.14,5,234
49,50,T49,Abraham Ancer,2.16,7,324
50,T51,T36,Roberto Castro,2.22,6,270
51,T51,T58,Roberto Díaz,2.22,6,270
52,T51,T52,Tony Finau,2.22,6,270
53,T51,41,Brice Garnett,2.22,8,360
54,T51,T58,Zach Johnson,2.22,6,270
55,T51,T58,Sepp Straka,2.22,6,270
56,T57,T42,Bill Haas,2.29,7,306
57,T57,55,"Ted Potter, Jr.",2.29,7,306
58,T57,T63,Seth Reeves,2.29,7,306
59,T60,T71,Jonathan Byrd,2.31,5,216
60,T60,T56,Charl Schwartzel,2.31,5,216
61,T62,T65,Bud Cauley,2.34,8,342
62,T62,T65,Joaquin Niemann,2.34,8,342
63,T62,T65,Scott Stallings,2.34,8,342
64,65,T58,Justin Harding,2.38,3,126
65,T66,78,Dominic Bozzelli,2.43,7,288
66,T66,T63,Ryan Moore,2.43,7,288
67,T68,T65,Si Woo Kim,2.47,8,324
68,T68,T84,D.J. Trahan,2.47,4,162
69,T70,T82,Kelly Kraft,2.53,10,396
70,T70,T71,Troy Merritt,2.53,5,198
71,T70,T71,Ian Poulter,2.53,5,198
72,T73,T74,Ernie Els,2.56,6,234
73,T73,T74,Freddie Jacobson,2.56,6,234
74,T75,T58,Dylan Frittelli,2.59,7,270
75,T75,T84,Aaron Wise,2.59,7,270
76,77,79,Patton Kizzire,2.61,8,306
77,T78,T84,Corey Conners,2.63,9,342
78,T78,T84,Trey Mullinax,2.63,9,342
79,T78,T65,Nick Taylor,2.63,9,342
80,T81,T82,Sam Burns,2.65,10,378
81,T81,70,Brian Gay,2.65,10,378
82,T83,T84,Tom Hoge,2.66,11,414
83,T83,T84,Adam Schenk,2.66,11,414
84,T85,T74,Daniel Berger,2.78,7,252
85,T85,T99,Scott Brown,2.78,10,360
86,T85,T74,John Chin,2.78,7,252
87,T85,T99,Harris English,2.78,10,360
88,T85,T52,Julián Etulain,2.78,8,288
89,T85,T84,Matthew Fitzpatrick,2.78,5,180
90,T85,T84,Max Homa,2.78,9,324
91,T85,T84,Michael Kim,2.78,10,360
92,T85,T84,Hideki Matsuyama,2.78,7,252
93,T85,T84,Phil Mickelson,2.78,6,216
94,T85,T80,Carlos Ortiz,2.78,10,360
95,T85,T101,Scott Piercy,2.78,9,324
96,T85,T84,Jon Rahm,2.78,6,216
97,T85,T84,Rory Sabbatini,2.78,9,324
98,T85,T80,Robert Streb,2.78,10,360
99,T85,T105,Josh Teater,2.78,8,288
100,101,98,J.T. Poston,2.91,11,378
101,T102,T109,Martin Trainer,2.92,10,342
102,T102,T109,Harold Varner III,2.92,10,342
103,T104,T112,Ben Silverman,2.94,9,306
104,T104,T101,Michael Thompson,2.94,9,306
105,106,T105,Pat Perez,2.96,8,270
106,107,T123,Webb Simpson,2.99,7,234
107,108,T128,Matt Every,3.03,6,198
108,109,T120,Brandon Harkins,3.06,11,360
109,T110,T101,Stephan Jaeger,3.09,10,324
110,T110,T109,C.T. Pan,3.09,10,324
111,T110,T101,Shawn Stefani,3.09,10,324
112,T113,T112,Branden Grace,3.13,9,288
113,T113,T128,Jim Knous,3.13,9,288
114,T113,T112,Russell Knox,3.13,9,288
115,T113,T105,Curtis Luck,3.13,9,288
116,T113,T112,Brendan Steele,3.13,9,288
117,T118,T116,Byeong Hun An,3.17,8,252
118,T118,T116,Kiradech Aphibarnrat,3.17,8,252
119,T118,T140,Alex Cejka,3.17,8,252
120,T118,T140,Joey Garber,3.17,8,252
121,T118,T116,Patrick Rodgers,3.17,8,252
122,T118,T116,Brian Stuard,3.17,12,378
123,T118,T140,Cameron Tringale,3.17,8,252
124,T125,T120,Chesson Hadley,3.22,11,342
125,T125,T136,Danny Lee,3.22,11,342
126,T125,T120,Adam Long,3.22,11,342
127,128,T123,Patrick Cantlay,3.24,7,216
128,T129,T125,Charley Hoffman,3.27,10,306
129,T129,T125,Chez Reavie,3.27,10,306
130,T131,T128,James Hahn,3.33,6,180
131,T131,149,Whee Kim,3.33,12,360
132,T131,T128,Satoshi Kodaira,3.33,9,270
133,T131,T128,Hunter Mahan,3.33,9,270
134,T131,999,Martin Piller,3.33,6,180
135,T131,T128,Sam Ryder,3.33,9,270
136,T131,T128,Jordan Spieth,3.33,9,270
137,T138,T136,Matt Jones,3.4,11,324
138,T138,T125,Chase Wright,3.4,11,324
139,T140,T140,Grayson Murray,3.42,8,234
140,T140,T157,Johnson Wagner,3.42,8,234
141,142,108,Ryan Armour,3.44,13,378
142,T143,T144,Jason Kokrak,3.47,10,288
143,T143,T144,Haotong Li,3.47,5,144
144,T143,T144,Matt Wallace,3.47,5,144
145,146,T136,J.J. Spaun,3.51,12,342
146,T147,T150,Jason Day,3.54,7,198
147,T147,T128,Brooks Koepka,3.54,7,198
148,T147,T150,Adam Scott,3.54,7,198
149,T147,T165,Bubba Watson,3.54,7,198
150,151,T157,Sungjae Im,3.56,16,450
151,T152,T163,Fabián Gómez,3.57,9,252
152,T152,T153,Xander Schauffele,3.57,9,252
153,T154,T144,Russell Henley,3.59,11,306
154,T154,T160,Martin Laird,3.59,11,306
155,T154,155,Andrew Landry,3.59,11,306
156,T157,T157,Stewart Cink,3.7,8,216
157,T157,168,Mackenzie Hughes,3.7,12,324
158,T157,T84,Rod Pampling,3.7,10,270
159,T157,T150,Chris Thompson,3.7,8,216
160,T157,156,Peter Uihlein,3.7,14,378
161,T162,170,Jonas Blixt,3.8,13,342
162,T162,T136,Kramer Hickok,3.8,13,342
163,T164,172,Keegan Bradley,3.82,11,288
164,T164,T160,Gary Woodland,3.82,11,288
165,166,T163,D.A. Points,3.85,9,234
166,T167,T165,Louis Oosthuizen,3.89,7,180
167,T167,T173,Seamus Power,3.89,14,360
168,T167,T165,Justin Rose,3.89,7,180
169,T167,T173,Roger Sloan,3.89,14,360
170,171,T160,Adam Svensson,3.92,12,306
171,172,169,Paul Casey,3.97,10,252
172,173,999,Tyrone Van Aswegen,4.04,8,198
173,T174,177,Hank Lebioda,4.07,11,270
174,T174,T153,Ryan Palmer,4.07,11,270
175,T176,175,Lucas Glover,4.17,12,288
176,T176,171,Talor Gooch,4.17,9,216
177,T178,T181,Cameron Davis,4.25,13,306
178,T178,T181,Alex Prugh,4.25,13,306
179,180,176,Keith Mitchell,4.32,14,324
180,181,T178,Andrew Putnam,4.44,12,270
181,182,T186,Tyler Duncan,4.5,17,378
182,T183,T178,Austin Cook,4.51,13,288
183,T183,T181,Emiliano Grillo,4.51,13,288
184,T183,T181,Chris Kirk,4.51,13,288
185,186,185,Bryson DeChambeau,4.63,10,216
186,187,T186,Beau Hossler,4.72,17,360
187,188,188,Rafa Cabrera Bello,4.76,12,252
188,189,T195,Adam Hadwin,4.9,15,306
189,190,189,Lucas Bjerregaard,4.94,8,162
190,191,190,Sung Kang,4.97,17,342
191,192,T192,Marc Leishman,5.13,12,234
192,193,T192,J.J. Henry,5.16,13,252
193,194,194,Luke List,5.19,14,270
194,T195,T178,J.B. Holmes,5.21,15,288
195,T195,T195,Kyle Stanley,5.21,15,288
196,197,T198,Kyle Jones,5.25,17,324
197,T198,999,Shane Lowry,5.56,8,144
198,T198,205,Henrik Stenson,5.56,10,180
199,T198,191,Justin Thomas,5.56,12,216
200,T198,204,Jimmy Walker,5.56,17,306
201,T198,T198,Tiger Woods,5.56,7,126
202,203,201,Kyoung-Hoon Lee,5.82,22,378
203,T204,T202,Cameron Champ,5.86,19,324
204,T204,T202,Jason Dufner,5.86,19,324
205,206,T195,Anders Albertson,5.88,18,306
206,207,T198,Danny Willett,5.93,16,270
207,208,206,John Senden,6.48,14,216
208,209,207,Sangmoon Bae,6.67,18,270
