,Total_3_Putts_-_20-25_RANK THIS WEEK,Total_3_Putts_-_20-25_RANK LAST WEEK,Total_3_Putts_-_20-25_PLAYER NAME,Total_3_Putts_-_20-25_ROUNDS,Total_3_Putts_-_20-25_TOTAL 3 PUTTS 20'-25',Total_3_Putts_-_20-25_TOTAL 3 PUTTS
90,T72,T67,Joey Garber,44,1,14
91,T72,T67,Sergio Garcia,39,1,9
92,T72,T67,Brice Garnett,63,1,16
93,T72,T67,Brian Gay,79,1,22
94,T72,T67,Branden Grace,62,1,20
95,T72,T67,Chesson Hadley,58,1,19
96,T72,T67,Kramer Hickok,59,1,28
97,T72,T67,Tom Hoge,70,1,24
98,T72,T67,Beau Hossler,66,1,24
99,T72,T67,Charles Howell III,64,1,21
100,T72,T67,John Huh,35,1,15
101,T72,T67,Freddie Jacobson,37,1,13
102,T72,T67,Stephan Jaeger,59,1,22
103,T72,,Dustin Johnson,47,1,11
104,T72,T67,Martin Kaymer,38,1,14
105,T72,T67,Whee Kim,57,1,20
106,T72,T67,Si Woo Kim,65,1,17
107,T72,T67,Michael Kim,51,1,20
108,T72,T67,Chris Kirk,47,1,20
109,T72,T67,Kevin Kisner,65,1,18
110,T72,T67,Brooks Koepka,49,1,20
111,T72,T67,Anirban Lahiri,54,1,21
112,T72,T67,Martin Laird,60,1,28
113,T72,T67,Andrew Landry,56,1,24
114,T72,999,Shane Lowry,30,1,10
115,T72,T67,Curtis Luck,51,1,22
116,T72,T67,Hunter Mahan,45,1,12
117,T72,T67,Denny McCarthy,63,1,18
118,T72,T67,Rory McIlroy,50,1,13
119,T72,T67,Phil Mickelson,41,1,15
120,T72,T67,Francesco Molinari,41,1,13
121,T72,T67,Sebastián Muñoz,58,1,16
122,T72,T67,Trey Mullinax,67,1,36
123,T72,T67,Kevin Na,54,1,16
124,T72,T67,Alex Noren,49,1,18
125,T72,T67,Carlos Ortiz,60,1,22
126,T72,T67,Ryan Palmer,56,1,23
127,T72,T67,Pat Perez,52,1,16
128,T72,T67,Scott Piercy,70,1,28
129,T72,T67,Chez Reavie,67,1,19
130,T72,T67,Seth Reeves,52,1,27
131,T72,T67,Wes Roach,45,1,14
132,T72,T67,José de Jesús Rodríguez,51,1,17
133,T72,T67,Adam Schenk,80,1,27
134,T72,T67,Adam Scott,41,1,17
135,T72,T67,Ben Silverman,54,1,25
136,T72,T67,Webb Simpson,53,1,17
137,T72,T67,Brandt Snedeker,68,1,15
138,T72,T67,J.J. Spaun,68,1,24
139,T72,T67,Jordan Spieth,57,1,22
140,T72,T67,Kyle Stanley,53,1,16
141,T72,T67,Brendan Steele,50,1,21
142,T72,T67,Sepp Straka,48,1,22
143,T72,T67,Robert Streb,60,1,17
144,T72,T67,Brian Stuard,76,1,24
145,T72,T67,Justin Thomas,49,1,21
146,T72,T67,Martin Trainer,51,1,21
147,T72,T67,Kevin Tway,62,1,21
148,T72,T67,Harold Varner III,62,1,28
149,T72,T67,Jimmy Walker,61,1,27
150,T72,T67,Matt Wallace,31,1,13
151,T72,T67,Tiger Woods,31,1,18
