,Putting_from_10_RANK THIS WEEK,Putting_from_10_RANK LAST WEEK,Putting_from_10_PLAYER NAME,Putting_from_10_ROUNDS,Putting_from_10_% MADE,Putting_from_10_ATTEMPTS,Putting_from_10_PUTTS MADE
192,193,T175,Talor Gooch,37,26.92,26,7
193,T194,T187,Grayson Murray,36,26.67,15,4
194,T194,T187,Seth Reeves,52,26.67,30,8
195,196,191,Francesco Molinari,41,26.32,19,5
196,197,T193,Alex Cejka,41,25.0,16,4
197,198,195,Sepp Straka,48,23.81,21,5
198,199,196,Luke List,52,22.22,27,6
199,200,T199,Hudson Swafford,59,21.95,41,9
200,201,203,Kevin Tway,62,21.88,32,7
201,202,197,Patrick Rodgers,44,21.74,23,5
202,203,T199,Jason Dufner,56,21.05,19,4
203,204,201,Brendan Steele,50,20.83,24,5
204,205,198,Peter Uihlein,65,20.69,29,6
205,206,202,Roberto Castro,54,17.39,23,4
206,207,204,Alex Noren,49,14.29,21,3
