,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
167,T167,T161,Kevin Streelman,63,"5' 6""",10.917,2,,3
168,169,163,Tyrrell Hatton,46,"5' 0""",5.0,1,,5
169,170,165,Jon Rahm,51,"4' 9""",9.5,2,,3
170,T171,T166,Brice Garnett,63,"4' 4""",8.667,2,,3
171,T171,T166,Whee Kim,57,"4' 4""",4.333,1,,4
172,173,168,Beau Hossler,66,"4' 3""",4.25,1,,4
173,T174,T169,Patton Kizzire,58,"3' 7""",3.583,1,,4
174,T174,T169,Sepp Straka,48,"3' 7""",3.583,1,,4
175,176,171,Martin Kaymer,38,"3' 4""",3.333,1,,3
176,T177,T172,Patrick Cantlay,49,"3' 2""",3.167,1,,3
177,T177,T172,Cameron Davis,54,"3' 2""",3.167,1,,3
178,179,174,Alex Cejka,41,"2' 9""",2.75,1,,3
179,180,175,Tyler Duncan,66,"2' 0""",3.917,2,,2
180,181,176,Michael Kim,51,"1' 6""",1.5,1,,2
