,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
181,T181,184,Jimmy Walker,61,1.797,1272,708,27.16,T149
182,183,T192,Danny Willett,47,1.798,1032,574,28.22,T53
183,T184,185,Fabián Gómez,44,1.7990000000000002,950,528,27.08,T79
184,T184,T177,J.B. Holmes,54,1.7990000000000002,1020,567,30.74,71
185,T186,T182,Keegan Bradley,65,1.8,1307,726,28.73,22
186,T186,T174,John Chin,38,1.8,846,470,27.72,32
187,T188,T186,Haotong Li,32,1.8019999999999998,584,324,30.96,154
188,T188,T186,Brendan Steele,50,1.8019999999999998,1065,591,29.1,39
189,T188,197,Henrik Stenson,46,1.8019999999999998,838,465,26.67,50
190,T191,200,Sangmoon Bae,42,1.8030000000000002,831,461,29.07,160
191,T191,188,Russell Henley,56,1.8030000000000002,1145,635,26.42,55
192,T193,T190,Jason Dufner,56,1.805,1220,676,28.49,21
193,T193,T190,Michael Kim,51,1.805,982,544,26.52,195
194,T195,189,Ryan Armour,66,1.807,1433,793,26.86,78
195,T195,194,Branden Grace,62,1.807,1164,644,27.93,T92
196,T197,T192,Alex Prugh,54,1.81,1140,630,26.27,15
197,T197,T195,Kyle Stanley,53,1.81,1021,564,26.69,126
198,199,199,Kyle Jones,49,1.811,956,528,25.1,183
199,T200,T195,Anders Albertson,48,1.814,994,548,27.92,96
200,T200,198,Adam Long,52,1.814,1103,608,25.0,133
201,202,203,Chris Thompson,34,1.819,733,403,24.69,107
202,203,201,John Senden,39,1.82,830,456,25.88,36
203,204,202,D.A. Points,33,1.821,663,364,25.62,T201
204,205,999,Tyrone Van Aswegen,30,1.827,634,347,23.48,T156
205,206,204,Bubba Watson,47,1.834,884,482,30.35,74
206,207,207,Rod Pampling,40,1.841,775,421,23.1,197
207,T208,206,Lucas Bjerregaard,37,1.8419999999999999,654,355,25.99,T111
208,T208,205,J.J. Henry,42,1.8419999999999999,816,443,21.04,T136
