,Putts_per_Round_-_Round_1_RANK THIS WEEK,Putts_per_Round_-_Round_1_RANK LAST WEEK,Putts_per_Round_-_Round_1_PLAYER NAME,Putts_per_Round_-_Round_1_AVG,Putts_per_Round_-_Round_1_TOTAL PUTTS,Putts_per_Round_-_Round_1_TOTAL ROUNDS
83,T83,T86,Ryan Moore,28.94,463,16
84,T83,T78,Scott Piercy,28.94,521,18
85,86,88,Brandon Harkins,28.95,579,20
86,T87,96,Scott Brown,29.0,580,20
87,T87,113,Harris English,29.0,580,20
88,T87,T89,Billy Horschel,29.0,493,17
89,T87,T89,Roger Sloan,29.0,580,20
90,T87,T58,Richy Werenski,29.0,551,19
91,92,T89,Trey Mullinax,29.05,552,19
92,93,T78,Kevin Tway,29.06,523,18
93,T94,T97,Byeong Hun An,29.07,407,14
94,T94,T97,Tony Finau,29.07,436,15
95,T94,T97,Rickie Fowler,29.07,407,14
96,T94,T97,Patrick Rodgers,29.07,407,14
97,T94,T126,Cameron Tringale,29.07,407,14
98,99,T80,Dustin Johnson,29.09,320,11
99,T100,T103,Beau Hossler,29.1,582,20
100,T100,T103,Michael Kim,29.1,582,20
101,102,105,Patton Kizzire,29.12,495,17
102,T103,106,Emiliano Grillo,29.13,466,16
103,T103,T97,Matt Kuchar,29.13,437,15
104,T105,T107,Sam Burns,29.14,612,21
105,T105,T107,Justin Harding,29.14,204,7
106,T107,109,Kevin Streelman,29.16,554,19
107,T107,T114,Nick Taylor,29.16,554,19
108,109,82,Justin Thomas,29.17,350,12
109,110,111,Ian Poulter,29.18,321,11
110,T111,T89,Austin Cook,29.19,467,16
111,T111,T117,Brian Harman,29.19,613,21
112,T113,T84,Hank Lebioda,29.2,438,15
113,T113,119,Seamus Power,29.2,584,20
114,T115,T114,Martin Trainer,29.21,555,19
115,T115,110,Harold Varner III,29.21,555,19
116,117,T126,Adam Hadwin,29.24,497,17
117,T118,T120,Keegan Bradley,29.25,468,16
118,T118,999,Shane Lowry,29.25,234,8
119,120,T120,Luke List,29.27,439,15
120,T121,116,Mackenzie Hughes,29.28,527,18
121,T121,T123,Sungjae Im,29.28,732,25
122,T123,102,Daniel Berger,29.29,410,14
123,T123,T126,Martin Laird,29.29,498,17
124,T123,112,Adam Svensson,29.29,498,17
125,126,T123,Wes Roach,29.31,381,13
126,T127,125,Jason Day,29.36,323,11
127,T127,T160,Bubba Watson,29.36,323,11
128,129,T126,John Huh,29.38,382,13
129,T130,T131,Andrew Landry,29.41,500,17
130,T130,T131,Chez Reavie,29.41,500,17
131,T130,122,Ben Silverman,29.41,500,17
132,133,T133,Joey Garber,29.43,412,14
133,134,T89,Brooks Koepka,29.45,324,11
134,135,T133,Freddie Jacobson,29.46,383,13
135,T136,T135,Jhonattan Vegas,29.47,501,17
136,T136,T143,Nick Watney,29.47,560,19
137,T138,T137,Bronson Burgoon,29.5,413,14
138,T138,T148,Jim Knous,29.5,472,16
139,T138,T135,Robert Streb,29.5,590,20
140,T141,171,Jonas Blixt,29.53,561,19
141,T141,T141,Chesson Hadley,29.53,561,19
142,T141,130,Kramer Hickok,29.53,561,19
143,T141,T141,Sung Kang,29.53,561,19
144,T141,T137,Alex Prugh,29.53,502,17
145,T141,T137,Jimmy Walker,29.53,502,17
146,147,T167,Webb Simpson,29.54,384,13
147,148,T143,Chris Kirk,29.56,473,16
148,149,T145,Tiger Woods,29.57,207,7
149,150,147,Shawn Stefani,29.61,533,18
150,T151,150,Alex Cejka,29.64,415,14
151,T151,T152,Hideki Matsuyama,29.64,415,14
152,T151,T152,Troy Merritt,29.64,326,11
153,T151,T152,Xander Schauffele,29.64,415,14
154,T151,T152,Adam Scott,29.64,326,11
155,T151,T152,Cameron Smith,29.64,415,14
156,T157,T148,Ryan Armour,29.67,623,21
157,T157,151,Sergio Garcia,29.67,267,9
158,T157,T162,Sepp Straka,29.67,445,15
159,T157,T145,Aaron Wise,29.67,445,15
160,T161,T158,Grayson Murray,29.69,386,13
161,T161,157,Josh Teater,29.69,475,16
162,163,T160,Matthew Fitzpatrick,29.7,297,10
163,T164,T177,Russell Henley,29.71,505,17
164,T164,T162,"Ted Potter, Jr.",29.71,505,17
165,T166,T164,Charles Howell III,29.72,535,18
166,T166,T164,Keith Mitchell,29.72,535,18
167,168,T137,Rod Pampling,29.73,446,15
168,169,169,Charley Hoffman,29.76,506,17
169,170,T167,Tyler Duncan,29.81,626,21
170,171,166,Rory McIlroy,29.83,358,12
171,172,173,Adam Long,29.84,567,19
172,173,T181,Whee Kim,29.85,597,20
173,T174,170,Jim Furyk,29.86,418,14
174,T174,175,Kyoung-Hoon Lee,29.86,627,21
175,176,176,Satoshi Kodaira,29.87,448,15
176,177,T177,Gary Woodland,29.88,478,16
177,T178,186,Sangmoon Bae,29.93,449,15
178,T178,174,J.J. Henry,29.93,419,14
179,180,172,Carlos Ortiz,29.95,599,20
180,T181,T158,John Chin,30.0,420,14
181,T181,179,Brice Garnett,30.0,600,20
182,T181,T181,Tyrrell Hatton,30.0,360,12
183,T181,180,Alex Noren,30.0,390,13
184,T181,999,Tyrone Van Aswegen,30.0,330,11
185,186,192,Kyle Jones,30.06,541,18
186,187,183,Stewart Cink,30.08,361,12
187,188,185,Hunter Mahan,30.13,452,15
188,189,194,Johnson Wagner,30.15,392,13
189,190,T188,Cameron Davis,30.18,513,17
190,191,184,J.J. Spaun,30.21,574,19
191,T192,200,Talor Gooch,30.25,363,12
192,T192,191,Branden Grace,30.25,484,16
193,T192,187,Chris Thompson,30.25,363,12
194,195,T197,Henrik Stenson,30.3,303,10
195,196,193,Jason Kokrak,30.31,485,16
196,197,195,James Hahn,30.4,304,10
197,198,196,John Senden,30.42,365,12
198,T199,T197,Cameron Champ,30.44,548,18
199,T199,190,J.B. Holmes,30.44,487,16
200,201,T188,Anders Albertson,30.53,519,17
201,202,202,Jason Dufner,30.56,550,18
202,203,T197,Corey Conners,30.58,581,19
203,T204,203,Louis Oosthuizen,30.6,306,10
204,T204,206,Danny Willett,30.6,459,15
205,206,204,Brendan Steele,30.63,490,16
206,207,205,Paul Casey,30.64,429,14
207,208,201,Lucas Bjerregaard,30.78,277,9
208,209,207,Kyle Stanley,30.94,495,16
