,Putting_from_6_RANK THIS WEEK,Putting_from_6_RANK LAST WEEK,Putting_from_6_PLAYER NAME,Putting_from_6_ROUNDS,Putting_from_6_% MADE,Putting_from_6_ATTEMPTS,Putting_from_6_PUTTS MADE
156,157,T158,Seth Reeves,52,64.29,42,27
157,T158,T143,Ryan Armour,66,64.15,53,34
158,T158,160,Tony Finau,61,64.15,53,34
159,160,201,Rod Pampling,40,63.89,36,23
160,161,172,Kramer Hickok,59,63.83,47,30
161,162,T56,Sangmoon Bae,42,63.64,22,14
162,163,T147,Danny Willett,47,63.41,41,26
163,164,164,Jon Rahm,51,63.33,30,19
164,T165,157,Keegan Bradley,65,63.27,49,31
165,T165,131,Tyler Duncan,66,63.27,49,31
166,T167,T162,J.B. Holmes,54,63.16,38,24
167,T167,165,Kyle Jones,49,63.16,38,24
168,169,166,Rafa Cabrera Bello,57,62.96,54,34
169,170,T183,Dylan Frittelli,55,62.75,51,32
170,171,T173,Shawn Stefani,57,62.71,59,37
171,T172,190,Sergio Garcia,39,62.5,32,20
172,T172,T168,Kevin Na,54,62.5,40,25
173,174,130,Chase Wright,53,62.22,45,28
174,175,170,Matthew Fitzpatrick,42,62.07,29,18
175,176,197,Anders Albertson,48,61.76,34,21
176,177,171,J.T. Poston,76,61.4,57,35
177,T178,T173,James Hahn,34,61.11,18,11
178,T178,T168,J.J. Spaun,68,61.11,54,33
179,T178,T173,Kyle Stanley,53,61.11,36,22
180,T181,T176,Stewart Cink,33,60.87,23,14
181,T181,T176,Ernie Els,43,60.87,23,14
182,T181,T176,Louis Oosthuizen,43,60.87,23,14
183,T181,T176,Chez Reavie,67,60.87,23,14
184,T185,T180,Tommy Fleetwood,43,60.71,28,17
185,T185,T180,Curtis Luck,51,60.71,28,17
186,T185,T180,Gary Woodland,63,60.71,56,34
187,188,T183,Adam Hadwin,66,60.38,53,32
188,189,T183,Satoshi Kodaira,51,60.0,50,30
189,T190,T186,Charles Howell III,64,59.46,37,22
190,T190,T186,Patrick Reed,53,59.46,37,22
191,T190,T186,Brendan Steele,50,59.46,37,22
192,193,203,Justin Thomas,49,58.62,29,17
193,194,189,Trey Mullinax,67,58.33,60,35
194,195,191,Jhonattan Vegas,60,58.14,43,25
195,196,192,Luke List,52,58.0,50,29
196,197,T194,Jonas Blixt,66,57.78,45,26
197,198,999,Tyrone Van Aswegen,30,57.14,21,12
198,199,196,Chris Kirk,47,56.86,51,29
199,T200,T194,John Chin,38,56.52,23,13
200,T200,T198,Jason Dufner,56,56.52,46,26
201,T200,T198,John Senden,39,56.52,23,13
202,T203,200,Corey Conners,62,55.56,36,20
203,T203,202,Josh Teater,47,55.56,36,20
204,205,204,Charl Schwartzel,34,53.33,15,8
205,206,205,Paul Casey,51,53.13,32,17
206,207,193,Alex Noren,49,50.0,22,11
207,208,206,Matt Jones,67,45.45,44,20
208,209,207,Alex Cejka,41,36.67,30,11
