,Putting_from_-_15-20_RANK THIS WEEK,Putting_from_-_15-20_RANK LAST WEEK,Putting_from_-_15-20_PLAYER NAME,Putting_from_-_15-20_ROUNDS,Putting_from_-_15-20_% MADE,Putting_from_-_15-20_ATTEMPTS,Putting_from_-_15-20_PUTTS MADE
35,36,34,Chris Stroud,54,23.08,78,18
36,37,40,Anirban Lahiri,54,22.97,74,17
37,T38,999,Shane Lowry,30,22.86,35,8
38,T38,T42,Andrew Putnam,57,22.86,70,16
39,40,44,Sungjae Im,88,22.79,136,31
40,41,24,Ben Silverman,54,22.78,79,18
41,42,37,Rod Pampling,40,22.64,53,12
42,43,46,Jhonattan Vegas,60,22.34,94,21
43,44,47,Chesson Hadley,58,22.22,99,22
44,45,T42,Danny Lee,66,22.02,109,24
45,46,T49,Tony Finau,61,21.88,64,14
46,47,38,Peter Uihlein,65,21.84,87,19
47,48,58,Scott Brown,66,21.7,106,23
48,49,T91,Dominic Bozzelli,53,21.62,74,16
49,50,87,Hudson Swafford,59,21.36,103,22
50,T51,73,Russell Henley,56,21.21,99,21
51,T51,T63,Kyle Jones,49,21.21,66,14
52,T51,23,D.J. Trahan,33,21.21,33,7
53,54,T91,Alex Noren,49,21.15,52,11
54,55,T49,Hank Lebioda,55,21.05,76,16
55,T56,T55,Matthew Fitzpatrick,42,20.93,43,9
56,T56,T55,Jordan Spieth,57,20.93,86,18
57,T58,53,Wyndham Clark,61,20.83,96,20
58,T58,48,Peter Malnati,64,20.83,96,20
59,T60,59,Patton Kizzire,58,20.55,73,15
60,T60,51,Aaron Wise,52,20.55,73,15
61,T62,T60,Charles Howell III,64,20.51,78,16
62,T62,T60,John Senden,39,20.51,39,8
63,64,T67,Richy Werenski,63,20.35,113,23
64,65,T67,Brian Gay,79,20.34,118,24
65,66,T63,Xander Schauffele,55,20.31,64,13
66,T67,T67,Kiradech Aphibarnrat,49,20.0,70,14
67,T67,T67,Bryson DeChambeau,45,20.0,60,12
68,T67,52,Jim Furyk,53,20.0,75,15
69,T67,T82,Cody Gribble,52,20.0,80,16
70,T67,54,Stephan Jaeger,59,20.0,65,13
71,T67,65,Whee Kim,57,20.0,70,14
72,73,72,Rickie Fowler,54,19.79,96,19
73,74,74,Billy Horschel,73,19.75,81,16
74,T75,66,Graeme McDowell,61,19.74,76,15
75,T75,75,Gary Woodland,63,19.74,76,15
76,77,62,Jim Herman,37,19.61,51,10
77,T78,T78,Jonathan Byrd,43,19.51,41,8
78,T78,90,Nick Taylor,70,19.51,123,24
79,80,T78,Hideki Matsuyama,59,19.44,72,14
80,81,100,Jim Knous,55,19.4,67,13
81,82,T85,Carlos Ortiz,60,19.32,88,17
82,T83,101,Tyler Duncan,66,19.23,78,15
83,T83,77,Brady Schnell,38,19.23,52,10
84,T85,45,John Chin,38,19.15,47,9
85,T85,84,Beau Hossler,66,19.15,94,18
86,87,T85,Patrick Rodgers,44,19.05,84,16
87,88,T114,Tom Hoge,70,18.89,90,17
88,89,120,Martin Laird,60,18.87,106,20
89,90,89,Emiliano Grillo,65,18.82,85,16
90,91,95,Brian Stuard,76,18.63,102,19
91,92,T82,Sebastián Muñoz,58,18.6,86,16
92,93,57,Talor Gooch,37,18.46,65,12
93,94,T111,Roberto Castro,54,18.42,76,14
94,T95,T97,Cameron Champ,58,18.39,87,16
95,T95,T97,Jason Kokrak,68,18.39,87,16
96,97,99,Marc Leishman,52,18.37,49,9
97,T98,T102,Rafa Cabrera Bello,57,18.18,55,10
98,T98,94,Roberto Díaz,51,18.18,77,14
99,T98,88,Kelly Kraft,67,18.18,99,18
100,T98,T102,Sam Ryder,52,18.18,77,14
101,102,106,Tyrrell Hatton,46,18.03,61,11
102,T103,107,Joel Dahmen,78,18.0,100,18
103,T103,T91,J.B. Holmes,54,18.0,50,9
104,T105,81,Matt Kuchar,65,17.98,89,16
105,T105,108,"Ted Potter, Jr.",56,17.98,89,16
106,107,109,Charley Hoffman,58,17.95,78,14
107,108,T67,Joey Garber,44,17.86,56,10
108,109,110,Kevin Kisner,65,17.78,90,16
109,110,113,Si Woo Kim,65,17.72,79,14
110,111,T126,Sangmoon Bae,42,17.65,51,9
111,112,119,Josh Teater,47,17.57,74,13
112,113,118,Chris Kirk,47,17.5,80,14
113,114,76,Justin Thomas,49,17.46,63,11
114,115,999,Martin Piller,30,17.24,29,5
115,T116,165,David Hearn,41,17.14,35,6
116,T116,121,Kramer Hickok,59,17.14,70,12
117,T116,T114,Scott Stallings,63,17.14,105,18
118,119,96,Joaquin Niemann,68,17.07,123,21
119,120,123,Tommy Fleetwood,43,16.98,53,9
120,121,T102,Dustin Johnson,47,16.95,59,10
121,122,T111,Cameron Davis,54,16.92,65,11
122,T123,T124,Keith Mitchell,64,16.88,77,13
123,T123,T116,Sam Saunders,53,16.88,77,13
124,T123,105,Martin Trainer,51,16.88,77,13
125,T126,T126,Pat Perez,52,16.67,60,10
126,T126,T161,Jimmy Walker,61,16.67,84,14
127,128,128,Ryan Blaum,67,16.49,97,16
128,129,T116,Chase Wright,53,16.46,79,13
129,T130,T130,Byeong Hun An,54,16.39,61,10
130,T130,T130,Patrick Reed,53,16.39,61,10
131,132,T78,Chris Thompson,34,16.28,43,7
132,133,144,Wes Roach,45,16.18,68,11
133,134,157,J.J. Spaun,68,16.13,93,15
134,135,T163,Robert Streb,60,16.05,81,13
135,136,134,Michael Kim,51,15.94,69,11
136,137,T135,Freddie Jacobson,37,15.91,44,7
137,138,T149,Brice Garnett,63,15.85,82,13
138,139,129,Adam Svensson,51,15.79,76,12
139,140,T135,Shawn Stefani,57,15.73,89,14
140,T141,139,James Hahn,34,15.63,32,5
141,T141,166,José de Jesús Rodríguez,51,15.63,64,10
142,T143,T140,Jason Dufner,56,15.58,77,12
143,T143,T140,Chez Reavie,67,15.58,77,12
144,145,143,Sam Burns,66,15.56,90,14
145,146,133,Kevin Tway,62,15.48,84,13
146,T147,T140,Dylan Frittelli,55,15.29,85,13
147,T147,T124,Scott Langley,60,15.29,85,13
148,149,T130,Anders Albertson,48,15.15,66,10
149,150,148,Jon Rahm,51,15.09,53,8
150,151,153,Seth Reeves,52,15.07,73,11
151,152,138,Keegan Bradley,65,15.05,93,14
152,T153,146,Alex Prugh,54,15.0,60,9
153,T153,T149,Tiger Woods,31,15.0,40,6
154,155,155,Danny Willett,47,14.93,67,10
155,156,151,Jason Day,45,14.89,47,7
156,T157,T159,Bud Cauley,61,14.81,81,12
157,T157,137,Bill Haas,58,14.81,81,12
158,T157,154,Zach Johnson,50,14.81,81,12
159,160,152,Satoshi Kodaira,51,14.75,61,9
160,T161,156,Patrick Cantlay,49,14.47,76,11
161,T161,145,Brandt Snedeker,68,14.47,76,11
162,163,158,Abraham Ancer,69,14.42,104,15
163,164,T159,Francesco Molinari,41,14.29,42,6
164,165,147,Adam Hadwin,66,13.95,86,12
165,166,T161,Brendan Steele,50,13.92,79,11
166,T167,T163,Daniel Berger,48,13.75,80,11
167,T167,T171,Webb Simpson,53,13.75,80,11
168,T169,T167,Troy Merritt,42,13.64,66,9
169,T169,T167,Kyle Stanley,53,13.64,66,9
170,171,170,Phil Mickelson,41,13.46,52,7
171,T172,T171,Alex Cejka,41,13.33,45,6
172,T172,T171,Justin Harding,31,13.33,30,4
173,174,174,Adam Long,52,13.25,83,11
174,175,176,Rory Sabbatini,71,12.96,108,14
175,176,177,Matt Jones,67,12.94,85,11
176,T177,178,Russell Knox,65,12.9,62,8
177,T177,175,Scott Piercy,70,12.9,93,12
178,T179,T167,Julián Etulain,55,12.68,71,9
179,T179,T190,Cameron Tringale,52,12.68,71,9
180,181,179,Harris English,72,12.61,111,14
181,182,180,Cameron Smith,55,12.5,48,6
182,183,181,C.T. Pan,64,12.36,89,11
183,184,184,Brian Harman,67,12.26,106,13
184,185,183,Louis Oosthuizen,43,12.2,41,5
185,186,185,Bubba Watson,47,12.16,74,9
186,187,187,Branden Grace,62,11.86,59,7
187,188,189,Haotong Li,32,11.76,34,4
188,189,182,Trey Mullinax,67,11.7,94,11
189,T190,T197,Rory McIlroy,50,11.59,69,8
190,T190,200,Seamus Power,58,11.59,69,8
191,192,192,Grayson Murray,36,11.43,35,4
192,193,193,Ernie Els,43,11.32,53,6
193,194,194,Kevin Streelman,63,11.25,80,9
194,195,203,Corey Conners,62,11.22,98,11
195,T196,195,Bronson Burgoon,37,11.11,63,7
196,T196,188,Brandon Harkins,67,11.11,99,11
197,T196,186,J.J. Henry,42,11.11,45,5
198,T196,T197,Roger Sloan,62,11.11,81,9
199,200,196,Nick Watney,67,10.87,92,10
200,201,T190,Fabián Gómez,44,10.81,74,8
201,202,999,Tyrone Van Aswegen,30,10.53,38,4
202,203,199,John Huh,35,10.42,48,5
203,T204,201,Andrew Landry,56,10.23,88,9
204,T204,202,Harold Varner III,62,10.23,88,9
205,206,204,Mackenzie Hughes,58,9.09,88,8
206,207,205,Martin Kaymer,38,8.77,57,5
207,208,207,Henrik Stenson,46,8.2,61,5
208,209,206,Sergio Garcia,39,7.02,57,4
