,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
135,136,124,Troy Merritt,42,125,237,52.7
136,T137,T125,Emiliano Grillo,65,124,259,47.9
137,T137,T141,Aaron Wise,52,124,241,51.5
138,T139,146,Roberto Díaz,51,122,239,51.0
139,T139,T130,Xander Schauffele,55,122,246,49.6
140,T141,T141,Anders Albertson,48,121,233,51.9
141,T141,T172,Dominic Bozzelli,53,121,255,47.5
142,T141,T141,Sergio Garcia,39,121,209,57.9
143,T141,132,Charley Hoffman,58,121,258,46.9
144,145,T133,Kiradech Aphibarnrat,49,120,249,48.2
145,T146,T135,Paul Casey,51,119,210,56.7
146,T146,T135,Satoshi Kodaira,51,119,238,50.0
147,T146,T153,Shawn Stefani,57,119,257,46.3
148,T149,T149,Brice Garnett,63,118,252,46.8
149,T149,T139,Michael Kim,51,118,234,50.4
150,151,T141,Phil Mickelson,41,117,214,54.7
151,152,155,Curtis Luck,51,116,247,47.0
152,T153,T156,Fabián Gómez,44,115,211,54.5
153,T153,T161,J.B. Holmes,54,115,201,57.2
154,155,148,Hunter Mahan,45,114,230,49.6
155,156,T149,Kevin Na,54,113,236,47.9
156,T157,T161,Alex Cejka,41,112,188,59.6
157,T157,T151,Ernie Els,43,112,196,57.1
158,T157,T151,Matthew Fitzpatrick,42,112,197,56.9
159,T157,T169,Talor Gooch,37,112,219,51.1
160,T157,T174,Brooks Koepka,49,112,212,52.8
161,T157,T174,Henrik Stenson,46,112,226,49.6
162,163,T169,Jim Herman,37,111,189,58.7
163,T164,T156,Pat Perez,52,109,214,50.9
164,T164,T156,Kyle Stanley,53,109,199,54.8
165,166,T165,Alex Prugh,54,108,211,51.2
166,T167,159,Bronson Burgoon,37,107,193,55.4
167,T167,184,Jonathan Byrd,43,107,208,51.4
168,169,160,Ian Poulter,49,105,213,49.3
169,170,T176,Whee Kim,57,104,218,47.7
170,T171,T163,Freddie Jacobson,37,103,181,56.9
171,T171,T163,Justin Rose,42,103,225,45.8
172,T173,T165,Francesco Molinari,41,101,189,53.4
173,T173,T179,Josh Teater,47,101,199,50.8
174,T175,167,Tyrrell Hatton,46,100,192,52.1
175,T175,188,Wes Roach,45,100,200,50.0
176,T177,168,Tommy Fleetwood,43,99,184,53.8
177,T177,182,Brady Schnell,38,99,188,52.7
178,T177,183,Johnson Wagner,45,99,220,45.0
179,T180,181,Nate Lashley,44,98,220,44.5
180,T180,T169,Matt Wallace,31,98,167,58.7
181,182,T172,John Huh,35,97,183,53.0
182,T183,185,Matt Every,38,94,183,51.4
183,T183,T176,Grayson Murray,36,94,171,55.0
184,T183,T176,Louis Oosthuizen,43,94,171,55.0
185,T183,189,Sepp Straka,48,94,221,42.5
186,187,T179,Adam Scott,41,93,187,49.7
187,188,T196,Rod Pampling,40,88,167,52.7
188,189,194,Joey Garber,44,87,174,50.0
189,T190,T190,David Hearn,41,86,167,51.5
190,T190,187,J.J. Henry,42,86,165,52.1
191,192,186,Jason Day,45,84,184,45.7
192,T193,T196,Sangmoon Bae,42,82,178,46.1
193,T193,T199,Ben Crane,41,82,192,42.7
194,T195,999,Shane Lowry,30,78,156,50.0
195,T195,202,Chris Thompson,34,78,149,52.3
196,T195,T190,Tiger Woods,31,78,147,53.1
197,T198,192,Stewart Cink,33,77,154,50.0
198,T198,999,Tyrone Van Aswegen,30,77,130,59.2
199,200,193,Haotong Li,32,75,149,50.3
200,201,195,John Senden,39,70,153,45.8
201,202,T199,John Chin,38,68,133,51.1
202,203,198,D.A. Points,33,67,133,50.4
203,204,201,Charl Schwartzel,34,63,123,51.2
204,205,204,Lucas Bjerregaard,37,60,141,42.6
205,206,999,Martin Piller,30,54,129,41.9
206,207,206,D.J. Trahan,33,51,114,44.7
207,208,205,James Hahn,34,43,91,47.3
208,209,207,Justin Harding,31,36,86,41.9
