,GIR_Putting_-_15-20_RANK THIS WEEK,GIR_Putting_-_15-20_RANK LAST WEEK,GIR_Putting_-_15-20_PLAYER NAME,GIR_Putting_-_15-20_ROUNDS,GIR_Putting_-_15-20_%,GIR_Putting_-_15-20_ATTEMPTS,GIR_Putting_-_15-20_PUTTS MADE
156,T155,T155,Zach Johnson,50,13.89,72,10
157,T155,T155,Webb Simpson,53,13.89,72,10
158,159,154,James Hahn,34,13.79,29,4
159,160,T159,Matt Jones,67,13.51,74,10
160,T161,161,Daniel Berger,48,13.33,60,8
161,T161,T162,Branden Grace,62,13.33,45,6
162,T161,T162,Satoshi Kodaira,51,13.33,45,6
163,T161,T162,Keith Mitchell,64,13.33,60,8
164,165,T174,Jimmy Walker,61,13.24,68,9
165,T166,181,Alex Noren,49,13.04,46,6
166,T166,T167,Jon Rahm,51,13.04,46,6
167,168,165,Alex Prugh,54,12.96,54,7
168,169,T157,Adam Svensson,51,12.9,62,8
169,170,T159,J.B. Holmes,54,12.82,39,5
170,171,171,Wes Roach,45,12.73,55,7
171,172,166,Trey Mullinax,67,12.66,79,10
172,173,T172,Haotong Li,32,12.5,24,3
173,174,T179,Bubba Watson,47,12.28,57,7
174,175,170,Kevin Tway,62,12.16,74,9
175,176,T174,Adam Long,52,12.12,66,8
176,177,169,Fabián Gómez,44,12.07,58,7
177,178,176,Andrew Landry,56,12.0,75,9
178,179,177,Phil Mickelson,41,11.9,42,5
179,T180,192,Rory McIlroy,50,11.86,59,7
180,T180,T172,Sam Saunders,53,11.86,59,7
181,182,T179,Troy Merritt,42,11.76,51,6
182,183,178,Scott Piercy,70,11.69,77,9
183,184,182,Dylan Frittelli,55,11.59,69,8
184,185,T199,Cameron Tringale,52,11.48,61,7
185,186,183,Louis Oosthuizen,43,11.43,35,4
186,187,T193,Corey Conners,62,11.36,88,10
187,188,184,Kevin Streelman,63,11.27,71,8
188,T189,185,Seamus Power,58,11.11,54,6
189,T189,999,Tyrone Van Aswegen,30,11.11,27,3
190,191,188,Brian Harman,67,10.98,82,9
191,192,T190,Nick Watney,67,10.96,73,8
192,193,187,Patrick Reed,53,10.87,46,5
193,194,189,Ernie Els,43,10.64,47,5
194,T195,T190,Patrick Cantlay,49,10.61,66,7
195,T195,186,Roger Sloan,62,10.61,66,7
196,197,T193,Bronson Burgoon,37,10.0,50,5
197,198,195,C.T. Pan,64,9.72,72,7
198,199,198,Mackenzie Hughes,58,9.23,65,6
199,200,197,Alex Cejka,41,9.09,33,3
200,201,T199,Harold Varner III,62,8.96,67,6
201,202,196,Brandon Harkins,67,8.86,79,7
202,203,201,Grayson Murray,36,8.0,25,2
203,204,207,Henrik Stenson,46,7.55,53,4
204,205,202,Julián Etulain,55,7.41,54,4
205,206,203,Martin Kaymer,38,6.98,43,3
206,207,204,Sergio Garcia,39,5.77,52,3
207,208,205,J.J. Henry,42,5.71,35,2
208,209,206,John Huh,35,5.26,38,2
