,Putting_from_-__10_RANK THIS WEEK,Putting_from_-__10_RANK LAST WEEK,Putting_from_-__10_PLAYER NAME,Putting_from_-__10_ROUNDS,Putting_from_-__10_% MADE,Putting_from_-__10_ATTEMPTS,Putting_from_-__10_PUTTS MADE
43,44,T43,Matt Every,38,16.87,249,42
44,45,48,Ben Crane,41,16.84,297,50
45,T46,49,Charley Hoffman,58,16.71,347,58
46,T46,T16,Justin Thomas,49,16.71,353,59
47,48,T50,Tiger Woods,31,16.67,228,38
48,49,52,"Ted Potter, Jr.",56,16.63,439,73
49,T50,T53,Jason Kokrak,68,16.49,552,91
50,T50,T53,J.T. Poston,76,16.49,661,109
51,T52,55,Patrick Cantlay,49,16.46,322,53
52,T52,45,Chris Stroud,54,16.46,413,68
53,54,42,Julián Etulain,55,16.45,377,62
54,55,58,Danny Lee,66,16.44,590,97
55,56,T90,Brandt Snedeker,68,16.42,475,78
56,T57,75,Jonas Blixt,66,16.36,544,89
57,T57,T50,Nate Lashley,44,16.36,330,54
58,59,56,Ian Poulter,49,16.35,318,52
59,60,64,Nick Taylor,70,16.32,625,102
60,61,57,Ryan Moore,54,16.31,423,69
61,62,T78,Hank Lebioda,55,16.26,412,67
62,63,59,Kevin Kisner,65,16.2,463,75
63,64,60,Freddie Jacobson,37,16.19,247,40
64,65,67,Hudson Swafford,59,16.17,507,82
65,66,61,Ryan Blaum,67,16.16,557,90
66,67,62,Max Homa,61,16.14,502,81
67,68,63,Sam Burns,66,16.13,558,90
68,69,77,Roberto Díaz,51,16.05,349,56
69,70,66,Chez Reavie,67,16.02,412,66
70,71,47,Talor Gooch,37,16.01,331,53
71,72,T71,Sungjae Im,88,16.0,725,116
72,73,82,Martin Laird,60,15.99,519,83
73,74,T68,Luke List,52,15.93,452,72
74,75,70,Abraham Ancer,69,15.92,515,82
75,76,74,Brian Stuard,76,15.89,560,89
76,77,T71,Ollie Schniederjans,63,15.88,466,74
77,78,76,Francesco Molinari,41,15.83,259,41
78,79,999,Shane Lowry,30,15.79,209,33
79,80,80,Matt Jones,67,15.77,463,73
80,81,81,Pat Perez,52,15.76,311,49
81,T82,T78,Wyndham Clark,61,15.66,479,75
82,T82,83,Anirban Lahiri,54,15.66,396,62
83,84,138,José de Jesús Rodríguez,51,15.65,345,54
84,85,T71,Cameron Davis,54,15.63,371,58
85,86,84,Billy Horschel,73,15.62,493,77
86,T87,96,Zach Johnson,50,15.58,398,62
87,T87,85,Cameron Smith,55,15.58,321,50
88,89,87,Xander Schauffele,55,15.51,374,58
89,T90,T88,Tony Finau,61,15.5,413,64
90,T90,T88,Kyoung-Hoon Lee,72,15.5,484,75
91,92,T68,Ryan Palmer,56,15.48,420,65
92,93,93,Hunter Mahan,45,15.41,357,55
93,94,65,Scott Langley,60,15.32,496,76
94,95,94,Phil Mickelson,41,15.28,301,46
95,96,95,Cameron Champ,58,15.26,544,83
96,97,100,Haotong Li,32,15.08,199,30
97,98,86,Joey Garber,44,15.05,279,42
98,99,101,Troy Merritt,42,15.04,339,51
99,100,102,Keith Mitchell,64,15.02,426,64
100,101,103,Charles Howell III,64,15.01,453,68
101,102,104,Joel Dahmen,78,15.0,600,90
102,103,T105,Paul Casey,51,14.97,314,47
103,104,92,Jim Knous,55,14.96,401,60
104,105,107,Matt Kuchar,65,14.95,515,77
105,106,98,Kelly Kraft,67,14.94,482,72
106,T107,149,Sangmoon Bae,42,14.93,288,43
107,T107,108,D.A. Points,33,14.93,201,30
108,109,109,Gary Woodland,63,14.9,443,66
109,110,124,Webb Simpson,53,14.89,450,67
110,111,113,Patrick Reed,53,14.71,374,55
111,T112,115,Whee Kim,57,14.66,341,50
112,T112,114,John Senden,39,14.66,266,39
113,114,140,Scott Brown,66,14.62,506,74
114,115,118,Adam Hadwin,66,14.59,473,69
115,116,111,Carlos Ortiz,60,14.58,535,78
116,117,T90,Lucas Bjerregaard,37,14.57,247,36
117,118,T119,Scott Stallings,63,14.55,488,71
118,119,117,Louis Oosthuizen,43,14.54,227,33
119,T120,97,Alex Cejka,41,14.5,262,38
120,T120,T119,Branden Grace,62,14.5,338,49
121,T120,T122,Brandon Harkins,67,14.5,469,68
122,123,146,Sebastián Muñoz,58,14.49,421,61
123,124,168,Wes Roach,45,14.47,318,46
124,125,T134,Bud Cauley,61,14.46,505,73
125,T126,157,Rory McIlroy,50,14.43,395,57
126,T126,125,J.J. Spaun,68,14.43,492,71
127,128,110,Scott Piercy,70,14.42,548,79
128,129,126,Jhonattan Vegas,60,14.37,508,73
129,T130,T127,Bronson Burgoon,37,14.33,314,45
130,T130,116,Fabián Gómez,44,14.33,328,47
131,132,112,Dylan Frittelli,55,14.32,468,67
132,133,T130,Matthew Fitzpatrick,42,14.29,301,43
133,134,133,David Hearn,41,14.23,246,35
134,135,T134,Rafa Cabrera Bello,57,14.2,345,49
135,136,T127,Harris English,72,14.19,627,89
136,137,136,Tommy Fleetwood,43,14.18,261,37
137,138,T143,Roger Sloan,62,14.14,481,68
138,139,141,Satoshi Kodaira,51,14.09,362,51
139,140,T119,Shawn Stefani,57,14.08,419,59
140,141,T122,Martin Trainer,51,14.07,391,55
141,142,142,Jon Rahm,51,14.04,349,49
142,143,132,Anders Albertson,48,14.02,371,52
143,T144,99,John Chin,38,13.9,259,36
144,T144,129,Cody Gribble,52,13.9,403,56
145,146,152,Brooks Koepka,49,13.88,317,44
146,147,137,Jonathan Byrd,43,13.86,267,37
147,148,T130,Joaquin Niemann,68,13.84,542,75
148,149,T143,Corey Conners,62,13.79,464,64
149,150,145,Jim Herman,37,13.72,277,38
150,151,139,Kevin Tway,62,13.7,467,64
151,152,T161,Brady Schnell,38,13.69,263,36
152,153,T105,D.J. Trahan,33,13.68,212,29
153,154,158,Tom Hoge,70,13.67,490,67
154,155,167,Alex Noren,49,13.66,344,47
155,156,150,Michael Kim,51,13.6,375,51
156,157,172,Brice Garnett,63,13.59,449,61
157,T158,180,Roberto Castro,54,13.53,414,56
158,T158,T159,Kyle Jones,49,13.53,377,51
159,160,153,Brendan Steele,50,13.49,415,56
160,161,154,C.T. Pan,64,13.46,431,58
161,162,147,Chris Thompson,34,13.42,231,31
162,163,156,Martin Kaymer,38,13.41,343,46
163,164,T161,Hideki Matsuyama,59,13.36,434,58
164,165,148,Mackenzie Hughes,58,13.35,442,59
165,166,163,Marc Leishman,52,13.32,368,49
166,167,175,Daniel Berger,48,13.21,424,56
167,168,T159,Nick Watney,67,13.19,523,69
168,169,176,Russell Henley,56,13.16,456,60
169,170,T169,Tyrrell Hatton,46,13.15,327,43
170,T171,171,Russell Knox,65,13.12,503,66
171,T171,164,Adam Svensson,51,13.12,381,50
172,T173,174,Ernie Els,43,13.08,260,34
173,T173,T182,Danny Willett,47,13.08,413,54
174,T173,165,Aaron Wise,52,13.08,413,54
175,176,151,Trey Mullinax,67,13.01,561,73
176,177,177,Andrew Landry,56,12.91,457,59
177,178,166,Harold Varner III,62,12.89,551,71
178,179,178,Jason Dufner,56,12.85,428,55
179,180,179,Seth Reeves,52,12.81,367,47
180,181,187,Josh Teater,47,12.76,337,43
181,T182,181,Chris Kirk,47,12.74,369,47
182,T182,194,Henrik Stenson,46,12.74,369,47
183,184,184,Kramer Hickok,59,12.67,450,57
184,185,T169,Stephan Jaeger,59,12.62,404,51
185,186,T182,Jimmy Walker,61,12.55,470,59
186,187,201,Seamus Power,58,12.44,450,56
187,188,185,Bill Haas,58,12.4,484,60
188,189,186,Sam Saunders,53,12.36,461,57
189,190,188,Byeong Hun An,54,12.3,366,45
190,191,198,Sergio Garcia,39,12.22,270,33
191,192,189,John Huh,35,12.11,289,35
192,193,190,Kevin Streelman,63,12.09,546,66
193,194,193,J.B. Holmes,54,12.04,274,33
194,195,199,Bubba Watson,47,11.98,384,46
195,196,191,Tyler Duncan,66,11.92,478,57
196,197,173,Jim Furyk,53,11.91,445,53
197,198,192,Emiliano Grillo,65,11.87,438,52
198,199,197,Robert Streb,60,11.8,466,55
199,200,195,Adam Long,52,11.76,459,54
200,201,200,Brian Harman,67,11.59,509,59
201,202,196,Alex Prugh,54,11.36,396,45
202,203,202,Keegan Bradley,65,11.2,482,54
203,204,203,Grayson Murray,36,11.11,279,31
204,205,204,Kyle Stanley,53,10.84,332,36
205,206,205,James Hahn,34,10.77,195,21
206,207,999,Tyrone Van Aswegen,30,10.5,200,21
207,208,206,Rod Pampling,40,9.26,270,25
208,209,207,J.J. Henry,42,9.0,289,26
