,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
31,T31,T35,Carlos Ortiz,60,"48' 11""",12.322000000000001,21
32,33,18,Ollie Schniederjans,63,"48' 9""",7.609,13
33,34,32,Peter Malnati,64,"48' 7""",9.324,16
34,35,33,Matt Kuchar,65,"48' 5""",13.937000000000001,24
35,T36,34,John Senden,39,"47' 11""",9.203,16
36,T36,T42,Peter Uihlein,65,"47' 11""",13.23,23
37,38,37,Roger Sloan,62,"47' 6""",13.113,23
38,39,T62,Jim Herman,37,"47' 4""",7.9479999999999995,14
39,40,T50,Zach Johnson,50,"47' 2""",10.19,18
40,41,49,Wes Roach,45,"47' 1""",7.905,14
41,42,39,Dylan Frittelli,55,"47' 0""",12.978,23
42,T43,T42,Mackenzie Hughes,58,"46' 8""",12.315999999999999,22
43,T43,T65,Scott Stallings,63,"46' 8""",15.13,27
44,45,44,Paul Casey,51,"46' 6""",9.494,17
45,46,T45,Tiger Woods,31,"46' 5""",9.47,17
46,47,T47,Vaughn Taylor,69,"46' 4""",9.46,17
47,48,T75,Henrik Stenson,46,"46' 3""",8.887,16
48,49,T40,J.J. Spaun,68,"46' 2""",11.634,21
49,50,T50,Pat Perez,52,"46' 1""",8.293,15
50,51,T45,Russell Henley,56,"46' 0""",14.345,26
51,T52,T40,Bud Cauley,61,"45' 11""",11.561,21
52,T52,T52,Tom Hoge,70,"45' 11""",12.130999999999998,22
53,T52,T52,Seamus Power,58,"45' 11""",13.213,24
54,T52,38,Nick Taylor,70,"45' 11""",14.87,27
55,56,T47,Brandt Snedeker,68,"45' 10""",6.601,12
56,T57,T52,Adam Schenk,80,"45' 9""",13.713,25
57,T57,57,Kevin Tway,62,"45' 9""",9.338,17
58,T57,T35,Bubba Watson,47,"45' 9""",16.459,30
59,T60,T59,Kyle Stanley,53,"45' 7""",7.6579999999999995,14
60,T60,T59,Jimmy Walker,61,"45' 7""",14.21,26
61,62,58,Josh Teater,47,"45' 4""",6.523,12
62,63,T62,Brian Stuard,76,"45' 3""",12.497,23
63,64,T65,Satoshi Kodaira,51,"45' 2""",12.459000000000001,23
64,65,67,Cameron Smith,55,"45' 0""",5.94,11
65,T66,T59,Brian Gay,79,"44' 11""",10.782,20
66,T66,68,Joaquin Niemann,68,"44' 11""",10.232999999999999,19
67,T68,T98,Daniel Berger,48,"44' 10""",8.068,15
68,T68,T69,Harris English,72,"44' 10""",10.762,20
69,T70,T71,Kramer Hickok,59,"44' 8""",13.397,25
70,T70,T95,Cameron Tringale,52,"44' 8""",6.962000000000001,13
71,T72,T78,Adam Hadwin,66,"44' 7""",16.046,30
72,T72,T69,Martin Laird,60,"44' 7""",13.909,26
73,T74,T52,Anders Albertson,48,"44' 6""",12.822000000000001,24
74,T74,73,Sungjae Im,88,"44' 6""",20.296,38
75,T76,74,Rickie Fowler,54,"44' 5""",7.9879999999999995,15
76,T76,56,Bill Haas,58,"44' 5""",11.719000000000001,22
77,78,T75,Patrick Rodgers,44,"44' 4""",8.505,16
78,T79,T80,Sam Burns,66,"44' 2""",8.482999999999999,16
79,T79,T92,Scott Piercy,70,"44' 2""",14.314,27
80,T79,T80,Justin Rose,42,"44' 2""",5.303999999999999,10
81,T79,T80,Kevin Streelman,63,"44' 2""",12.187999999999999,23
82,T83,83,Brian Harman,67,"44' 1""",8.459,16
83,T83,97,Ben Silverman,54,"44' 1""",11.638,22
84,85,999,Dustin Johnson,47,"44' 0""",5.809,11
85,T86,T98,Jim Furyk,53,"43' 11""",9.477,18
86,T86,T75,Whee Kim,57,"43' 11""",9.484,18
87,T86,84,Troy Merritt,42,"43' 11""",7.38,14
88,T86,T62,Rod Pampling,40,"43' 11""",9.482999999999999,18
89,90,T85,Matt Jones,67,"43' 10""",7.895,15
90,91,T85,Graeme McDowell,61,"43' 9""",8.398,16
91,T92,87,Brandon Harkins,67,"43' 8""",16.771,32
92,T92,88,Trey Mullinax,67,"43' 8""",15.199000000000002,29
93,T92,T78,Alex Noren,49,"43' 8""",7.855,15
94,95,89,Gary Woodland,63,"43' 7""",10.984000000000002,21
95,96,T90,Michael Kim,51,"43' 6""",9.397,18
96,T97,T92,Beau Hossler,66,"43' 5""",11.98,23
97,T97,103,Sam Saunders,53,"43' 5""",9.372,18
98,T99,105,Roberto Castro,54,"43' 4""",10.911,21
99,T99,T90,Julián Etulain,55,"43' 4""",10.91,21
100,101,T95,Luke List,52,"43' 3""",15.038,29
101,102,T71,José de Jesús Rodríguez,51,"43' 1""",8.781,17
102,103,100,Andrew Landry,56,"43' 0""",11.342,22
103,104,101,Brendan Steele,50,"42' 11""",8.762,17
104,105,102,Jason Kokrak,68,"42' 10""",11.818,23
105,106,104,Jason Day,45,"42' 8""",6.145,12
106,107,106,Cameron Champ,58,"42' 4""",17.285,34
107,108,94,Nate Lashley,44,"42' 3""",6.079,12
108,109,108,Patton Kizzire,58,"42' 2""",8.099,16
109,110,109,Ryan Blaum,67,"42' 1""",11.118,22
110,T111,T110,Curtis Luck,51,"42' 0""",10.074,20
111,T111,T110,Webb Simpson,53,"42' 0""",8.575,17
112,T113,T138,Fabián Gómez,44,"41' 11""",8.045,16
113,T113,T129,Danny Lee,66,"41' 11""",18.094,36
114,T115,T119,Cody Gribble,52,"41' 10""",5.519,11
115,T115,131,Jim Knous,55,"41' 10""",11.052999999999999,22
116,T115,T113,Jhonattan Vegas,60,"41' 10""",11.549000000000001,23
117,T118,T119,Keegan Bradley,65,"41' 9""",17.044,34
118,T118,T110,Richy Werenski,63,"41' 9""",11.026,22
119,120,115,Ian Poulter,49,"41' 8""",7.506,15
120,121,126,Joey Garber,44,"41' 7""",6.481,13
121,T122,T116,Chris Kirk,47,"41' 6""",8.967,18
122,T122,T116,Kevin Kisner,65,"41' 6""",7.9639999999999995,16
123,T122,T116,Kyoung-Hoon Lee,72,"41' 6""",14.435,29
124,T125,T136,Scott Brown,66,"41' 5""",9.943999999999999,20
125,T125,T119,Kelly Kraft,67,"41' 5""",11.422,23
126,127,T113,Chase Wright,53,"41' 4""",5.454,11
127,T128,T124,Chesson Hadley,58,"41' 3""",7.915,16
128,T128,T124,John Huh,35,"41' 3""",4.954,10
129,130,127,Grayson Murray,36,"41' 1""",8.388,17
130,131,128,Patrick Reed,53,"41' 0""",7.87,16
131,132,T129,Branden Grace,62,"40' 11""",9.338,19
132,T133,107,Brice Garnett,63,"40' 10""",7.843,16
133,T133,156,Rory McIlroy,50,"40' 10""",5.882999999999999,12
134,T133,T148,Sebastián Muñoz,58,"40' 10""",6.865,14
135,T136,T132,Alex Cejka,41,"40' 9""",6.359,13
136,T136,T132,Bryson DeChambeau,45,"40' 9""",11.734000000000002,24
137,T138,134,Billy Horschel,73,"40' 8""",10.252,21
138,T138,T119,Shawn Stefani,57,"40' 8""",11.710999999999999,24
139,140,135,Tony Finau,61,"40' 7""",5.845,12
140,141,T136,Sung Kang,67,"40' 6""",14.099,29
141,T142,T138,Max Homa,61,"40' 5""",8.253,17
142,T142,T138,Russell Knox,65,"40' 5""",13.099,27
143,T142,T138,Hideki Matsuyama,59,"40' 5""",13.57,28
144,T142,T138,Michael Thompson,56,"40' 5""",9.209,19
145,146,143,Martin Trainer,51,"40' 4""",8.718,18
146,147,144,Jason Dufner,56,"40' 3""",11.600999999999999,24
147,T148,165,Nick Watney,67,"40' 1""",8.661,18
148,T148,T167,Danny Willett,47,"40' 1""",12.035,25
149,150,123,Corey Conners,62,"40' 0""",10.55,22
150,T151,T145,Aaron Baddeley,51,"39' 11""",5.745,12
151,T151,T145,Si Woo Kim,65,"39' 11""",8.149,17
152,T151,T145,Xander Schauffele,55,"39' 11""",7.662000000000001,16
153,T154,T148,Marc Leishman,52,"39' 9""",10.489,22
154,T154,T148,Kevin Na,54,"39' 9""",7.155,15
155,156,T151,Hunter Mahan,45,"39' 8""",4.758,10
156,157,153,Emiliano Grillo,65,"39' 7""",12.357000000000001,26
157,158,154,J.T. Poston,76,"39' 5""",17.956,38
158,159,155,Chris Stroud,54,"39' 4""",7.547999999999999,16
159,160,157,Sangmoon Bae,42,"39' 1""",11.255999999999998,24
160,T161,T160,Hank Lebioda,55,"39' 0""",12.169,26
161,T161,999,Tyrone Van Aswegen,30,"39' 0""",7.952999999999999,17
162,T163,T158,Abraham Ancer,69,"38' 11""",11.675,25
163,T163,T158,Chez Reavie,67,"38' 11""",8.408999999999999,18
164,T165,T151,Talor Gooch,37,"38' 9""",7.899,17
165,T165,T160,Seth Reeves,52,"38' 9""",10.236,22
166,167,T162,Martin Kaymer,38,"38' 8""",5.102,11
167,168,166,Adam Svensson,51,"38' 5""",11.532,25
168,169,T167,"Ted Potter, Jr.",56,"38' 4""",8.731,19
169,T170,T169,Freddie Jacobson,37,"38' 3""",5.053999999999999,11
170,T170,T169,Kyle Jones,49,"38' 3""",6.888,15
171,T170,T169,Ryan Moore,54,"38' 3""",7.805,17
172,T170,T169,C.T. Pan,64,"38' 3""",7.34,16
173,174,175,John Chin,38,"38' 1""",7.314,16
174,175,173,Rory Sabbatini,71,"38' 0""",12.777999999999999,28
175,176,T162,Lucas Bjerregaard,37,"37' 8""",6.3260000000000005,14
176,177,174,Joel Dahmen,78,"37' 6""",13.504000000000001,30
177,178,186,Austin Cook,50,"37' 5""",7.1770000000000005,16
178,179,176,Adam Scott,41,"37' 3""",6.702999999999999,15
179,180,177,Bronson Burgoon,37,"37' 2""",6.687,15
180,181,178,Jon Rahm,51,"37' 1""",5.336,12
181,182,179,Sam Ryder,52,"37' 0""",9.76,22
182,183,181,Tyler Duncan,66,"36' 11""",11.963,27
183,184,164,Sepp Straka,48,"36' 10""",9.274,21
184,185,180,Keith Mitchell,64,"36' 4""",10.464,24
185,186,185,J.B. Holmes,54,"36' 1""",8.232000000000001,19
186,187,182,Francesco Molinari,41,"35' 8""",5.559,13
187,188,T183,Charley Hoffman,58,"35' 6""",4.69,11
188,189,187,Ryan Armour,66,"32' 11""",13.027000000000001,33
189,190,188,Lucas Glover,62,"31' 9""",7.627999999999999,20
190,191,189,Stewart Cink,33,"30' 11""",3.707,10
191,192,190,Cameron Davis,54,"30' 1""",5.775,16
