,Total_3_Putts_-_15-20_RANK THIS WEEK,Total_3_Putts_-_15-20_RANK LAST WEEK,Total_3_Putts_-_15-20_PLAYER NAME,Total_3_Putts_-_15-20_ROUNDS,Total_3_Putts_-_15-20_TOTAL 3 PUTTS 15'-20',Total_3_Putts_-_15-20_TOTAL 3 PUTTS
45,T25,T23,Justin Rose,42,2,10
46,T25,T23,Sam Saunders,53,2,18
47,T25,T23,Adam Schenk,80,2,27
48,T25,T23,Webb Simpson,53,2,17
49,T25,T23,Scott Stallings,63,2,30
50,T25,T23,Shawn Stefani,57,2,29
51,T25,T23,Kevin Tway,62,2,21
52,T25,T23,Harold Varner III,62,2,28
53,T25,T23,Jhonattan Vegas,60,2,26
54,T25,T23,Johnson Wagner,45,2,18
55,T25,T23,Jimmy Walker,61,2,27
56,T25,T23,Nick Watney,67,2,24
57,T25,T23,Tiger Woods,31,2,18
58,T59,T59,Byeong Hun An,54,1,18
59,T59,T59,Kiradech Aphibarnrat,49,1,18
60,T59,T59,Aaron Baddeley,51,1,16
61,T59,T59,Keegan Bradley,65,1,37
62,T59,T59,Scott Brown,66,1,24
63,T59,T59,Jonathan Byrd,43,1,17
64,T59,T59,Roberto Castro,54,1,25
65,T59,T59,John Chin,38,1,20
66,T59,T59,Stewart Cink,33,1,11
67,T59,,Ben Crane,41,1,9
68,T59,T59,Joel Dahmen,78,1,33
69,T59,T59,Harris English,72,1,21
70,T59,T59,Matt Every,38,1,10
71,T59,T59,Tony Finau,61,1,15
72,T59,T59,Rickie Fowler,54,1,17
73,T59,T59,Dylan Frittelli,55,1,24
74,T59,T59,Jim Furyk,53,1,18
75,T59,T59,Sergio Garcia,39,1,9
76,T59,,Brice Garnett,63,1,16
77,T59,T59,Fabián Gómez,44,1,17
78,T59,T59,Talor Gooch,37,1,19
79,T59,T59,Branden Grace,62,1,20
80,T59,T59,Adam Hadwin,66,1,31
81,T59,T59,David Hearn,41,1,11
82,T59,T59,Jim Herman,37,1,15
83,T59,T59,J.B. Holmes,54,1,22
84,T59,T59,Freddie Jacobson,37,1,13
85,T59,T59,Zach Johnson,50,1,22
86,T59,T59,Kyle Jones,49,1,18
87,T59,T59,Sung Kang,67,1,35
88,T59,T59,Martin Kaymer,38,1,14
89,T59,T59,Michael Kim,51,1,20
90,T59,T59,Chris Kirk,47,1,20
91,T59,T59,Kevin Kisner,65,1,18
92,T59,T59,Jason Kokrak,68,1,27
93,T59,T59,Andrew Landry,56,1,24
94,T59,T59,Nate Lashley,44,1,14
95,T59,T59,Hank Lebioda,55,1,28
96,T59,T59,Marc Leishman,52,1,27
97,T59,T59,Denny McCarthy,63,1,18
98,T59,T59,Graeme McDowell,61,1,18
99,T59,T59,Rory McIlroy,50,1,13
100,T59,T59,Troy Merritt,42,1,18
101,T59,T59,Keith Mitchell,64,1,27
102,T59,T59,Grayson Murray,36,1,21
103,T59,T59,Kevin Na,54,1,16
104,T59,T59,Louis Oosthuizen,43,1,8
105,T59,T59,Carlos Ortiz,60,1,22
106,T59,T59,C.T. Pan,64,1,17
107,T59,T59,Pat Perez,52,1,16
108,T59,T59,Scott Piercy,70,1,28
109,T59,T59,"Ted Potter, Jr.",56,1,26
110,T59,T59,Ian Poulter,49,1,15
111,T59,T59,Jon Rahm,51,1,14
112,T59,,José de Jesús Rodríguez,51,1,17
113,T59,,Ollie Schniederjans,63,1,13
114,T59,T59,John Senden,39,1,20
115,T59,T59,Roger Sloan,62,1,26
116,T59,T59,Jordan Spieth,57,1,22
117,T59,T59,Kyle Stanley,53,1,16
118,T59,T59,Sepp Straka,48,1,22
119,T59,T59,Robert Streb,60,1,17
120,T59,T59,Chris Stroud,54,1,18
121,T59,T59,Brian Stuard,76,1,24
122,T59,T59,Adam Svensson,51,1,26
123,T59,T59,Nick Taylor,70,1,27
124,T59,T59,Cameron Tringale,52,1,15
125,T59,T59,Peter Uihlein,65,1,24
126,T59,T59,Matt Wallace,31,1,13
127,T59,T59,Richy Werenski,63,1,23
128,T59,T59,Gary Woodland,63,1,28
129,T59,T59,Chase Wright,53,1,17
