,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
67,T68,85,Danny Lee,66,28.75,1840,64,21
68,T68,T65,Patrick Rodgers,44,28.75,1265,44,23
69,T70,T82,Cody Gribble,52,28.79,1382,48,24
70,T70,T69,Martin Kaymer,38,28.79,1094,38,21
71,T70,T69,Sebastián Muñoz,58,28.79,1612,56,24
72,T73,T72,Abraham Ancer,69,28.8,1843,64,22
73,T73,T72,Beau Hossler,66,28.8,1901,66,22
74,T75,T63,David Hearn,41,28.81,1066,37,23
75,T75,T88,Sungjae Im,88,28.81,2420,84,21
76,T77,T74,Pat Perez,52,28.82,1441,50,23
77,T77,68,Scott Piercy,70,28.82,1902,66,24
78,T77,T74,Chez Reavie,67,28.82,1729,60,21
79,T77,T82,Roger Sloan,62,28.82,1787,62,22
80,T81,T65,Austin Cook,50,28.83,1326,46,24
81,T81,96,Joey Garber,44,28.83,1153,40,24
82,T81,T77,Brian Harman,67,28.83,1874,65,22
83,T81,T100,Cameron Tringale,52,28.83,1384,48,24
84,T85,T77,Troy Merritt,42,28.84,1096,38,25
85,T85,T77,Phil Mickelson,41,28.84,1096,38,21
86,87,T80,Xander Schauffele,55,28.85,1500,52,23
87,T88,76,Alex Cejka,41,28.86,1068,37,25
88,T88,T82,Jon Rahm,51,28.86,1270,44,23
89,90,T94,Roberto Díaz,51,28.87,1357,47,24
90,T91,T88,Sung Kang,67,28.89,1878,65,23
91,T91,T88,Ryan Moore,54,28.89,1560,54,24
92,93,93,Nate Lashley,44,28.93,1215,42,24
93,T94,T80,Bill Haas,58,28.94,1563,54,23
94,T94,T97,Marc Leishman,52,28.94,1389,48,24
95,T94,T97,Louis Oosthuizen,43,28.94,1042,36,22
96,T97,T122,Wes Roach,45,28.95,1245,43,25
97,T97,T86,Scott Stallings,63,28.95,1708,59,23
98,T97,T100,Harold Varner III,62,28.95,1737,60,24
99,T97,T100,Jimmy Walker,61,28.95,1766,61,24
100,T101,T108,Ryan Palmer,56,28.96,1506,52,23
101,T101,T94,Adam Schenk,80,28.96,2259,78,22
102,103,T88,Sergio Garcia,39,28.97,869,30,25
103,T104,T100,Lucas Glover,62,28.98,1681,58,23
104,T104,99,Brandon Harkins,67,28.98,1826,63,24
105,T104,T100,Max Homa,61,28.98,1710,59,23
106,T104,T120,Rory McIlroy,50,28.98,1333,46,22
107,T104,T86,Justin Thomas,49,28.98,1333,46,24
108,109,T106,Peter Uihlein,65,29.02,1828,63,24
109,T110,T110,Scott Brown,66,29.05,1801,62,25
