,Putting_from_-_10-15_RANK THIS WEEK,Putting_from_-_10-15_RANK LAST WEEK,Putting_from_-_10-15_PLAYER NAME,Putting_from_-_10-15_ROUNDS,Putting_from_-_10-15_% MADE,Putting_from_-_10-15_ATTEMPTS,Putting_from_-_10-15_PUTTS MADE
114,115,82,Trey Mullinax,67,29.3,157,46
115,116,T110,Denny McCarthy,63,29.29,140,41
116,117,154,Sergio Garcia,39,29.23,65,19
117,118,116,J.T. Poston,76,29.17,168,49
118,119,117,Paul Casey,51,29.11,79,23
119,T120,118,D.A. Points,33,29.09,55,16
120,T120,90,Kevin Tway,62,29.09,110,32
121,122,109,Nick Watney,67,29.03,124,36
122,123,119,Michael Thompson,56,28.93,159,46
123,124,T129,Danny Lee,66,28.82,170,49
124,125,120,Alex Noren,49,28.75,80,23
125,126,121,Patrick Reed,53,28.72,94,27
126,127,122,Gary Woodland,63,28.71,101,29
127,T128,107,Cody Gribble,52,28.57,91,26
128,T128,T124,Hunter Mahan,45,28.57,91,26
129,T128,T124,Ryan Moore,54,28.57,105,30
130,T128,T124,C.T. Pan,64,28.57,98,28
131,132,T110,Shawn Stefani,57,28.41,88,25
132,133,127,Martin Kaymer,38,28.38,74,21
133,134,136,Bud Cauley,61,28.36,134,38
134,135,128,Bryson DeChambeau,45,28.33,120,34
135,T136,999,Tyrone Van Aswegen,30,28.26,46,13
136,T136,138,Bubba Watson,47,28.26,92,26
137,138,135,Michael Kim,51,28.16,103,29
138,139,137,Kyoung-Hoon Lee,72,28.1,121,34
139,140,155,Austin Cook,50,28.0,100,28
140,T141,T139,Branden Grace,62,27.96,93,26
141,T141,T139,Cameron Smith,55,27.96,93,26
142,143,98,Jim Knous,55,27.93,111,31
143,144,113,Corey Conners,62,27.83,115,32
144,145,123,Scott Piercy,70,27.81,151,42
145,146,185,Rory McIlroy,50,27.72,101,28
146,147,145,Beau Hossler,66,27.61,163,45
147,148,149,Nate Lashley,44,27.59,87,24
148,149,T150,Phil Mickelson,41,27.27,88,24
149,150,153,Brian Stuard,76,27.22,158,43
150,151,144,Jim Herman,37,27.14,70,19
151,152,T146,Sam Saunders,53,27.05,122,33
152,153,T146,Alex Prugh,54,26.88,93,25
153,154,156,Brendan Steele,50,26.8,97,26
154,155,T142,Chris Stroud,54,26.67,105,28
155,156,160,Henrik Stenson,46,26.61,109,29
156,157,158,Kevin Streelman,63,26.52,132,35
157,158,159,John Senden,39,26.47,68,18
158,159,148,Jimmy Walker,61,26.45,121,32
159,160,162,Cameron Davis,54,26.32,114,30
160,161,161,Jon Rahm,51,26.26,99,26
161,162,167,Brice Garnett,63,26.23,122,32
162,T163,168,Kyle Jones,49,26.09,92,24
163,T163,163,Kevin Na,54,26.09,92,24
164,165,173,Scott Brown,66,25.98,127,33
165,166,164,Jason Dufner,56,25.96,104,27
166,167,166,Jhonattan Vegas,60,25.93,135,35
167,168,T150,David Hearn,41,25.68,74,19
168,169,157,Joaquin Niemann,68,25.64,156,40
169,170,141,Jim Furyk,53,25.47,106,27
170,171,169,Kelly Kraft,67,25.38,130,33
171,172,184,Brady Schnell,38,25.37,67,17
172,T173,195,Joey Garber,44,25.35,71,18
173,T173,165,Tom Hoge,70,25.35,142,36
174,175,T174,Stephan Jaeger,59,25.29,87,22
175,176,170,Hideki Matsuyama,59,25.22,115,29
176,T177,194,Daniel Berger,48,25.0,112,28
177,T177,T150,John Chin,38,25.0,60,15
178,179,T180,Keegan Bradley,65,24.79,121,30
179,180,T174,Chris Kirk,47,24.69,81,20
180,181,176,Andrew Landry,56,24.66,146,36
181,182,171,Kramer Hickok,59,24.41,127,31
182,183,T180,Anirban Lahiri,54,24.32,111,27
183,184,178,Aaron Wise,52,24.27,103,25
184,185,186,Adam Long,52,24.14,116,28
185,186,177,Robert Streb,60,24.07,108,26
186,187,187,John Huh,35,24.05,79,19
187,188,190,Anders Albertson,48,24.0,100,24
188,189,199,J.B. Holmes,54,23.94,71,17
189,190,179,Harold Varner III,62,23.81,147,35
190,191,183,Brooks Koepka,49,23.75,80,19
191,192,188,Tyrrell Hatton,46,23.68,76,18
192,193,189,Joel Dahmen,78,23.6,161,38
193,194,T180,Tyler Duncan,66,23.58,123,29
194,195,191,Byeong Hun An,54,23.3,103,24
195,196,192,Charl Schwartzel,34,23.26,43,10
196,197,196,Adam Svensson,51,23.0,100,23
197,198,198,Brian Harman,67,22.95,122,28
198,199,197,Grayson Murray,36,22.5,80,18
199,200,193,Lucas Bjerregaard,37,22.22,63,14
200,201,202,Whee Kim,57,21.84,87,19
201,202,203,Sebastián Muñoz,58,21.82,110,24
202,203,200,Roberto Castro,54,21.05,114,24
203,204,201,Kyle Stanley,53,20.51,78,16
204,205,999,Shane Lowry,30,20.0,40,8
205,206,204,J.J. Henry,42,18.75,64,12
206,207,205,Emiliano Grillo,65,17.39,115,20
207,208,206,James Hahn,34,17.31,52,9
208,209,207,Rod Pampling,40,13.51,74,10
