,GIR_Putting_-_10-15_RANK THIS WEEK,GIR_Putting_-_10-15_RANK LAST WEEK,GIR_Putting_-_10-15_PLAYER NAME,GIR_Putting_-_10-15_ROUNDS,GIR_Putting_-_10-15_%,GIR_Putting_-_10-15_ATTEMPTS,GIR_Putting_-_10-15_PUTTS MADE
111,T108,T107,Pat Perez,52,28.57,42,12
112,113,134,Zach Johnson,50,28.38,74,21
113,114,T101,Kramer Hickok,59,28.24,85,24
114,115,114,Ryan Moore,54,28.21,78,22
115,116,115,Max Homa,61,28.13,96,27
116,117,117,Beau Hossler,66,28.04,107,30
117,118,119,Michael Thompson,56,27.93,111,31
118,119,T173,Rory McIlroy,50,27.91,86,24
119,T120,T148,Daniel Berger,48,27.85,79,22
120,T120,120,Kyoung-Hoon Lee,72,27.85,79,22
121,122,123,Gary Woodland,63,27.69,65,18
122,123,124,John Senden,39,27.66,47,13
123,124,125,Xander Schauffele,55,27.54,69,19
124,125,143,Sergio Garcia,39,27.45,51,14
125,126,116,Stephan Jaeger,59,27.42,62,17
126,127,T99,Tom Hoge,70,27.18,103,28
127,128,T107,Talor Gooch,37,27.08,48,13
128,129,129,Nick Watney,67,27.06,85,23
129,T130,T107,Cody Gribble,52,26.98,63,17
130,T130,T132,Marc Leishman,52,26.98,63,17
131,T130,T132,Patrick Reed,53,26.98,63,17
132,133,127,Josh Teater,47,26.79,56,15
133,134,T148,Adam Svensson,51,26.76,71,19
134,135,135,Stewart Cink,33,26.67,45,12
135,136,121,Aaron Wise,52,26.58,79,21
136,137,T105,Trey Mullinax,67,26.55,113,30
137,138,138,J.T. Poston,76,26.5,117,31
138,139,154,Keegan Bradley,65,26.44,87,23
139,140,139,Grayson Murray,36,26.42,53,14
140,141,118,Jim Knous,55,26.32,76,20
141,142,140,Kevin Streelman,63,26.26,99,26
142,143,141,Hunter Mahan,45,26.23,61,16
143,144,183,Seamus Power,58,26.15,65,17
144,145,T145,Brian Stuard,76,25.93,108,28
145,146,147,Branden Grace,62,25.86,58,15
146,147,130,Sam Saunders,53,25.84,89,23
147,148,T148,Cameron Smith,55,25.71,70,18
148,149,152,Joey Garber,44,25.64,39,10
149,150,128,Roberto Castro,54,25.61,82,21
150,151,137,J.J. Spaun,68,25.56,90,23
151,152,T145,Alex Prugh,54,25.42,59,15
152,153,153,Jon Rahm,51,25.35,71,18
153,154,T162,Austin Cook,50,25.33,75,19
154,155,170,Roger Sloan,62,25.3,83,21
155,156,T162,Danny Lee,66,25.23,107,27
156,157,T155,Matt Wallace,31,25.0,36,9
157,158,157,Joel Dahmen,78,24.79,117,29
158,159,136,Tyler Duncan,66,24.72,89,22
159,160,158,Jason Dufner,56,24.66,73,18
160,161,161,Tyrrell Hatton,46,24.44,45,11
161,162,185,Scott Brown,66,24.39,82,20
162,163,159,Robert Streb,60,24.29,70,17
163,T164,T162,Charl Schwartzel,34,24.24,33,8
164,T164,999,Tyrone Van Aswegen,30,24.24,33,8
165,166,165,Michael Kim,51,24.19,62,15
166,167,T155,Joaquin Niemann,68,24.14,116,28
167,168,167,Lucas Glover,62,24.11,112,27
168,T169,T173,Cameron Davis,54,24.1,83,20
169,T169,171,Brian Harman,67,24.1,83,20
170,171,168,C.T. Pan,64,24.0,75,18
171,172,160,Nate Lashley,44,23.81,63,15
172,173,144,Jim Furyk,53,23.75,80,19
173,174,169,Brendan Steele,50,23.73,59,14
174,175,172,Chesson Hadley,58,23.6,89,21
175,176,166,Bubba Watson,47,23.44,64,15
176,177,192,Whee Kim,57,23.33,60,14
177,T178,T175,Andrew Landry,56,23.08,104,24
178,T178,T175,Hideki Matsuyama,59,23.08,91,21
179,180,177,Kevin Na,54,22.54,71,16
180,T181,178,Tommy Fleetwood,43,22.45,49,11
181,T181,194,Kyle Jones,49,22.45,49,11
182,183,T179,Chris Kirk,47,22.22,54,12
183,184,T179,Bill Haas,58,22.08,77,17
184,185,184,John Huh,35,22.0,50,11
185,186,189,Kelly Kraft,67,21.69,83,18
186,187,186,Jhonattan Vegas,60,21.65,97,21
187,188,182,Henrik Stenson,46,21.52,79,17
188,T189,T148,John Chin,38,21.43,42,9
189,T189,T187,Haotong Li,32,21.43,42,9
190,191,T187,David Hearn,41,21.28,47,10
191,192,T179,Jimmy Walker,61,21.25,80,17
192,193,191,Anirban Lahiri,54,20.97,62,13
193,194,195,J.B. Holmes,54,20.83,48,10
194,T195,197,Brady Schnell,38,20.0,40,8
195,T195,193,Harold Varner III,62,20.0,100,20
196,197,202,Wes Roach,45,19.61,51,10
197,198,196,James Hahn,34,19.51,41,8
198,199,190,Brooks Koepka,49,19.3,57,11
199,200,198,Adam Long,52,19.28,83,16
200,T201,203,Anders Albertson,48,19.12,68,13
201,T201,199,Byeong Hun An,54,19.12,68,13
202,203,200,Emiliano Grillo,65,19.05,84,16
203,204,204,Sebastián Muñoz,58,18.99,79,15
204,205,201,Kyle Stanley,53,18.87,53,10
205,206,999,Shane Lowry,30,17.86,28,5
206,207,206,J.J. Henry,42,15.91,44,7
207,208,205,Lucas Bjerregaard,37,15.38,39,6
208,209,207,Rod Pampling,40,9.09,44,4
