,2-Putts_per_Round_RANK THIS WEEK,2-Putts_per_Round_RANK LAST WEEK,2-Putts_per_Round_PLAYER NAME,2-Putts_per_Round_ROUNDS,2-Putts_per_Round_AVG,2-Putts_per_Round_TOTAL 2 PUTTS,2-Putts_per_Round_TOTAL ROUNDS
94,T92,T114,Trey Mullinax,67,10.17,641,63
95,T96,T82,Jonas Blixt,66,10.16,650,64
96,T96,T74,Roberto Castro,54,10.16,508,50
97,T96,T98,Keith Mitchell,64,10.16,620,61
98,T96,T107,Adam Svensson,51,10.16,498,49
99,T100,T102,Ryan Moore,54,10.15,548,54
100,T100,T98,Shawn Stefani,57,10.15,538,53
101,T102,T95,Ryan Armour,66,10.14,669,66
102,T102,T68,Harris English,72,10.14,710,70
103,T102,T102,Nate Lashley,44,10.14,426,42
104,T105,T98,Daniel Berger,48,10.13,486,48
105,T105,T86,Joey Garber,44,10.13,405,40
106,T105,T107,Martin Kaymer,38,10.13,385,38
107,T108,T110,Byeong Hun An,54,10.12,516,51
108,T108,T102,Brian Harman,67,10.12,658,65
109,T108,T88,Brooks Koepka,49,10.12,425,42
110,T108,T110,Luke List,52,10.12,496,49
111,T108,T120,Scott Stallings,63,10.12,597,59
112,113,T117,Richy Werenski,63,10.11,617,61
113,114,T114,Matthew Fitzpatrick,42,10.1,394,39
114,115,T102,Dustin Johnson,47,10.09,444,44
115,T116,119,Brady Schnell,38,10.08,383,38
116,T116,T124,Ollie Schniederjans,63,10.08,615,61
117,T116,T71,Bubba Watson,47,10.08,403,40
118,T116,T117,Tiger Woods,31,10.08,262,26
119,120,T124,Scott Piercy,70,10.06,664,66
120,T121,116,David Hearn,41,10.05,372,37
121,T121,T120,Phil Mickelson,41,10.05,382,38
122,T123,T127,Austin Cook,50,10.04,462,46
123,T123,T122,Sam Saunders,53,10.04,532,53
124,125,999,Tyrone Van Aswegen,30,10.03,301,30
125,T126,T136,Cameron Davis,54,10.02,521,52
126,T126,T127,Chez Reavie,67,10.02,601,60
127,T128,T150,Talor Gooch,37,10.0,370,37
128,T128,T122,Whee Kim,57,10.0,530,53
129,T128,T131,Satoshi Kodaira,51,10.0,480,48
130,T128,T131,C.T. Pan,64,10.0,620,62
131,T128,T131,D.A. Points,33,10.0,330,33
132,T128,T131,Xander Schauffele,55,10.0,520,52
133,T134,T131,Matt Every,38,9.97,339,34
134,T134,138,Freddie Jacobson,37,9.97,349,35
135,T134,T136,Nick Taylor,70,9.97,658,66
136,T137,139,Rickie Fowler,54,9.96,538,54
137,T137,T127,Ryan Palmer,56,9.96,518,52
138,T137,T142,Chris Stroud,54,9.96,498,50
139,T140,T124,Ben Crane,41,9.95,408,41
140,T140,T140,Matt Jones,67,9.95,627,63
141,T140,T140,Patton Kizzire,58,9.95,557,56
142,T140,T157,Kelly Kraft,67,9.95,627,63
143,T140,T146,Jimmy Walker,61,9.95,607,61
144,T145,T142,Sam Burns,66,9.94,636,64
145,T145,T142,Patrick Reed,53,9.94,477,48
146,T145,T142,Charl Schwartzel,34,9.94,318,32
147,T145,T146,Peter Uihlein,65,9.94,626,63
148,149,155,Justin Thomas,49,9.93,457,46
149,T150,T148,Beau Hossler,66,9.92,655,66
150,T150,T148,Adam Scott,41,9.92,387,39
151,T150,T127,Cameron Tringale,52,9.92,476,48
152,T153,T150,Abraham Ancer,69,9.91,634,64
153,T153,156,Roberto Díaz,51,9.91,466,47
154,T153,T150,Sung Kang,67,9.91,644,65
155,T153,T150,Kevin Kisner,65,9.91,535,54
156,157,166,Mackenzie Hughes,58,9.89,534,54
157,158,T159,Scott Langley,60,9.88,573,58
158,159,T157,Sungjae Im,88,9.86,828,84
159,T160,170,Julián Etulain,55,9.84,502,51
160,T160,165,Brandon Harkins,67,9.84,620,63
161,T160,T162,Stephan Jaeger,59,9.84,541,55
162,T160,T150,Graeme McDowell,61,9.84,561,57
163,T160,T162,Pat Perez,52,9.84,492,50
164,T160,T159,Webb Simpson,53,9.84,492,50
165,166,164,Seamus Power,58,9.81,530,54
166,167,999,Shane Lowry,30,9.8,245,25
167,T168,T167,Justin Harding,31,9.79,235,24
168,T168,T167,Hideki Matsuyama,59,9.79,548,56
169,T170,169,Ryan Blaum,67,9.78,616,63
170,T170,T159,Zach Johnson,50,9.78,489,50
171,T172,T172,Brian Gay,79,9.75,731,75
172,T172,T184,Denny McCarthy,63,9.75,575,59
173,T174,171,Sangmoon Bae,42,9.73,389,40
174,T174,T172,Jason Day,45,9.73,389,40
175,T174,T172,Andrew Putnam,57,9.73,506,52
176,T174,T180,Roger Sloan,62,9.73,603,62
177,T178,T177,Francesco Molinari,41,9.71,330,34
178,T178,T180,Brandt Snedeker,68,9.71,631,65
179,T178,T177,Matt Wallace,31,9.71,272,28
180,T181,176,Wyndham Clark,61,9.69,572,59
181,T181,T180,J.T. Poston,76,9.69,698,72
182,T181,T180,Sam Ryder,52,9.69,504,52
183,T184,T184,Cameron Smith,55,9.68,484,50
184,T184,T184,Brian Stuard,76,9.68,697,72
185,186,T187,Michael Thompson,56,9.66,541,56
186,T187,191,Patrick Cantlay,49,9.64,424,44
187,T187,T172,Danny Lee,66,9.64,617,64
188,T189,T187,José de Jesús Rodríguez,51,9.63,491,51
189,T189,192,Rory Sabbatini,71,9.63,645,67
190,T189,193,Martin Trainer,51,9.63,491,51
191,192,T187,Dominic Bozzelli,53,9.59,489,51
192,T193,T194,Anirban Lahiri,54,9.58,479,50
193,T193,T194,Marc Leishman,52,9.58,460,48
194,T195,196,Rafa Cabrera Bello,57,9.57,517,54
195,T195,T198,Peter Malnati,64,9.57,574,60
196,T197,197,Bud Cauley,61,9.56,583,61
197,T197,T187,Adam Hadwin,66,9.56,593,62
198,199,T198,Vaughn Taylor,69,9.52,638,67
199,200,179,Jonathan Byrd,43,9.51,390,41
200,201,200,Curtis Luck,51,9.45,444,47
201,202,201,Haotong Li,32,9.43,264,28
202,203,202,Kiradech Aphibarnrat,49,9.41,433,46
203,204,203,Bryson DeChambeau,45,9.38,394,42
204,205,999,Martin Piller,30,9.33,280,30
205,206,204,Justin Rose,42,9.32,354,38
206,207,205,Aaron Baddeley,51,9.29,474,51
207,208,206,Si Woo Kim,65,9.25,555,60
208,209,207,Jordan Spieth,57,9.17,495,54
