,Putting_from_-_20-25_RANK THIS WEEK,Putting_from_-_20-25_RANK LAST WEEK,Putting_from_-_20-25_PLAYER NAME,Putting_from_-_20-25_ROUNDS,Putting_from_-_20-25_% MADE,Putting_from_-_20-25_ATTEMPTS,Putting_from_-_20-25_PUTTS MADE
147,T147,T136,Matt Every,38,10.0,40,4.0
148,T147,117,Jim Furyk,53,10.0,70,7.0
149,T147,T143,Tom Hoge,70,10.0,70,7.0
150,T147,T146,John Senden,39,10.0,40,4.0
151,T147,T130,Henrik Stenson,46,10.0,40,4.0
152,T147,T138,Adam Svensson,51,10.0,50,5.0
153,154,T120,Roger Sloan,62,9.86,71,7.0
154,T155,116,Cody Gribble,52,9.8,51,5.0
155,T155,T141,Kyle Jones,49,9.8,51,5.0
156,157,148,Tyrrell Hatton,46,9.76,41,4.0
157,T158,T152,Michael Kim,51,9.62,52,5.0
158,T158,T152,Ian Poulter,49,9.62,52,5.0
159,160,T154,Haotong Li,32,9.52,21,2.0
160,161,166,Ryan Palmer,56,9.26,54,5.0
161,162,T150,Bill Haas,58,9.23,65,6.0
162,T163,T156,Nate Lashley,44,9.09,44,4.0
163,T163,T158,D.A. Points,33,9.09,22,2.0
164,165,T146,Stephan Jaeger,59,8.96,67,6.0
165,166,163,Richy Werenski,63,8.75,80,7.0
166,167,T158,Matt Kuchar,65,8.7,69,6.0
167,168,T158,Joaquin Niemann,68,8.64,81,7.0
168,169,165,Carlos Ortiz,60,8.45,71,6.0
169,170,T158,Jim Knous,55,8.33,60,5.0
170,171,164,Scott Langley,60,8.22,73,6.0
171,172,180,Bubba Watson,47,8.06,62,5.0
172,T173,T168,Kyoung-Hoon Lee,72,8.0,75,6.0
173,T173,T168,Matt Wallace,31,8.0,25,2.0
174,175,171,Ryan Blaum,67,7.87,89,7.0
175,176,173,Russell Knox,65,7.81,64,5.0
176,177,T181,Danny Willett,47,7.58,66,5.0
177,T178,175,Byeong Hun An,54,7.55,53,4.0
178,T178,187,Roberto Díaz,51,7.55,53,4.0
179,180,167,Hudson Swafford,59,7.41,54,4.0
180,181,177,Ernie Els,43,7.32,41,3.0
181,182,178,Martin Trainer,51,7.27,55,4.0
182,T183,T181,Andrew Landry,56,6.78,59,4.0
183,T183,179,Alex Prugh,54,6.78,59,4.0
184,T185,T183,Satoshi Kodaira,51,6.67,45,3.0
185,T185,190,Seamus Power,58,6.67,75,5.0
186,T185,T183,Adam Scott,41,6.67,30,2.0
187,T188,176,Ben Crane,41,6.45,31,2.0
188,T188,186,Francesco Molinari,41,6.45,31,2.0
189,190,T183,Fabián Gómez,44,6.12,49,3.0
190,191,T188,Wyndham Clark,61,5.88,68,4.0
191,192,T188,Jonathan Byrd,43,5.41,37,2.0
192,T193,T193,Marc Leishman,52,5.26,57,3.0
193,T193,191,Scott Stallings,63,5.26,76,4.0
194,195,192,Jimmy Walker,61,4.84,62,3.0
195,196,T193,Alex Cejka,41,4.65,43,2.0
196,197,198,Sam Saunders,53,4.55,66,3.0
197,198,195,J.B. Holmes,54,4.08,49,2.0
198,199,196,Louis Oosthuizen,43,3.57,28,1.0
199,200,204,Russell Henley,56,3.51,57,2.0
200,201,203,Keegan Bradley,65,3.45,58,2.0
201,202,T205,D.J. Trahan,33,2.86,35,1.0
202,T203,200,Trey Mullinax,67,2.7,74,2.0
203,T203,999,Tyrone Van Aswegen,30,2.7,37,1.0
204,205,199,J.J. Henry,42,2.63,38,1.0
205,206,201,Justin Thomas,49,2.38,42,1.0
206,207,T205,Josh Teater,47,2.08,48,1.0
207,208,202,José de Jesús Rodríguez,51,2.0,50,1.0
208,209,T205,Rod Pampling,40,0.0,41,
