,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
92,T86,T87,Jhonattan Vegas,60,"9' 8""",1626.9170000000001,169,,"3"""
93,T86,T87,Chase Wright,53,"9' 8""",1271.167,131,,"4"""
94,T95,T96,Abraham Ancer,69,"9' 7""",1702.6670000000001,178,,"6"""
95,T95,T96,Sam Burns,66,"9' 7""",1724.6670000000001,180,,"2"""
96,T95,T105,Dylan Frittelli,55,"9' 7""",1337.5,139,,"6"""
97,T95,T87,Kramer Hickok,59,"9' 7""",1221.583,127,,"1"""
98,T95,T120,Sungjae Im,88,"9' 7""",2454.583,256,,"2"""
99,T95,T74,Stephan Jaeger,59,"9' 7""",1217.167,127,,"6"""
100,T95,T96,Sung Kang,67,"9' 7""",1798.3329999999999,188,,"3"""
101,T95,T96,Michael Kim,51,"9' 7""",960.25,100,,"3"""
102,T95,T87,Peter Malnati,64,"9' 7""",1836.3329999999999,192,,"2"""
103,T95,T96,Phil Mickelson,41,"9' 7""",1028.917,107,,"5"""
104,T95,T105,Joaquin Niemann,68,"9' 7""",1450.75,152,,"2"""
105,T95,T82,Brady Schnell,38,"9' 7""",745.4169999999999,78,,"6"""
106,T95,T125,Brandt Snedeker,68,"9' 7""",1662.5829999999999,173,,"2"""
107,T108,T105,Kiradech Aphibarnrat,49,"9' 6""",1115.0,117,,1
108,T108,T105,Bryson DeChambeau,45,"9' 6""",1550.3329999999999,163,,"9"""
109,T108,T87,Wes Roach,45,"9' 6""",837.3330000000001,88,,"2"""
110,T108,T56,Chris Thompson,34,"9' 6""",597.0,63,,"9"""
111,T108,T120,Kevin Tway,62,"9' 6""",1391.75,147,,"5"""
112,T108,999,Tyrone Van Aswegen,30,"9' 6""",389.417,41,,"9"""
113,T108,T125,Danny Willett,47,"9' 6""",1198.5,126,,"2"""
114,T115,T111,Dominic Bozzelli,53,"9' 5""",1140.75,121,,"4"""
115,T115,T87,Fabián Gómez,44,"9' 5""",860.1669999999999,91,,"7"""
116,T115,T111,Russell Knox,65,"9' 5""",1546.75,164,,"3"""
117,T115,T111,Adam Long,52,"9' 5""",1122.5,119,,"5"""
118,T115,T111,Francesco Molinari,41,"9' 5""",766.0,81,,"2"""
119,T115,T111,Ryan Moore,54,"9' 5""",1512.0,160,,"2"""
120,T115,T96,Alex Noren,49,"9' 5""",929.5830000000001,99,,"4"""
121,T115,T125,Hudson Swafford,59,"9' 5""",1524.25,162,,"3"""
122,T115,T111,Matt Wallace,31,"9' 5""",676.6669999999999,72,,"5"""
123,T124,T111,Cameron Davis,54,"9' 4""",1264.25,135,,"2"""
124,T124,T105,Harris English,72,"9' 4""",1686.5829999999999,181,,"3"""
125,T124,T140,David Hearn,41,"9' 4""",632.1669999999999,68,,"9"""
126,T124,T120,Justin Rose,42,"9' 4""",1039.583,111,,"7"""
127,T128,T125,Anders Albertson,48,"9' 3""",1052.917,114,,"2"""
128,T128,T125,Ryan Blaum,67,"9' 3""",1631.3329999999999,177,,"3"""
129,T128,T125,Matthew Fitzpatrick,42,"9' 3""",841.8330000000001,91,,"4"""
130,T128,T125,Satoshi Kodaira,51,"9' 3""",1007.8330000000001,109,,"6"""
131,T128,T146,Sebastián Muñoz,58,"9' 3""",1346.5,145,,"5"""
132,T128,T125,Ian Poulter,49,"9' 3""",1102.0,119,,"6"""
133,T128,T96,Roger Sloan,62,"9' 3""",1503.1670000000001,162,,"1"""
134,T135,T140,Tyler Duncan,66,"9' 2""",1186.667,130,,"2"""
135,T135,T120,Cody Gribble,52,"9' 2""",1170.667,128,,"1"""
136,T135,T125,Zach Johnson,50,"9' 2""",1111.0,121,,"4"""
137,T135,T125,Ryan Palmer,56,"9' 2""",1389.0,151,,"2"""
138,T135,T170,Ollie Schniederjans,63,"9' 2""",1521.3329999999999,166,,"5"""
139,T135,T137,Kyle Stanley,53,"9' 2""",833.6669999999999,91,,"8"""
140,T135,T120,Jimmy Walker,61,"9' 2""",1236.0,135,,"4"""
141,T142,T125,Corey Conners,62,"9' 1""",1465.8329999999999,161,,"1"""
142,T142,T125,Jim Furyk,53,"9' 1""",1221.833,135,,"3"""
143,T142,T111,Brian Harman,67,"9' 1""",1299.833,143,,"3"""
144,T142,T158,Russell Henley,56,"9' 1""",1216.167,134,,"2"""
145,T142,T137,Tom Hoge,70,"9' 1""",1374.5829999999999,151,,"4"""
146,T142,T140,Max Homa,61,"9' 1""",1349.1670000000001,148,,"6"""
147,T142,T140,Martin Kaymer,38,"9' 1""",1040.0,114,,"3"""
148,T142,T146,Martin Laird,60,"9' 1""",1554.5,171,,"5"""
149,T142,T140,Webb Simpson,53,"9' 1""",1522.0829999999999,167,,"5"""
150,T151,T137,Jim Herman,37,"9' 0""",729.8330000000001,81,,"3"""
151,T151,T170,Henrik Stenson,46,"9' 0""",976.0,108,,"4"""
152,T153,T158,Jonathan Byrd,43,"8' 11""",787.9169999999999,88,,"7"""
153,T153,T146,Branden Grace,62,"8' 11""",991.3330000000001,111,,"4"""
154,T153,T146,James Hahn,34,"8' 11""",408.917,46,,2
155,T153,T146,Jason Kokrak,68,"8' 11""",1838.25,207,,"8"""
156,T153,T146,Andrew Landry,56,"8' 11""",1224.917,137,,"2"""
157,T153,T146,Trey Mullinax,67,"8' 11""",1653.25,186,,"5"""
158,T153,T146,Adam Scott,41,"8' 11""",921.0830000000001,103,,"5"""
159,T153,T146,Brendan Steele,50,"8' 11""",1035.167,116,,"4"""
160,T153,T146,Kevin Streelman,63,"8' 11""",1656.9170000000001,185,,"4"""
161,T162,T140,Daniel Berger,48,"8' 10""",1192.25,135,,"3"""
162,T162,T158,Rafa Cabrera Bello,57,"8' 10""",1100.417,125,,"8"""
163,T162,T158,Jason Day,45,"8' 10""",902.8330000000001,102,,"3"""
164,T162,T158,Tommy Fleetwood,43,"8' 10""",678.4169999999999,77,,"2"""
165,T162,T158,Emiliano Grillo,65,"8' 10""",1220.833,138,,"2"""
166,T162,T146,Adam Hadwin,66,"8' 10""",1422.1670000000001,161,,"1"""
167,T162,T111,Rod Pampling,40,"8' 10""",549.25,62,,1
168,T162,T177,Josh Teater,47,"8' 10""",811.1669999999999,92,,"9"""
169,T170,T166,Julián Etulain,55,"8' 9""",1012.5,116,,"3"""
170,T170,T158,Matt Every,38,"8' 9""",895.4169999999999,102,,"3"""
171,T170,T187,José de Jesús Rodríguez,51,"8' 9""",1089.333,125,,"3"""
172,T173,T170,Patrick Cantlay,49,"8' 8""",1206.833,139,,"3"""
173,T173,T170,Paul Casey,51,"8' 8""",983.0830000000001,113,,"4"""
174,T173,T166,Wyndham Clark,61,"8' 8""",1579.0829999999999,182,,"6"""
175,T173,T170,Si Woo Kim,65,"8' 8""",1345.0,155,,"7"""
176,T173,T166,Matt Kuchar,65,"8' 8""",1683.5,194,,"4"""
177,T173,T185,Seamus Power,58,"8' 8""",1114.667,129,,"3"""
178,T173,T170,Patrick Reed,53,"8' 8""",1110.333,128,,"2"""
179,T173,T166,Scott Stallings,63,"8' 8""",1510.25,174,,"7"""
180,T173,T158,Robert Streb,60,"8' 8""",1110.5,128,,"8"""
181,T173,T170,Nick Watney,67,"8' 8""",1506.4170000000001,174,,"2"""
182,183,T177,Bud Cauley,61,"8' 7""",1659.25,194,,"2"""
183,T184,T177,Chris Kirk,47,"8' 6""",950.25,112,,"5"""
184,T184,T177,Luke List,52,"8' 6""",1364.25,160,,"3"""
185,T184,T177,Alex Prugh,54,"8' 6""",943.4169999999999,111,,"2"""
186,T184,T177,Gary Woodland,63,"8' 6""",1518.25,179,,"3"""
187,T188,T187,Keegan Bradley,65,"8' 5""",1260.25,150,,"2"""
188,T188,T191,Bill Haas,58,"8' 5""",1125.25,134,,"2"""
189,T188,T191,Rory McIlroy,50,"8' 5""",1383.1670000000001,164,,"4"""
190,T188,T185,Louis Oosthuizen,43,"8' 5""",588.0830000000001,70,,"4"""
191,T188,T177,Aaron Wise,52,"8' 5""",1241.417,148,,"4"""
192,T193,T187,Tony Finau,61,"8' 4""",1175.0,141,,"3"""
193,T193,T187,Hideki Matsuyama,59,"8' 4""",1468.9170000000001,176,,"2"""
194,195,T191,Marc Leishman,52,"8' 3""",1087.5,132,,"4"""
195,196,T191,Brandon Harkins,67,"8' 2""",1557.5829999999999,190,,"2"""
196,T197,T196,Sergio Garcia,39,"8' 1""",866.0,107,,"9"""
197,T197,T196,Keith Mitchell,64,"8' 1""",1199.5,149,,"4"""
198,T197,T196,Jon Rahm,51,"8' 1""",1088.0,135,,"6"""
199,T200,199,Sam Saunders,53,"8' 0""",1114.833,139,,"3"""
200,T200,195,Justin Thomas,49,"8' 0""",1293.833,162,,"2"""
201,202,T200,Troy Merritt,42,"7' 11""",1018.3330000000001,129,,"7"""
202,T203,202,Brooks Koepka,49,"7' 10""",988.0,126,,"5"""
203,T203,T200,Martin Trainer,51,"7' 10""",976.1669999999999,124,,"2"""
204,205,203,Byeong Hun An,54,"7' 8""",1122.333,146,,"3"""
205,T206,206,Seth Reeves,52,"7' 7""",903.75,119,,"1"""
206,T206,204,Bubba Watson,47,"7' 7""",978.25,129,,"3"""
207,T208,205,J.B. Holmes,54,"7' 2""",657.5830000000001,92,,"2"""
208,T208,207,Grayson Murray,36,"7' 2""",621.75,87,,"3"""
