,Putting_from_3-5_RANK THIS WEEK,Putting_from_3-5_RANK LAST WEEK,Putting_from_3-5_PLAYER NAME,Putting_from_3-5_ROUNDS,Putting_from_3-5_% MADE,Putting_from_3-5_ATTEMPTS,Putting_from_3-5_PUTTS MADE
43,T44,28,Robert Streb,60,89.47,133,119
44,T44,48,Tiger Woods,31,89.47,95,85
45,46,43,J.J. Henry,42,89.36,94,84
46,47,49,Kevin Kisner,65,89.35,169,151
47,48,50,Hunter Mahan,45,89.25,93,83
48,49,52,Pat Perez,52,89.11,101,90
49,50,51,Adam Schenk,80,89.1,211,188
50,51,53,Tyrrell Hatton,46,89.09,110,98
51,52,35,Ryan Palmer,56,89.08,119,106
52,53,54,Kiradech Aphibarnrat,49,89.06,128,114
53,54,55,Ryan Blaum,67,89.02,164,146
54,55,56,Troy Merritt,42,88.98,127,113
55,56,57,Andrew Landry,56,88.97,136,121
56,T57,T59,Ernie Els,43,88.89,72,64
57,T57,T59,Justin Harding,31,88.89,36,32
58,T57,T59,Charl Schwartzel,34,88.89,54,48
59,60,62,Ryan Moore,54,88.8,125,111
60,61,38,Adam Svensson,51,88.79,107,95
61,62,94,Brooks Koepka,49,88.7,115,102
62,63,T79,Matt Every,38,88.64,88,78
63,64,64,Tony Finau,61,88.62,123,109
64,T65,65,Scott Piercy,70,88.61,158,140
65,T65,58,Brandt Snedeker,68,88.61,158,140
66,67,72,Jim Knous,55,88.57,140,124
67,68,66,Michael Kim,51,88.52,122,108
68,69,67,Matt Wallace,31,88.51,87,77
69,70,71,Nick Taylor,70,88.44,199,176
70,71,63,Jonas Blixt,66,88.41,164,145
71,72,999,Shane Lowry,30,88.33,60,53
72,73,77,Russell Henley,56,88.28,145,128
73,74,73,Billy Horschel,73,88.27,162,143
74,75,84,Jim Furyk,53,88.24,136,120
75,76,74,Francesco Molinari,41,88.17,93,82
76,77,68,Alex Cejka,41,88.12,101,89
77,78,75,Chez Reavie,67,88.11,143,126
78,79,76,Charley Hoffman,58,88.1,84,74
79,80,69,Martin Trainer,51,88.03,142,125
80,81,T79,Abraham Ancer,69,87.95,166,146
81,82,81,Chesson Hadley,58,87.88,132,116
82,83,82,Adam Long,52,87.84,148,130
83,84,78,Curtis Luck,51,87.83,115,101
84,85,83,Rory Sabbatini,71,87.82,197,173
85,86,T86,Freddie Jacobson,37,87.78,90,79
86,87,70,Josh Teater,47,87.76,98,86
87,88,T120,Henrik Stenson,46,87.72,114,100
88,89,88,Keith Mitchell,64,87.68,138,121
89,90,T89,Chris Thompson,34,87.67,73,64
90,91,93,Nick Watney,67,87.66,154,135
91,92,100,Wes Roach,45,87.63,97,85
92,93,T98,Mackenzie Hughes,58,87.58,161,141
93,T94,85,Corey Conners,62,87.5,136,119
94,T94,T89,Ian Poulter,49,87.5,104,91
95,96,113,Austin Cook,50,87.29,118,103
96,97,95,Patrick Rodgers,44,87.27,110,96
97,98,T86,Sergio Garcia,39,87.23,94,82
98,99,111,John Chin,38,87.21,86,75
99,100,97,"Ted Potter, Jr.",56,87.2,164,143
100,T101,114,Matt Kuchar,65,87.07,147,128
101,T101,118,Rory McIlroy,50,87.07,116,101
102,103,101,Matt Jones,67,87.05,139,121
103,104,103,Lucas Glover,62,86.96,184,160
104,105,104,Joel Dahmen,78,86.93,199,173
105,106,105,Jason Day,45,86.9,84,73
106,107,T89,Ryan Armour,66,86.88,160,139
107,108,107,Hudson Swafford,59,86.86,137,119
108,109,108,Martin Kaymer,38,86.71,143,124
109,110,T109,Gary Woodland,63,86.67,150,130
110,111,142,Jimmy Walker,61,86.63,187,162
111,112,T115,Bud Cauley,61,86.49,185,160
112,113,128,Sungjae Im,88,86.43,221,191
113,114,112,Bronson Burgoon,37,86.41,103,89
114,115,T109,Chris Stroud,54,86.4,125,108
115,116,102,Talor Gooch,37,86.36,88,76
116,117,T115,Aaron Baddeley,51,86.26,131,113
117,T118,T89,Lucas Bjerregaard,37,86.25,80,69
118,T118,T98,Martin Laird,60,86.25,160,138
119,T118,106,Nate Lashley,44,86.25,80,69
120,T118,117,Michael Thompson,56,86.25,160,138
121,122,119,Marc Leishman,52,86.23,138,119
122,123,T123,Anirban Lahiri,54,86.01,143,123
123,124,125,Paul Casey,51,86.0,100,86
124,125,126,D.A. Points,33,85.96,57,49
125,126,T131,Dylan Frittelli,55,85.94,128,110
126,T127,T123,Bill Haas,58,85.71,147,126
127,T127,T131,Sung Kang,67,85.71,182,156
128,T127,999,Martin Piller,30,85.71,49,42
129,130,130,Seamus Power,58,85.63,160,137
130,131,133,Jason Dufner,56,85.61,132,113
131,132,134,Cameron Champ,58,85.56,180,154
132,133,135,Haotong Li,32,85.51,69,59
133,134,T136,Si Woo Kim,65,85.5,131,112
134,135,127,J.J. Spaun,68,85.42,144,123
135,136,138,Kyoung-Hoon Lee,72,85.39,178,152
136,137,139,Louis Oosthuizen,43,85.37,82,70
137,138,122,Danny Willett,47,85.31,143,122
138,139,T148,Kelly Kraft,67,85.21,142,121
139,140,141,Fabián Gómez,44,85.11,94,80
140,141,143,Chris Kirk,47,85.05,107,91
141,T142,140,Ben Crane,41,85.0,80,68
142,T142,129,Brice Garnett,63,85.0,120,102
143,144,T136,Kramer Hickok,59,84.89,139,118
144,T145,172,Cameron Tringale,52,84.76,105,89
145,T145,96,Richy Werenski,63,84.76,164,139
146,147,T145,Roberto Díaz,51,84.75,118,100
147,148,T148,Aaron Wise,52,84.73,131,111
148,149,152,James Hahn,34,84.44,45,38
149,150,150,Brady Schnell,38,84.42,77,65
150,151,999,Tyrone Van Aswegen,30,84.38,64,54
151,152,T155,Jordan Spieth,57,84.33,134,113
152,153,157,Vaughn Taylor,69,84.32,185,156
153,154,147,David Hearn,41,84.27,89,75
154,155,162,Brandon Harkins,67,84.21,171,144
155,156,T155,Ben Silverman,54,84.17,139,117
156,157,159,Grayson Murray,36,84.09,88,74
157,158,179,Zach Johnson,50,84.07,113,95
158,T159,177,Roberto Castro,54,84.06,138,116
159,T159,T190,Stephan Jaeger,59,84.06,138,116
160,T161,161,Matthew Fitzpatrick,42,84.0,100,84
161,T161,178,Kevin Tway,62,84.0,150,126
162,T163,144,Alex Noren,49,83.93,112,94
163,T163,T120,Bubba Watson,47,83.93,112,94
164,T165,T164,Patton Kizzire,58,83.76,117,98
165,T165,T164,Satoshi Kodaira,51,83.76,117,98
166,T165,T164,Patrick Reed,53,83.76,117,98
167,168,T190,Jim Herman,37,83.72,86,72
168,169,167,Adam Scott,41,83.53,85,71
169,170,168,Kevin Streelman,63,83.52,176,147
170,171,169,Phil Mickelson,41,83.49,109,91
171,172,158,Alex Prugh,54,83.48,115,96
172,173,154,Tom Hoge,70,83.45,145,121
173,174,160,Dustin Johnson,47,83.33,108,90
174,175,186,Cameron Davis,54,83.21,137,114
175,176,T170,J.B. Holmes,54,83.19,113,94
176,177,173,Jason Kokrak,68,83.14,172,143
177,178,163,Shawn Stefani,57,83.05,118,98
178,T179,T174,Hideki Matsuyama,59,83.01,153,127
179,T179,T174,J.T. Poston,76,83.01,206,171
180,181,176,Kevin Na,54,83.0,100,83
181,182,T170,Cody Gribble,52,82.79,122,101
182,T183,T184,Trey Mullinax,67,82.68,179,148
183,T183,180,Xander Schauffele,55,82.68,127,105
184,185,181,Tommy Fleetwood,43,82.67,75,62
185,186,182,Scott Stallings,63,82.58,178,147
186,187,183,John Senden,39,82.5,80,66
187,188,153,Joey Garber,44,82.42,91,75
188,189,T184,Russell Knox,65,82.35,153,126
189,190,195,Whee Kim,57,82.29,96,79
190,T191,188,Luke List,52,82.19,146,120
191,T191,T193,Joaquin Niemann,68,82.19,146,120
192,193,189,Byeong Hun An,54,82.17,129,106
193,194,198,Johnson Wagner,45,82.02,89,73
194,195,187,Scott Brown,66,81.88,149,122
195,196,192,Jhonattan Vegas,60,81.76,148,121
196,197,151,Anders Albertson,48,81.51,119,97
197,198,T193,Rafa Cabrera Bello,57,81.34,134,109
198,199,T145,Peter Uihlein,65,81.1,127,103
199,200,199,Keegan Bradley,65,80.95,147,119
200,201,206,D.J. Trahan,33,80.85,47,38
201,202,T200,Jonathan Byrd,43,80.73,109,88
202,203,197,Emiliano Grillo,65,80.54,149,120
203,204,204,Tyler Duncan,66,80.3,132,106
204,205,T200,Sepp Straka,48,80.21,96,77
205,206,203,Sangmoon Bae,42,80.0,95,76
206,207,202,Hank Lebioda,55,79.56,137,109
207,208,205,Rod Pampling,40,79.49,78,62
208,209,207,Branden Grace,62,73.91,115,85
