,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
197,198,197,Kiradech Aphibarnrat,49,2.54,118,3
198,199,198,Troy Merritt,42,2.5,120,3
199,200,199,Nick Watney,67,2.38,210,5
200,201,200,Martin Trainer,51,2.34,128,3
201,202,T191,Josh Teater,47,2.33,129,3
202,203,201,Jim Furyk,53,2.15,186,4
203,204,196,Rod Pampling,40,2.11,95,2
204,205,202,Tyler Duncan,66,2.09,191,4
205,206,204,Grayson Murray,36,1.98,101,2
206,207,206,Jonathan Byrd,43,1.9,105,2
207,208,207,Seth Reeves,52,1.39,144,2
208,209,205,James Hahn,34,1.22,82,1
