,3-Putts_per_Round_RANK THIS WEEK,3-Putts_per_Round_RANK LAST WEEK,3-Putts_per_Round_PLAYER NAME,3-Putts_per_Round_ROUNDS,3-Putts_per_Round_AVG,3-Putts_per_Round_TOTAL 3 PUTTS,3-Putts_per_Round_TOTAL ROUNDS
190,T191,T188,Patrick Cantlay,49,0.36,16,44
191,T191,T188,Vaughn Taylor,69,0.36,24,67
192,T193,T188,Harris English,72,0.34,24,70
193,T193,T191,Tony Finau,61,0.34,19,56
194,T193,T206,Dustin Johnson,47,0.34,15,44
195,T193,T191,Justin Rose,42,0.34,13,38
196,T197,T196,Aaron Baddeley,51,0.33,17,51
197,T197,T198,Daniel Berger,48,0.33,16,48
198,T197,T191,Dominic Bozzelli,53,0.33,17,51
199,T197,T198,Sergio Garcia,39,0.33,10,30
200,T197,T196,Tyrrell Hatton,46,0.33,14,42
201,202,T191,Peter Malnati,64,0.32,19,60
202,T203,T202,Scott Langley,60,0.31,18,58
203,T203,T200,Charl Schwartzel,34,0.31,10,32
204,T205,T202,Jonas Blixt,66,0.3,19,64
205,T205,T202,Sam Burns,66,0.3,19,64
206,T205,T200,Hudson Swafford,59,0.3,17,57
207,208,T206,Ollie Schniederjans,63,0.28,17,61
208,209,205,Wyndham Clark,61,0.25,15,59
