,Total_1_Putts_-_20-25_RANK THIS WEEK,Total_1_Putts_-_20-25_RANK LAST WEEK,Total_1_Putts_-_20-25_PLAYER NAME,Total_1_Putts_-_20-25_ROUNDS,Total_1_Putts_-_20-25_TOTAL,Total_1_Putts_-_20-25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_20-25_PCT OF ALL 1-PUTTS
82,T59,T53,Jhonattan Vegas,60,8,309,2.6
83,T59,T53,Chase Wright,53,8,276,2.9
84,T85,T78,Ryan Armour,66,7,358,2.0
85,T85,T106,Sangmoon Bae,42,7,178,3.9
86,T85,T78,Ryan Blaum,67,7,384,1.8
87,T85,T78,Scott Brown,66,7,333,2.1
88,T85,T78,Patrick Cantlay,49,7,253,2.8
89,T85,T78,Paul Casey,51,7,210,3.3
90,T85,T78,Cameron Davis,54,7,267,2.6
91,T85,T78,Jason Dufner,56,7,248,2.8
92,T85,T106,Tyler Duncan,66,7,294,2.4
93,T85,T106,Jim Furyk,53,7,288,2.4
94,T85,T150,Talor Gooch,37,7,219,3.2
95,T85,T78,Branden Grace,62,7,251,2.8
96,T85,T78,Tom Hoge,70,7,335,2.1
97,T85,T106,Dustin Johnson,47,7,256,2.7
98,T85,T78,Chris Kirk,47,7,233,3.0
99,T85,T78,Keith Mitchell,64,7,286,2.4
100,T85,T78,Grayson Murray,36,7,171,4.1
101,T85,T78,Joaquin Niemann,68,7,351,2.0
102,T85,T78,C.T. Pan,64,7,302,2.3
103,T85,999,Martin Piller,30,7,129,5.4
104,T85,T78,Chez Reavie,67,7,291,2.4
105,T85,T78,Justin Rose,42,7,225,3.1
106,T85,T78,Xander Schauffele,55,7,246,2.8
107,T85,T78,Roger Sloan,62,7,354,2.0
108,T85,T150,Brandt Snedeker,68,7,379,1.8
109,T85,T78,Brendan Steele,50,7,236,3.0
110,T85,T78,Shawn Stefani,57,7,257,2.7
111,T85,T78,Robert Streb,60,7,292,2.4
112,T85,T78,Johnson Wagner,45,7,220,3.2
113,T85,T78,Richy Werenski,63,7,350,2.0
114,T85,T78,Tiger Woods,31,7,147,4.8
115,T116,T106,Kiradech Aphibarnrat,49,6,249,2.4
116,T116,T106,Julián Etulain,55,6,279,2.2
117,T116,T106,Matthew Fitzpatrick,42,6,197,3.0
118,T116,T106,Tommy Fleetwood,43,6,184,3.3
119,T116,T106,Rickie Fowler,54,6,330,1.8
120,T116,T133,Brice Garnett,63,6,252,2.4
121,T116,T106,Bill Haas,58,6,309,1.9
122,T116,T106,James Hahn,34,6,91,6.6
123,T116,T106,Justin Harding,31,6,86,7.0
124,T116,T106,Jim Herman,37,6,189,3.2
125,T116,T106,Mackenzie Hughes,58,6,316,1.9
126,T116,T106,Stephan Jaeger,59,6,296,2.0
127,T116,T106,Whee Kim,57,6,218,2.8
128,T116,T106,Si Woo Kim,65,6,322,1.9
129,T116,T150,Kelly Kraft,67,6,331,1.8
130,T116,T106,Matt Kuchar,65,6,342,1.8
131,T116,T106,Scott Langley,60,6,363,1.7
132,T116,T106,Kyoung-Hoon Lee,72,6,326,1.8
133,T116,T106,Hideki Matsuyama,59,6,314,1.9
134,T116,T106,Kevin Na,54,6,236,2.5
135,T116,T106,Carlos Ortiz,60,6,314,1.9
136,T116,T106,Kyle Stanley,53,6,199,3.0
137,T116,T106,Aaron Wise,52,6,241,2.5
138,T139,T150,Dominic Bozzelli,53,5,255,2.0
139,T139,T133,Bronson Burgoon,37,5,193,2.6
140,T139,T133,Rafa Cabrera Bello,57,5,275,1.8
141,T139,T133,Jason Day,45,5,184,2.7
142,T139,T150,Joey Garber,44,5,174,2.9
143,T139,T133,Sergio Garcia,39,5,209,2.4
144,T139,T133,Cody Gribble,52,5,277,1.8
145,T139,T133,David Hearn,41,5,167,3.0
146,T139,T133,Freddie Jacobson,37,5,181,2.8
147,T139,T133,Zach Johnson,50,5,311,1.6
148,T139,T133,Kyle Jones,49,5,237,2.1
149,T139,T133,Michael Kim,51,5,234,2.1
150,T139,T133,Jim Knous,55,5,247,2.0
151,T139,T133,Russell Knox,65,5,334,1.5
152,T139,T150,Brooks Koepka,49,5,212,2.4
153,T139,T133,Phil Mickelson,41,5,214,2.3
154,T139,T133,Alex Noren,49,5,217,2.3
155,T139,T150,Ryan Palmer,56,5,282,1.8
156,T139,T133,Ian Poulter,49,5,213,2.3
157,T139,T150,Seamus Power,58,5,320,1.6
158,T139,T150,Seth Reeves,52,5,249,2.0
159,T139,T150,Wes Roach,45,5,200,2.5
160,T139,T133,Adam Svensson,51,5,252,2.0
161,T139,T150,Bubba Watson,47,5,249,2.0
162,T139,T150,Danny Willett,47,5,254,2.0
163,T164,T150,Byeong Hun An,54,4,281,1.4
164,T164,T150,Lucas Bjerregaard,37,4,141,2.8
165,T164,T150,John Chin,38,4,133,3.0
166,T164,T150,Wyndham Clark,61,4,369,1.1
167,T164,T178,Roberto Díaz,51,4,239,1.7
168,T164,T150,Matt Every,38,4,183,2.2
169,T164,T150,Tyrrell Hatton,46,4,192,2.1
170,T164,T150,John Huh,35,4,183,2.2
171,T164,T150,Andrew Landry,56,4,298,1.3
172,T164,T150,Nate Lashley,44,4,220,1.8
173,T164,T150,Alex Prugh,54,4,211,1.9
174,T164,T178,Brady Schnell,38,4,188,2.1
175,T164,T150,John Senden,39,4,153,2.6
176,T164,T150,Scott Stallings,63,4,352,1.1
177,T164,T150,Henrik Stenson,46,4,226,1.8
178,T164,T150,Sepp Straka,48,4,221,1.8
179,T164,T150,Hudson Swafford,59,4,312,1.3
180,T164,T150,Martin Trainer,51,4,309,1.3
181,T182,T178,Ernie Els,43,3,196,1.5
182,T182,T178,Fabián Gómez,44,3,211,1.4
183,T182,T178,Satoshi Kodaira,51,3,238,1.3
184,T182,T178,Marc Leishman,52,3,253,1.2
185,T182,T185,Sam Saunders,53,3,340,0.9
186,T182,T178,Charl Schwartzel,34,3,123,2.4
187,T182,T185,Chris Thompson,34,3,149,2.0
188,T189,T198,Keegan Bradley,65,2,286,0.7
189,T189,T185,Jonathan Byrd,43,2,208,1.0
190,T189,T185,Alex Cejka,41,2,188,1.1
191,T189,T185,Ben Crane,41,2,192,1.0
192,T189,T198,Russell Henley,56,2,293,0.7
193,T189,T185,J.B. Holmes,54,2,201,1.0
194,T189,T185,Haotong Li,32,2,149,1.3
195,T189,T185,Francesco Molinari,41,2,189,1.1
196,T189,T185,Trey Mullinax,67,2,365,0.5
197,T189,T185,D.A. Points,33,2,133,1.5
198,T189,T185,Adam Scott,41,2,187,1.1
199,T189,T185,Jimmy Walker,61,2,332,0.6
200,T189,T185,Matt Wallace,31,2,167,1.2
201,T202,T198,J.J. Henry,42,1,165,0.6
202,T202,T198,Louis Oosthuizen,43,1,171,0.6
203,T202,T198,José de Jesús Rodríguez,51,1,286,0.3
204,T202,,Josh Teater,47,1,199,0.5
205,T202,T198,Justin Thomas,49,1,248,0.4
206,T202,,D.J. Trahan,33,1,114,0.9
207,T202,999,Tyrone Van Aswegen,30,1,130,0.8
