,One-Putt_Percentage_-_Round_4_RANK THIS WEEK,One-Putt_Percentage_-_Round_4_RANK LAST WEEK,One-Putt_Percentage_-_Round_4_PLAYER NAME,One-Putt_Percentage_-_Round_4_%,One-Putt_Percentage_-_Round_4_# OF 1 PUTTS,One-Putt_Percentage_-_Round_4_# OF HOLES
117,T118,T160,Stephan Jaeger,39.58,57,144
118,T118,T105,Jim Knous,39.58,57,144
119,T118,T108,Louis Oosthuizen,39.58,57,144
120,T118,T108,Adam Scott,39.58,57,144
121,122,110,Kevin Na,39.44,71,180
122,123,112,Jason Kokrak,39.24,113,288
123,T124,T155,Roberto Castro,38.89,70,180
124,T124,T113,Alex Cejka,38.89,28,72
125,T124,T113,Stewart Cink,38.89,28,72
126,T124,T113,Matt Every,38.89,42,108
127,T124,T113,Branden Grace,38.89,77,198
128,T124,T113,Freddie Jacobson,38.89,28,72
129,T124,T113,Matt Jones,38.89,91,234
130,T124,T78,Scott Langley,38.89,70,180
131,T124,135,Danny Lee,38.89,91,234
132,T124,T113,Grayson Murray,38.89,35,90
133,T124,T113,Patrick Rodgers,38.89,49,126
134,T124,T113,Jordan Spieth,38.89,84,216
135,T124,T113,Henrik Stenson,38.89,63,162
136,T124,T113,Aaron Wise,38.89,63,162
137,T124,T113,Chase Wright,38.89,42,108
138,139,131,Joel Dahmen,38.54,111,288
139,140,132,Scott Piercy,38.52,104,270
140,141,T133,Lucas Glover,38.46,90,234
141,T142,T136,Dustin Johnson,38.38,76,198
142,T142,T113,Justin Thomas,38.38,76,198
143,T144,T136,Julián Etulain,38.33,69,180
144,T144,T136,Brice Garnett,38.33,69,180
145,T144,T136,Jon Rahm,38.33,69,180
146,147,140,"Ted Potter, Jr.",38.27,62,162
147,T148,T141,Brendan Steele,38.19,55,144
148,T148,T141,Shawn Stefani,38.19,55,144
149,150,143,Emiliano Grillo,38.15,103,270
150,151,145,Chez Reavie,38.03,89,234
151,T152,T146,Austin Cook,37.96,41,108
152,T152,T146,Jhonattan Vegas,37.96,82,216
153,T154,T148,Andrew Putnam,37.88,75,198
154,T154,T148,Patrick Reed,37.88,75,198
155,T154,T148,Michael Thompson,37.88,75,198
156,T157,T151,Anders Albertson,37.78,34,90
157,T157,T151,Paul Casey,37.78,68,180
158,T157,T151,Kramer Hickok,37.78,68,180
159,T157,T166,Brooks Koepka,37.78,68,180
160,161,T155,Tom Hoge,37.65,61,162
161,T162,T157,Russell Henley,37.5,54,144
162,T162,T157,Brady Schnell,37.5,27,72
163,T162,T157,Johnson Wagner,37.5,54,144
164,165,T160,Seth Reeves,37.3,47,126
165,T166,T162,Cameron Champ,37.22,67,180
166,T166,T162,Richy Werenski,37.22,67,180
167,168,T175,Joaquin Niemann,37.18,87,234
168,169,168,Abraham Ancer,36.9,93,252
169,T170,T162,Dylan Frittelli,36.87,73,198
170,T170,T162,Kevin Tway,36.87,73,198
171,172,169,Martin Kaymer,36.81,53,144
172,173,170,Fabián Gómez,36.51,46,126
173,T174,T171,Matthew Fitzpatrick,36.42,59,162
174,T174,T171,Tommy Fleetwood,36.42,59,162
175,T174,T171,Nate Lashley,36.42,59,162
176,T177,T175,Ernie Els,36.11,52,144
177,T177,190,Hank Lebioda,36.11,65,180
178,T177,999,Martin Piller,36.11,26,72
179,T177,T175,Seamus Power,36.11,39,108
180,181,186,J.J. Spaun,35.9,84,234
181,182,178,Kevin Streelman,35.86,71,198
182,183,185,Matt Kuchar,35.71,90,252
183,T184,T182,Kyoung-Hoon Lee,35.65,77,216
184,T184,T182,Nick Watney,35.65,77,216
185,T186,T179,Alex Noren,35.56,64,180
186,T186,184,Ian Poulter,35.56,64,180
187,T188,T171,Scott Brown,35.0,63,180
188,T188,187,Scott Stallings,35.0,63,180
189,T190,T188,Tony Finau,34.62,81,234
190,T190,T188,Russell Knox,34.62,81,234
191,192,191,John Senden,34.44,31,90
192,193,181,Robert Streb,34.03,49,144
193,194,T179,Martin Laird,33.89,61,180
194,T195,196,Tyler Duncan,33.33,60,180
195,T195,T192,Cody Gribble,33.33,42,126
196,T195,T192,John Huh,33.33,24,72
197,T195,T192,Pat Perez,33.33,60,180
198,199,195,Chris Kirk,32.41,35,108
199,T200,205,Sangmoon Bae,31.94,23,72
200,T200,197,Michael Kim,31.94,23,72
201,202,203,Ben Crane,31.48,34,108
202,203,199,Alex Prugh,30.95,39,126
203,T204,T200,Bronson Burgoon,30.56,22,72
204,T204,T200,Jim Herman,30.56,11,36
205,206,T200,Keegan Bradley,29.91,70,234
206,207,204,Kyle Jones,29.17,21,72
207,208,206,Lucas Bjerregaard,26.85,29,108
208,209,207,James Hahn,25.0,27,108
