,3-Putt_Avoidance_-_Round_3_RANK THIS WEEK,3-Putt_Avoidance_-_Round_3_RANK LAST WEEK,3-Putt_Avoidance_-_Round_3_PLAYER NAME,3-Putt_Avoidance_-_Round_3_%,3-Putt_Avoidance_-_Round_3_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_3_TOTAL HOLES
143,T142,T144,Rory Sabbatini,3.47,10,288
144,T142,T144,Chris Stroud,3.47,5,144
145,T146,T149,Branden Grace,3.54,7,198
146,T146,T133,Jim Knous,3.54,7,198
147,T146,T149,Denny McCarthy,3.54,7,198
148,T146,T149,Patrick Reed,3.54,7,198
149,T146,T133,Ben Silverman,3.54,7,198
150,T146,T162,Kevin Tway,3.54,7,198
151,152,T160,Matt Kuchar,3.57,9,252
152,T153,T152,Tommy Fleetwood,3.7,6,162
153,T153,T164,Dylan Frittelli,3.7,8,216
154,T153,T152,J.B. Holmes,3.7,6,162
155,T153,T152,Andrew Landry,3.7,6,162
156,T153,T152,Haotong Li,3.7,4,108
157,T153,T152,Carlos Ortiz,3.7,6,162
158,T153,T144,José de Jesús Rodríguez,3.7,6,162
159,T153,T152,Jhonattan Vegas,3.7,8,216
160,T153,T152,Johnson Wagner,3.7,6,162
161,T153,T152,Tiger Woods,3.7,4,108
162,163,T162,Luke List,3.89,7,180
163,T164,171,J.J. Spaun,3.97,10,252
164,T164,T160,Jimmy Walker,3.97,10,252
165,T166,T164,Corey Conners,4.04,8,198
166,T166,T89,Hank Lebioda,4.04,8,198
167,T166,T164,Michael Thompson,4.04,8,198
168,169,168,Emiliano Grillo,4.07,11,270
169,T170,T169,Ernie Els,4.17,6,144
170,T170,T169,Martin Kaymer,4.17,6,144
171,T170,T179,Ryan Palmer,4.17,9,216
172,T173,T172,Roberto Díaz,4.32,7,162
173,T173,T172,Fabián Gómez,4.32,7,162
174,T173,T172,Adam Scott,4.32,7,162
175,T176,T175,Bronson Burgoon,4.44,4,90
176,T176,191,Brooks Koepka,4.44,8,180
177,T176,T175,Kyoung-Hoon Lee,4.44,12,270
178,T176,T175,D.A. Points,4.44,4,90
179,T180,T175,Sangmoon Bae,4.63,5,108
180,T180,T181,Lucas Bjerregaard,4.63,5,108
181,T180,T181,Ryan Blaum,4.63,10,216
182,T180,T179,Scott Brown,4.63,10,216
183,T180,190,Sungjae Im,4.63,15,324
184,T180,T164,Sebastián Muñoz,4.63,10,216
185,T180,T181,Jordan Spieth,4.63,10,216
186,T180,T133,Chris Thompson,4.63,5,108
187,T188,T184,Ryan Armour,4.7,11,234
188,T188,T184,Rafa Cabrera Bello,4.7,11,234
189,190,186,Kyle Jones,4.76,6,126
190,T191,T187,Whee Kim,4.86,7,144
191,T191,T187,John Senden,4.86,7,144
192,T191,T187,Adam Svensson,4.86,7,144
193,194,192,Ian Poulter,5.0,9,180
194,T195,T193,Cameron Champ,5.05,10,198
195,T195,T193,Jason Dufner,5.05,10,198
196,197,T195,Roger Sloan,5.09,11,216
197,T198,T195,Alex Cejka,5.56,5,90
198,T198,T195,Stewart Cink,5.56,5,90
199,T198,T195,Bryson DeChambeau,5.56,9,162
200,T198,T195,Justin Harding,5.56,5,90
201,T198,T195,Charles Howell III,5.56,13,234
202,T198,T195,Trey Mullinax,5.56,13,234
203,204,202,Bubba Watson,6.79,11,162
204,205,203,Anders Albertson,7.14,9,126
205,T206,204,Jim Herman,7.41,4,54
206,T206,205,Sepp Straka,7.41,12,162
207,208,999,Tyrone Van Aswegen,8.89,8,90
208,209,206,Satoshi Kodaira,9.26,15,162
