,GIR_Putting_Avg_-_30-35_RANK THIS WEEK,GIR_Putting_Avg_-_30-35_RANK LAST WEEK,GIR_Putting_Avg_-_30-35_PLAYER NAME,GIR_Putting_Avg_-_30-35_ROUNDS,GIR_Putting_Avg_-_30-35_% MADE,GIR_Putting_Avg_-_30-35_ATTEMPTS,GIR_Putting_Avg_-_30-35_PUTTS MADE
85,T84,T70,Webb Simpson,53,0.67,45,3.0
86,T87,T84,Peter Malnati,64,0.65,31,2.0
87,T87,T86,Kevin Streelman,63,0.65,62,4.0
88,T89,T88,Louis Oosthuizen,43,0.63,16,1.0
89,T89,T88,Sam Ryder,52,0.63,32,2.0
90,T91,T92,Rickie Fowler,54,0.61,33,2.0
91,T91,T92,Hunter Mahan,45,0.61,33,2.0
92,T91,T92,C.T. Pan,64,0.61,33,2.0
93,94,T79,Brian Gay,79,0.6,50,3.0
94,T95,T99,Bronson Burgoon,37,0.59,17,1.0
95,T95,T99,J.B. Holmes,54,0.59,17,1.0
96,T95,T99,D.A. Points,33,0.59,17,1.0
97,T95,T99,Justin Rose,42,0.59,17,1.0
98,99,T97,Bud Cauley,61,0.58,52,3.0
99,T100,T99,Corey Conners,62,0.57,35,2.0
100,T100,T106,Charles Howell III,64,0.57,35,2.0
101,T100,T99,Trey Mullinax,67,0.57,35,2.0
102,T100,T88,Joaquin Niemann,68,0.57,35,2.0
103,T100,105,Carlos Ortiz,60,0.57,53,3.0
104,T100,T92,Alex Prugh,54,0.57,35,2.0
105,T100,T92,Sepp Straka,48,0.57,35,2.0
106,T107,T76,Rod Pampling,40,0.56,18,1.0
107,T107,T108,Brady Schnell,38,0.56,18,1.0
108,109,T97,Adam Schenk,80,0.55,55,3.0
109,T110,T111,Beau Hossler,66,0.54,37,2.0
110,T110,T111,Kyoung-Hoon Lee,72,0.54,37,2.0
111,T110,T111,Luke List,52,0.54,37,2.0
112,T110,T111,Ryan Moore,54,0.54,37,2.0
113,T110,T111,Jon Rahm,51,0.54,37,2.0
114,T110,T108,Henrik Stenson,46,0.54,37,2.0
115,T116,T108,Austin Cook,50,0.53,19,1.0
116,T116,T117,Tom Hoge,70,0.53,38,2.0
117,T116,T117,Jason Kokrak,68,0.53,38,2.0
118,T116,T106,J.J. Spaun,68,0.53,38,2.0
119,T116,T66,Chris Thompson,34,0.53,19,1.0
120,121,T124,Jhonattan Vegas,60,0.51,39,2.0
121,122,T127,Brendan Steele,50,0.5,40,2.0
122,T123,T132,Joel Dahmen,78,0.49,61,3.0
123,T123,123,Harris English,72,0.49,61,3.0
124,T123,T111,Jim Furyk,53,0.49,41,2.0
125,T123,T117,Seamus Power,58,0.49,41,2.0
126,T123,T124,Jimmy Walker,61,0.49,41,2.0
127,T123,T127,Nick Watney,67,0.49,41,2.0
128,T123,T132,Gary Woodland,63,0.49,41,2.0
129,T130,T127,John Chin,38,0.48,21,1.0
130,T130,T117,Brooks Koepka,49,0.48,21,1.0
131,T130,T88,Josh Teater,47,0.48,21,1.0
132,T133,T132,Ryan Armour,66,0.47,43,2.0
133,T133,T124,Jonas Blixt,66,0.47,43,2.0
134,T135,T135,Kiradech Aphibarnrat,49,0.45,22,1.0
135,T135,T179,Jonathan Byrd,43,0.45,22,1.0
136,T135,T135,Patrick Cantlay,49,0.45,22,1.0
137,T135,T135,Ernie Els,43,0.45,22,1.0
138,T135,T175,Danny Lee,66,0.45,44,2.0
139,140,T127,Brice Garnett,63,0.44,45,2.0
140,T141,T139,Abraham Ancer,69,0.43,46,2.0
141,T141,T135,Martin Laird,60,0.43,47,2.0
142,T141,T139,Troy Merritt,42,0.43,23,1.0
143,T141,T117,José de Jesús Rodríguez,51,0.43,23,1.0
144,T145,T141,Byeong Hun An,54,0.42,24,1.0
145,T145,T141,Satoshi Kodaira,51,0.42,24,1.0
146,T145,T141,Curtis Luck,51,0.42,24,1.0
147,T145,T141,Pat Perez,52,0.42,24,1.0
148,149,146,Russell Knox,65,0.4,50,2.0
149,T150,T141,Fabián Gómez,44,0.38,26,1.0
150,T150,T147,Patton Kizzire,58,0.38,26,1.0
151,T150,T147,Francesco Molinari,41,0.38,26,1.0
152,153,T149,Chez Reavie,67,0.37,27,1.0
153,T154,T153,Martin Kaymer,38,0.36,28,1.0
154,T154,T153,Andrew Putnam,57,0.36,28,1.0
155,T156,T149,Anders Albertson,48,0.34,29,1.0
156,T156,T156,Emiliano Grillo,65,0.34,29,1.0
157,T156,T153,Kyle Jones,49,0.34,29,1.0
158,T156,T156,Ian Poulter,49,0.34,29,1.0
159,T160,T149,Sangmoon Bae,42,0.33,30,1.0
160,T160,159,Tiger Woods,31,0.33,30,1.0
161,162,T149,Cody Gribble,52,0.32,31,1.0
162,163,T156,J.J. Henry,42,0.31,32,1.0
163,T164,T164,Jason Dufner,56,0.29,34,1.0
164,T164,T164,Chris Kirk,47,0.29,34,1.0
165,T164,T161,Bubba Watson,47,0.29,35,1.0
166,T164,T164,Aaron Wise,52,0.29,34,1.0
167,T168,T161,Dylan Frittelli,55,0.28,36,1.0
168,T168,T170,Jordan Spieth,57,0.28,36,1.0
169,T168,T164,Scott Stallings,63,0.28,36,1.0
170,T168,T164,Peter Uihlein,65,0.28,36,1.0
171,T172,160,Wyndham Clark,61,0.27,37,1.0
172,T172,T164,Bill Haas,58,0.27,37,1.0
173,T174,173,Kevin Kisner,65,0.26,38,1.0
174,T174,T161,Graeme McDowell,61,0.26,38,1.0
175,T174,T170,Robert Streb,60,0.26,38,1.0
176,T177,172,Tyler Duncan,66,0.25,40,1.0
177,T177,174,Sung Kang,67,0.25,40,1.0
178,179,T175,Rory Sabbatini,71,0.24,42,1.0
179,T180,T175,Scott Piercy,70,0.23,44,1.0
180,T180,T175,Hudson Swafford,59,0.23,43,1.0
181,T182,T179,Lucas Bjerregaard,37,0.0,19,
182,T182,T179,Ben Crane,41,0.0,12,
183,T182,T179,Bryson DeChambeau,45,0.0,31,
184,T182,T179,Tommy Fleetwood,43,0.0,30,
185,T182,T179,James Hahn,34,0.0,18,
186,T182,T179,Brandon Harkins,67,0.0,35,
187,T182,T179,Russell Henley,56,0.0,47,
188,T182,T179,Jim Herman,37,0.0,18,
189,T182,T179,Kramer Hickok,59,0.0,36,
190,T182,T179,Charley Hoffman,58,0.0,23,
191,T182,T179,Max Homa,61,0.0,38,
192,T182,T179,John Huh,35,0.0,26,
193,T182,T179,Zach Johnson,50,0.0,30,
194,T182,T179,Matt Kuchar,65,0.0,31,
195,T182,T179,Scott Langley,60,0.0,40,
196,T182,T179,Haotong Li,32,0.0,11,
197,T182,T179,Keith Mitchell,64,0.0,27,
198,T182,T179,Grayson Murray,36,0.0,19,
199,T182,T179,Ryan Palmer,56,0.0,35,
200,T182,T179,Seth Reeves,52,0.0,31,
201,T182,T179,Ollie Schniederjans,63,0.0,34,
202,T182,T179,Charl Schwartzel,34,0.0,11,
203,T182,T179,John Senden,39,0.0,17,
204,T182,T179,Shawn Stefani,57,0.0,47,
205,T182,T179,Vaughn Taylor,69,0.0,35,
206,T182,T179,Kevin Tway,62,0.0,35,
207,T182,999,Tyrone Van Aswegen,30,0.0,13,
208,T182,T179,Chase Wright,53,0.0,28,
