,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
184,T185,T185,Bronson Burgoon,37,-0.451,-13.067,29
185,T185,194,J.J. Henry,42,-0.451,-12.167,27
186,187,T179,Trey Mullinax,67,-0.45299999999999996,-24.033,53
187,188,188,Brendan Steele,50,-0.45799999999999996,-16.963,37
188,189,182,Alex Prugh,54,-0.478,-17.221,36
189,190,176,Adam Svensson,51,-0.484,-17.921,37
190,191,189,"Ted Potter, Jr.",56,-0.488,-20.980999999999998,43
191,192,T185,J.B. Holmes,54,-0.5,-13.994000000000002,28
192,193,191,James Hahn,34,-0.507,-8.615,17
193,194,193,Brandon Harkins,67,-0.512,-25.096,49
194,195,192,Emiliano Grillo,65,-0.516,-21.160999999999998,41
195,196,195,Branden Grace,62,-0.528,-18.462,35
196,197,196,Chris Kirk,47,-0.541,-18.936,35
197,198,199,Satoshi Kodaira,51,-0.573,-20.053,35
198,199,198,Alex Cejka,41,-0.578,-15.61,27
199,200,201,Joaquin Niemann,68,-0.581,-30.205,52
200,201,999,Tyrone Van Aswegen,30,-0.585,-11.112,19
201,202,197,Corey Conners,62,-0.611,-26.294,43
202,203,202,Jason Dufner,56,-0.616,-24.022,39
203,204,200,Kramer Hickok,59,-0.623,-25.553,41
204,205,203,Grayson Murray,36,-0.634,-16.486,26
205,206,204,Byeong Hun An,54,-0.7509999999999999,-29.294,39
206,207,205,Tyler Duncan,66,-0.765,-35.195,46
207,208,206,Keegan Bradley,65,-0.772,-34.76,45
208,209,207,Rod Pampling,40,-1.172,-31.654,27
