,Putting_from_4_RANK THIS WEEK,Putting_from_4_RANK LAST WEEK,Putting_from_4_PLAYER NAME,Putting_from_4_ROUNDS,Putting_from_4_% MADE,Putting_from_4_ATTEMPTS,Putting_from_4_PUTTS MADE
57,T58,T59,Corey Conners,62,93.75,80,75
58,T58,T30,Julián Etulain,55,93.75,64,60
59,T58,T61,Matt Every,38,93.75,48,45
60,T58,73,Jimmy Walker,61,93.75,112,105
61,62,T61,Scott Piercy,70,93.68,95,89
62,63,78,Kelly Kraft,67,93.67,79,74
63,64,45,Dominic Bozzelli,53,93.65,63,59
64,65,T59,Aaron Baddeley,51,93.59,78,73
65,T66,T64,Beau Hossler,66,93.46,107,100
66,T66,T64,Brian Stuard,76,93.46,107,100
67,68,T68,Alex Prugh,54,93.44,61,57
68,69,72,Ryan Armour,66,93.26,89,83
69,70,T68,Paul Casey,51,93.22,59,55
70,71,80,Dylan Frittelli,55,93.15,73,68
71,72,74,Tyrrell Hatton,46,93.06,72,67
72,73,75,Ernie Els,43,93.02,43,40
73,74,37,Martin Laird,60,93.0,100,93
74,75,76,Patrick Rodgers,44,92.96,71,66
75,T76,77,Charles Howell III,64,92.86,84,78
76,T76,58,Ollie Schniederjans,63,92.86,84,78
77,T76,79,Nick Watney,67,92.86,98,91
78,T79,81,Andrew Landry,56,92.59,81,75
79,T79,T70,Graeme McDowell,61,92.59,81,75
80,81,83,Rory Sabbatini,71,92.5,120,111
81,82,92,Harold Varner III,62,92.47,93,86
82,83,84,Cameron Smith,55,92.45,53,49
83,84,85,Patrick Cantlay,49,92.42,66,61
84,85,86,Rickie Fowler,54,92.41,79,73
85,86,91,Carlos Ortiz,60,92.39,92,85
86,T87,T87,John Huh,35,92.31,52,48
87,T87,T109,Brooks Koepka,49,92.31,65,60
88,T87,T87,Francesco Molinari,41,92.31,52,48
89,T87,T87,Louis Oosthuizen,43,92.31,52,48
90,91,97,Danny Lee,66,92.24,116,107
91,92,66,Ryan Palmer,56,92.19,64,59
92,93,90,Ryan Blaum,67,92.16,102,94
93,94,102,Jim Furyk,53,91.95,87,80
94,95,94,Gary Woodland,63,91.86,86,79
95,T96,120,Josh Teater,47,91.8,61,56
96,T96,95,Tiger Woods,31,91.8,61,56
97,98,129,Stephan Jaeger,59,91.67,84,77
98,99,100,Seamus Power,58,91.58,95,87
99,100,T103,Fabián Gómez,44,91.53,59,54
100,101,82,Aaron Wise,52,91.43,70,64
101,102,101,Sungjae Im,88,91.41,128,117
102,103,128,Danny Willett,47,91.4,93,85
103,104,107,Tom Hoge,70,91.36,81,74
104,T105,105,Cameron Champ,58,91.18,102,93
105,T105,999,Shane Lowry,30,91.18,34,31
106,107,106,Kyoung-Hoon Lee,72,91.15,113,103
107,108,127,J.B. Holmes,54,91.07,56,51
108,109,108,Phil Mickelson,41,91.04,67,61
109,110,T115,Chris Stroud,54,91.03,78,71
110,111,T121,Seth Reeves,52,91.01,89,81
111,T112,140,Brian Gay,79,91.0,100,91
112,T112,T133,Mackenzie Hughes,58,91.0,100,91
113,T112,98,Scott Stallings,63,91.0,100,91
114,T115,T109,Abraham Ancer,69,90.91,99,90
115,T115,T109,Michael Thompson,56,90.91,99,90
116,117,T112,Lucas Glover,62,90.83,109,99
117,118,114,Martin Kaymer,38,90.8,87,79
118,T119,T115,Kiradech Aphibarnrat,49,90.79,76,69
119,T119,96,Kramer Hickok,59,90.79,76,69
120,121,117,Charley Hoffman,58,90.74,54,49
121,T122,118,Vaughn Taylor,69,90.68,118,107
122,T122,T112,Nick Taylor,70,90.68,118,107
123,T124,T103,Dustin Johnson,47,90.63,64,58
124,T124,119,Matt Jones,67,90.63,96,87
125,T126,T121,Marc Leishman,52,90.48,84,76
126,T126,93,Chris Thompson,34,90.48,42,38
127,128,125,Joel Dahmen,78,90.43,115,104
128,129,126,Patton Kizzire,58,90.41,73,66
129,T130,147,Lucas Bjerregaard,37,90.38,52,47
130,T130,T121,Ben Crane,41,90.38,52,47
131,132,132,Hudson Swafford,59,90.28,72,65
132,133,130,Adam Long,52,90.22,92,83
133,134,131,Pat Perez,52,90.16,61,55
134,T135,T133,Freddie Jacobson,37,90.0,50,45
135,T135,T133,Russell Knox,65,90.0,90,81
136,T135,T133,Jordan Spieth,57,90.0,80,72
137,138,T138,Matthew Fitzpatrick,42,89.83,59,53
138,139,143,Bud Cauley,61,89.81,108,97
139,T140,141,D.A. Points,33,89.74,39,35
140,T140,158,Kevin Tway,62,89.74,78,70
141,142,142,Bronson Burgoon,37,89.71,68,61
142,T143,T144,Jason Day,45,89.58,48,43
143,T143,T144,Matt Wallace,31,89.58,48,43
144,145,151,Richy Werenski,63,89.47,95,85
145,146,159,Whee Kim,57,89.36,47,42
146,T147,T148,Byeong Hun An,54,89.33,75,67
147,T147,156,Cameron Davis,54,89.33,75,67
148,T147,T148,Si Woo Kim,65,89.33,75,67
149,150,150,Charl Schwartzel,34,89.29,28,25
150,T151,T152,J.T. Poston,76,89.23,130,116
151,T151,T152,Xander Schauffele,55,89.23,65,58
152,T153,T133,Bill Haas,58,89.16,83,74
153,T153,99,Scott Langley,60,89.16,83,74
154,155,T154,Tommy Fleetwood,43,89.13,46,41
155,156,157,Keith Mitchell,64,89.02,82,73
156,T157,T167,Scott Brown,66,88.89,81,72
157,T157,146,Curtis Luck,51,88.89,72,64
158,159,999,Tyrone Van Aswegen,30,88.57,35,31
159,160,182,Jim Herman,37,88.1,42,37
160,161,175,Brice Garnett,63,88.06,67,59
161,T162,T154,Talor Gooch,37,88.0,50,44
162,T162,169,Trey Mullinax,67,88.0,100,88
163,T162,T167,Ben Silverman,54,88.0,75,66
164,165,161,Jason Dufner,56,87.95,83,73
165,T166,T162,Jason Kokrak,68,87.88,99,87
166,T166,T162,Hideki Matsuyama,59,87.88,99,87
167,168,164,Rafa Cabrera Bello,57,87.84,74,65
168,T169,180,Joaquin Niemann,68,87.8,82,72
169,T169,165,John Senden,39,87.8,41,36
170,171,172,Matt Kuchar,65,87.78,90,79
171,172,160,Roberto Díaz,51,87.69,65,57
172,T173,T121,David Hearn,41,87.5,48,42
173,T173,T138,Bubba Watson,47,87.5,64,56
174,T175,170,Ian Poulter,49,87.3,63,55
175,T175,T184,Sepp Straka,48,87.3,63,55
176,177,171,Grayson Murray,36,87.27,55,48
177,178,173,Jhonattan Vegas,60,87.18,78,68
178,179,174,Brandon Harkins,67,86.92,107,93
179,180,176,Cody Gribble,52,86.89,61,53
180,181,T177,Kevin Streelman,63,86.79,106,92
181,182,T177,Joey Garber,44,86.67,60,52
182,183,179,Patrick Reed,53,86.57,67,58
183,184,166,Sergio Garcia,39,86.44,59,51
184,185,181,Anirban Lahiri,54,86.36,88,76
185,186,T184,Alex Noren,49,85.94,64,55
186,187,186,Sung Kang,67,85.34,116,99
187,188,T194,Zach Johnson,50,85.19,54,46
188,189,193,Roberto Castro,54,85.14,74,63
189,T190,190,Keegan Bradley,65,84.93,73,62
190,T190,189,Emiliano Grillo,65,84.93,73,62
191,192,196,Johnson Wagner,45,84.91,53,45
192,193,183,Peter Uihlein,65,84.81,79,67
193,194,191,Chris Kirk,47,84.75,59,50
194,195,187,Hank Lebioda,55,84.51,71,60
195,196,T198,Rory McIlroy,50,84.21,76,64
196,197,T194,James Hahn,34,84.0,25,21
197,198,197,Luke List,52,83.52,91,76
198,199,188,Shawn Stefani,57,83.33,66,55
199,200,201,Satoshi Kodaira,51,83.1,71,59
200,201,T198,Jonathan Byrd,43,83.05,59,49
201,202,999,Martin Piller,30,82.76,29,24
202,203,204,Tyler Duncan,66,82.35,85,70
203,T204,202,Kevin Na,54,82.14,56,46
204,T204,206,D.J. Trahan,33,82.14,28,23
205,T206,203,Branden Grace,62,81.82,66,54
206,T206,192,Rod Pampling,40,81.82,44,36
207,208,205,Sangmoon Bae,42,80.65,62,50
208,209,T198,Anders Albertson,48,79.1,67,53
