,GIR_Putting_-_5-10_RANK THIS WEEK,GIR_Putting_-_5-10_RANK LAST WEEK,GIR_Putting_-_5-10_PLAYER NAME,GIR_Putting_-_5-10_ROUNDS,GIR_Putting_-_5-10_%,GIR_Putting_-_5-10_ATTEMPTS,GIR_Putting_-_5-10_PUTTS MADE
120,T120,T129,Jhonattan Vegas,60,51.06,94,48
121,122,T101,Kyle Jones,49,51.02,49,25
122,123,T112,Sergio Garcia,39,50.94,53,27
123,124,T141,Anders Albertson,48,50.91,55,28
124,125,133,Chesson Hadley,58,50.79,63,32
125,126,119,Dustin Johnson,47,50.75,67,34
126,127,135,Satoshi Kodaira,51,50.7,71,36
127,128,134,Bill Haas,58,50.68,73,37
128,129,136,Billy Horschel,73,50.67,75,38
129,130,138,Sam Ryder,52,50.63,79,40
130,131,139,Byeong Hun An,54,50.6,83,42
131,132,140,Bryson DeChambeau,45,50.56,89,45
132,T133,T141,Jason Day,45,50.0,56,28
133,T133,T112,Matt Every,38,50.0,52,26
134,T133,137,Brice Garnett,63,50.0,80,40
135,T133,128,J.B. Holmes,54,50.0,48,24
136,T133,T141,Charles Howell III,64,50.0,88,44
137,T133,T141,Michael Kim,51,50.0,46,23
138,T133,T141,Keith Mitchell,64,50.0,90,45
139,T133,T141,Xander Schauffele,55,50.0,70,35
140,T133,125,Ollie Schniederjans,63,50.0,82,41
141,T133,123,Ben Silverman,54,50.0,76,38
142,T133,T151,Henrik Stenson,46,50.0,64,32
143,T133,111,Adam Svensson,51,50.0,76,38
144,T133,115,Johnson Wagner,45,50.0,54,27
145,146,131,Joaquin Niemann,68,49.51,103,51
146,T147,153,Julián Etulain,55,49.15,59,29
147,T147,T151,Phil Mickelson,41,49.15,59,29
148,149,170,Josh Teater,47,49.12,57,28
149,150,T183,Rod Pampling,40,49.06,53,26
150,151,T155,Russell Knox,65,48.72,117,57
151,152,150,Robert Streb,60,48.57,70,34
152,153,T141,Brooks Koepka,49,48.28,58,28
153,154,171,Keegan Bradley,65,48.24,85,41
154,155,159,Cameron Smith,55,48.21,56,27
155,156,169,Ryan Palmer,56,48.1,79,38
156,157,160,D.A. Points,33,48.0,25,12
157,T158,158,Peter Malnati,64,47.96,98,47
158,T158,161,Gary Woodland,63,47.96,98,47
159,160,162,Troy Merritt,42,47.89,71,34
160,161,163,Jason Kokrak,68,47.87,94,45
161,T162,165,Tyler Duncan,66,47.83,92,44
162,T162,164,Adam Scott,41,47.83,46,22
163,164,149,Austin Cook,50,47.76,67,32
164,165,132,Talor Gooch,37,47.69,65,31
165,T166,167,Si Woo Kim,65,47.54,61,29
166,T166,168,Chris Stroud,54,47.54,61,29
167,168,166,Kramer Hickok,59,46.97,66,31
168,169,T155,Lucas Bjerregaard,37,46.67,45,21
169,170,176,Sam Saunders,53,46.58,73,34
170,171,173,Patrick Rodgers,44,46.48,71,33
171,172,T178,Seth Reeves,52,46.43,56,26
172,173,174,Justin Thomas,49,46.38,69,32
173,174,157,David Hearn,41,46.34,41,19
174,175,172,Alex Prugh,54,46.25,80,37
175,176,192,Chris Thompson,34,46.15,39,18
176,177,175,Paul Casey,51,45.9,61,28
177,178,177,Russell Henley,56,45.83,72,33
178,T179,T178,Matthew Fitzpatrick,42,45.45,55,25
179,T179,T73,D.J. Trahan,33,45.45,33,15
180,T179,999,Tyrone Van Aswegen,30,45.45,33,15
181,182,206,Joey Garber,44,45.24,42,19
182,183,181,"Ted Potter, Jr.",56,45.21,73,33
183,184,182,Luke List,52,45.07,71,32
184,185,180,Dylan Frittelli,55,45.0,80,36
185,186,154,Alex Noren,49,44.68,47,21
186,187,185,Cameron Davis,54,44.44,72,32
187,188,T183,Cameron Tringale,52,44.07,59,26
188,189,186,Branden Grace,62,43.75,64,28
189,190,193,Danny Willett,47,43.08,65,28
190,191,188,Abraham Ancer,69,43.02,86,37
191,T192,189,Corey Conners,62,42.86,98,42
192,T192,194,Curtis Luck,51,42.86,49,21
193,194,190,Francesco Molinari,41,42.59,54,23
194,195,191,Max Homa,61,42.53,87,37
195,196,195,Mackenzie Hughes,58,42.31,78,33
196,197,203,Jim Knous,55,42.11,57,24
197,198,187,Roberto Castro,54,42.03,69,29
198,199,197,James Hahn,34,40.74,27,11
199,200,198,Aaron Wise,52,40.54,74,30
200,201,196,J.J. Henry,42,40.43,47,19
201,T202,200,Louis Oosthuizen,43,40.0,35,14
202,T202,999,Martin Piller,30,40.0,25,10
203,204,199,Carlos Ortiz,60,39.24,79,31
204,205,201,Bronson Burgoon,37,39.13,46,18
205,206,205,Kevin Tway,62,38.75,80,31
206,207,202,Brendan Steele,50,37.29,59,22
207,208,204,Tony Finau,61,36.71,79,29
208,209,207,Alex Cejka,41,34.69,49,17
