,Putting_from_5-15_RANK THIS WEEK,Putting_from_5-15_RANK LAST WEEK,Putting_from_5-15_PLAYER NAME,Putting_from_5-15_ROUNDS,Putting_from_5-15_% MADE,Putting_from_5-15_ATTEMPTS,Putting_from_5-15_PUTTS MADE
92,T92,106,Hank Lebioda,55,45.85,253,116
93,T92,89,Sam Saunders,53,45.85,301,138
94,T95,73,Adam Schenk,80,45.81,406,186
95,T95,91,Chris Thompson,34,45.81,155,71
96,97,147,Matt Kuchar,65,45.72,339,155
97,98,T70,Cody Gribble,52,45.66,265,121
98,99,78,Ryan Armour,66,45.57,327,149
99,100,T120,Brian Harman,67,45.54,314,143
100,T101,128,Adam Hadwin,66,45.51,323,147
101,T101,93,Haotong Li,32,45.51,156,71
102,103,88,Henrik Stenson,46,45.49,255,116
103,104,T112,Roger Sloan,62,45.48,332,151
104,105,54,Brooks Koepka,49,45.45,209,95
105,106,T96,Jason Kokrak,68,45.4,359,163
106,107,37,D.J. Trahan,33,45.31,128,58
107,108,T112,Kyle Jones,49,45.22,230,104
108,109,118,Nick Watney,67,45.17,321,145
109,110,T122,J.J. Spaun,68,45.1,306,138
110,T111,142,Rory McIlroy,50,45.08,244,110
111,T111,111,Andrew Putnam,57,45.08,244,110
112,T113,T115,Bryson DeChambeau,45,45.03,302,136
113,T113,T115,Kyoung-Hoon Lee,72,45.03,322,145
114,115,117,Hideki Matsuyama,59,45.02,291,131
115,116,119,Abraham Ancer,69,44.92,325,146
116,117,90,Trey Mullinax,67,44.91,383,172
117,118,108,Scott Stallings,63,44.9,343,154
118,119,T122,Lucas Glover,62,44.88,332,149
119,120,125,Charl Schwartzel,34,44.86,107,48
120,121,94,Cameron Davis,54,44.84,281,126
121,T122,124,Matt Every,38,44.83,174,78
122,T122,126,Hunter Mahan,45,44.83,232,104
123,124,127,Charles Howell III,64,44.74,304,136
124,125,95,Jimmy Walker,61,44.67,300,134
125,126,109,Russell Henley,56,44.61,269,120
126,127,102,Danny Willett,47,44.58,240,107
127,128,98,Kelly Kraft,67,44.57,350,156
128,129,129,Chesson Hadley,58,44.55,303,135
129,130,136,Jonas Blixt,66,44.54,339,151
130,131,130,Brian Stuard,76,44.51,364,162
131,132,131,Michael Kim,51,44.49,254,113
132,T133,134,Mackenzie Hughes,58,44.44,270,120
133,T133,132,Louis Oosthuizen,43,44.44,180,80
134,135,133,Jhonattan Vegas,60,44.34,327,145
135,136,135,Matthew Fitzpatrick,42,44.26,183,81
136,137,T120,Bill Haas,58,44.24,278,123
137,138,155,Bubba Watson,47,44.21,242,107
138,139,137,Freddie Jacobson,37,44.16,154,68
139,140,138,Joel Dahmen,78,44.14,401,177
140,141,105,Bud Cauley,61,44.13,349,154
141,142,139,Chris Kirk,47,44.1,229,101
142,143,140,Adam Long,52,43.95,314,138
143,144,110,Talor Gooch,37,43.94,198,87
144,145,114,Hudson Swafford,59,43.93,346,152
145,146,144,Satoshi Kodaira,51,43.87,269,118
146,147,145,J.T. Poston,76,43.77,409,179
147,T148,201,Joey Garber,44,43.75,176,77
148,T148,146,John Huh,35,43.75,192,84
149,150,148,Kevin Na,54,43.7,238,104
150,151,150,Gary Woodland,63,43.43,297,129
151,152,103,David Hearn,41,43.35,173,75
152,153,149,Joaquin Niemann,68,43.24,377,163
153,154,162,Dylan Frittelli,55,43.2,294,127
154,155,154,Max Homa,61,43.19,345,149
155,156,141,Tom Hoge,70,43.1,348,150
156,157,T156,Branden Grace,62,43.03,244,105
157,158,T156,Chris Stroud,54,43.02,258,111
158,159,153,Carlos Ortiz,60,42.95,319,137
159,160,158,Cameron Smith,55,42.92,226,97
160,161,151,Robert Streb,60,42.91,282,121
161,T162,176,Daniel Berger,48,42.7,281,120
162,T162,160,Grayson Murray,36,42.7,185,79
163,164,152,Seth Reeves,52,42.62,244,104
164,165,999,Tyrone Van Aswegen,30,42.5,120,51
165,166,166,Brandon Harkins,67,42.41,349,148
166,167,161,Alex Prugh,54,42.4,250,106
167,168,167,Stewart Cink,33,42.31,130,55
168,169,174,Anders Albertson,48,42.29,227,96
169,170,184,J.B. Holmes,54,42.27,194,82
170,171,169,Luke List,52,42.18,275,116
171,172,171,"Ted Potter, Jr.",56,42.07,309,130
172,173,T164,Austin Cook,50,42.02,257,108
173,T174,172,Phil Mickelson,41,41.94,217,91
174,T174,170,Kevin Tway,62,41.94,279,117
175,176,T164,Jim Herman,37,41.86,172,72
176,177,163,Lucas Bjerregaard,37,41.67,156,65
177,178,177,Kyle Stanley,53,41.55,207,86
178,179,173,Harold Varner III,62,41.5,359,149
179,180,178,Andrew Landry,56,41.48,311,129
180,181,175,Roberto Castro,54,41.45,275,114
181,T182,T179,Chez Reavie,67,41.38,261,108
182,T182,T179,John Senden,39,41.38,174,72
183,184,T181,Tony Finau,61,41.33,271,112
184,185,191,J.J. Henry,42,41.3,184,76
185,186,168,Adam Svensson,51,41.25,257,106
186,T187,198,Sebastián Muñoz,58,41.04,268,110
187,T187,185,Tiger Woods,31,41.04,134,55
188,189,186,Emiliano Grillo,65,41.03,290,119
189,190,183,Brice Garnett,63,41.0,300,123
190,191,T181,Justin Thomas,49,40.94,254,104
191,192,187,Bronson Burgoon,37,40.89,203,83
192,193,188,Aaron Wise,52,40.61,261,106
193,194,190,Byeong Hun An,54,40.44,272,110
194,195,194,John Chin,38,40.28,144,58
195,196,T196,Keegan Bradley,65,40.26,303,122
196,197,189,Kramer Hickok,59,40.14,294,118
197,198,193,Tyrrell Hatton,46,40.1,192,77
198,199,195,Jason Dufner,56,39.84,251,100
199,200,200,Jon Rahm,51,39.27,219,86
200,201,199,Tyler Duncan,66,39.02,328,128
201,202,T196,Corey Conners,62,38.83,291,113
202,203,192,Alex Noren,49,38.24,204,78
203,204,202,Jim Knous,55,38.06,247,94
204,205,203,Brendan Steele,50,38.03,234,89
205,206,204,Alex Cejka,41,37.85,177,67
206,207,205,Paul Casey,51,37.09,213,79
207,208,206,James Hahn,34,36.97,119,44
208,209,207,Rod Pampling,40,36.95,203,75
