,Total_3_Putts_-__25_RANK THIS WEEK,Total_3_Putts_-__25_RANK LAST WEEK,Total_3_Putts_-__25_PLAYER NAME,Total_3_Putts_-__25_ROUNDS,Total_3_Putts_-__25_TOTAL 3 PUTTS > 25',Total_3_Putts_-__25_TOTAL 3 PUTTS
59,T53,T41,Brian Stuard,76,20,24
60,T53,T94,Richy Werenski,63,20,23
61,T62,T63,Sangmoon Bae,42,19,24
62,T62,T63,Scott Brown,66,19,24
63,T62,T94,Roberto Castro,54,19,25
64,T62,T63,Brian Gay,79,19,22
65,T62,T55,Beau Hossler,66,19,24
66,T62,T63,Zach Johnson,50,19,22
67,T62,T55,Jordan Spieth,57,19,22
68,T62,T71,Adam Svensson,51,19,26
69,T62,T84,Justin Thomas,49,19,21
