,Total_1_Putts_-_5-10_RANK THIS WEEK,Total_1_Putts_-_5-10_RANK LAST WEEK,Total_1_Putts_-_5-10_PLAYER NAME,Total_1_Putts_-_5-10_ROUNDS,Total_1_Putts_-_5-10_TOTAL,Total_1_Putts_-_5-10_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_5-10_PCT OF ALL 1-PUTTS
141,T141,T148,Curtis Luck,51,61,247,24.7
142,T141,T134,Troy Merritt,42,61,237,25.7
143,T141,T138,Seth Reeves,52,61,249,24.5
144,T145,T148,Anders Albertson,48,60,233,25.8
145,T145,T161,Ben Crane,41,60,192,31.3
146,T145,T136,Chez Reavie,67,60,291,20.6
147,T145,T152,Justin Thomas,49,60,248,24.2
148,T145,T146,Danny Willett,47,60,254,23.6
149,T150,T142,Alex Prugh,54,59,211,28.0
150,T150,T138,Cameron Smith,55,59,255,23.1
151,T150,T167,Cameron Tringale,52,59,253,23.3
152,T153,T142,Jason Dufner,56,57,248,23.0
153,T153,T167,Brooks Koepka,49,57,212,26.9
154,T153,T142,Ian Poulter,49,57,213,26.8
155,T153,T175,Josh Teater,47,57,199,28.6
156,T157,T157,Dustin Johnson,47,56,256,21.9
157,T157,T159,Kyle Jones,49,56,237,23.6
158,T157,T146,Pat Perez,52,56,214,26.2
159,T157,T173,Wes Roach,45,56,200,28.0
160,T161,T161,Sergio Garcia,39,55,209,26.3
161,T161,T152,Johnson Wagner,45,55,220,25.0
162,T163,T186,Sangmoon Bae,42,54,178,30.3
163,T163,T173,Talor Gooch,37,54,219,24.7
164,T163,T175,Rod Pampling,40,54,167,32.3
165,T163,151,Kyle Stanley,53,54,199,27.1
166,T167,T167,J.J. Henry,42,53,165,32.1
167,T167,T161,J.B. Holmes,54,53,201,26.4
168,T167,T152,Phil Mickelson,41,53,214,24.8
169,T167,T161,Brady Schnell,38,53,188,28.2
170,171,T157,Jon Rahm,51,52,231,22.5
171,T172,T180,Fabián Gómez,44,51,211,24.2
172,T172,T159,John Huh,35,51,183,27.9
173,T174,T161,Ernie Els,43,50,196,25.5
174,T174,T161,Tyrrell Hatton,46,50,192,26.0
175,T174,T188,Jim Knous,55,50,247,20.2
176,T177,T167,Jason Day,45,49,184,26.6
177,T177,T167,Francesco Molinari,41,49,189,25.9
178,T179,T184,Matt Every,38,48,183,26.2
179,T179,172,Tommy Fleetwood,43,48,184,26.1
180,T181,T188,Lucas Bjerregaard,37,46,141,32.6
181,T181,T175,Paul Casey,51,46,210,21.9
182,T181,T198,Joey Garber,44,46,174,26.4
183,T181,T184,David Hearn,41,46,167,27.5
184,T181,T175,Haotong Li,32,46,149,30.9
185,T181,999,Shane Lowry,30,46,156,29.5
186,T181,T175,Grayson Murray,36,46,171,26.9
187,T188,T180,Louis Oosthuizen,43,45,171,26.3
188,T188,T180,Adam Scott,41,45,187,24.1
189,T188,T180,John Senden,39,45,153,29.4
190,191,T186,Matthew Fitzpatrick,42,43,197,21.8
191,T192,T188,Bronson Burgoon,37,42,193,21.8
192,T192,193,Jim Herman,37,42,189,22.2
193,T192,T188,Brendan Steele,50,42,236,17.8
194,T195,192,Freddie Jacobson,37,41,181,22.7
195,T195,194,Alex Noren,49,41,217,18.9
196,T197,999,Martin Piller,30,40,129,31.0
197,T197,T200,Chris Thompson,34,40,149,26.8
198,199,T196,Alex Cejka,41,39,188,20.7
199,T200,195,D.A. Points,33,36,133,27.1
200,T200,T202,D.J. Trahan,33,36,114,31.6
201,202,T196,Charl Schwartzel,34,35,123,28.5
202,203,T198,Stewart Cink,33,33,154,21.4
203,T204,999,Tyrone Van Aswegen,30,32,130,24.6
204,T204,T200,Matt Wallace,31,32,167,19.2
205,206,T202,Tiger Woods,31,31,147,21.1
206,207,T205,John Chin,38,30,133,22.6
207,208,T205,James Hahn,34,27,91,29.7
208,209,207,Justin Harding,31,26,86,30.2
