,Putting_from_15-25_RANK THIS WEEK,Putting_from_15-25_RANK LAST WEEK,Putting_from_15-25_PLAYER NAME,Putting_from_15-25_ROUNDS,Putting_from_15-25_% MADE,Putting_from_15-25_ATTEMPTS,Putting_from_15-25_PUTTS MADE
42,43,32,Hank Lebioda,55,18.84,138,26
43,44,46,Paul Casey,51,18.81,101,19
44,T45,T53,Brian Gay,79,18.75,208,39
45,T45,48,Charles Howell III,64,18.75,128,24
46,47,25,Danny Lee,66,18.68,182,34
47,48,49,Jordan Spieth,57,18.67,150,28
48,49,34,Chris Stroud,54,18.62,145,27
49,50,T22,Sebastián Muñoz,58,18.57,140,26
50,51,76,Martin Laird,60,18.5,173,32
51,52,T39,Ben Silverman,54,18.49,146,27
52,T53,T61,Sangmoon Bae,42,18.48,92,17
53,T53,52,Ian Poulter,49,18.48,92,17
54,55,T53,Tony Finau,61,18.46,130,24
55,56,T58,Ryan Armour,66,18.34,169,31
56,57,55,D.A. Points,33,18.33,60,11
57,58,47,Ryan Palmer,56,18.32,131,24
58,59,T43,Peter Malnati,64,18.29,175,32
59,60,57,Pat Perez,52,18.27,104,19
60,61,T58,Justin Harding,31,18.18,55,10
61,62,60,Nate Lashley,44,18.1,105,19
62,63,50,Graeme McDowell,61,18.06,155,28
63,64,T63,Chesson Hadley,58,17.86,168,30
64,65,65,Gary Woodland,63,17.78,135,24
65,66,75,Scott Brown,66,17.75,169,30
66,67,68,Jhonattan Vegas,60,17.68,164,29
67,68,69,Tommy Fleetwood,43,17.65,85,15
68,69,T70,Kyoung-Hoon Lee,72,17.58,165,29
69,70,72,Kevin Kisner,65,17.57,148,26
70,71,74,Joel Dahmen,78,17.35,196,34
71,72,T70,Jim Herman,37,17.02,94,16
72,73,114,Dominic Bozzelli,53,16.94,124,21
73,74,67,Matt Every,38,16.87,83,14
74,75,45,Dustin Johnson,47,16.83,101,17
75,76,T63,Anders Albertson,48,16.81,119,20
76,77,73,Whee Kim,57,16.8,125,21
77,78,81,Jason Kokrak,68,16.76,173,29
78,T79,77,Cameron Davis,54,16.67,108,18
79,T79,82,Nick Taylor,70,16.67,204,34
80,81,T104,Hudson Swafford,59,16.56,157,26
81,82,T78,Aaron Wise,52,16.41,128,21
82,83,T61,Joey Garber,44,16.3,92,15
83,84,98,Brady Schnell,38,16.28,86,14
84,85,91,Kyle Jones,49,16.24,117,19
85,86,84,Emiliano Grillo,65,16.23,154,25
86,87,85,Freddie Jacobson,37,16.22,74,12
87,88,86,Brian Stuard,76,16.16,198,32
88,89,T87,Abraham Ancer,69,16.15,192,31
89,T90,83,Cody Gribble,52,16.03,131,21
90,T90,80,Chase Wright,53,16.03,131,21
91,T92,T124,Alex Noren,49,16.0,100,16
92,T92,90,Xander Schauffele,55,16.0,125,20
93,94,92,Sam Ryder,52,15.83,139,22
94,T95,T104,Bud Cauley,61,15.79,152,24
95,T95,T117,J.J. Spaun,68,15.79,152,24
96,T95,T87,Shawn Stefani,57,15.79,133,21
97,T95,T87,Nick Watney,67,15.79,171,27
98,99,94,Rickie Fowler,54,15.76,165,26
99,T100,T95,Kiradech Aphibarnrat,49,15.75,127,20
100,T100,T95,Hideki Matsuyama,59,15.75,127,20
101,T100,99,Rory McIlroy,50,15.75,127,20
102,103,56,John Chin,38,15.66,83,13
103,104,97,Patrick Reed,53,15.65,115,18
104,105,T112,Kelly Kraft,67,15.58,154,24
105,106,103,Richy Werenski,63,15.54,193,30
106,107,102,Matthew Fitzpatrick,42,15.31,98,15
107,T108,T106,Cameron Champ,58,15.19,158,24
108,T108,T106,John Senden,39,15.19,79,12
109,T110,T78,Jim Furyk,53,15.17,145,22
110,T110,108,Matt Jones,67,15.17,145,22
111,112,T117,Tyler Duncan,66,15.13,152,23
112,113,109,Jon Rahm,51,15.09,106,16
113,T114,T110,Si Woo Kim,65,15.04,133,20
114,T114,T110,Troy Merritt,42,15.04,113,17
115,116,130,Tom Hoge,70,15.0,160,24
116,T117,141,Brice Garnett,63,14.93,134,20
117,T117,93,Chris Thompson,34,14.93,67,10
118,119,115,"Ted Potter, Jr.",56,14.91,161,24
119,120,159,Russell Henley,56,14.74,156,23
120,121,121,Talor Gooch,37,14.73,129,19
121,T122,101,Daniel Berger,48,14.71,136,20
122,T122,T117,Tyrrell Hatton,46,14.71,102,15
123,124,120,Chris Kirk,47,14.69,143,21
124,T125,122,Patrick Cantlay,49,14.63,123,18
125,T125,T112,Wyndham Clark,61,14.63,164,24
126,127,T171,Cameron Tringale,52,14.52,124,18
127,128,126,Carlos Ortiz,60,14.47,159,23
128,129,128,Rafa Cabrera Bello,57,14.42,104,15
129,130,142,Wes Roach,45,14.41,111,16
130,131,100,Stephan Jaeger,59,14.39,132,19
131,132,129,Sam Burns,66,14.37,167,24
132,T133,164,David Hearn,41,14.29,77,11
133,T133,123,Webb Simpson,53,14.29,140,20
134,135,127,Scott Piercy,70,14.2,169,24
135,136,131,Chez Reavie,67,14.18,134,19
136,137,135,Jim Knous,55,14.17,127,18
137,138,132,Keith Mitchell,64,14.08,142,20
138,139,148,Kramer Hickok,59,13.99,143,20
139,T140,134,Dylan Frittelli,55,13.92,158,22
140,T140,T124,Matt Kuchar,65,13.92,158,22
141,142,136,Cameron Smith,55,13.86,101,14
142,143,137,Roberto Díaz,51,13.85,130,18
143,144,T162,Robert Streb,60,13.79,145,20
144,145,139,Jason Dufner,56,13.77,138,19
145,146,116,Joaquin Niemann,68,13.73,204,28
146,147,T152,Seth Reeves,52,13.68,117,16
147,148,143,Jason Day,45,13.64,88,12
148,149,133,Adam Svensson,51,13.49,126,17
149,150,146,Kevin Tway,62,13.46,156,21
150,151,144,Martin Kaymer,38,13.45,119,16
151,152,175,Brandt Snedeker,68,13.43,134,18
152,153,138,Zach Johnson,50,13.39,127,17
153,154,149,Michael Kim,51,13.22,121,16
154,155,151,Brendan Steele,50,13.14,137,18
155,156,T152,Branden Grace,62,13.08,107,14
156,157,T155,Phil Mickelson,41,13.04,92,12
157,158,160,Adam Long,52,12.93,147,19
158,159,145,Martin Trainer,51,12.88,132,17
159,160,T155,Jonathan Byrd,43,12.82,78,10
160,161,140,Rod Pampling,40,12.77,94,12
161,162,147,Harold Varner III,62,12.71,181,23
162,T163,T162,Brian Harman,67,12.5,176,22
163,T163,T166,Kyle Stanley,53,12.5,120,15
164,165,T155,Julián Etulain,55,12.4,121,15
165,166,169,Ryan Blaum,67,12.37,186,23
166,167,170,Grayson Murray,36,12.36,89,11
167,168,154,Adam Hadwin,66,12.35,162,20
168,169,T155,Bill Haas,58,12.33,146,18
169,170,T171,Byeong Hun An,54,12.28,114,14
170,171,168,Harris English,72,12.23,188,23
171,172,176,Rory Sabbatini,71,12.17,189,23
172,173,165,Scott Stallings,63,12.15,181,22
173,174,150,Scott Langley,60,12.03,158,19
174,175,177,C.T. Pan,64,11.92,151,18
175,176,173,Brandon Harkins,67,11.8,161,19
176,177,T166,D.J. Trahan,33,11.76,68,8
177,178,178,Bronson Burgoon,37,11.65,103,12
178,179,193,Jimmy Walker,61,11.64,146,17
179,180,192,Josh Teater,47,11.48,122,14
180,181,179,Kevin Streelman,63,11.46,157,18
181,182,186,Corey Conners,62,11.45,166,19
182,183,161,Justin Thomas,49,11.43,105,12
183,T184,T180,Satoshi Kodaira,51,11.32,106,12
184,T184,T180,Marc Leishman,52,11.32,106,12
185,186,T190,Danny Willett,47,11.28,133,15
186,187,184,Sam Saunders,53,11.19,143,16
187,188,174,J.B. Holmes,54,11.11,99,11
188,189,183,Francesco Molinari,41,10.96,73,8
189,190,182,Alex Prugh,54,10.92,119,13
190,191,185,Haotong Li,32,10.91,55,6
191,192,187,John Huh,35,10.84,83,9
192,193,T190,Keegan Bradley,65,10.6,151,16
193,194,188,Roger Sloan,62,10.53,152,16
194,195,194,Russell Knox,65,10.32,126,13
195,196,196,Bubba Watson,47,10.29,136,14
196,197,195,Mackenzie Hughes,58,9.72,144,14
197,198,203,José de Jesús Rodríguez,51,9.65,114,11
198,199,199,Ernie Els,43,9.57,94,9
199,200,198,Alex Cejka,41,9.09,88,8
200,201,205,Seamus Power,58,9.03,144,13
201,202,197,Fabián Gómez,44,8.94,123,11
202,203,207,Henrik Stenson,46,8.91,101,9
203,204,200,Andrew Landry,56,8.84,147,13
204,205,202,Sergio Garcia,39,8.74,103,9
205,206,201,Louis Oosthuizen,43,8.7,69,6
206,207,204,Trey Mullinax,67,7.74,168,13
207,208,206,J.J. Henry,42,7.23,83,6
208,209,999,Tyrone Van Aswegen,30,6.67,75,5
