,Putts_per_Round_-_Round_2_RANK THIS WEEK,Putts_per_Round_-_Round_2_RANK LAST WEEK,Putts_per_Round_-_Round_2_PLAYER NAME,Putts_per_Round_-_Round_2_AVG,Putts_per_Round_-_Round_2_TOTAL PUTTS,Putts_per_Round_-_Round_2_TOTAL ROUNDS
43,T44,T41,Aaron Baddeley,28.33,425,15
44,T44,T41,Ernie Els,28.33,340,12
45,46,45,Patton Kizzire,28.35,482,17
46,47,46,Charl Schwartzel,28.36,312,11
47,48,48,Jonas Blixt,28.37,539,19
48,T49,T49,Sungjae Im,28.4,710,25
49,T49,27,Ollie Schniederjans,28.4,568,20
50,T51,T49,Stewart Cink,28.42,341,12
51,T51,39,Rory McIlroy,28.42,341,12
52,53,T51,J.T. Poston,28.43,597,21
53,T54,T59,Mackenzie Hughes,28.44,512,18
54,T54,67,Stephan Jaeger,28.44,512,18
55,T54,55,Kevin Tway,28.44,512,18
56,T57,T56,Sangmoon Bae,28.47,427,15
57,T57,T51,Graeme McDowell,28.47,427,15
58,T57,63,Brandt Snedeker,28.47,484,17
59,T60,T56,Bryson DeChambeau,28.5,342,12
60,T60,999,Martin Piller,28.5,285,10
61,T60,62,Justin Thomas,28.5,342,12
62,63,T59,Kevin Kisner,28.53,428,15
63,T64,83,Harris English,28.55,571,20
64,T64,999,Tyrone Van Aswegen,28.55,314,11
65,T66,61,Joey Garber,28.57,400,14
66,T66,64,Tiger Woods,28.57,200,7
67,T68,T53,Sam Saunders,28.59,486,17
68,T68,T56,Jimmy Walker,28.59,486,17
69,70,T68,Henrik Stenson,28.6,286,10
70,71,T102,Ben Crane,28.62,372,13
71,72,66,Hideki Matsuyama,28.64,401,14
72,T73,T68,Tommy Fleetwood,28.67,258,9
73,T73,T68,Phil Mickelson,28.67,344,12
74,T75,T72,Paul Casey,28.69,373,13
75,T75,T72,Anirban Lahiri,28.69,459,16
76,T75,84,Johnson Wagner,28.69,373,13
77,78,T87,Robert Streb,28.7,574,20
78,T79,T95,Tyler Duncan,28.71,603,21
79,T79,T74,Andrew Landry,28.71,488,17
80,81,79,Rory Sabbatini,28.72,517,18
81,T82,T74,Julián Etulain,28.73,431,15
82,T82,T110,J.B. Holmes,28.73,431,15
83,T82,T80,Martin Kaymer,28.73,316,11
84,T82,T74,Kelly Kraft,28.73,632,22
85,T82,T74,Ryan Palmer,28.73,431,15
86,T82,T80,Adam Scott,28.73,316,11
87,88,65,Bud Cauley,28.74,546,19
88,T89,T80,Austin Cook,28.75,460,16
89,T89,94,Seamus Power,28.75,575,20
90,91,T102,Webb Simpson,28.77,374,13
91,T92,T87,Kiradech Aphibarnrat,28.79,403,14
92,T92,T68,Scott Stallings,28.79,547,19
93,T92,T95,Cameron Tringale,28.79,403,14
94,T95,T89,Satoshi Kodaira,28.8,432,15
95,T95,T97,Hank Lebioda,28.8,432,15
96,97,91,Chris Kirk,28.81,461,16
97,T98,T89,Dustin Johnson,28.82,317,11
98,T98,92,Troy Merritt,28.82,317,11
99,T100,T110,Jonathan Byrd,28.83,346,12
100,T100,93,Matt Jones,28.83,519,18
101,T100,T85,Scott Piercy,28.83,519,18
102,T100,T85,J.J. Spaun,28.83,519,18
103,104,T110,Wes Roach,28.85,375,13
104,105,T97,Xander Schauffele,28.86,404,14
105,106,T97,Zach Johnson,28.87,433,15
106,107,T100,Lucas Glover,28.88,462,16
107,108,T102,Jon Rahm,28.92,347,12
108,T109,T106,Jason Kokrak,28.94,463,16
109,T109,T106,C.T. Pan,28.94,521,18
110,T109,T106,Chez Reavie,28.94,492,17
111,T109,T100,Chase Wright,28.94,521,18
112,113,164,Brooks Koepka,29.0,319,11
113,114,T110,Dylan Frittelli,29.07,436,15
114,115,T119,Whee Kim,29.11,553,19
115,116,116,Cameron Champ,29.12,495,17
116,T117,117,Fabián Gómez,29.14,408,14
117,T117,T135,Brady Schnell,29.14,408,14
118,T119,118,Kevin Streelman,29.16,554,19
119,T119,T119,Harold Varner III,29.16,554,19
120,121,T119,John Senden,29.17,350,12
121,T122,T125,Cameron Davis,29.18,496,17
122,T122,T106,Russell Henley,29.18,496,17
123,T122,150,Ben Silverman,29.18,496,17
124,T125,124,Bronson Burgoon,29.21,409,14
125,T125,T119,Nick Watney,29.21,555,19
126,T127,142,Scott Brown,29.25,585,20
127,T127,T125,Patrick Cantlay,29.25,351,12
128,T127,105,Bill Haas,29.25,468,16
129,130,T144,Peter Uihlein,29.26,556,19
130,131,129,Max Homa,29.28,527,18
131,T132,T130,Rafa Cabrera Bello,29.29,410,14
132,T132,T130,Joel Dahmen,29.29,615,21
133,T132,T130,Charley Hoffman,29.29,498,17
134,T132,114,Sebastián Muñoz,29.29,498,17
135,T136,T127,Keegan Bradley,29.31,469,16
136,T136,115,David Hearn,29.31,381,13
137,T136,T135,John Huh,29.31,381,13
138,T136,T135,Marc Leishman,29.31,381,13
139,T140,T127,Talor Gooch,29.33,352,12
140,T140,T138,Luke List,29.33,440,15
141,T140,T138,Hunter Mahan,29.33,440,15
142,T140,T130,Shawn Stefani,29.33,528,18
143,T140,T130,Danny Willett,29.33,440,15
144,T145,T151,Tom Hoge,29.35,675,23
145,T145,140,Jhonattan Vegas,29.35,499,17
146,147,141,Byeong Hun An,29.36,411,14
147,148,143,Ryan Moore,29.38,470,16
148,149,146,Kyoung-Hoon Lee,29.4,588,20
149,T150,147,"Ted Potter, Jr.",29.41,500,17
150,T150,123,Adam Svensson,29.41,500,17
151,T152,148,Sung Kang,29.42,559,19
152,T152,T144,Danny Lee,29.42,559,19
153,T152,173,Chris Thompson,29.42,353,12
154,155,T151,Ian Poulter,29.45,324,11
155,T156,149,Roberto Díaz,29.47,442,15
156,T156,154,Andrew Putnam,29.47,442,15
157,T156,T155,Aaron Wise,29.47,442,15
158,T159,T155,James Hahn,29.5,295,10
159,T159,T155,Russell Knox,29.5,472,16
160,T159,999,Shane Lowry,29.5,236,8
161,T159,T161,Carlos Ortiz,29.5,590,20
162,T159,T155,Gary Woodland,29.5,472,16
163,T164,T161,Chesson Hadley,29.53,561,19
164,T164,T180,Sepp Straka,29.53,443,15
165,166,T155,Sergio Garcia,29.56,266,9
166,T167,171,Ryan Armour,29.57,621,21
167,T167,163,Brian Stuard,29.57,621,21
168,169,T155,Joaquin Niemann,29.58,562,19
169,T170,177,Jim Herman,29.63,474,16
170,T170,T169,Josh Teater,29.63,474,16
171,T170,T165,Matt Wallace,29.63,237,8
172,T173,153,Jim Furyk,29.64,415,14
173,T173,167,Patrick Rodgers,29.64,415,14
174,175,168,Michael Kim,29.65,593,20
175,T176,T175,Lucas Bjerregaard,29.67,267,9
176,T176,T169,Tyrrell Hatton,29.67,356,12
177,178,T165,Chris Stroud,29.71,505,17
178,T179,T184,Brice Garnett,29.75,595,20
179,T179,T175,Branden Grace,29.75,476,16
180,T179,174,Brandon Harkins,29.75,595,20
181,182,172,Trey Mullinax,29.79,566,19
182,183,178,Kyle Stanley,29.81,477,16
183,184,179,Grayson Murray,29.82,328,11
184,185,186,Adam Schenk,29.83,686,23
185,186,T180,Kevin Na,29.86,418,14
186,187,183,Charles Howell III,29.88,508,17
187,188,T184,Jason Dufner,29.89,538,18
188,189,T180,Roberto Castro,29.93,449,15
189,190,187,Keith Mitchell,29.94,539,18
190,191,196,Kramer Hickok,29.95,569,19
191,T192,T188,Nate Lashley,30.0,360,12
192,T192,T188,Haotong Li,30.0,240,8
193,T192,T188,D.A. Points,30.0,360,12
194,T192,T188,Alex Prugh,30.0,510,17
195,T196,195,Billy Horschel,30.06,511,17
196,T196,198,Jim Knous,30.06,481,16
197,198,T188,Hudson Swafford,30.11,572,19
198,199,197,Alex Noren,30.15,392,13
199,200,T188,D.J. Trahan,30.22,272,9
200,201,199,Seth Reeves,30.29,515,17
201,202,201,Rod Pampling,30.33,455,15
202,203,200,J.J. Henry,30.5,427,14
203,204,206,Bubba Watson,30.55,336,11
204,205,202,Adam Long,30.58,581,19
205,206,203,Corey Conners,30.63,582,19
206,207,204,Brendan Steele,30.75,492,16
207,208,205,John Chin,30.79,431,14
208,209,207,Emiliano Grillo,31.38,502,16
