,Putts_Made_Per_Event_Over_10_RANK THIS WEEK,Putts_Made_Per_Event_Over_10_RANK LAST WEEK,Putts_Made_Per_Event_Over_10_PLAYER NAME,Putts_Made_Per_Event_Over_10_ROUNDS,Putts_Made_Per_Event_Over_10_PUTTS MADE
176,T173,T171,Tom Hoge,70,3.5
177,T178,T176,Ernie Els,43,3.4
178,T178,T176,Kyle Jones,49,3.4
179,T178,T176,Chris Kirk,47,3.4
180,T178,T176,Sam Saunders,53,3.4
181,T182,T171,John Chin,38,3.3
182,T182,T184,Brian Harman,67,3.3
183,T182,T193,Josh Teater,47,3.3
184,T185,T176,Alex Cejka,41,3.2
185,T185,T187,Tyler Duncan,66,3.2
186,T185,T184,David Hearn,41,3.2
187,T185,T184,Stephan Jaeger,59,3.2
188,T185,T176,Alex Prugh,54,3.2
189,T185,T187,Robert Streb,60,3.2
190,T185,T176,Martin Trainer,51,3.2
191,T192,T187,Whee Kim,57,3.1
192,T192,T200,Seamus Power,58,3.1
193,T192,T187,Seth Reeves,52,3.1
194,T192,T187,Charl Schwartzel,34,3.1
195,T192,T200,Chris Thompson,34,3.1
196,T197,T193,James Hahn,34,3.0
197,T197,T193,Michael Kim,51,3.0
198,T197,T193,Adam Long,52,3.0
199,T197,T193,D.A. Points,33,3.0
200,T197,T193,Brady Schnell,38,3.0
201,T197,T193,Kyle Stanley,53,3.0
202,203,T200,John Huh,35,2.9
203,T204,205,J.B. Holmes,54,2.8
204,T204,T203,Grayson Murray,36,2.8
205,206,T203,Jim Herman,37,2.7
206,207,999,Tyrone Van Aswegen,30,2.3
207,208,206,J.J. Henry,42,2.2
208,209,207,Rod Pampling,40,1.9
