,Putting_from_7_RANK THIS WEEK,Putting_from_7_RANK LAST WEEK,Putting_from_7_PLAYER NAME,Putting_from_7_ROUNDS,Putting_from_7_% MADE,Putting_from_7_ATTEMPTS,Putting_from_7_PUTTS MADE
85,86,83,Abraham Ancer,69,62.22,45,28
86,87,47,Jimmy Walker,61,62.0,50,31
87,88,T97,Roberto Díaz,51,61.9,21,13
88,89,82,Sungjae Im,88,61.82,55,34
89,90,87,Chez Reavie,67,61.76,34,21
90,91,T84,Alex Prugh,54,61.29,31,19
91,T92,T110,Ryan Palmer,56,61.11,36,22
92,T92,T130,Chris Thompson,34,61.11,18,11
93,T94,90,Bronson Burgoon,37,60.87,23,14
94,T94,89,Josh Teater,47,60.87,23,14
95,96,T91,Brendan Steele,50,60.71,28,17
96,97,95,Rory Sabbatini,71,60.66,61,37
97,T98,T97,Matthew Fitzpatrick,42,60.0,25,15
98,T98,T139,Robert Streb,60,60.0,35,21
99,T98,96,Peter Uihlein,65,60.0,40,24
100,101,102,Adam Long,52,59.68,62,37
101,102,T97,Daniel Berger,48,59.57,47,28
102,T103,103,Emiliano Grillo,65,59.52,42,25
103,T103,109,Matt Kuchar,65,59.52,42,25
104,105,75,Rory McIlroy,50,59.38,32,19
105,T106,T104,Ryan Blaum,67,59.26,54,32
106,T106,T104,Jason Dufner,56,59.26,27,16
107,T106,T104,Tony Finau,61,59.26,27,16
108,T109,T124,Brian Gay,79,59.18,49,29
109,T109,107,Martin Trainer,51,59.18,49,29
110,T111,143,Tyler Duncan,66,59.09,44,26
111,T111,T97,David Hearn,41,59.09,22,13
112,113,T110,Sam Ryder,52,58.82,34,20
113,T114,T113,Ryan Moore,54,58.7,46,27
114,T114,T113,J.T. Poston,76,58.7,46,27
115,T116,T115,Patton Kizzire,58,58.62,29,17
116,T116,T115,Hunter Mahan,45,58.62,29,17
117,T116,T97,Cameron Tringale,52,58.62,29,17
118,T119,123,Stephan Jaeger,59,58.54,41,24
119,T119,T117,Kyoung-Hoon Lee,72,58.54,41,24
120,T119,T117,Gary Woodland,63,58.54,41,24
121,T122,T119,Adam Scott,41,58.33,24,14
122,T122,T119,Henrik Stenson,46,58.33,24,14
123,124,T121,Kevin Tway,62,58.06,31,18
124,125,T110,Hank Lebioda,55,57.89,38,22
125,126,T124,Cameron Champ,58,57.78,45,26
126,127,126,Patrick Cantlay,49,57.69,26,15
127,T128,T63,Sergio Garcia,39,57.58,33,19
128,T128,127,Beau Hossler,66,57.58,33,19
129,T128,T91,Nate Lashley,44,57.58,33,19
130,131,T128,Jordan Spieth,57,57.5,40,23
131,T132,T130,Freddie Jacobson,37,57.14,14,8
132,T132,T130,Si Woo Kim,65,57.14,28,16
133,134,135,Charles Howell III,64,56.86,51,29
134,135,T167,J.J. Spaun,68,56.76,37,21
135,T136,T137,Francesco Molinari,41,56.67,30,17
136,T136,T137,Andrew Putnam,57,56.67,30,17
137,T138,T139,Branden Grace,62,56.25,32,18
138,T138,T139,Marc Leishman,52,56.25,32,18
139,T138,T139,Justin Rose,42,56.25,32,18
140,T141,T145,Russell Henley,56,55.88,34,19
141,T141,T145,Charley Hoffman,58,55.88,34,19
142,T141,T121,Chris Stroud,54,55.88,34,19
143,T144,T167,Adam Hadwin,66,55.56,36,20
144,T144,T148,Troy Merritt,42,55.56,36,20
145,T144,T148,Brian Stuard,76,55.56,45,25
146,T147,T151,Satoshi Kodaira,51,55.26,38,21
147,T147,T151,Carlos Ortiz,60,55.26,38,21
148,T147,T148,Roger Sloan,62,55.26,38,21
149,150,T128,Webb Simpson,53,55.1,49,27
150,151,T164,Danny Willett,47,54.84,31,17
151,152,T159,Jim Furyk,53,54.76,42,23
152,T153,T161,Mackenzie Hughes,58,54.55,44,24
153,T153,154,Zach Johnson,50,54.55,33,18
154,T153,155,Phil Mickelson,41,54.55,33,18
155,T156,157,John Huh,35,54.17,24,13
156,T156,108,Brooks Koepka,49,54.17,24,13
157,T156,153,Wes Roach,45,54.17,24,13
158,159,158,Joel Dahmen,78,54.0,50,27
159,T160,144,Bill Haas,58,53.85,26,14
160,T160,T130,Denny McCarthy,63,53.85,39,21
161,162,T159,Brice Garnett,63,53.66,41,22
162,163,T161,Tom Hoge,70,53.49,43,23
163,164,T164,James Hahn,34,53.33,15,8
164,165,166,Hideki Matsuyama,59,53.13,32,17
165,T166,T167,Tyrrell Hatton,46,52.94,17,9
166,T166,T167,Andrew Landry,56,52.94,34,18
167,168,136,Julián Etulain,55,52.38,42,22
168,169,171,Austin Cook,50,52.27,44,23
169,170,T179,Johnson Wagner,45,52.17,23,12
170,171,172,Richy Werenski,63,52.08,48,25
171,T172,T173,Kevin Na,54,52.0,25,13
172,T172,156,Joaquin Niemann,68,52.0,50,26
173,174,175,Kyle Stanley,53,51.85,27,14
174,175,T173,Sepp Straka,48,51.61,31,16
175,T176,T145,Jonas Blixt,66,51.28,39,20
176,T176,T179,Bud Cauley,61,51.28,39,20
177,178,176,Max Homa,61,51.16,43,22
178,179,177,Rickie Fowler,54,51.06,47,24
179,180,178,"Ted Potter, Jr.",56,50.98,51,26
180,T181,T179,Ryan Armour,66,50.0,38,19
181,T181,163,Seth Reeves,52,50.0,32,16
182,T181,T179,Adam Svensson,51,50.0,30,15
183,184,T183,Michael Kim,51,48.78,41,20
184,185,185,Alex Noren,49,48.28,29,14
185,186,T193,Alex Cejka,41,48.0,25,12
186,187,T183,Kramer Hickok,59,47.62,42,20
187,188,999,Shane Lowry,30,47.37,19,9
188,189,189,Byeong Hun An,54,47.06,34,16
189,190,188,Aaron Wise,52,45.95,37,17
190,191,192,Jon Rahm,51,45.83,24,11
191,T192,186,Matt Every,38,45.45,22,10
192,T192,191,Scott Stallings,63,45.45,44,20
193,194,187,Fabián Gómez,44,45.0,20,9
194,195,190,Justin Thomas,49,44.12,34,15
195,196,196,Talor Gooch,37,43.75,32,14
196,197,199,Keegan Bradley,65,43.59,39,17
197,198,195,Chase Wright,53,42.42,33,14
198,T199,T197,Haotong Li,32,42.11,19,8
199,T199,T197,Tiger Woods,31,42.11,19,8
200,201,T193,Jim Herman,37,41.67,12,5
201,202,200,Paul Casey,51,40.0,30,12
202,203,204,John Chin,38,38.46,13,5
203,204,201,Rod Pampling,40,37.84,37,14
204,T205,203,Jim Knous,55,37.5,32,12
205,T205,999,Tyrone Van Aswegen,30,37.5,16,6
206,207,202,Brandon Harkins,67,36.59,41,15
