,Power_Rating_RANK THIS WEEK,Power_Rating_RANK LAST WEEK,Power_Rating_PLAYER NAME,Power_Rating_EVENTS,Power_Rating_RATING
210,T210,T206,Brett Drewitt,1,4.9
211,T210,T206,Brice Garnett,6,4.9
212,T210,T206,Russell Henley,7,4.9
213,T210,T206,Kevin Kisner,11,4.9
214,T210,T202,Kelly Kraft,6,4.9
215,T210,T206,Kevin Na,6,4.9
216,T210,T206,Shaun Norris,1,4.9
217,T210,T194,José de Jesús Rodríguez,6,4.9
218,T210,T206,Vijay Singh,1,4.9
219,T210,T206,Boo Weekley,2,4.9
220,T221,T216,Roberto Díaz,6,4.8
221,T221,T216,Matthew Fitzpatrick,7,4.8
222,T221,T216,Shugo Imahira,2,4.8
223,T221,T216,Tae Hee Lee,1,4.8
224,T221,T216,Shubhankar Sharma,2,4.8
225,T221,T216,Kyle Stanley,4,4.8
226,T227,T224,Andrew Landry,8,4.7
227,T227,T224,David Lipsky,3,4.7
228,T227,T178,Rod Pampling,2,4.7
229,T230,T227,Ricky Barnes,1,4.6
230,T230,T227,James Hahn,3,4.6
231,T230,T233,Zach Johnson,9,4.6
232,T230,T227,Nate Lashley,8,4.6
233,T230,T227,Richard Lee,1,4.6
234,T230,T227,Nicholas Lindheim,3,4.6
235,T230,T227,Adam Svensson,7,4.6
236,T237,T233,Tom Hoge,7,4.5
237,T237,T233,"Ted Potter, Jr.",7,4.5
238,T237,T239,Ben Silverman,8,4.5
239,T237,T233,Brandt Snedeker,12,4.5
240,T241,T243,Tyler Duncan,7,4.4
241,T241,T237,Marty Jertson,1,4.4
242,T241,T237,Webb Simpson,11,4.4
243,T244,T239,Alexander Björk,1,4.3
244,T244,T249,Scott Brown,8,4.3
245,T244,T224,Jonathan Byrd,6,4.3
246,T244,T239,Daniel Chopra,1,4.3
247,T244,T239,Fred Couples,1,4.3
248,T244,T247,Graeme McDowell,10,4.3
249,T250,T243,Ryan Blaum,10,4.2
250,T250,T243,David Lingmerth,2,4.2
251,T250,T243,Pat Perez,6,4.2
252,253,T247,Fabián Gómez,6,4.1
253,254,T249,Matthew Short,1,4.0
254,T255,T251,Yuki Inamori,1,3.9
255,T255,T251,Michael Kim,2,3.9
256,T257,T253,Derek Fathauer,1,3.8
257,T257,T253,Chris Kirk,5,3.8
258,T257,T253,Chez Reavie,9,3.8
259,T257,T253,Richard Sterne,1,3.8
260,T261,T257,Billy Hurley III,2,3.7
261,T261,T257,Satoshi Kodaira,6,3.7
262,T263,T259,Whee Kim,2,3.6
263,T263,T259,John Senden,3,3.6
264,T265,T262,John Catlin,2,3.5
265,T265,T262,Jonathan Randolph,1,3.5
266,T265,T262,Brady Schnell,3,3.5
267,T265,T259,Henrik Stenson,8,3.5
268,T265,T262,Johnson Wagner,7,3.5
269,T270,T266,Alex Cejka,4,3.4
270,T270,T266,Kyle Jones,4,3.4
271,T270,,George McNeill,1,3.4
272,T270,T266,Eddie Pepperell,4,3.4
273,T274,T271,Roberto Castro,9,3.3
274,T274,T269,Ben Crane,4,3.3
275,T274,T269,Andrew Putnam,8,3.3
276,277,T271,Vaughn Taylor,11,3.2
277,278,273,Ryan Moore,9,3.1
278,T279,T274,Tim Herron,2,3.0
279,T279,T274,Rob Labritz,1,3.0
280,281,276,John Huh,4,2.9
281,T282,T277,Aaron Rai,1,2.8
282,T282,T277,Steve Stricker,2,2.8
283,T282,T277,Brian Stuard,13,2.8
284,T285,T280,Luke Donald,3,2.7
285,T285,284,Jim Furyk,9,2.7
286,T285,T280,Brian Gay,13,2.7
287,T285,T280,Morgan Hoffmann,4,2.7
288,T285,T280,Martin Piller,2,2.7
289,T290,T285,Freddie Jacobson,3,2.5
290,T290,T285,Adrian Otaegui,1,2.5
291,T292,T287,Ryan Armour,8,2.4
292,T292,T287,Rich Beem,1,2.4
293,T294,T289,Stuart Appleby,2,2.3
294,T294,T289,K.J. Choi,3,2.3
295,T294,T289,David Hearn,2,2.3
296,T294,T289,Parker McLachlin,1,2.3
297,T294,T289,D.A. Points,2,2.3
298,T294,T289,Tim Wilkinson,1,2.3
299,300,295,Brendon Todd,2,2.1
300,301,296,David Toms,1,2.0
301,T302,T297,Dylan Meyer,1,1.9
302,T302,T297,Mike Weir,1,1.9
303,304,T299,Scott Langley,9,1.8
304,305,301,John Rollins,1,1.5
305,T306,T299,Colt Knost,2,1.4
306,T306,302,Matthew Millar,1,1.4
307,308,303,Brendon de Jonge,1,1.3
308,309,304,Chad Collins,1,1.0
