,Last_15_Events_-_Power_RANK THIS WEEK,Last_15_Events_-_Power_RANK LAST WEEK,Last_15_Events_-_Power_PLAYER NAME,Last_15_Events_-_Power_EVENTS,Last_15_Events_-_Power_RATING
136,T132,T130,Seamus Power,4,6.5
137,T132,T123,Hudson Swafford,4,6.5
138,T139,T136,Matt Jones,9,6.4
139,T139,T130,Martin Laird,7,6.4
140,T139,T136,Adam Long,5,6.4
141,T139,T139,Peter Malnati,9,6.4
142,T139,T136,Francesco Molinari,7,6.4
143,T144,T139,Dominic Bozzelli,5,6.3
144,T144,T139,Kyoung-Hoon Lee,7,6.3
145,T144,T139,J.T. Poston,10,6.3
146,T144,T139,Kevin Streelman,9,6.3
147,T144,T139,Chase Wright,4,6.3
148,T149,T148,Joel Dahmen,8,6.2
149,T149,T148,Jake McLeod,1,6.2
150,T149,,Collin Morikawa,1,6.2
151,T152,T150,Doug Ghim,3,6.1
152,T152,T150,Lucas Glover,11,6.1
153,T152,T139,Stephan Jaeger,5,6.1
154,T152,T150,Troy Merritt,8,6.1
155,T156,T153,Dawson Armstrong,1,6.0
156,T156,T153,Jason Dufner,4,6.0
157,T156,T153,Emiliano Grillo,9,6.0
158,T156,T153,Kramer Hickok,6,6.0
159,T156,T163,Sungjae Im,7,6.0
160,T156,T163,Hank Lebioda,9,6.0
161,T156,T153,Scott Piercy,11,6.0
162,T156,T153,Sam Ryder,8,6.0
163,T164,T160,Kiradech Aphibarnrat,6,5.9
164,T164,T160,Billy Horschel,11,5.9
165,T164,T153,J.J. Spaun,8,5.9
166,T164,T160,Ryan Vermeer,1,5.9
167,T168,T163,Rafa Cabrera Bello,9,5.8
168,T168,T163,Justin Harding,2,5.8
169,T168,T163,Martin Kaymer,7,5.8
170,T168,T163,Thorbjørn Olesen,3,5.8
171,T168,T163,Ian Poulter,7,5.8
172,T168,T163,Cameron Smith,7,5.8
173,T168,T175,Chris Thompson,3,5.8
174,T168,T163,Cameron Tringale,8,5.8
175,T176,T173,Bud Cauley,8,5.7
176,T176,T175,Brian Harman,7,5.7
177,T176,T173,Jim Herman,1,5.7
178,T176,T163,Wes Roach,5,5.7
179,180,T175,Bronson Burgoon,3,5.6
180,T181,T179,Ricky Barnes,3,5.5
181,T181,T179,James Hahn,8,5.5
182,T181,T179,Charl Schwartzel,1,5.5
183,T181,T175,Tyrone Van Aswegen,4,5.5
184,T185,T183,Abraham Ancer,9,5.4
185,T185,T183,Jason Gore,1,5.4
186,T185,T183,Shugo Imahira,3,5.4
187,T185,T183,Patton Kizzire,5,5.4
188,T185,T183,Matt Kuchar,11,5.4
189,T185,T183,Anirban Lahiri,6,5.4
190,T185,T183,Chris Stroud,5,5.4
191,T192,T190,Jonas Blixt,9,5.3
192,T192,T190,Zack Fischer,1,5.3
193,T192,T213,Joey Garber,3,5.3
194,T192,T200,Brice Garnett,4,5.3
195,T192,T190,Bill Haas,7,5.3
196,T192,,Jake Knapp,1,5.3
197,T192,T190,Curtis Luck,4,5.3
198,T192,T190,Shawn Stefani,5,5.3
199,T192,T207,Robert Streb,4,5.3
200,T192,T207,Nick Taylor,11,5.3
201,T202,T195,Ernie Els,5,5.2
202,T202,T195,J.J. Henry,3,5.2
203,T202,T195,Denny McCarthy,5,5.2
204,T205,T200,Austin Cook,4,5.1
205,T205,T200,Davis Love III,4,5.1
206,T205,T200,Joost Luiten,4,5.1
207,T205,T200,Rory Sabbatini,11,5.1
208,T205,T200,Vijay Singh,2,5.1
209,T205,T195,Richy Werenski,5,5.1
210,T211,T207,Russell Knox,11,5.0
211,T211,T207,Steve Marino,1,5.0
212,T211,T207,C.T. Pan,9,5.0
213,T211,T200,José de Jesús Rodríguez,5,5.0
214,T211,T220,Josh Teater,5,5.0
215,T216,T213,Aaron Baddeley,8,4.9
216,T216,T213,Brett Drewitt,1,4.9
217,T216,T213,Russell Henley,7,4.9
218,T216,T213,Kevin Na,6,4.9
219,T216,T213,Shaun Norris,1,4.9
220,T216,T213,Boo Weekley,2,4.9
221,T222,T220,Roberto Díaz,6,4.8
222,T222,T220,Matthew Fitzpatrick,7,4.8
223,T222,T220,Tom Hoge,5,4.8
224,T222,T220,Kevin Kisner,10,4.8
225,T222,T220,Tae Hee Lee,1,4.8
226,T222,T220,Ben Martin,1,4.8
227,T222,T220,Shubhankar Sharma,2,4.8
228,T222,T220,Kyle Stanley,4,4.8
229,T222,T220,Adam Svensson,5,4.8
230,T222,T220,Michael Thompson,10,4.8
231,T232,T253,Tyler Duncan,3,4.7
232,T232,T234,Nate Lashley,9,4.7
233,T232,T231,David Lipsky,3,4.7
234,T232,T179,Rod Pampling,2,4.7
235,T236,T250,Fabián Gómez,7,4.6
236,T236,T239,Zach Johnson,9,4.6
237,T236,T231,Kelly Kraft,5,4.6
238,T236,T234,Andrew Landry,6,4.6
239,T236,T234,Richard Lee,1,4.6
240,T236,T234,Nicholas Lindheim,4,4.6
241,T236,T234,Jonathan Randolph,2,4.6
242,T236,T243,Ben Silverman,7,4.6
243,T244,T195,Derek Fathauer,2,4.5
244,T244,T239,"Ted Potter, Jr.",7,4.5
245,T246,,Chad Campbell,1,4.4
246,T246,T241,Marty Jertson,1,4.4
247,T246,T241,Webb Simpson,11,4.4
248,T249,T243,Alexander Björk,1,4.3
249,T249,T257,Scott Brown,6,4.3
250,T249,T231,Jonathan Byrd,6,4.3
251,T249,T243,Daniel Chopra,1,4.3
252,T249,T243,Fred Couples,1,4.3
253,T249,T243,Tim Herron,4,4.3
254,T249,T250,Graeme McDowell,9,4.3
255,T256,T207,George McNeill,2,4.2
256,T256,T248,Pat Perez,6,4.2
257,T256,T248,Brandt Snedeker,11,4.2
258,T259,T253,Retief Goosen,1,4.0
259,T259,T253,Matthew Short,1,4.0
260,T261,T257,Eric Axley,1,3.9
261,T261,T257,Yuki Inamori,1,3.9
262,T263,T260,Chris Kirk,5,3.8
263,T263,T253,Martin Piller,3,3.8
264,T263,T260,Richard Sterne,1,3.8
265,T263,T260,Steve Stricker,5,3.8
266,T267,T263,Billy Hurley III,2,3.7
267,T267,T263,Satoshi Kodaira,6,3.7
268,T267,T250,David Lingmerth,3,3.7
269,T267,T263,Chez Reavie,8,3.7
270,T271,T267,Ryan Blaum,5,3.6
271,T271,T263,Ben Crane,5,3.6
272,T271,T267,John Senden,3,3.6
273,T271,T269,Henrik Stenson,10,3.6
274,T275,T269,John Catlin,2,3.5
275,T275,T269,Brady Schnell,3,3.5
276,T275,T272,Johnson Wagner,7,3.5
277,T278,T272,Alex Cejka,4,3.4
278,T278,T272,Eddie Pepperell,4,3.4
279,T280,T275,Jerry Kelly,1,3.3
280,T280,T275,Andrew Putnam,8,3.3
281,282,T277,John Huh,5,3.2
282,T283,T277,Roberto Castro,8,3.1
283,T283,279,Vaughn Taylor,9,3.1
284,285,280,Rob Labritz,1,3.0
285,286,T281,Ryan Moore,8,2.9
286,T287,T283,Kyle Jones,3,2.8
287,T287,T283,Aaron Rai,1,2.8
288,T287,T283,Brian Stuard,12,2.8
289,T290,T286,Luke Donald,3,2.7
290,T290,T288,Jim Furyk,9,2.7
291,T290,T286,Morgan Hoffmann,4,2.7
292,T293,T281,Ryan Armour,5,2.6
293,T293,T288,Brendon de Jonge,2,2.6
294,T295,T290,Freddie Jacobson,3,2.5
295,T295,T290,Adrian Otaegui,1,2.5
296,T297,T292,Rich Beem,1,2.4
297,T297,T292,Brian Gay,10,2.4
298,T299,T294,David Hearn,2,2.3
299,T299,T294,Parker McLachlin,1,2.3
300,T299,T294,D.A. Points,2,2.3
301,T299,T294,Tim Wilkinson,1,2.3
302,303,298,K.J. Choi,4,2.2
303,T304,T299,Stuart Appleby,3,2.1
304,T304,T299,Brendon Todd,2,2.1
305,306,301,David Toms,1,2.0
306,T307,T302,Scott Langley,7,1.9
307,T307,T302,Dylan Meyer,1,1.9
308,T307,T302,Mike Weir,1,1.9
309,310,306,John Rollins,1,1.5
310,311,307,Matthew Millar,1,1.4
311,312,T302,Colt Knost,3,1.3
312,313,308,Chad Collins,1,1.0
