,Last_15_Events_-_Short_Game_RANK THIS WEEK,Last_15_Events_-_Short_Game_RANK LAST WEEK,Last_15_Events_-_Short_Game_PLAYER NAME,Last_15_Events_-_Short_Game_EVENTS,Last_15_Events_-_Short_Game_RATING
64,63,58.0,John Catlin,2,6.9
65,63,58.0,Tommy Fleetwood,6,6.9
66,63,58.0,Chesson Hadley,5,6.9
67,63,93.0,Brandon Harkins,6,6.9
68,63,58.0,Tom Hoge,4,6.9
69,63,58.0,Si Woo Kim,7,6.9
70,63,58.0,Tom Lovelady,2,6.9
71,63,58.0,Parker McLachlin,1,6.9
72,63,58.0,Andrew Putnam,7,6.9
73,63,93.0,Harold Varner III,7,6.9
74,63,58.0,Mike Weir,1,6.9
75,76,68.0,Rafa Cabrera Bello,9,6.8
76,76,68.0,Charley Hoffman,6,6.8
77,76,68.0,Sam Horsfield,1,6.8
78,76,68.0,Zach Johnson,9,6.8
79,76,68.0,Marc Leishman,8,6.8
80,76,68.0,Adam Long,5,6.8
81,76,68.0,Hideki Matsuyama,9,6.8
82,76,,Collin Morikawa,1,6.8
83,76,128.0,Martin Piller,2,6.8
84,76,68.0,Rory Sabbatini,10,6.8
85,76,68.0,Xander Schauffele,6,6.8
86,76,68.0,Matthew Short,1,6.8
87,76,68.0,Scott Stallings,6,6.8
88,89,201.0,Derek Fathauer,2,6.7
89,89,194.0,Brice Garnett,4,6.7
90,89,79.0,Bill Haas,7,6.7
91,89,79.0,Brian Harman,6,6.7
92,89,79.0,Morgan Hoffmann,4,6.7
93,89,79.0,Max Homa,7,6.7
94,89,93.0,David Lingmerth,3,6.7
95,89,79.0,Davis Love III,3,6.7
96,89,79.0,Hunter Mahan,3,6.7
97,89,79.0,Phil Mickelson,5,6.7
98,89,181.0,Chris Thompson,3,6.7
99,89,79.0,Michael Thompson,9,6.7
100,89,79.0,David Toms,1,6.7
101,89,79.0,Peter Uihlein,5,6.7
102,89,79.0,Jimmy Walker,9,6.7
103,104,93.0,Jason Dufner,3,6.6
104,104,151.0,Joey Garber,2,6.6
105,104,93.0,J.B. Holmes,2,6.6
106,104,93.0,Beau Hossler,9,6.6
107,104,93.0,Viktor Hovland,1,6.6
108,104,93.0,John Huh,4,6.6
109,104,93.0,Scott Langley,6,6.6
110,104,93.0,Joaquin Niemann,8,6.6
111,104,93.0,Thomas Pieters,2,6.6
112,104,93.0,D.A. Points,2,6.6
113,104,93.0,Wes Roach,5,6.6
114,104,112.0,José de Jesús Rodríguez,5,6.6
115,116,93.0,Ryan Armour,5,6.5
116,116,112.0,Lucas Bjerregaard,4,6.5
117,116,112.0,Jason Day,5,6.5
118,116,128.0,Adam Hadwin,10,6.5
119,116,151.0,Sungjae Im,7,6.5
120,116,112.0,Shugo Imahira,3,6.5
121,116,112.0,Stephan Jaeger,4,6.5
122,116,93.0,Dustin Johnson,8,6.5
123,116,112.0,Martin Kaymer,7,6.5
124,116,112.0,Russell Knox,10,6.5
125,116,112.0,Troy Merritt,7,6.5
126,116,112.0,Keith Mitchell,8,6.5
127,116,151.0,Trey Mullinax,8,6.5
128,116,112.0,Kyle Stanley,3,6.5
129,116,112.0,Shawn Stefani,3,6.5
130,116,112.0,Justin Thomas,7,6.5
131,116,112.0,Gary Woodland,6,6.5
132,116,112.0,Y.E. Yang,1,6.5
133,134,128.0,Ernie Els,5,6.4
134,134,128.0,Robert Garrigus,4,6.4
135,134,128.0,Branden Grace,7,6.4
136,134,128.0,Tyrrell Hatton,5,6.4
137,134,128.0,J.J. Henry,3,6.4
138,134,58.0,Mackenzie Hughes,6,6.4
139,134,128.0,Matt Jones,9,6.4
140,134,181.0,Jim Knous,3,6.4
141,134,128.0,Jason Kokrak,11,6.4
142,134,128.0,Hank Lebioda,6,6.4
143,134,128.0,Kyoung-Hoon Lee,7,6.4
144,134,45.0,Nicholas Lindheim,4,6.4
145,134,128.0,Jake McLeod,1,6.4
146,134,128.0,Francesco Molinari,7,6.4
147,134,128.0,Grayson Murray,3,6.4
148,134,128.0,Pat Perez,6,6.4
149,134,128.0,J.T. Poston,10,6.4
150,134,128.0,Scottie Scheffler,3,6.4
151,134,128.0,Jordan Spieth,10,6.4
152,134,128.0,Adam Svensson,5,6.4
153,134,181.0,Nick Watney,8,6.4
154,134,128.0,Richy Werenski,3,6.4
155,156,151.0,Aaron Baddeley,7,6.3
156,156,151.0,Brett Drewitt,1,6.3
157,156,151.0,Derek Ernst,2,6.3
158,156,151.0,Matt Every,4,6.3
159,156,151.0,Jason Gore,1,6.3
160,156,151.0,Russell Henley,7,6.3
161,156,151.0,Billy Horschel,10,6.3
162,156,151.0,Sung Kang,10,6.3
163,156,151.0,Jamie Lovemark,2,6.3
164,156,112.0,Peter Malnati,7,6.3
165,156,151.0,"Ted Potter, Jr.",6,6.3
166,156,151.0,Sam Ryder,7,6.3
167,156,93.0,Henrik Stenson,8,6.3
168,156,93.0,Cameron Tringale,7,6.3
169,170,166.0,Stuart Appleby,3,6.2
170,170,166.0,Rich Beem,1,6.2
171,170,201.0,Keegan Bradley,9,6.2
172,170,166.0,Stewart Cink,3,6.2
173,170,166.0,Sergio Garcia,6,6.2
174,170,166.0,Chris Kirk,5,6.2
175,170,166.0,Anirban Lahiri,5,6.2
176,170,128.0,Martin Laird,7,6.2
177,170,181.0,Nate Lashley,8,6.2
178,170,166.0,Danny Lee,8,6.2
179,170,201.0,Graeme McDowell,9,6.2
180,170,166.0,Matthew Millar,1,6.2
181,170,166.0,Jonathan Randolph,2,6.2
182,170,166.0,Adam Scott,6,6.2
183,170,166.0,Chris Stroud,4,6.2
184,170,166.0,Boo Weekley,2,6.2
185,186,181.0,Sam Burns,6,6.1
186,186,181.0,Paul Casey,6,6.1
187,186,181.0,Wyndham Clark,6,6.1
188,186,128.0,Brian Gay,9,6.1
189,186,181.0,James Hahn,6,6.1
190,186,181.0,Sean O'Hair,6,6.1
191,186,181.0,Vijay Singh,2,6.1
192,186,181.0,Vaughn Taylor,9,6.1
193,186,166.0,Nick Taylor,11,6.1
194,195,194.0,Garrett Barber,1,6.0
195,195,201.0,Brooks Koepka,7,6.0
196,195,194.0,Luke List,7,6.0
197,195,181.0,Rory McIlroy,9,6.0
198,195,194.0,Jon Rahm,8,6.0
199,195,194.0,Ollie Schniederjans,5,6.0
200,195,112.0,Josh Teater,5,6.0
201,202,166.0,Scott Brown,5,5.9
202,202,151.0,Cameron Davis,3,5.9
203,202,166.0,Jim Furyk,8,5.9
204,202,201.0,Charles Howell III,8,5.9
205,202,201.0,Patton Kizzire,5,5.9
206,202,201.0,Tae Hee Lee,1,5.9
207,202,201.0,Haotong Li,5,5.9
208,202,229.0,Alex Noren,6,5.9
209,202,201.0,C.T. Pan,8,5.9
210,202,201.0,Eddie Pepperell,4,5.9
211,202,194.0,Scott Piercy,11,5.9
212,202,201.0,Alex Prugh,2,5.9
213,202,201.0,Chez Reavie,8,5.9
214,202,201.0,Brendan Steele,5,5.9
215,202,201.0,Martin Trainer,4,5.9
216,202,201.0,Kristoffer Ventura,1,5.9
217,202,238.0,Bubba Watson,8,5.9
218,219,218.0,K.J. Choi,4,5.8
219,219,218.0,Joel Dahmen,8,5.8
220,219,194.0,Harris English,6,5.8
221,219,218.0,Martin Flores,1,5.8
222,219,274.0,Padraig Harrington,3,5.8
223,219,218.0,Lucas Herbert,1,5.8
224,219,218.0,Jim Herman,1,5.8
225,219,218.0,Tom Lewis,1,5.8
226,219,218.0,Denny McCarthy,4,5.8
227,219,218.0,Ryan Moore,8,5.8
228,219,238.0,J.J. Spaun,6,5.8
229,219,218.0,Kevin Streelman,9,5.8
230,219,218.0,Steve Stricker,5,5.8
231,219,201.0,Aaron Wise,6,5.8
232,233,229.0,Abraham Ancer,7,5.7
233,233,253.0,Jonas Blixt,9,5.7
234,233,229.0,Bryson DeChambeau,5,5.7
235,233,229.0,Tony Finau,8,5.7
236,233,229.0,Rob Labritz,1,5.7
237,233,229.0,Adrian Otaegui,1,5.7
238,239,238.0,Kiradech Aphibarnrat,6,5.6
239,239,238.0,John Chin,2,5.6
240,239,238.0,Andrew Landry,6,5.6
241,239,270.0,Robert Streb,4,5.6
242,243,238.0,Daniel Berger,8,5.5
243,243,229.0,Roberto Castro,7,5.5
244,243,244.0,Corey Conners,6,5.5
245,243,79.0,Tyler Duncan,2,5.5
246,243,244.0,Dylan Frittelli,8,5.5
247,243,218.0,Fabián Gómez,7,5.5
248,243,244.0,Lee Hodges,1,5.5
249,243,244.0,Satoshi Kodaira,6,5.5
250,243,244.0,Carlos Ortiz,5,5.5
251,243,244.0,Ian Poulter,7,5.5
252,243,244.0,John Rollins,1,5.5
253,254,244.0,Sangmoon Bae,3,5.4
254,254,253.0,Alexander Björk,1,5.4
255,254,253.0,Alex Cejka,4,5.4
256,254,253.0,Julián Etulain,6,5.4
257,254,253.0,Matthew Fitzpatrick,7,5.4
258,254,253.0,David Hearn,2,5.4
259,254,,Richard Jung,1,5.4
260,254,253.0,Kevin Kisner,9,5.4
261,254,253.0,Tim Wilkinson,1,5.4
262,263,261.0,Cameron Champ,5,5.3
263,263,261.0,Emiliano Grillo,8,5.3
264,263,128.0,Colt Knost,3,5.3
265,263,261.0,Richard Lee,1,5.3
266,263,181.0,George McNeill,2,5.3
267,263,261.0,Ryan Palmer,7,5.3
268,269,268.0,Ryan Blaum,4,5.2
269,269,201.0,Dominic Bozzelli,5,5.2
270,269,229.0,Cody Gribble,4,5.2
271,269,244.0,Kelly Kraft,5,5.2
272,269,268.0,Thorbjørn Olesen,2,5.2
273,269,261.0,Erik van Rooyen,3,5.2
274,275,270.0,George Cunningham,1,5.1
275,275,261.0,Curtis Luck,4,5.1
276,275,270.0,Tyler McCumber,1,5.1
277,275,278.0,Adam Schenk,7,5.1
278,279,274.0,Ryan Fox,1,5.0
279,279,274.0,Jazz Janewattananond,1,5.0
280,279,274.0,Dru Love,1,5.0
281,279,270.0,Sepp Straka,3,5.0
282,283,278.0,Henrik Norlander,2,4.9
283,283,278.0,John Senden,2,4.9
284,285,281.0,Aaron Rai,1,4.8
285,285,281.0,Matthew Wolff,1,4.8
286,287,,Paul Barjon,1,4.7
287,287,283.0,Bronson Burgoon,3,4.7
288,287,283.0,Justin Harding,2,4.7
289,287,283.0,Joost Luiten,3,4.7
290,287,283.0,Richard Sterne,1,4.7
291,292,287.0,Shubhankar Sharma,2,4.6
292,293,289.0,Ross Fisher,1,4.5
293,293,289.0,Doug Ghim,3,4.5
294,293,289.0,Norman Xiong,2,4.5
295,296,292.0,Kramer Hickok,5,4.4
296,296,292.0,Doc Redman,1,4.4
297,298,294.0,Zack Sucher,1,4.3
298,298,287.0,Johnson Wagner,7,4.3
299,300,295.0,Eric Axley,1,4.1
300,300,295.0,Kurt Kitayama,1,4.1
301,302,297.0,Freddie Jacobson,2,3.9
302,303,298.0,Chad Collins,1,3.0
303,304,299.0,Shaun Norris,1,2.9
304,305,300.0,Yuki Inamori,1,2.8
305,305,300.0,Ben Martin,1,2.8
306,307,302.0,Braden Thornberry,1,2.5
