,Last_15_Events_-_Accuracy_RANK THIS WEEK,Last_15_Events_-_Accuracy_RANK LAST WEEK,Last_15_Events_-_Accuracy_PLAYER NAME,Last_15_Events_-_Accuracy_EVENTS,Last_15_Events_-_Accuracy_RATING
140,T130,T127,Cameron Smith,7,6.9
141,T130,T127,Shawn Stefani,5,6.9
142,T130,T162,Sepp Straka,4,6.9
143,T130,T127,Zack Sucher,2,6.9
144,T130,T102,Aaron Wise,6,6.9
145,T130,T127,Matthew Wolff,1,6.9
146,T147,T144,Byeong Hun An,8,6.8
147,T147,T144,Kiradech Aphibarnrat,6,6.8
148,T147,T144,Roberto Díaz,6,6.8
149,T147,T144,Jason Day,6,6.8
150,T147,T144,Luke Donald,3,6.8
151,T147,T144,Freddie Jacobson,3,6.8
152,T147,T144,Si Woo Kim,7,6.8
153,T147,T144,Danny Lee,8,6.8
154,T147,T144,Luke List,8,6.8
155,T147,T144,Hunter Mahan,5,6.8
156,T147,T144,Phil Mickelson,7,6.8
157,T147,T144,Matthew Millar,1,6.8
158,T147,T144,Keith Mitchell,8,6.8
159,T147,T144,Andrew Putnam,8,6.8
160,T147,T127,Adam Schenk,7,6.8
161,T147,T144,Shubhankar Sharma,2,6.8
162,T147,T174,Ben Silverman,7,6.8
163,T147,T144,Scott Stallings,7,6.8
164,T147,T102,Josh Teater,5,6.8
165,T166,T194,Sangmoon Bae,3,6.7
166,T166,T162,Cameron Davis,5,6.7
167,T166,T162,Retief Goosen,1,6.7
168,T166,T174,Brandon Harkins,6,6.7
169,T166,T162,Martin Kaymer,7,6.7
170,T166,T194,Scott Langley,7,6.7
171,T166,T162,Haotong Li,5,6.7
172,T166,T174,Graeme McDowell,9,6.7
173,T166,T127,Sebastián Muñoz,6,6.7
174,T166,T174,Trey Mullinax,9,6.7
175,T166,T213,Seth Reeves,2,6.7
176,T166,T162,John Senden,3,6.7
177,T166,T162,Nick Taylor,11,6.7
178,T166,T144,D.J. Trahan,4,6.7
179,T166,T162,Tim Wilkinson,1,6.7
180,T181,T174,Daniel Berger,9,6.6
181,T181,T174,Lucas Bjerregaard,4,6.6
182,T181,T174,Rafa Cabrera Bello,9,6.6
183,T181,T174,Derek Ernst,2,6.6
184,T181,T174,Robert Garrigus,4,6.6
185,T181,T174,Branden Grace,7,6.6
186,T181,T237,Mackenzie Hughes,6,6.6
187,T181,T174,Kurt Kitayama,1,6.6
188,T181,T174,Grayson Murray,4,6.6
189,T181,T174,"Ted Potter, Jr.",7,6.6
190,T181,T174,Davis Riley,1,6.6
191,T181,T174,Sam Ryder,8,6.6
192,T181,T174,Adam Svensson,5,6.6
193,T181,T174,Jhonattan Vegas,8,6.6
194,T195,T194,Stuart Appleby,3,6.5
195,T195,T194,Tony Finau,9,6.5
196,T195,T174,Brian Gay,10,6.5
197,T195,T213,Cody Gribble,7,6.5
198,T195,T194,Billy Horschel,11,6.5
199,T195,T194,John Huh,5,6.5
200,T195,T194,Kyle Jones,3,6.5
201,T195,T194,Martin Laird,7,6.5
202,T195,T194,Peter Malnati,9,6.5
203,T195,T194,Ben Martin,1,6.5
204,T195,T174,Denny McCarthy,5,6.5
205,T195,T194,Carlos Ortiz,5,6.5
206,T195,T194,Thomas Pieters,2,6.5
207,T195,T194,Seamus Power,4,6.5
208,T195,T194,José de Jesús Rodríguez,5,6.5
209,T195,T194,Brendon Todd,2,6.5
210,T195,T213,Kevin Tway,6,6.5
211,T195,T194,Johnson Wagner,7,6.5
212,T195,T162,Bubba Watson,8,6.5
213,T214,T213,Ricky Barnes,3,6.4
214,T214,T213,Jonathan Byrd,6,6.4
215,T214,T213,George Coetzee,1,6.4
216,T214,T213,Chad Collins,1,6.4
217,T214,T228,Harris English,8,6.4
218,T214,T213,Martin Flores,1,6.4
219,T214,T213,Dylan Frittelli,9,6.4
220,T214,T213,Justin Harding,2,6.4
221,T214,T194,Padraig Harrington,3,6.4
222,T214,T213,Charles Howell III,9,6.4
223,T214,T194,Sungjae Im,7,6.4
224,T214,T213,Matt Jones,9,6.4
225,T214,T213,Patton Kizzire,5,6.4
226,T214,T213,Sam Saunders,7,6.4
227,T214,T174,Roger Sloan,7,6.4
228,T214,T213,Matt Wallace,5,6.4
229,T230,T228,Cameron Champ,5,6.3
230,T230,T228,Julián Etulain,7,6.3
231,T230,T228,Jason Gore,1,6.3
232,T230,T228,Bill Haas,7,6.3
233,T230,T237,Stephan Jaeger,5,6.3
234,T230,T194,Kelly Kraft,5,6.3
235,T230,T228,Dru Love,1,6.3
236,T230,T237,George McNeill,2,6.3
237,T230,T228,Rory Sabbatini,11,6.3
238,T230,T253,Cameron Tringale,8,6.3
239,T230,T228,Jimmy Walker,10,6.3
240,T230,T162,Richy Werenski,5,6.3
241,T242,T237,Stewart Cink,3,6.2
242,T242,T237,Brendon de Jonge,2,6.2
243,T242,T237,Ernie Els,5,6.2
244,T242,T228,Derek Fathauer,2,6.2
245,T242,T237,David Hearn,2,6.2
246,T242,T237,Beau Hossler,9,6.2
247,T242,T237,Jim Knous,5,6.2
248,T242,T237,Satoshi Kodaira,6,6.2
249,T242,T237,Richard Lee,1,6.2
250,T242,T162,Tom Lovelady,3,6.2
251,T242,T237,Sean O'Hair,6,6.2
252,T242,T237,Adrian Otaegui,1,6.2
253,T242,T237,Wes Roach,5,6.2
254,T242,T253,Brandt Snedeker,11,6.2
255,T242,T237,J.J. Spaun,8,6.2
256,T242,T262,Robert Streb,4,6.2
257,T258,T253,Ryan Blaum,5,6.1
258,T258,T253,Anirban Lahiri,6,6.1
259,T258,T253,Jake McLeod,1,6.1
260,T258,T237,Alex Noren,7,6.1
261,T258,T253,D.A. Points,2,6.1
262,T258,T273,Chris Thompson,3,6.1
263,T258,T253,Lee Westwood,1,6.1
264,T258,T253,Norman Xiong,2,6.1
265,T266,T262,Dawson Armstrong,1,6.0
266,T266,T262,Sam Burns,7,6.0
267,T266,T262,Ryan Fox,1,6.0
268,T266,T292,Joey Garber,3,6.0
269,T266,T262,Jamie Lovemark,2,6.0
270,T266,T262,Parker McLachlin,1,6.0
271,T266,T262,Maverick McNealy,2,6.0
272,T266,T262,Henrik Norlander,2,6.0
273,T266,T262,Patrick Reed,9,6.0
274,T266,T262,Andres Romero,1,6.0
275,T266,T262,Ollie Schniederjans,6,6.0
276,T277,T273,Aaron Baddeley,8,5.9
277,T277,T273,Aaron Rai,1,5.9
278,T277,T273,Jordan Spieth,10,5.9
279,T277,T273,Chris Stroud,5,5.9
280,T277,T273,Mike Weir,1,5.9
281,T282,T279,Morgan Hoffmann,4,5.8
282,T282,,Richard Jung,1,5.8
283,T282,T279,Rob Labritz,1,5.8
284,T282,T279,Chad Ramey,1,5.8
285,T282,T279,Jonathan Randolph,2,5.8
286,T282,T279,Martin Trainer,4,5.8
287,T282,T285,Peter Uihlein,5,5.8
288,T282,T279,Kristoffer Ventura,1,5.8
289,T290,T253,Dominic Bozzelli,5,5.7
290,T290,T285,John Catlin,2,5.7
291,T290,T285,Brandon Hagy,1,5.7
292,T290,T285,Lucas Herbert,1,5.7
293,T290,T285,Tim Herron,4,5.7
294,T290,T285,Lee Hodges,1,5.7
295,T290,T294,Curtis Luck,4,5.7
296,T290,T285,Rod Pampling,2,5.7
297,298,T292,Matthew Short,1,5.6
298,T299,T294,Garrett Barber,1,5.5
299,T299,T294,Richard Sterne,1,5.5
300,T301,T297,Rich Beem,1,5.4
301,T301,T297,Wyndham Clark,7,5.4
302,T301,T297,Tae Hee Lee,1,5.4
303,T304,T300,John Chin,2,5.3
304,T304,T300,Tom Lewis,1,5.3
305,T306,T302,Marty Jertson,1,5.2
306,T306,,Jake Knapp,1,5.2
307,T306,T302,John Rollins,1,5.2
308,309,304,Martin Piller,3,5.1
309,T310,T305,Shaun Norris,1,4.7
310,T310,T305,Ryan Vermeer,1,4.7
311,312,307,Charl Schwartzel,1,4.3
312,313,308,Daniel Chopra,1,4.2
