,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
102,103,103,Sean O'Hair,669
103,104,110,Jonathan Byrd,648
104,105,111,Cameron Tringale,639
105,106,104,Nate Lashley,621
106,107,105,Sam Saunders,614
107,108,107,Robert Streb,612
108,109,106,Wyndham Clark,595
109,110,108,John Huh,567
110,111,109,Grayson Murray,561
111,112,122,Hank Lebioda,522
112,113,113,Scott Langley,516
113,114,112,Hunter Mahan,506
114,115,118,Roberto Castro,475
115,116,114,Martin Piller,471
116,117,116,Jim Knous,459
117,118,120,Ben Crane,457
118,119,115,William McGirt,449
119,120,117,Nicholas Lindheim,443
120,121,119,Tom Lovelady,437
121,122,121,Kramer Hickok,423
122,123,123,Robert Garrigus,411
123,124,124,Derek Fathauer,400
124,125,125,J.J. Henry,397
125,126,126,Chad Campbell,384
126,127,127,D.J. Trahan,380
127,128,128,Steve Stricker,371
128,129,129,Chase Wright,367
129,130,130,Anders Albertson,327
130,131,131,Ben Martin,266
131,132,132,Davis Love III,257
132,133,133,Cody Gribble,256
133,134,134,Alex Prugh,225
134,135,135,Wesley Bryan,223
135,136,136,Billy Hurley III,221
136,137,137,Seth Reeves,213
137,138,144,Joey Garber,207
138,139,139,Josh Teater,205
139,140,154,Wes Roach,201
140,141,138,Brady Schnell,198
141,142,140,D.A. Points,193
142,143,141,Ricky Barnes,170
143,144,142,Brendon Todd,154
144,145,145,George McNeill,152
145,146,143,Morgan Hoffmann,150
146,147,146,Kyle Jones,132
147,148,147,Parker McLachlin,125
148,149,148,Tim Herron,114
149,150,149,Boo Weekley,96
150,151,150,Jason Gore,96
151,152,151,John Merrick,87
152,153,166,Chris Thompson,78
153,154,152,Smylie Kaufman,74
154,155,153,John Chin,72
155,156,159,Colt Knost,58
156,157,155,Jerry Kelly,54
157,158,156,Zack Sucher,51
158,159,157,Brandon Hagy,46
159,160,158,Fred Couples,44
160,161,160,David Toms,43
161,162,161,Jim Herman,39
162,163,162,Ken Duke,39
163,164,163,Eric Axley,33
164,165,164,Jason Bohn,31
165,166,165,Dicky Pride,30
166,167,167,Troy Matteson,28
167,168,168,Tommy Gainey,26
168,169,169,Heath Slocum,24
169,170,170,Chad Collins,20
170,171,171,Derek Ernst,20
171,172,172,Charlie Beljan,19
172,173,173,Chris Couch,15
173,174,174,John Rollins,15
174,175,175,Mark Wilson,9
175,176,176,Omar Uresti,9
176,177,177,Bob Estes,7
177,178,178,Kris Blanks,6
178,179,179,Jonathan Kaye,6
179,180,180,John Daly,5
180,181,181,Rich Beem,4
181,182,182,Cameron Beckman,4
182,183,183,Paul Goydos,3
183,T184,T184,Jay Don Blake,3
184,T184,T184,Michael Bradley,3
185,186,186,Olin Browne,3
186,T187,T187,Neal Lancaster,2
187,T187,T187,Shaun Micheel,2
