,Aon_Risk_Reward_Challenge_RANK THIS WEEK,Aon_Risk_Reward_Challenge_RANK LAST WEEK,Aon_Risk_Reward_Challenge_PLAYER NAME,Aon_Risk_Reward_Challenge_AVG TO PAR,Aon_Risk_Reward_Challenge_RISK REWARD EVENTS,Aon_Risk_Reward_Challenge_ROUNDS COMPLETE,Aon_Risk_Reward_Challenge_ROUNDS TO GO
40,T40,T46,Cody Gribble,-0.7,30,48,0
41,T40,T38,Bryson DeChambeau,-0.7,20,36,4
42,T40,T46,J.J. Spaun,-0.7,30,59,0
43,44,33,Joaquin Niemann,-0.6970000000000001,33,64,0
44,T45,T48,Johnson Wagner,-0.696,23,43,0
45,T45,T40,Rickie Fowler,-0.696,23,46,0
46,T45,T40,Hideki Matsuyama,-0.696,23,48,0
47,48,,Henrik Stenson,-0.688,16,30,10
48,T49,26,Nate Lashley,-0.667,21,42,0
49,T49,T57,Zach Johnson,-0.667,24,42,0
50,T49,T48,Matthew Fitzpatrick,-0.667,15,31,9
51,T49,T48,Charles Howell III,-0.667,27,52,0
52,T49,T48,Byeong Hun An,-0.667,24,46,0
53,54,T61,Graeme McDowell,-0.654,26,53,0
54,55,54,Rafa Cabrera Bello,-0.652,23,46,0
55,56,55,J.T. Poston,-0.649,37,68,0
56,T57,T67,Dylan Frittelli,-0.64,25,51,0
57,T57,56,Luke List,-0.64,25,45,0
58,59,76,Sungjae Im,-0.636,44,82,0
59,60,59,Joel Dahmen,-0.632,38,70,0
60,61,60,Aaron Baddeley,-0.63,27,51,0
61,T62,T57,Denny McCarthy,-0.629,35,59,0
62,T62,T71,Jonas Blixt,-0.629,35,64,0
63,T62,T71,Peter Uihlein,-0.629,35,61,0
64,T65,77,Aaron Wise,-0.625,24,41,0
65,T65,T48,Wyndham Clark,-0.625,32,59,0
66,T65,T73,Scott Piercy,-0.625,32,62,0
67,T68,T48,Bill Haas,-0.621,29,53,0
68,T68,63,Billy Horschel,-0.621,29,58,0
69,70,T61,Trey Mullinax,-0.618,34,63,0
70,71,T79,Hank Lebioda,-0.615,26,51,0
71,72,64,Max Homa,-0.613,31,55,0
72,T73,T65,Patrick Cantlay,-0.611,18,36,4
73,T73,T65,Martin Kaymer,-0.611,18,32,8
74,75,T67,Kiradech Aphibarnrat,-0.609,23,38,2
75,T76,T69,Patton Kizzire,-0.607,28,50,0
76,T76,T69,Michael Thompson,-0.607,28,54,0
77,T78,T73,Patrick Rodgers,-0.6,25,44,0
78,T78,T91,Talor Gooch,-0.6,20,37,3
79,80,T73,Ollie Schniederjans,-0.595,37,60,0
80,81,78,Ryan Moore,-0.586,29,52,0
81,T82,T95,Cameron Tringale,-0.583,24,48,0
82,T82,T95,Daniel Berger,-0.583,24,44,0
83,T82,T79,Kevin Na,-0.583,24,43,0
84,85,T81,Cheng Tsung Pan,-0.581,31,60,0
85,86,T83,Branden Grace,-0.5770000000000001,26,48,0
