,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
25,26,26,Billy Horschel,86,"46' 3""",1618.25,35
26,T27,T27,Peter Malnati,87,"46' 2""",1107.25,24
27,T27,T27,Cameron Percy,56,"46' 2""",693.0,15
28,T27,T27,Adam Scott,78,"46' 2""",1939.8329999999999,42
29,T30,T30,Brice Garnett,99,"46' 1""",1888.3329999999999,41
30,T30,T30,Cameron Smith,85,"46' 1""",1105.583,24
31,32,32,Louis Oosthuizen,62,"46' 0""",1242.75,27
32,33,33,Hideki Matsuyama,75,"45' 9""",1511.0829999999999,33
33,T34,T34,Henrik Stenson,60,"45' 8""",868.3330000000001,19
34,T34,T34,Bubba Watson,90,"45' 8""",1279.583,28
35,T36,T36,J.J. Henry,81,"45' 7""",1504.75,33
36,T36,T36,John Huh,94,"45' 7""",1641.6670000000001,36
37,T36,T36,Troy Merritt,89,"45' 7""",1503.4170000000001,33
38,39,39,Alex Cejka,77,"45' 6""",1183.333,26
39,40,40,Peter Uihlein,83,"45' 5""",1954.5,43
40,41,41,Brian Stuard,103,"45' 4""",1450.0829999999999,32
41,42,42,David Lingmerth,82,"45' 3""",1448.4170000000001,32
42,T43,T43,Beau Hossler,104,"45' 2""",1714.9170000000001,38
43,T43,T43,Phil Mickelson,90,"45' 2""",1445.75,32
44,T45,T45,Brian Gay,103,"45' 0""",1663.5829999999999,37
45,T45,T45,Chris Kirk,108,"45' 0""",1709.1670000000001,38
46,T45,T45,Webb Simpson,95,"45' 0""",1170.583,26
47,48,48,Rory Sabbatini,91,"44' 8""",1830.4170000000001,41
48,T49,T49,Robert Streb,78,"44' 7""",1204.083,27
49,T49,T49,Richy Werenski,98,"44' 7""",1738.5,39
50,T51,T51,Aaron Baddeley,84,"44' 6""",1469.25,33
51,T51,T51,Bill Haas,76,"44' 6""",1200.583,27
52,53,53,Ollie Schniederjans,91,"44' 5""",1510.25,34
53,T54,T54,Adam Hadwin,92,"44' 4""",1550.8329999999999,35
54,T54,T54,Jonathan Randolph,71,"44' 4""",1373.4170000000001,31
55,T56,T56,Bud Cauley,55,"44' 2""",706.4169999999999,16
56,T56,T56,Tyler Duncan,97,"44' 2""",2475.0,56
57,T56,T56,Charl Schwartzel,65,"44' 2""",1060.0,24
58,T59,T59,Rickie Fowler,74,"44' 1""",1013.0830000000001,23
59,T59,T59,Stephan Jaeger,81,"44' 1""",1322.3329999999999,30
60,61,61,Hudson Swafford,73,"43' 10""",1797.75,41
61,T62,T62,Martin Flores,92,"43' 9""",1925.8329999999999,44
62,T62,T62,Luke List,98,"43' 9""",2099.75,48
63,T62,T62,Cameron Tringale,67,"43' 9""",1442.9170000000001,33
64,65,65,Xander Schauffele,96,"43' 8""",1441.25,33
65,T66,T66,Stewart Cink,87,"43' 7""",1395.25,32
66,T66,T66,Daniel Summerhays,51,"43' 7""",479.25,11
67,T68,T68,Retief Goosen,60,"43' 5""",954.3330000000001,22
68,T68,T68,Matt Kuchar,88,"43' 5""",1303.583,30
69,70,70,Brooks Koepka,64,"43' 4""",1430.5829999999999,33
70,71,71,David Hearn,66,"43' 3""",1296.75,30
71,T72,T72,Matt Atkins,56,"43' 2""",1121.917,26
72,T72,T72,Jimmy Walker,81,"43' 2""",1252.917,29
73,T74,T74,Tommy Fleetwood,73,"43' 1""",1207.333,28
74,T74,T74,Ethan Tracy,72,"43' 1""",1636.5,38
75,T76,T76,Daniel Berger,81,"43' 0""",1418.8329999999999,33
76,T76,T76,Mackenzie Hughes,80,"43' 0""",1246.5,29
77,T78,T78,Nicholas Lindheim,77,"42' 11""",1329.75,31
78,T78,T78,Alex Noren,67,"42' 11""",814.8330000000001,19
79,80,80,William McGirt,84,"42' 10""",1412.8329999999999,33
80,T81,T81,Patton Kizzire,92,"42' 9""",1710.9170000000001,40
81,T81,T81,Kelly Kraft,94,"42' 9""",1411.8329999999999,33
82,T81,T81,Rory McIlroy,64,"42' 9""",812.5,19
83,T84,T84,C.T. Pan,104,"42' 8""",1493.3329999999999,35
84,T84,T84,Kevin Tway,110,"42' 8""",1535.4170000000001,36
85,86,86,Brandt Snedeker,84,"42' 7""",1362.8329999999999,32
86,T87,T87,Corey Conners,97,"42' 6""",2167.25,51
87,T87,T87,Andrew Putnam,97,"42' 6""",1571.3329999999999,37
88,T89,T89,Kiradech Aphibarnrat,51,"42' 5""",678.3330000000001,16
89,T89,T89,Kevin Chappell,77,"42' 5""",2036.9170000000001,48
90,91,91,Conrad Shindler,60,"42' 4""",932.0,22
91,92,92,Marc Leishman,93,"42' 3""",1607.0,38
92,T93,T93,Jason Kokrak,99,"42' 2""",2066.417,49
93,T93,T93,Tiger Woods,68,"42' 2""",1096.25,26
94,T95,T95,Patrick Cantlay,87,"42' 1""",1642.25,39
95,T95,T95,Zecheng Dou,53,"42' 1""",1221.417,29
96,T97,T97,Justin Rose,70,"42' 0""",1133.5,27
97,T97,T97,J.J. Spaun,85,"42' 0""",1555.0829999999999,37
98,99,99,Ryan Blaum,81,"41' 11""",1801.3329999999999,43
99,T100,T100,Jason Day,75,"41' 10""",711.0,17
100,T100,T100,Talor Gooch,78,"41' 10""",1254.083,30
101,T100,T100,Branden Grace,67,"41' 10""",920.9169999999999,22
102,T103,T103,Tom Hoge,101,"41' 9""",2377.75,57
103,T103,T103,Nick Taylor,94,"41' 9""",2127.333,51
104,T105,T105,Jamie Lovemark,92,"41' 8""",1457.6670000000001,35
105,T105,T105,Ryan Palmer,69,"41' 8""",1499.5829999999999,36
106,T105,T105,Brendan Steele,74,"41' 8""",1457.5829999999999,35
107,T105,T105,Shawn Stefani,76,"41' 8""",1374.5,33
108,109,109,Gary Woodland,96,"41' 4""",1735.5829999999999,42
109,T110,T110,Brandon Harkins,101,"41' 3""",1855.3329999999999,45
110,T110,T110,Graeme McDowell,67,"41' 3""",1196.5,29
111,T110,T110,Kyle Stanley,93,"41' 3""",1031.083,25
112,T110,T110,Chris Stroud,81,"41' 3""",1195.667,29
113,T114,T114,Trey Mullinax,75,"41' 2""",1193.25,29
114,T114,T114,Harold Varner III,91,"41' 2""",1524.4170000000001,37
115,T116,T116,Si Woo Kim,108,"41' 0""",1187.917,29
116,T116,T116,Ben Martin,64,"41' 0""",902.5830000000001,22
117,T118,T118,Ricky Barnes,65,"40' 11""",736.75,18
118,T118,T118,Scott Brown,102,"40' 11""",1268.25,31
119,120,120,Robert Garrigus,80,"40' 10""",2123.333,52
120,T121,T121,Ryan Armour,109,"40' 9""",2036.1670000000001,50
121,T121,T121,Blayne Barber,69,"40' 9""",1427.0,35
122,T123,T123,Andrew Landry,82,"40' 8""",1098.75,27
123,T123,T123,Martin Piller,79,"40' 8""",1546.5,38
124,T125,T125,Zac Blair,64,"40' 7""",730.4169999999999,18
125,T125,T125,Keith Mitchell,99,"40' 7""",2514.917,62
126,T125,T125,Scott Stallings,96,"40' 7""",1380.4170000000001,34
127,128,128,Denny McCarthy,71,"40' 6""",809.8330000000001,20
128,T129,T129,"Ted Potter, Jr.",87,"40' 5""",1615.25,40
129,T129,T129,Kyle Thompson,50,"40' 5""",1050.917,26
130,131,131,Russell Knox,94,"40' 4""",1774.0829999999999,44
131,132,132,Dustin Johnson,77,"40' 3""",965.4169999999999,24
132,133,133,Danny Lee,88,"40' 2""",1164.417,29
133,134,134,Xinjun Zhang,81,"40' 1""",1882.3329999999999,47
134,135,135,Tom Lovelady,87,"39' 11""",1716.0829999999999,43
135,T136,T136,Ian Poulter,73,"39' 10""",716.9169999999999,18
136,T136,T136,Andrew Yun,51,"39' 10""",916.9169999999999,23
137,T138,T138,Bryson DeChambeau,93,"39' 9""",1868.0,47
138,T138,T138,Sam Ryder,82,"39' 9""",1907.1670000000001,48
139,T138,T138,Justin Thomas,91,"39' 9""",1152.25,29
140,T141,T141,Martin Laird,73,"39' 7""",1465.5829999999999,37
141,T141,T141,Scott Piercy,84,"39' 7""",1940.8329999999999,49
142,T141,T141,Ben Silverman,90,"39' 7""",1305.583,33
143,144,144,Austin Cook,107,"39' 5""",1695.4170000000001,43
144,145,145,Adam Schenk,86,"39' 3""",1451.75,37
145,T146,T146,James Hahn,85,"39' 2""",1488.25,38
146,T146,T146,Francesco Molinari,73,"39' 2""",1096.25,28
147,T146,T146,Jon Rahm,71,"39' 2""",1331.75,34
148,149,149,Rafa Cabrera Bello,75,"39' 1""",899.25,23
149,150,150,J.B. Holmes,77,"39' 0""",1287.0,33
150,T151,T151,Sung Kang,89,"38' 9""",1200.25,31
151,T151,T151,Kevin Kisner,89,"38' 9""",697.5,18
152,153,153,Kevin Na,91,"38' 7""",1274.5,33
153,154,154,Lanto Griffin,80,"38' 6""",1386.0829999999999,36
154,155,155,Zach Johnson,94,"38' 5""",1036.583,27
155,T156,T156,Ben Crane,65,"38' 4""",613.75,16
156,T156,T156,Grayson Murray,72,"38' 4""",1685.4170000000001,44
157,T158,T158,Joel Dahmen,93,"38' 3""",1723.0,45
158,T158,T158,Jordan Spieth,81,"38' 3""",1452.1670000000001,38
159,T160,T160,Greg Chalmers,56,"38' 1""",419.333,11
160,T160,T160,Fabián Gómez,88,"38' 1""",1142.417,30
161,T160,T160,Rob Oppenheim,74,"38' 1""",1179.333,31
162,163,163,Ryan Moore,78,"37' 11""",947.5830000000001,25
163,T164,T164,Byeong Hun An,86,"37' 9""",1358.75,36
164,T164,T164,Aaron Wise,90,"37' 9""",1962.9170000000001,52
165,166,166,Jason Dufner,71,"37' 8""",1506.5,40
166,T167,T167,Matt Every,79,"37' 7""",1354.3329999999999,36
167,T167,T167,J.T. Poston,73,"37' 7""",977.5830000000001,26
168,T169,T169,Keegan Bradley,98,"37' 6""",1386.9170000000001,37
169,T169,T169,Wesley Bryan,69,"37' 6""",675.4169999999999,18
170,T169,T169,Chez Reavie,93,"37' 6""",1011.6669999999999,27
171,T169,T169,Vaughn Taylor,83,"37' 6""",1760.9170000000001,47
172,173,173,Dominic Bozzelli,65,"37' 2""",966.8330000000001,26
173,174,174,Billy Hurley III,70,"36' 9""",1064.583,29
174,T175,T175,Michael Kim,74,"36' 6""",912.4169999999999,25
175,T175,T175,Rod Pampling,62,"36' 6""",912.1669999999999,25
176,177,177,Nate Lashley,51,"36' 5""",582.75,16
177,178,178,D.A. Points,63,"36' 2""",977.1669999999999,27
178,T179,T179,Chad Campbell,87,"36' 0""",1512.0,42
179,T179,T179,Nick Watney,94,"36' 0""",1006.8330000000001,28
180,181,181,Lucas Glover,65,"35' 11""",1112.833,31
181,182,182,Charley Hoffman,87,"35' 10""",1255.167,35
182,T183,T183,Satoshi Kodaira,51,"35' 5""",1379.75,39
183,T183,T183,Sam Saunders,80,"35' 5""",956.5830000000001,27
184,185,185,Steve Wheatcroft,60,"35' 0""",630.0,18
185,186,186,Pat Perez,82,"34' 10""",800.3330000000001,23
186,187,187,Sean O'Hair,67,"34' 9""",904.3330000000001,26
187,188,188,Chesson Hadley,103,"34' 6""",1378.5829999999999,40
188,189,189,Whee Kim,93,"33' 9""",1214.5,36
189,190,190,Russell Henley,77,"33' 8""",842.5830000000001,25
190,191,191,Cody Gribble,71,"33' 3""",731.6669999999999,22
191,192,192,Anirban Lahiri,82,"33' 2""",1227.083,37
192,193,193,Paul Casey,74,"31' 6""",535.5,17
