,Average_Putting_Distance_-_GIR_3_Putts_RANK THIS WEEK,Average_Putting_Distance_-_GIR_3_Putts_RANK LAST WEEK,Average_Putting_Distance_-_GIR_3_Putts_PLAYER NAME,Average_Putting_Distance_-_GIR_3_Putts_ROUNDS,Average_Putting_Distance_-_GIR_3_Putts_AVG,Average_Putting_Distance_-_GIR_3_Putts_DISTANCE (FEET),Average_Putting_Distance_-_GIR_3_Putts_TOTAL PUTTS
29,T30,T30,Abraham Ancer,98,"47' 0""",21.428,38
30,T30,T30,Billy Horschel,86,"47' 0""",18.049,32
31,T30,T30,Peter Malnati,87,"47' 0""",12.4,22
32,T30,T30,Richy Werenski,98,"47' 0""",19.738,35
33,34,34,Hunter Mahan,67,"46' 10""",10.673,19
34,T35,T35,Zac Blair,64,"46' 9""",7.851,14
35,T35,T35,J.J. Henry,81,"46' 9""",16.834,30
36,T35,T35,Patton Kizzire,92,"46' 9""",18.521,33
37,T35,T35,Shane Lowry,64,"46' 9""",17.405,31
38,T35,T35,Brian Stuard,103,"46' 9""",16.27,29
39,T35,T35,Bubba Watson,90,"46' 9""",14.587,26
40,41,41,Cameron Smith,85,"46' 8""",12.870999999999999,23
41,42,42,Emiliano Grillo,94,"46' 7""",16.214000000000002,29
42,T43,T43,Jonathan Byrd,70,"46' 6""",10.61,19
43,T43,T43,John Huh,94,"46' 6""",18.988,34
44,T43,T43,Matt Kuchar,88,"46' 6""",15.065999999999999,27
45,T43,T43,Seamus Power,86,"46' 6""",16.745,30
46,T43,T43,Jimmy Walker,81,"46' 6""",13.382,24
47,T48,T48,Harris English,84,"46' 5""",16.142,29
48,T48,T48,C.T. Pan,104,"46' 5""",17.28,31
49,50,50,Peter Uihlein,83,"46' 4""",22.805,41
50,51,51,Ethan Tracy,72,"46' 2""",18.27,33
51,T52,T52,Alex Cejka,77,"46' 1""",12.715,23
52,T52,T52,Adam Hadwin,92,"46' 1""",17.709,32
53,T52,T52,David Lingmerth,82,"46' 1""",16.599,30
54,55,55,Tommy Fleetwood,73,"45' 11""",12.662,23
55,T56,T56,Stephan Jaeger,81,"45' 10""",14.854000000000001,27
56,T56,T56,Cameron Tringale,67,"45' 10""",16.512999999999998,30
57,T58,T58,Martin Flores,92,"45' 9""",22.491999999999997,41
58,T58,T58,Alex Noren,67,"45' 9""",9.325,17
59,T60,T60,Beau Hossler,104,"45' 8""",19.171,35
60,T60,T60,Rory McIlroy,64,"45' 8""",8.771,16
61,T62,T62,Stewart Cink,87,"45' 7""",16.407,30
62,T62,T62,Justin Rose,70,"45' 7""",12.588,23
63,T62,T62,Rory Sabbatini,91,"45' 7""",21.326999999999998,39
64,T62,T62,Webb Simpson,95,"45' 7""",13.684000000000001,25
65,T62,T62,Hudson Swafford,73,"45' 7""",21.323,39
66,67,67,Brice Garnett,99,"45' 6""",20.729,38
67,68,68,Si Woo Kim,108,"45' 5""",13.630999999999998,25
68,T69,T69,Retief Goosen,60,"45' 4""",10.87,20
69,T69,T69,Troy Merritt,89,"45' 4""",17.399,32
70,T71,T71,Bill Haas,76,"45' 3""",14.125,26
71,T71,T71,Xander Schauffele,96,"45' 3""",16.279,30
72,73,73,Denny McCarthy,71,"45' 2""",9.208,17
73,74,74,Tyler Duncan,97,"45' 1""",27.043000000000003,50
74,T75,T75,Chris Kirk,108,"45' 0""",20.51,38
75,T75,T75,Charl Schwartzel,65,"45' 0""",12.419,23
76,T77,T77,Matt Atkins,56,"44' 11""",12.934000000000001,24
77,T77,T77,William McGirt,84,"44' 11""",16.715,31
78,T79,T79,Brooks Koepka,64,"44' 10""",15.616,29
79,T79,T79,Kelly Kraft,94,"44' 10""",16.683,31
80,T81,T81,Brian Gay,103,"44' 9""",18.802,35
81,T81,T81,Luke List,98,"44' 9""",22.533,42
82,83,83,Trey Mullinax,75,"44' 8""",12.318,23
83,84,84,Nicholas Lindheim,77,"44' 7""",14.97,28
84,85,85,Scott Brown,102,"44' 6""",13.341,25
85,86,86,Andrew Landry,82,"44' 5""",12.794,24
86,87,87,Bud Cauley,55,"44' 2""",8.477,16
87,T88,T88,Ryan Blaum,81,"44' 1""",21.156,40
88,T88,T88,David Hearn,66,"44' 1""",14.814,28
89,T88,T88,Ben Martin,64,"44' 1""",10.06,19
90,91,91,Corey Conners,97,"43' 10""",25.271,48
91,T92,T92,Jason Dufner,71,"43' 9""",17.323,33
92,T92,T92,Martin Piller,79,"43' 9""",15.749,30
93,94,94,Nick Taylor,94,"43' 8""",24.628,47
94,95,95,Daniel Summerhays,51,"43' 7""",5.751,11
95,T96,T96,Mackenzie Hughes,80,"43' 6""",14.103,27
96,T96,T96,Jamie Lovemark,92,"43' 6""",16.19,31
97,T96,T96,Kevin Tway,110,"43' 6""",18.274,35
98,99,99,Sung Kang,89,"43' 5""",13.03,25
99,100,100,J.J. Spaun,85,"43' 4""",18.184,35
100,101,101,Jason Day,75,"43' 3""",7.7860000000000005,15
101,T102,T102,Jason Kokrak,99,"43' 2""",23.846,46
102,T102,T102,Conrad Shindler,60,"43' 2""",10.352,20
103,104,104,Andrew Putnam,97,"43' 0""",18.584,36
104,T105,T105,Patrick Cantlay,87,"42' 11""",18.555,36
105,T105,T105,Brandt Snedeker,84,"42' 11""",13.401,26
106,T107,T107,Sam Ryder,82,"42' 10""",22.116,43
107,T107,T107,Brendan Steele,74,"42' 10""",16.455,32
108,109,109,Andrew Yun,51,"42' 7""",10.729000000000001,21
109,T110,T110,Kiradech Aphibarnrat,51,"42' 5""",8.14,16
110,T110,T110,Kevin Chappell,77,"42' 5""",23.393,46
111,T110,T110,Chris Stroud,81,"42' 5""",13.742,27
112,T113,T113,Branden Grace,67,"42' 4""",10.155,20
113,T113,T113,Danny Lee,88,"42' 4""",13.724,27
114,T113,T113,Ryan Palmer,69,"42' 4""",17.274,34
115,T116,T116,Ricky Barnes,65,"42' 3""",8.616,17
116,T116,T116,Daniel Berger,81,"42' 3""",15.707,31
117,T116,T116,Marc Leishman,93,"42' 3""",19.284000000000002,38
118,T119,T119,Kevin Kisner,89,"42' 2""",7.585,15
119,T119,T119,Keith Mitchell,99,"42' 2""",28.866,57
120,T119,T119,Gary Woodland,96,"42' 2""",20.729,41
121,T119,T119,Tiger Woods,68,"42' 2""",13.155,26
122,T123,T123,Ryan Armour,109,"42' 1""",23.754,47
123,T123,T123,Robert Garrigus,80,"42' 1""",23.750999999999998,47
124,T123,T123,Russell Knox,94,"42' 1""",20.69,41
125,T123,T123,Harold Varner III,91,"42' 1""",16.152,32
126,T127,T127,Zecheng Dou,53,"41' 11""",13.594000000000001,27
127,T127,T127,Tom Hoge,101,"41' 11""",26.146,52
128,T127,T127,Dustin Johnson,77,"41' 11""",11.057,22
129,T127,T127,Kyle Thompson,50,"41' 11""",12.065,24
130,T131,T131,Scott Stallings,96,"41' 9""",16.039,32
131,T131,T131,Justin Thomas,91,"41' 9""",13.025,26
132,133,133,Talor Gooch,78,"41' 8""",14.003,28
133,T134,T134,Ben Crane,65,"41' 7""",6.987,14
134,T134,T134,Joel Dahmen,93,"41' 7""",19.472,39
135,T134,T134,Ben Silverman,90,"41' 7""",12.965,26
136,T134,T134,Shawn Stefani,76,"41' 7""",15.957,32
137,138,138,Billy Hurley III,70,"41' 6""",12.443,25
138,139,139,J.B. Holmes,77,"41' 5""",14.425999999999998,29
139,140,140,Jon Rahm,71,"41' 4""",15.364,31
140,T141,T141,Martin Laird,73,"41' 3""",16.342,33
141,T141,T141,Grayson Murray,72,"41' 3""",19.303,39
142,T143,T143,Zach Johnson,94,"41' 2""",11.862,24
143,T143,T143,"Ted Potter, Jr.",87,"41' 2""",18.261,37
144,145,145,Bryson DeChambeau,93,"41' 1""",21.178,43
145,T146,T146,Byeong Hun An,86,"41' 0""",14.745999999999999,30
146,T146,T146,Lanto Griffin,80,"41' 0""",16.252,33
147,T146,T146,Rob Oppenheim,74,"41' 0""",12.782,26
148,149,149,Kyle Stanley,93,"40' 11""",11.304,23
149,T150,T150,Blayne Barber,69,"40' 10""",16.180999999999997,33
150,T150,T150,Xinjun Zhang,81,"40' 10""",19.616,40
151,152,152,Rafa Cabrera Bello,75,"40' 9""",10.273,21
152,153,153,Scott Piercy,84,"40' 8""",21.491999999999997,44
153,T154,T154,Austin Cook,107,"40' 6""",19.427,40
154,T154,T154,Brandon Harkins,101,"40' 6""",19.937,41
155,T154,T154,Graeme McDowell,67,"40' 6""",12.626,26
156,T154,T154,Adam Schenk,86,"40' 6""",15.067,31
157,158,158,Aaron Wise,90,"40' 5""",22.796999999999997,47
158,T159,T159,Wesley Bryan,69,"40' 3""",7.731,16
159,T159,T159,Ryan Moore,78,"40' 3""",10.615,22
160,161,161,Tom Lovelady,87,"40' 0""",17.749000000000002,37
161,T162,T162,Ian Poulter,73,"39' 9""",8.107999999999999,17
162,T162,T162,Jordan Spieth,81,"39' 9""",16.208,34
163,T164,T164,Dominic Bozzelli,65,"39' 8""",11.417,24
164,T164,T164,Keegan Bradley,98,"39' 8""",16.2,34
165,166,166,Fabián Gómez,88,"39' 3""",13.187999999999999,28
166,167,167,Francesco Molinari,73,"39' 2""",12.702,27
167,T168,T168,James Hahn,85,"39' 1""",16.883,36
168,T168,T168,Kevin Na,91,"39' 1""",14.534,31
169,170,170,Chez Reavie,93,"38' 11""",11.198,24
170,171,171,Vaughn Taylor,83,"38' 8""",20.875999999999998,45
171,172,172,J.T. Poston,73,"38' 3""",11.467,25
172,T173,T173,Greg Chalmers,56,"38' 2""",4.577,10
173,T173,T173,Whee Kim,93,"38' 2""",12.83,28
174,T173,T173,Nick Watney,94,"38' 2""",10.545,23
175,176,176,Matt Every,79,"38' 1""",14.634,32
176,177,177,Steve Wheatcroft,60,"38' 0""",6.832999999999999,15
177,178,178,Rod Pampling,62,"37' 11""",10.472999999999999,23
178,179,179,Charley Hoffman,87,"37' 10""",14.064,31
179,180,180,Lucas Glover,65,"37' 8""",13.103,29
180,181,181,Michael Kim,74,"36' 9""",8.377,19
181,182,182,Nate Lashley,51,"36' 5""",6.992999999999999,16
182,183,183,Chesson Hadley,103,"36' 4""",15.25,35
183,184,184,Chad Campbell,87,"36' 1""",16.004,37
184,185,185,Sean O'Hair,67,"36' 0""",10.359000000000002,24
185,186,186,Satoshi Kodaira,51,"35' 10""",14.629000000000001,34
186,187,187,D.A. Points,63,"35' 9""",10.299000000000001,24
187,188,188,Anirban Lahiri,82,"35' 4""",13.98,33
188,189,189,Cody Gribble,71,"35' 1""",7.159,17
189,190,190,Sam Saunders,80,"35' 0""",10.072000000000001,24
190,191,191,Pat Perez,82,"34' 10""",9.604,23
191,192,192,Russell Henley,77,"34' 4""",9.066,22
192,193,193,Paul Casey,74,"34' 2""",5.325,13
