,Approach__125_yards_RTP_Score_RANK THIS WEEK,Approach__125_yards_RTP_Score_RANK LAST WEEK,Approach__125_yards_RTP_Score_PLAYER NAME,Approach__125_yards_RTP_Score_ROUNDS,Approach__125_yards_RTP_Score_AVG RTP
73,T72,T70,Kevin Na,54,-.152
74,T75,T73,Jonas Blixt,66,-.150
75,T75,T73,Kevin Streelman,63,-.150
76,T77,T80,Corey Conners,62,-.149
77,T77,T76,Matthew Fitzpatrick,42,-.149
78,79,T103,Martin Trainer,51,-.148
79,80,78,Andrew Putnam,57,-.147
80,81,T80,Chris Kirk,47,-.145
81,82,82,Anirban Lahiri,54,-.144
82,T83,T83,Bryson DeChambeau,45,-.143
83,T83,T76,Carlos Ortiz,60,-.143
84,T85,T85,Ryan Blaum,67,-.142
85,T85,T85,Cameron Champ,58,-.142
86,87,87,Rafa Cabrera Bello,57,-.141
87,88,108,Peter Uihlein,65,-.140
88,89,90,Sam Burns,66,-.139
89,T90,T94,Ryan Armour,66,-.138
90,T90,31,Talor Gooch,37,-.138
91,T90,91,Jon Rahm,51,-.138
92,T90,79,Ollie Schniederjans,63,-.138
93,T94,93,Russell Knox,65,-.136
94,T94,T52,Kelly Kraft,67,-.136
95,T96,T94,Scott Brown,66,-.135
96,T96,T94,Gary Woodland,63,-.135
97,98,T99,Hideki Matsuyama,59,-.134
98,T99,T101,Luke List,52,-.133
99,T99,T101,Adam Scott,41,-.133
100,101,T88,Jonathan Byrd,43,-.132
101,T102,T106,Danny Lee,66,-.130
102,T102,T94,Richy Werenski,63,-.130
103,T104,999,Shane Lowry,30,-.129
104,T104,T114,Joaquin Niemann,68,-.129
105,T104,105,John Senden,39,-.129
106,107,T94,Brady Schnell,38,-.127
107,T108,T106,Branden Grace,62,-.126
108,T108,T112,Stephan Jaeger,59,-.126
109,T110,T103,Roberto Díaz,51,-.125
110,T110,T99,Bill Haas,58,-.125
111,112,T128,Roberto Castro,54,-.124
112,T113,131,Alex Cejka,41,-.123
113,T113,109,Roger Sloan,62,-.123
114,T115,T110,Tony Finau,61,-.120
115,T115,T110,Charl Schwartzel,34,-.120
116,T117,T149,Russell Henley,56,-.117
117,T117,T114,Beau Hossler,66,-.117
118,119,133,Jimmy Walker,61,-.113
119,120,120,James Hahn,34,-.111
120,T121,121,Chez Reavie,67,-.110
121,T121,T112,Nick Watney,67,-.110
122,123,123,Patrick Rodgers,44,-.108
123,124,T128,Curtis Luck,51,-.107
124,125,T128,Sam Saunders,53,-.106
125,T126,125,Jason Kokrak,68,-.105
126,T126,156,Webb Simpson,53,-.105
127,128,126,D.A. Points,33,-.104
128,129,127,Troy Merritt,42,-.103
129,T130,137,Nick Taylor,70,-.101
130,T130,T134,Aaron Wise,52,-.101
131,132,T138,Graeme McDowell,61,-.100
132,133,T134,Phil Mickelson,41,-.097
133,134,136,Francesco Molinari,41,-.096
134,T135,144,Fabián Gómez,44,-.095
135,T135,124,Bubba Watson,47,-.095
136,137,T138,Tiger Woods,31,-.093
137,T138,140,Joel Dahmen,78,-.092
138,T138,119,Robert Streb,60,-.092
139,140,T141,Ian Poulter,49,-.091
140,141,132,Dominic Bozzelli,53,-.089
141,142,T116,Scott Stallings,63,-.088
142,143,122,J.J. Henry,42,-.087
143,T144,T145,Emiliano Grillo,65,-.086
144,T144,T145,Patton Kizzire,58,-.086
145,T144,T141,Alex Noren,49,-.086
146,147,148,Chesson Hadley,58,-.084
147,T148,T149,Tommy Fleetwood,43,-.083
148,T148,118,Seth Reeves,52,-.083
149,T150,T151,Billy Horschel,73,-.082
150,T150,T151,Pat Perez,52,-.082
151,T150,T151,Patrick Reed,53,-.082
152,153,T141,Kevin Tway,62,-.081
153,154,155,Abraham Ancer,69,-.079
154,155,T176,Jim Knous,55,-.078
155,156,157,Max Homa,61,-.077
156,157,T151,Cameron Tringale,52,-.074
157,T158,159,Lucas Glover,62,-.073
158,T158,162,Kramer Hickok,59,-.073
159,T158,158,Tom Hoge,70,-.073
160,T158,147,Scott Langley,60,-.073
161,162,167,Brice Garnett,63,-.071
162,163,T170,Tyler Duncan,66,-.070
163,164,160,Louis Oosthuizen,43,-.069
164,165,163,Brendan Steele,50,-.064
165,166,T176,Sangmoon Bae,42,-.063
166,167,164,Michael Kim,51,-.062
167,168,T179,Harris English,72,-.059
168,T169,T179,Anders Albertson,48,-.058
169,T169,166,Adam Long,52,-.058
170,T169,161,Sepp Straka,48,-.058
171,172,165,Chase Wright,53,-.057
172,T173,T168,C.T. Pan,64,-.056
173,T173,T168,Cameron Smith,55,-.056
174,175,172,Mackenzie Hughes,58,-.052
175,176,T170,Charley Hoffman,58,-.051
176,T177,173,Kyoung-Hoon Lee,72,-.045
177,T177,T174,Harold Varner III,62,-.045
178,179,999,Martin Piller,30,-.043
179,180,T174,Martin Kaymer,38,-.041
180,181,T186,Keegan Bradley,65,-.039
181,182,178,Hunter Mahan,45,-.037
182,T183,T192,Brian Harman,67,-.031
183,T183,T186,Seamus Power,58,-.031
184,185,182,Bronson Burgoon,37,-.027
185,186,183,"Ted Potter, Jr.",56,-.026
186,187,T192,Daniel Berger,48,-.025
187,188,185,Josh Teater,47,-.021
188,T189,T188,Byeong Hun An,54,-.019
189,T189,T188,Jason Dufner,56,-.019
190,T189,T192,Henrik Stenson,46,-.019
191,192,191,Hudson Swafford,59,-.017
192,193,T192,Whee Kim,57,-.015
193,194,198,Austin Cook,50,-.012
194,195,184,Chris Stroud,54,-.011
195,196,181,Lucas Bjerregaard,37,E
196,197,197,Satoshi Kodaira,51,+.011
197,198,T199,Ernie Els,43,+.016
198,199,T188,David Hearn,41,+.017
199,200,201,Matt Wallace,31,+.026
200,T201,202,Tyrrell Hatton,46,+.030
201,T201,T199,Shawn Stefani,57,+.030
202,203,203,Marc Leishman,52,+.037
203,T204,T192,John Chin,38,+.038
204,T204,999,Tyrone Van Aswegen,30,+.038
205,T206,T204,Haotong Li,32,+.039
206,T206,T204,Kyle Stanley,53,+.039
207,208,206,Keith Mitchell,64,+.057
208,209,207,Grayson Murray,36,+.090
