,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
166,T167,152,Matthew Fitzpatrick,42,178.7,2598401.0,404
167,T167,185,Kelly Kraft,67,178.7,4163089.0,647
168,169,999,Martin Piller,30,178.8,1506601.0,234
169,170,T155,Charl Schwartzel,34,179.0,1295501.0,201
170,T171,T175,Whee Kim,57,179.1,2720984.0,422
171,T171,T175,Chris Stroud,54,179.1,3538772.0,549
172,173,T159,Russell Knox,65,179.3,4376888.0,678
173,174,174,Curtis Luck,51,179.4,2842082.0,440
174,T175,T163,Aaron Baddeley,51,179.6,3381387.0,523
175,T175,T179,Kyle Jones,49,179.6,3135267.0,485
176,T177,T165,Louis Oosthuizen,43,179.7,2096132.0,324
177,T177,T183,Shawn Stefani,57,179.7,3447592.0,533
178,179,188,Roberto Castro,54,179.8,3572788.0,552
179,T180,T169,Chez Reavie,67,180.1,3598652.0,555
180,T180,T169,Kyle Stanley,53,180.1,2774595.0,428
181,182,171,Anirban Lahiri,54,180.3,3583127.0,552
182,T183,T172,Rafa Cabrera Bello,57,180.5,3229344.0,497
183,T183,T172,Justin Harding,31,180.5,1085293.0,167
184,185,189,Brady Schnell,38,180.6,2346584.0,361
185,186,T175,Satoshi Kodaira,51,180.7,3154290.0,485
186,187,190,Johnson Wagner,45,180.9,2904277.0,446
187,T188,T179,John Huh,35,181.0,2431115.0,373
188,T188,T179,Michael Thompson,56,181.0,4509055.0,692
189,190,196,Ben Crane,41,181.1,2444271.0,375
190,191,T183,Vaughn Taylor,69,181.2,5179461.0,794
191,192,192,Brian Gay,79,181.5,5235164.0,801
192,193,186,Michael Kim,51,182.0,3118445.0,476
193,194,187,Ernie Els,43,182.1,2380200.0,363
194,195,191,C.T. Pan,64,182.7,3820461.0,581
195,196,198,Alex Cejka,41,183.3,2448004.0,371
196,T197,199,David Hearn,41,183.6,2200699.0,333
197,T197,193,Andrew Putnam,57,183.6,3318008.0,502
198,199,194,Tiger Woods,31,184.3,1943584.0,293
199,200,195,Freddie Jacobson,37,184.9,2176820.0,327
200,T201,201,Ryan Armour,66,185.4,4498230.0,674
201,T201,197,Ryan Moore,54,185.4,3991355.0,598
202,203,205,Henrik Stenson,46,185.5,3118631.0,467
203,204,206,Jim Furyk,53,186.2,3813718.0,569
204,205,200,John Senden,39,186.3,2239823.0,334
205,206,202,Pat Perez,52,186.9,2712120.0,403
206,207,203,Brian Stuard,76,187.7,5161541.0,764
207,208,204,D.A. Points,33,187.9,1778790.0,263
208,209,207,Scott Langley,60,188.9,4522399.0,665
