,Approach_250-275_yards_RTP_RANK THIS WEEK,Approach_250-275_yards_RTP_RANK LAST WEEK,Approach_250-275_yards_RTP_PLAYER NAME,Approach_250-275_yards_RTP_ROUNDS,Approach_250-275_yards_RTP_AVG RTP
49,T49,T58,Adam Hadwin,66,-.700
50,T49,T49,Kyle Jones,49,-.700
51,T49,T58,Scott Stallings,63,-.700
52,53,62,Jonas Blixt,66,-.696
53,T54,T33,Cody Gribble,52,-.692
54,T54,T52,Russell Knox,65,-.692
55,T54,T52,Marc Leishman,52,-.692
56,T57,T56,Byeong Hun An,54,-.688
57,T57,T56,Sergio Garcia,39,-.688
58,T59,T58,Joel Dahmen,78,-.684
59,T59,T43,Nick Watney,67,-.684
60,T61,T63,Sangmoon Bae,42,-.667
61,T61,T63,Jason Dufner,56,-.667
62,T61,T83,Julián Etulain,55,-.667
63,T61,T63,Justin Harding,31,-.667
