,Approaches_from_50-75_yards_Rgh_RANK THIS WEEK,Approaches_from_50-75_yards_Rgh_RANK LAST WEEK,Approaches_from_50-75_yards_Rgh_PLAYER NAME,Approaches_from_50-75_yards_Rgh_ROUNDS,Approaches_from_50-75_yards_Rgh_AVG,Approaches_from_50-75_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_50-75_yards_Rgh_# OF ATTEMPTS,Approaches_from_50-75_yards_Rgh_RELATIVE TO PAR
39,T38,T43,Harold Varner III,62,"17' 0""",67.917,4,-2
40,41,46,Justin Thomas,49,"17' 2""",154.583,9,-3
41,42,47,Bronson Burgoon,37,"17' 3""",155.083,9,+3
42,T43,T48,Luke List,52,"17' 4""",69.167,4,-2
43,T43,T48,Kevin Na,54,"17' 4""",104.167,6,E
44,T45,50,Ryan Blaum,67,"17' 5""",121.75,7,+3
45,T45,34,Sam Saunders,53,"17' 5""",156.917,9,+3
46,T45,10,D.J. Trahan,33,"17' 5""",104.667,6,E
47,T48,T51,Abraham Ancer,69,"17' 7""",87.917,5,+3
48,T48,T51,Haotong Li,32,"17' 7""",87.833,5,-1
49,50,T40,Ryan Armour,66,"17' 8""",158.75,9,+2
50,51,71,Kelly Kraft,67,"17' 11""",89.75,5,-1
51,52,33,Alex Cejka,41,"18' 0""",71.917,4,E
52,T53,28,Stephan Jaeger,59,"18' 1""",198.75,11,+2
53,T53,55,Chris Stroud,54,"18' 1""",126.417,7,+2
54,T55,T56,Kyle Jones,49,"18' 2""",90.917,5,+3
55,T55,T56,John Senden,39,"18' 2""",36.333,2,+1
56,57,58,Patrick Rodgers,44,"18' 4""",128.25,7,E
57,58,T59,Kevin Kisner,65,"18' 5""",92.167,5,+3
58,59,53,Adam Svensson,51,"18' 6""",110.833,6,+1
59,60,61,Keegan Bradley,65,"18' 7""",92.833,5,E
60,T61,T62,J.J. Henry,42,"18' 8""",93.417,5,+2
61,T61,54,Rod Pampling,40,"18' 8""",130.5,7,E
62,63,64,Webb Simpson,53,"18' 11""",151.083,8,-1
63,64,T59,Peter Malnati,64,"19' 0""",341.917,18,+3
64,65,T62,Nick Watney,67,"19' 1""",210.0,11,-1
65,T66,T66,Aaron Baddeley,51,"19' 2""",172.5,9,-2
66,T66,T18,Lucas Bjerregaard,37,"19' 2""",95.917,5,-2
67,T66,T66,Max Homa,61,"19' 2""",134.25,7,+1
68,T69,T69,Kyoung-Hoon Lee,72,"19' 6""",175.5,9,-1
69,T69,T69,Keith Mitchell,64,"19' 6""",58.583,3,E
70,71,72,John Huh,35,"19' 10""",99.25,5,+1
71,72,73,Martin Kaymer,38,"19' 11""",119.417,6,+1
72,73,74,Grayson Murray,36,"20' 2""",60.5,3,-3
73,74,75,Jon Rahm,51,"20' 5""",101.917,5,+2
74,T75,T76,Chris Thompson,34,"20' 6""",163.833,8,+1
75,T75,T76,Matt Wallace,31,"20' 6""",102.333,5,-1
76,77,65,Sepp Straka,48,"20' 7""",144.167,7,+1
77,T78,98,Bud Cauley,61,"20' 9""",186.5,9,+3
78,T78,T78,Branden Grace,62,"20' 9""",145.25,7,E
79,T78,T78,Patrick Reed,53,"20' 9""",145.5,7,-1
80,T81,T81,Kiradech Aphibarnrat,49,"20' 10""",104.25,5,-1
81,T81,T81,Patton Kizzire,58,"20' 10""",104.0,5,+1
82,T81,T81,Kyle Stanley,53,"20' 10""",104.167,5,E
83,84,128,Whee Kim,57,"20' 11""",104.417,5,+1
84,T85,T84,Paul Casey,51,"21' 0""",125.917,6,-4
85,T85,T84,Joel Dahmen,78,"21' 0""",84.0,4,-1
86,T85,T84,Troy Merritt,42,"21' 0""",42.0,2,-1
87,88,89,Nick Taylor,70,"21' 4""",234.5,11,-3
88,89,T90,Michael Kim,51,"21' 6""",193.417,9,+2
89,T90,94,Charley Hoffman,58,"21' 10""",87.167,4,E
90,T90,113,Curtis Luck,51,"21' 10""",152.75,7,+1
91,92,T90,J.J. Spaun,68,"21' 11""",131.333,6,-2
92,93,T111,Jonathan Byrd,43,"22' 0""",197.917,9,-3
93,94,95,Rory Sabbatini,71,"22' 1""",176.667,8,E
94,95,T66,Wyndham Clark,61,"22' 3""",355.917,16,-3
95,T96,T96,Bill Haas,58,"22' 4""",178.417,8,-1
96,T96,T96,Hunter Mahan,45,"22' 4""",89.333,4,E
97,T96,87,Trey Mullinax,67,"22' 4""",334.75,15,-2
98,T99,T101,Brooks Koepka,49,"22' 6""",179.917,8,-3
99,T99,99,Marc Leishman,52,"22' 6""",134.75,6,-2
100,101,100,Sam Burns,66,"22' 7""",135.417,6,+3
101,T102,110,Anders Albertson,48,"22' 9""",182.167,8,+1
102,T102,T101,Ian Poulter,49,"22' 9""",113.75,5,+2
103,T104,T103,Talor Gooch,37,"22' 10""",91.25,4,E
104,T104,T103,Phil Mickelson,41,"22' 10""",296.91700000000003,13,+1
105,106,105,Cameron Davis,54,"22' 11""",229.0,10,+2
106,T107,131,Dominic Bozzelli,53,"23' 0""",184.0,8,+1
107,T107,T106,Carlos Ortiz,60,"23' 0""",183.75,8,E
108,T107,T106,Jordan Spieth,57,"23' 0""",184.25,8,+2
109,110,T157,Scott Langley,60,"23' 1""",69.167,3,-1
110,T111,T78,Dylan Frittelli,55,"23' 2""",208.833,9,-2
111,T111,T118,Fabián Gómez,44,"23' 2""",115.917,5,+1
112,T113,T108,Anirban Lahiri,54,"23' 3""",116.083,5,E
113,T113,T120,Brandt Snedeker,68,"23' 3""",185.667,8,-1
114,T113,T108,Vaughn Taylor,69,"23' 3""",162.917,7,E
115,116,T111,Matt Every,38,"23' 7""",164.917,7,E
116,117,T114,Kevin Tway,62,"24' 0""",215.833,9,-1
117,T118,T116,Ollie Schniederjans,63,"24' 1""",312.83299999999997,13,+5
118,T118,T116,Kevin Streelman,63,"24' 1""",216.667,9,+3
119,120,T118,Tyrrell Hatton,46,"24' 3""",48.417,2,+1
120,121,T114,Alex Prugh,54,"24' 4""",121.833,5,-2
121,122,999,Tyrone Van Aswegen,30,"24' 6""",122.583,5,E
122,123,139,Bubba Watson,47,"24' 8""",320.25,13,-2
123,T124,T123,Jason Day,45,"24' 9""",148.25,6,+4
124,T124,122,Robert Streb,60,"24' 9""",272.08299999999997,11,-1
125,T124,T123,Hudson Swafford,59,"24' 9""",247.833,10,E
126,T127,125,Scott Brown,66,"24' 11""",124.75,5,-2
127,T127,T120,Graeme McDowell,61,"24' 11""",248.833,10,+5
128,T129,T126,Joaquin Niemann,68,"25' 0""",150.0,6,+1
129,T129,T126,Andrew Putnam,57,"25' 0""",274.75,11,+8
130,T131,T129,Byeong Hun An,54,"25' 5""",254.083,10,+6
131,T131,T129,Tony Finau,61,"25' 5""",254.5,10,+3
132,133,137,Danny Willett,47,"25' 7""",332.583,13,+3
133,134,132,Brady Schnell,38,"25' 10""",25.833000000000002,1,E
134,T135,T133,Si Woo Kim,65,"26' 0""",286.25,11,E
135,T135,T133,Wes Roach,45,"26' 0""",52.0,2,E
136,137,136,Martin Trainer,51,"26' 3""",734.9169999999999,28,+3
137,138,141,Danny Lee,66,"26' 4""",368.333,14,+2
138,139,138,Harris English,72,"26' 5""",211.167,8,+3
139,140,93,Jim Knous,55,"26' 11""",215.333,8,-1
140,T141,T142,Billy Horschel,73,"27' 6""",275.0,10,+1
141,T141,T142,Scott Piercy,70,"27' 6""",219.833,8,E
142,T141,T142,Seth Reeves,52,"27' 6""",247.25,9,+4
143,T141,T151,Richy Werenski,63,"27' 6""",385.5,14,+4
144,145,145,Michael Thompson,56,"27' 10""",111.417,4,E
145,146,146,J.T. Poston,76,"28' 4""",254.833,9,+3
146,147,148,Brendan Steele,50,"28' 6""",170.833,6,+1
147,148,T149,Sergio Garcia,39,"28' 8""",143.167,5,+1
148,149,T151,Shawn Stefani,57,"28' 10""",144.0,5,+1
149,T150,T153,Seamus Power,58,"29' 0""",231.833,8,+5
150,T150,T153,Cameron Smith,55,"29' 0""",261.25,9,E
151,152,155,Brice Garnett,63,"29' 2""",87.583,3,E
152,153,156,Beau Hossler,66,"29' 5""",294.33299999999997,10,+2
153,154,92,Cameron Tringale,52,"29' 6""",147.5,5,+1
154,155,159,Patrick Cantlay,49,"30' 1""",150.333,5,-1
155,156,160,Scott Stallings,63,"30' 2""",241.417,8,E
156,157,182,Cody Gribble,52,"30' 3""",332.75,11,+6
157,T158,T161,Cameron Champ,58,"30' 4""",515.25,17,+3
158,T158,T161,Ryan Palmer,56,"30' 4""",60.583,2,+1
159,T158,T149,Roger Sloan,62,"30' 4""",212.167,7,-2
160,161,163,Jonas Blixt,66,"30' 6""",121.833,4,+1
161,162,T133,Martin Laird,60,"30' 8""",245.333,8,+3
162,163,170,Roberto Díaz,51,"30' 9""",338.667,11,E
163,164,T165,Rickie Fowler,54,"31' 0""",123.833,4,+1
164,T165,T167,Corey Conners,62,"31' 1""",155.417,5,+2
165,T165,T178,Sebastián Muñoz,58,"31' 1""",155.417,5,E
166,T165,T167,Chase Wright,53,"31' 1""",124.417,4,E
167,168,169,James Hahn,34,"31' 4""",62.583,2,E
168,T169,187,John Chin,38,"31' 10""",127.167,4,+2
169,T169,T165,Rory McIlroy,50,"31' 10""",318.16700000000003,10,+2
170,171,171,Andrew Landry,56,"32' 1""",192.25,6,+4
171,172,T157,Ben Crane,41,"32' 2""",321.58299999999997,10,+8
172,173,140,Aaron Wise,52,"32' 3""",290.08299999999997,9,+2
173,T174,164,Sungjae Im,88,"32' 4""",193.75,6,+2
174,T174,172,D.A. Points,33,"32' 4""",161.75,5,+1
175,176,173,Charles Howell III,64,"32' 5""",324.33299999999997,10,+5
176,177,174,Justin Rose,42,"32' 7""",195.333,6,+2
177,T178,T175,Sung Kang,67,"32' 9""",360.167,11,+3
178,T178,T175,Gary Woodland,63,"32' 9""",163.75,5,+2
179,180,177,Jimmy Walker,61,"33' 0""",263.66700000000003,8,+3
180,181,T178,Nate Lashley,44,"33' 3""",133.083,4,+1
181,182,180,José de Jesús Rodríguez,51,"33' 4""",333.0,10,+3
182,183,181,Hank Lebioda,55,"33' 11""",169.667,5,-1
183,T184,192,Dustin Johnson,47,"34' 1""",375.25,11,+1
184,T184,186,Adam Schenk,80,"34' 1""",238.417,7,+2
185,186,185,Matt Kuchar,65,"34' 2""",239.25,7,E
186,187,T193,J.B. Holmes,54,"34' 10""",104.417,3,E
187,188,183,Jim Herman,37,"35' 2""",175.833,5,+3
188,189,999,Shane Lowry,30,"36' 6""",145.833,4,+2
189,190,188,Tom Hoge,70,"38' 9""",309.75,8,+4
190,191,184,Alex Noren,49,"39' 6""",276.25,7,E
191,192,189,C.T. Pan,64,"39' 8""",119.083,3,+1
192,193,190,Tiger Woods,31,"40' 3""",40.25,1,E
193,194,191,Russell Henley,56,"40' 5""",161.5,4,+2
194,195,31,Josh Teater,47,"40' 7""",203.083,5,-2
195,196,T193,Francesco Molinari,41,"41' 8""",457.917,11,-1
196,197,195,Brian Harman,67,"41' 10""",334.417,8,+2
197,198,198,Brandon Harkins,67,"43' 5""",520.8330000000001,12,+9
198,199,196,Peter Uihlein,65,"43' 7""",523.0,12,-2
199,200,197,Kramer Hickok,59,"43' 8""",174.667,4,+3
200,201,199,Chez Reavie,67,"45' 0""",89.917,2,+1
201,202,200,Henrik Stenson,46,"47' 5""",284.58299999999997,6,+1
202,203,201,Adam Long,52,"49' 0""",294.08299999999997,6,+1
203,204,202,Chesson Hadley,58,"50' 6""",202.0,4,+2
204,205,147,Jim Furyk,53,"55' 3""",165.833,3,+1
205,206,203,Matthew Fitzpatrick,42,"71' 11""",71.917,1,E
206,207,204,Charl Schwartzel,34,"73' 2""",146.333,2,+3
