,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
196,197,195,Fabián Gómez,44,"49' 9""",56753,95,4729.417,+10.00
197,T198,201,Brian Harman,67,"50' 0""",79850,133,6654.1669999999995,+20.00
198,T198,197,Grayson Murray,36,"50' 0""",74426,124,6202.1669999999995,+10.00
199,T200,T198,Haotong Li,32,"50' 1""",45646,76,3803.833,+16.00
200,T200,T198,Patrick Reed,53,"50' 1""",86491,144,7207.5830000000005,+11.00
201,202,999,Shane Lowry,30,"50' 2""",50528,84,4210.667,+8.00
202,203,202,Tiger Woods,31,"51' 1""",39224,64,3268.667,+9.00
203,204,T203,Adam Scott,41,"51' 2""",57675,94,4806.25,+7.00
204,205,T203,Johnson Wagner,45,"51' 3""",66460,108,5538.3330000000005,+14.00
205,206,207,Denny McCarthy,63,"52' 3""",97136,155,8094.6669999999995,+6.00
206,207,206,Freddie Jacobson,37,"52' 5""",56007,89,4667.25,+26.00
207,208,205,Kramer Hickok,59,"52' 11""",76832,121,6402.6669999999995,+21.00
208,209,999,Martin Piller,30,"53' 1""",40154,63,3346.167,+7.00
