,SG_Approach_the_Green_RANK THIS WEEK,SG_Approach_the_Green_RANK LAST WEEK,SG_Approach_the_Green_PLAYER NAME,SG_Approach_the_Green_ROUNDS,SG_Approach_the_Green_AVERAGE,SG_Approach_the_Green_TOTAL SG:APP,SG_Approach_the_Green_MEASURED ROUNDS
123,124,135,Harold Varner III,62,-0.032,-1.639,52
124,125,91,Johnson Wagner,45,-0.033,-1.06,32
125,126,136,Jonathan Byrd,43,-0.035,-0.977,28
126,127,138,Mackenzie Hughes,58,-0.036000000000000004,-1.588,44
127,128,119,Pat Perez,52,-0.042,-1.2109999999999999,29
128,129,120,John Huh,35,-0.043,-1.161,27
129,130,121,Patton Kizzire,58,-0.044000000000000004,-1.624,37
130,131,122,Patrick Rodgers,44,-0.045,-1.725,38
131,132,123,Brandon Harkins,67,-0.051,-2.479,49
132,133,134,Austin Cook,50,-0.055999999999999994,-1.976,35
133,134,129,James Hahn,34,-0.076,-1.288,17
134,135,145,Scott Brown,66,-0.085,-4.067,48
135,136,131,Ryan Armour,66,-0.08800000000000001,-4.289,49
136,137,169,Chris Thompson,34,-0.105,-2.302,22
137,138,T153,Adam Hadwin,66,-0.10800000000000001,-4.97,46
138,139,151,Robert Streb,60,-0.113,-4.967,44
139,140,148,Martin Laird,60,-0.12300000000000001,-6.026,49
140,141,140,Matt Jones,67,-0.126,-5.66,45
141,142,999,Shane Lowry,30,-0.127,-2.665,21
142,143,132,Julián Etulain,55,-0.133,-4.917,37
143,144,143,Jordan Spieth,57,-0.141,-6.334,45
144,145,144,Jason Day,45,-0.14300000000000002,-3.5789999999999997,25
145,146,137,Carlos Ortiz,60,-0.152,-7.307,48
146,147,146,Si Woo Kim,65,-0.153,-5.985,39
147,148,147,Patrick Reed,53,-0.155,-5.744,37
148,149,139,Chris Stroud,54,-0.156,-6.233,40
149,150,T161,Ben Crane,41,-0.157,-4.244,27
150,151,149,Bronson Burgoon,37,-0.16899999999999998,-4.893,29
151,152,152,Nick Taylor,70,-0.174,-10.262,59
152,153,158,Kramer Hickok,59,-0.179,-7.347,41
153,154,167,Brady Schnell,38,-0.182,-4.728,26
154,155,128,Kelly Kraft,67,-0.187,-8.79,47
155,156,164,Peter Uihlein,65,-0.188,-8.072000000000001,43
156,157,141,Aaron Wise,52,-0.19,-7.227,38
157,158,T153,Tyler Duncan,66,-0.20800000000000002,-9.551,46
158,159,165,Richy Werenski,63,-0.209,-10.645999999999999,51
159,160,155,Aaron Baddeley,51,-0.21100000000000002,-8.022,38
160,161,163,David Hearn,41,-0.21899999999999997,-5.25,24
161,162,133,J.J. Henry,42,-0.221,-5.977,27
162,163,156,Cameron Champ,58,-0.222,-10.649000000000001,48
163,164,157,Ernie Els,43,-0.23,-5.975,26
164,165,159,"Ted Potter, Jr.",56,-0.233,-10.029,43
165,166,160,Anirban Lahiri,54,-0.237,-9.471,40
166,167,T161,Louis Oosthuizen,43,-0.23800000000000002,-5.718999999999999,24
167,168,150,Jim Herman,37,-0.24,-6.477,27
168,169,166,Freddie Jacobson,37,-0.242,-5.809,24
169,170,168,Brice Garnett,63,-0.26,-10.668,41
170,171,174,Harris English,72,-0.29100000000000004,-16.882,58
171,172,171,Sam Burns,66,-0.294,-15.9,54
172,173,T172,Satoshi Kodaira,51,-0.299,-10.470999999999998,35
173,174,175,Stewart Cink,33,-0.303,-6.355,21
174,T175,189,Sangmoon Bae,42,-0.33,-8.589,26
175,T175,176,Michael Kim,51,-0.33,-11.538,35
176,177,177,Ryan Blaum,67,-0.33299999999999996,-17.649,53
177,178,170,Chase Wright,53,-0.33399999999999996,-13.027999999999999,39
178,179,179,Denny McCarthy,63,-0.33799999999999997,-15.876,47
179,180,178,Bill Haas,58,-0.345,-15.883,46
180,181,181,Ollie Schniederjans,63,-0.35100000000000003,-16.480999999999998,47
181,182,183,Stephan Jaeger,59,-0.37,-15.16,41
182,183,T172,Roberto Díaz,51,-0.396,-13.068,33
183,184,180,Fabián Gómez,44,-0.413,-12.394,30
184,185,190,Wes Roach,45,-0.414,-11.993,29
185,186,184,Brendan Steele,50,-0.42100000000000004,-15.564,37
186,187,194,José de Jesús Rodríguez,51,-0.426,-14.919,35
187,188,185,Kiradech Aphibarnrat,49,-0.429,-14.155,33
188,189,187,Brian Gay,79,-0.461,-26.718000000000004,58
189,190,188,Scott Langley,60,-0.465,-22.343000000000004,48
190,191,182,Alex Noren,49,-0.466,-15.368,33
191,192,186,D.A. Points,33,-0.47600000000000003,-9.049,19
192,193,192,Brian Harman,67,-0.561,-27.503,49
193,194,200,Cody Gribble,52,-0.574,-22.971,40
194,195,191,Beau Hossler,66,-0.593,-30.250999999999998,51
195,196,199,Rod Pampling,40,-0.595,-16.078,27
196,197,193,Hunter Mahan,45,-0.615,-20.283,33
197,198,196,Grayson Murray,36,-0.631,-16.395,26
198,199,197,Wyndham Clark,61,-0.636,-29.898000000000003,47
199,200,195,Kyle Jones,49,-0.647,-22.645,35
200,201,201,John Chin,38,-0.67,-14.749,22
201,202,198,Dominic Bozzelli,53,-0.6920000000000001,-22.845,33
202,203,202,Curtis Luck,51,-0.764,-24.456999999999997,32
203,204,203,Seamus Power,58,-0.872,-38.346,44
204,205,206,Joey Garber,44,-0.905,-23.541999999999998,26
205,206,204,Seth Reeves,52,-1.0759999999999998,-38.75,36
206,207,205,Martin Trainer,51,-1.147,-45.88399999999999,40
207,208,207,Justin Harding,31,-1.173,-14.078,12
208,209,999,Martin Piller,30,-1.227,-20.865,17
