,Approaches_from_175-200_yards_RANK THIS WEEK,Approaches_from_175-200_yards_RANK LAST WEEK,Approaches_from_175-200_yards_PLAYER NAME,Approaches_from_175-200_yards_ROUNDS,Approaches_from_175-200_yards_AVG,Approaches_from_175-200_yards_TOTAL DISTANCE (FEET),Approaches_from_175-200_yards_# OF ATTEMPTS,Approaches_from_175-200_yards_RELATIVE TO PAR
71,T72,T69,Bronson Burgoon,37,"33' 3""",2729.0,82,+3
72,T72,T69,Tommy Fleetwood,43,"33' 3""",2225.917,67,-2
73,T72,T69,Billy Horschel,73,"33' 3""",4160.583,125,-12
74,T72,T69,Robert Streb,60,"33' 3""",4193.833,126,E
75,T76,75,Kyoung-Hoon Lee,72,"33' 4""",4737.333,142,-4
76,T76,T101,Cameron Tringale,52,"33' 4""",2667.0,80,+6
77,T78,T76,Abraham Ancer,69,"33' 5""",4372.167,131,+10
78,T78,T76,Adam Svensson,51,"33' 5""",3372.167,101,E
79,T80,T78,Stewart Cink,33,"33' 6""",1676.75,50,+4
80,T80,T78,Martin Kaymer,38,"33' 6""",3183.083,95,+6
81,T82,T119,Jonathan Byrd,43,"33' 7""",2450.583,73,E
82,T82,T80,John Senden,39,"33' 7""",2452.417,73,+3
83,T84,T83,Rafa Cabrera Bello,57,"33' 8""",3703.333,110,+4
84,T84,T83,Satoshi Kodaira,51,"33' 8""",3134.75,93,+15
85,T84,T83,Brendan Steele,50,"33' 8""",3702.75,110,+21
86,T87,T86,Fabián Gómez,44,"33' 9""",2428.5,72,+4
87,T87,T97,Russell Henley,56,"33' 9""",4322.417,128,+3
88,T87,T86,Josh Teater,47,"33' 9""",2736.583,81,+12
89,T90,T88,Chesson Hadley,58,"33' 10""",3351.667,99,+6
90,T90,T88,Charles Howell III,64,"33' 10""",3214.833,95,-13
91,T90,T88,Jordan Spieth,57,"33' 10""",4129.917,122,+3
92,T90,T88,Jhonattan Vegas,60,"33' 10""",3958.167,117,-3
93,T94,T92,Max Homa,61,"33' 11""",4748.75,140,+4
94,T94,T97,Sungjae Im,88,"33' 11""",6032.4169999999995,178,-3
95,T94,T92,Adam Long,52,"33' 11""",4271.083,126,-2
96,T94,T80,Sam Saunders,53,"33' 11""",3458.25,102,+3
97,T94,T92,Kevin Streelman,63,"33' 11""",5059.75,149,-1
98,T99,T104,Peter Malnati,64,"34' 0""",5298.25,156,-8
99,T99,96,Sam Ryder,52,"34' 0""",3905.25,115,+14
100,T101,T97,Si Woo Kim,65,"34' 1""",3958.083,116,+2
101,T101,T97,Brian Stuard,76,"34' 1""",6434.8330000000005,189,+14
102,T103,T111,Cameron Davis,54,"34' 2""",3484.833,102,-3
103,T103,T101,Michael Thompson,56,"34' 2""",5436.0830000000005,159,-1
104,105,T101,Brandon Harkins,67,"34' 3""",4009.333,117,+12
105,T106,T108,Roberto Díaz,51,"34' 4""",3361.583,98,+7
106,T106,T113,Martin Laird,60,"34' 4""",4291.75,125,+4
107,T106,T104,Vaughn Taylor,69,"34' 4""",6115.5830000000005,178,+11
108,T109,107,Lucas Glover,62,"34' 5""",5196.75,151,-1
109,T109,999,Tyrone Van Aswegen,30,"34' 5""",1549.0,45,+7
110,T111,T108,Jason Day,45,"34' 6""",2033.5,59,+3
111,T111,T108,C.T. Pan,64,"34' 6""",4593.417,133,+11
112,T113,T111,Cameron Champ,58,"34' 7""",3806.167,110,-3
113,T113,T115,Matt Every,38,"34' 7""",2075.417,60,-2
114,T113,T127,Brady Schnell,38,"34' 7""",2492.583,72,+4
115,T116,T113,Ryan Armour,66,"34' 8""",5475.5830000000005,158,+6
116,T116,T141,Ben Crane,41,"34' 8""",3190.333,92,+4
117,T116,T80,Zach Johnson,50,"34' 8""",4160.833,120,+7
118,119,T123,Bud Cauley,61,"34' 9""",5391.25,155,+2
119,T120,T117,Aaron Baddeley,51,"34' 10""",3483.5,100,+2
120,T120,T117,Patrick Rodgers,44,"34' 10""",3307.167,95,-6
121,T122,T119,Francesco Molinari,41,"34' 11""",2092.833,60,+4
122,T122,T119,Louis Oosthuizen,43,"34' 11""",2236.583,64,+11
123,T122,T119,J.T. Poston,76,"34' 11""",5906.0,169,+7
124,T122,T138,Brandt Snedeker,68,"34' 11""",3739.917,107,+9
125,T126,T123,Ernie Els,43,"35' 0""",2696.417,77,-1
126,T126,T130,Adam Hadwin,66,"35' 0""",4235.5,121,+20
127,T126,T104,J.B. Holmes,54,"35' 0""",2101.417,60,+15
128,T129,T127,Michael Kim,51,"35' 1""",2913.417,83,+1
129,T129,T127,Charl Schwartzel,34,"35' 1""",1509.8329999999999,43,-2
130,T131,T130,Kiradech Aphibarnrat,49,"35' 2""",2952.583,84,+7
131,T131,T115,Austin Cook,50,"35' 2""",3444.5,98,+7
132,T131,T130,Jason Dufner,56,"35' 2""",3761.75,107,+12
133,T134,133,Phil Mickelson,41,"35' 3""",2222.0,63,+5
134,T134,162,José de Jesús Rodríguez,51,"35' 3""",3068.583,87,+1
135,T136,T136,Jim Knous,55,"35' 6""",3481.917,98,+6
136,T136,T138,Nick Taylor,70,"35' 6""",5436.5830000000005,153,+7
137,T138,T145,Roberto Castro,54,"35' 7""",3844.833,108,+7
138,T138,148,J.J. Spaun,68,"35' 7""",4377.25,123,+6
139,T138,T134,Richy Werenski,63,"35' 7""",4481.083,126,+11
140,T141,T138,Ryan Blaum,67,"35' 8""",5139.167,144,+12
141,T141,T136,Carlos Ortiz,60,"35' 8""",4171.167,117,+11
142,T143,T123,Anders Albertson,48,"35' 9""",2856.917,80,E
143,T143,T143,Jonas Blixt,66,"35' 9""",5503.1669999999995,154,+8
144,T143,T141,Sam Burns,66,"35' 9""",4857.75,136,+4
145,T146,T143,Matt Jones,67,"35' 10""",4371.333,122,-4
146,T146,T156,Alex Prugh,54,"35' 10""",3045.917,85,+7
147,T148,T145,Hunter Mahan,45,"35' 11""",2800.417,78,+2
148,T148,T145,Kyle Stanley,53,"35' 11""",3090.167,86,+8
149,150,T149,Kevin Na,54,"36' 1""",3388.833,94,+4
150,T151,T151,Troy Merritt,42,"36' 2""",3256.5,90,+7
151,T151,T134,Bubba Watson,47,"36' 2""",3181.25,88,-3
152,T153,T156,Brice Garnett,63,"36' 3""",4460.583,123,+11
153,T153,T165,Cody Gribble,52,"36' 3""",3808.417,105,+23
154,T153,T123,Jim Herman,37,"36' 3""",2829.833,78,+11
155,156,T156,Seamus Power,58,"36' 4""",4250.833,117,+8
156,T157,T156,D.A. Points,33,"36' 6""",2153.75,59,+9
157,T157,T178,Chris Thompson,34,"36' 6""",1752.1670000000001,48,+9
158,T157,T163,Johnson Wagner,45,"36' 6""",3066.75,84,+4
159,T160,T151,Alex Noren,49,"36' 7""",3289.583,90,+9
160,T160,T160,Andrew Putnam,57,"36' 7""",3546.0,97,+3
161,T160,T160,Aaron Wise,52,"36' 7""",3072.833,84,-13
162,163,T154,Denny McCarthy,63,"36' 8""",4544.583,124,E
163,T164,T149,Sangmoon Bae,42,"36' 9""",2314.75,63,+6
164,T164,T183,Joey Garber,44,"36' 9""",2353.833,64,+2
165,T166,T165,Lucas Bjerregaard,37,"36' 10""",2027.75,55,+4
166,T166,153,Julián Etulain,55,"36' 10""",3424.833,93,+11
167,T166,T154,Chris Stroud,54,"36' 10""",3865.417,105,+8
168,T166,T163,Jimmy Walker,61,"36' 10""",4531.417,123,+3
169,T170,T170,Scott Langley,60,"36' 11""",5059.5,137,+20
170,T170,T165,"Ted Potter, Jr.",56,"36' 11""",4396.417,119,+14
171,T170,T165,Rory Sabbatini,71,"36' 11""",5941.1669999999995,161,-1
172,173,T178,Stephan Jaeger,59,"37' 0""",4106.083,111,+5
173,T174,169,J.J. Henry,42,"37' 1""",2817.0,76,+11
174,T174,T170,John Huh,35,"37' 1""",2779.417,75,+8
175,T176,T170,Kelly Kraft,67,"37' 2""",5390.9169999999995,145,+12
176,T176,173,Anirban Lahiri,54,"37' 2""",4346.75,117,+12
177,178,T174,Patrick Reed,53,"37' 3""",3091.833,83,-2
178,T179,T174,Bill Haas,58,"37' 4""",4892.417,131,+20
179,T179,176,Brian Harman,67,"37' 4""",5824.3330000000005,156,+19
180,T179,195,Rod Pampling,40,"37' 4""",2837.583,76,+16
181,T179,T183,Wes Roach,45,"37' 4""",2463.5,66,-1
182,T179,T180,Ben Silverman,54,"37' 4""",4253.917,114,+17
183,T184,T192,Mackenzie Hughes,58,"37' 5""",4599.75,123,+16
184,T184,177,Curtis Luck,51,"37' 5""",3481.75,93,-1
185,186,T189,John Chin,38,"37' 7""",1576.8329999999999,42,+4
186,187,T189,Dylan Frittelli,55,"37' 9""",4452.667,118,+10
187,T188,T180,Kevin Kisner,65,"37' 10""",4197.25,111,+10
188,T188,T180,Luke List,52,"37' 10""",4006.5,106,+6
189,190,999,Martin Piller,30,"37' 11""",1555.9170000000001,41,+4
190,T191,T183,Keith Mitchell,64,"38' 0""",4029.667,106,+1
191,T191,T183,Pat Perez,52,"38' 0""",3607.083,95,+6
192,193,188,Beau Hossler,66,"38' 1""",4573.333,120,+4
193,T194,T192,Brian Gay,79,"38' 2""",7288.4169999999995,191,+18
194,T194,201,David Hearn,41,"38' 2""",2709.583,71,+11
195,T194,T189,Freddie Jacobson,37,"38' 2""",2784.333,73,+9
196,197,194,Patton Kizzire,58,"38' 5""",3839.667,100,+5
197,198,T196,Roger Sloan,62,"38' 6""",4580.75,119,+7
198,199,198,Ollie Schniederjans,63,"38' 8""",4448.083,115,+6
199,200,T183,Dominic Bozzelli,53,"38' 10""",2795.5,72,+8
200,201,T196,Seth Reeves,52,"38' 11""",3349.667,86,+19
201,202,200,Chase Wright,53,"39' 0""",4172.5,107,+3
202,203,199,Matt Wallace,31,"39' 1""",1992.3329999999999,51,E
203,204,202,Wyndham Clark,61,"39' 5""",4296.333,109,+6
204,205,203,Martin Trainer,51,"39' 7""",3367.667,85,+14
205,206,204,Kyle Jones,49,"39' 9""",4292.167,108,+16
206,207,205,Ian Poulter,49,"40' 8""",2765.25,68,+3
207,208,206,Harris English,72,"40' 10""",6363.8330000000005,156,+16
208,209,207,Justin Harding,31,"41' 5""",1574.6670000000001,38,-2
