,Approach_125-150_yards_RTP_Score_RANK THIS WEEK,Approach_125-150_yards_RTP_Score_RANK LAST WEEK,Approach_125-150_yards_RTP_Score_PLAYER NAME,Approach_125-150_yards_RTP_Score_ROUNDS,Approach_125-150_yards_RTP_Score_AVG RTP
57,T58,T54,Aaron Baddeley,51,-.141
58,T58,T72,Cameron Tringale,52,-.141
59,60,T50,Scott Stallings,63,-.140
60,61,57,Haotong Li,32,-.139
61,62,T61,Louis Oosthuizen,43,-.132
62,63,T66,Scott Langley,60,-.129
63,64,T66,J.T. Poston,76,-.128
64,T65,T68,Tyrrell Hatton,46,-.127
65,T65,T68,Ian Poulter,49,-.127
66,T65,74,Roger Sloan,62,-.127
67,T68,53,Ryan Armour,66,-.126
68,T68,T72,Scott Piercy,70,-.126
69,T70,36,Martin Laird,60,-.125
70,T70,T86,Graeme McDowell,61,-.125
71,T72,T102,Zach Johnson,50,-.123
72,T72,T108,Jim Knous,55,-.123
73,74,T61,Austin Cook,50,-.122
74,75,85,Ollie Schniederjans,63,-.119
75,T76,T75,Ernie Els,43,-.116
76,T76,T75,Kevin Kisner,65,-.116
77,78,T108,Brandt Snedeker,68,-.115
78,T79,106,Kelly Kraft,67,-.113
79,T79,T79,Kevin Streelman,63,-.113
80,T79,78,Nick Watney,67,-.113
81,82,81,Matt Jones,67,-.112
82,T83,82,Joel Dahmen,78,-.111
83,T83,T89,Harris English,72,-.111
84,T83,T70,J.B. Holmes,54,-.111
85,T83,T64,Brooks Koepka,49,-.111
86,T87,T50,Jonas Blixt,66,-.109
87,T87,84,Rickie Fowler,54,-.109
88,T87,77,Denny McCarthy,63,-.109
89,90,T100,Alex Prugh,54,-.107
90,T91,T95,Alex Cejka,41,-.105
91,T91,T79,Kramer Hickok,59,-.105
92,T91,88,Kyoung-Hoon Lee,72,-.105
93,94,119,Jonathan Byrd,43,-.104
94,T95,T113,Cody Gribble,52,-.103
95,T95,T89,Martin Kaymer,38,-.103
96,T95,T89,Jordan Spieth,57,-.103
97,T98,T86,Sebastián Muñoz,58,-.102
98,T98,T93,Justin Rose,42,-.102
99,100,83,Russell Henley,56,-.101
100,T101,T95,Francesco Molinari,41,-.100
101,T101,T111,Josh Teater,47,-.100
102,103,T98,José de Jesús Rodríguez,51,-.097
103,T104,T89,Sungjae Im,88,-.096
104,T104,T98,Nick Taylor,70,-.096
105,106,T102,Max Homa,61,-.094
106,T107,T104,Sung Kang,67,-.093
107,T107,T104,Keith Mitchell,64,-.093
108,109,107,Emiliano Grillo,65,-.090
109,T110,110,Xander Schauffele,55,-.088
110,T110,T156,Sepp Straka,48,-.088
111,T112,T145,Daniel Berger,48,-.087
112,T112,T111,Billy Horschel,73,-.087
113,T114,T113,Jim Furyk,53,-.085
114,T114,115,Gary Woodland,63,-.085
115,116,116,Ryan Blaum,67,-.084
116,117,T137,Joaquin Niemann,68,-.080
117,T118,T117,Rafa Cabrera Bello,57,-.079
118,T118,T117,Paul Casey,51,-.079
119,120,121,Tony Finau,61,-.074
120,121,T125,Adam Hadwin,66,-.072
121,T122,97,Anders Albertson,48,-.071
122,T122,123,Patrick Cantlay,49,-.071
123,124,T125,Patton Kizzire,58,-.068
124,T125,142,Matt Kuchar,65,-.067
125,T125,124,Nate Lashley,44,-.067
126,127,T134,Richy Werenski,63,-.066
127,128,T139,Brandon Harkins,67,-.065
128,129,T134,Brian Gay,79,-.064
129,T130,T129,Matthew Fitzpatrick,42,-.063
130,T130,T129,Chesson Hadley,58,-.063
131,T132,T127,Brice Garnett,63,-.062
132,T132,T148,Kyle Jones,49,-.062
133,T132,131,Satoshi Kodaira,51,-.062
134,T135,141,Bill Haas,58,-.061
135,T135,T132,James Hahn,34,-.061
136,T135,T132,Jon Rahm,51,-.061
137,138,T100,Peter Uihlein,65,-.060
138,139,136,Jason Dufner,56,-.058
139,140,T137,Hunter Mahan,45,-.057
140,T141,T139,Wyndham Clark,61,-.056
141,T141,120,Bubba Watson,47,-.056
142,143,T156,Robert Streb,60,-.055
143,144,T150,Tyler Duncan,66,-.054
144,T145,155,Jim Herman,37,-.053
145,T145,T192,Wes Roach,45,-.053
146,T145,152,J.J. Spaun,68,-.053
147,T145,143,Tiger Woods,31,-.053
148,149,T127,D.J. Trahan,33,-.051
149,150,T145,Justin Harding,31,-.050
150,T151,T153,Dylan Frittelli,55,-.049
151,T151,147,Jhonattan Vegas,60,-.049
152,T151,122,Jimmy Walker,61,-.049
153,154,T148,Sam Burns,66,-.048
154,155,T150,Adam Long,52,-.047
155,156,159,Adam Svensson,51,-.045
156,157,999,Shane Lowry,30,-.044
157,158,T153,Jason Day,45,-.041
158,159,163,Trey Mullinax,67,-.038
159,160,144,Shawn Stefani,57,-.037
160,161,T194,Joey Garber,44,-.036
161,T162,158,Whee Kim,57,-.034
162,T162,161,Kyle Stanley,53,-.034
163,T162,T165,Chris Stroud,54,-.034
164,T162,160,Martin Trainer,51,-.034
165,166,162,Pat Perez,52,-.033
166,167,174,Alex Noren,49,-.032
167,T168,198,Lucas Bjerregaard,37,-.029
168,T168,179,Ben Silverman,54,-.029
169,170,T171,Bud Cauley,61,-.028
170,171,164,Brendan Steele,50,-.026
171,172,178,Mackenzie Hughes,58,-.025
172,T173,999,Martin Piller,30,-.024
173,T173,T165,John Senden,39,-.024
174,175,T167,Luke List,52,-.022
175,T176,T167,Keegan Bradley,65,-.021
176,T176,170,Andrew Landry,56,-.021
177,T178,T181,Danny Lee,66,-.020
178,T178,T167,Hudson Swafford,59,-.020
179,180,T181,Matt Every,38,-.019
180,T181,T175,Bronson Burgoon,37,-.016
181,T181,T175,Patrick Reed,53,-.016
182,183,T181,Kevin Tway,62,-.013
183,184,T181,Sam Saunders,53,-.011
184,185,180,Beau Hossler,66,-.010
185,186,T171,Carlos Ortiz,60,-.009
186,T187,T181,Cameron Champ,58,E
187,T187,177,Talor Gooch,37,E
188,T187,T181,Freddie Jacobson,37,E
189,T187,203,Stephan Jaeger,59,E
190,T187,T181,Michael Kim,51,E
191,T187,999,Tyrone Van Aswegen,30,E
192,193,T188,Anirban Lahiri,54,+.014
193,194,190,Si Woo Kim,65,+.015
194,195,191,Cameron Davis,54,+.016
195,196,T192,Branden Grace,62,+.017
196,197,T171,J.J. Henry,42,+.018
197,198,196,Tommy Fleetwood,43,+.022
198,199,197,Abraham Ancer,69,+.028
199,200,T194,Ben Crane,41,+.038
200,201,T188,Seth Reeves,52,+.039
201,202,200,"Ted Potter, Jr.",56,+.043
202,203,199,Aaron Wise,52,+.048
203,204,201,D.A. Points,33,+.059
204,205,204,Grayson Murray,36,+.065
205,206,202,Danny Willett,47,+.067
206,207,205,Marc Leishman,52,+.091
207,208,206,Rod Pampling,40,+.104
208,209,207,Charl Schwartzel,34,+.250
