,GIR_Percentage_-_100-125_yards_RANK THIS WEEK,GIR_Percentage_-_100-125_yards_RANK LAST WEEK,GIR_Percentage_-_100-125_yards_PLAYER NAME,GIR_Percentage_-_100-125_yards_ROUNDS,GIR_Percentage_-_100-125_yards_%,GIR_Percentage_-_100-125_yards_GREENS HIT,GIR_Percentage_-_100-125_yards_TOTAL HOLES,GIR_Percentage_-_100-125_yards_RELATIVE TO PAR
101,T101,105,Marc Leishman,52,74.58,44,59,-0.18
102,103,T73,Shawn Stefani,57,74.55,41,55,-0.24
103,104,56,Matt Every,38,74.51,38,51,-0.37
104,105,108,Abraham Ancer,69,74.47,70,94,-0.21
105,T106,90,Chris Stroud,54,74.29,52,70,-0.25
106,T106,999,Tyrone Van Aswegen,30,74.29,26,35,-0.04
107,108,109,Jordan Spieth,57,74.19,46,62,-0.39
108,T109,99,Kelly Kraft,67,74.03,57,77,-0.26
109,T109,110,Troy Merritt,42,74.03,57,77,-0.28
110,111,138,Sergio Garcia,39,73.91,34,46,-0.38
111,T112,88,Rory McIlroy,50,73.85,48,65,-0.31
112,T112,T117,Sepp Straka,48,73.85,48,65,-0.25
113,114,116,Anders Albertson,48,73.61,53,72,-0.21
114,115,93,Nick Taylor,70,73.45,83,113,-0.28
115,116,119,Bill Haas,58,73.33,66,90,-0.36
116,117,T117,Ian Poulter,49,73.21,41,56,-0.22
117,118,103,Scott Stallings,63,73.17,60,82,-0.28
118,T119,T114,Julián Etulain,55,72.73,56,77,-0.41
119,T119,107,Jim Herman,37,72.73,40,55,-0.3
120,T119,120,Gary Woodland,63,72.73,56,77,-0.27
121,122,79,Fabián Gómez,44,72.58,45,62,-0.22
122,T123,T121,Ernie Els,43,72.5,29,40,-0.17
123,T123,T121,John Huh,35,72.5,29,40,-0.38
124,T123,T121,Luke List,52,72.5,58,80,-0.17
125,126,125,Bronson Burgoon,37,72.41,42,58,-0.21
126,127,T130,Roger Sloan,62,72.28,73,101,-0.26
127,128,126,Kiradech Aphibarnrat,49,72.13,44,61,-0.3
128,129,T130,D.J. Trahan,33,71.74,33,46,-0.27
129,130,139,Alex Cejka,41,71.7,38,53,-0.16
130,131,T100,Kyle Jones,49,71.67,43,60,-0.19
131,T132,111,Stephan Jaeger,59,71.43,55,77,-0.33
132,T132,127,Adam Schenk,80,71.43,95,133,-0.42
133,T132,T130,John Senden,39,71.43,30,42,-0.27
134,135,134,Max Homa,61,71.28,67,94,-0.19
135,136,135,Patrick Rodgers,44,71.23,52,73,-0.21
136,137,136,Satoshi Kodaira,51,71.19,42,59,-0.26
137,T138,T130,David Hearn,41,71.15,37,52,-0.24
138,T138,137,Patton Kizzire,58,71.15,37,52,-0.3
139,140,161,Kevin Tway,62,71.11,64,90,-0.19
140,141,140,Andrew Landry,56,70.53,67,95,-0.31
141,142,156,Brian Harman,67,70.41,69,98,-0.14
142,143,142,Keith Mitchell,64,70.31,45,64,-0.11
143,144,143,Joel Dahmen,78,70.27,78,111,-0.23
144,145,T144,Sung Kang,67,70.24,59,84,-0.19
145,146,146,Bryson DeChambeau,45,70.18,40,57,-0.25
146,147,147,Hunter Mahan,45,70.0,49,70,-0.2
147,148,148,Ryan Blaum,67,69.89,65,93,-0.23
148,149,150,Jon Rahm,51,69.81,37,53,-0.19
149,150,141,Robert Streb,60,69.74,53,76,-0.28
150,151,154,Austin Cook,50,69.7,46,66,-0.15
151,152,151,Tyrrell Hatton,46,69.57,32,46,-0.06
152,153,152,Jason Kokrak,68,69.51,57,82,-0.23
153,154,153,Martin Kaymer,38,69.49,41,59,-0.2
154,155,165,Dustin Johnson,47,69.35,43,62,-0.23
155,T156,112,Adam Hadwin,66,69.33,52,75,-0.21
156,T156,155,Adam Long,52,69.33,52,75,-0.21
157,158,T171,Keegan Bradley,65,69.23,54,78,-0.09
158,159,157,Tommy Fleetwood,43,69.05,29,42,-0.14
159,T160,T158,Branden Grace,62,69.01,49,71,-0.2
160,T160,T158,Brendan Steele,50,69.01,49,71,-0.16
161,T160,T158,Jhonattan Vegas,60,69.01,49,71,-0.39
162,163,193,Jonathan Byrd,43,68.97,40,58,-0.25
163,T164,T144,Scott Brown,66,68.89,62,90,-0.27
164,T164,129,Sam Saunders,53,68.89,62,90,-0.16
165,166,T169,Hank Lebioda,55,68.66,46,67,-0.28
166,167,163,Michael Kim,51,68.25,43,63,-0.23
167,168,T171,Aaron Wise,52,68.18,45,66,-0.31
168,169,164,Rickie Fowler,54,68.06,49,72,-0.39
169,170,T174,Seamus Power,58,68.0,51,75,-0.18
170,171,187,Brandt Snedeker,68,67.35,66,98,-0.33
171,T172,162,Daniel Berger,48,67.16,45,67,-0.16
172,T172,T171,Brady Schnell,38,67.16,45,67,-0.27
173,174,T174,Sam Ryder,52,67.14,47,70,-0.34
174,175,149,Kramer Hickok,59,67.11,51,76,-0.27
175,176,183,Trey Mullinax,67,66.97,73,109,-0.32
176,T177,T176,Justin Harding,31,66.67,12,18,-0.42
177,T177,T176,Louis Oosthuizen,43,66.67,24,36,-0.13
178,T177,T176,Richy Werenski,63,66.67,74,111,-0.35
179,180,T167,Ryan Palmer,56,66.27,55,83,-0.36
180,181,T169,Zach Johnson,50,66.18,45,68,-0.4
181,T182,T181,Byeong Hun An,54,66.1,39,59,-0.31
182,T182,T181,Rafa Cabrera Bello,57,66.1,39,59,-0.36
183,184,184,Cameron Champ,58,65.96,62,94,-0.27
184,185,166,Henrik Stenson,46,65.79,25,38,-0.28
185,T186,T185,Charley Hoffman,58,65.71,46,70,-0.24
186,T186,T185,Adam Scott,41,65.71,23,35,-0.39
187,188,189,Roberto Díaz,51,65.67,44,67,-0.16
188,189,T167,Martin Trainer,51,65.43,53,81,-0.26
189,190,188,J.T. Poston,76,65.38,68,104,-0.37
190,191,191,Peter Malnati,64,65.05,67,103,-0.42
191,192,190,Stewart Cink,33,65.0,26,40,-0.35
192,193,192,Phil Mickelson,41,64.62,42,65,-0.38
193,194,T176,J.B. Holmes,54,63.77,44,69,-0.25
194,195,197,Sam Burns,66,63.73,65,102,-0.34
195,T196,194,Cody Gribble,52,63.64,56,88,-0.23
196,T196,196,Harold Varner III,62,63.64,70,110,-0.23
197,198,195,Danny Lee,66,63.11,65,103,-0.25
198,T199,T201,John Chin,38,61.9,26,42,-0.12
199,T199,199,Ollie Schniederjans,63,61.9,52,84,-0.33
200,201,204,Mackenzie Hughes,58,61.7,58,94,-0.29
201,202,198,Seth Reeves,52,61.18,52,85,-0.29
202,203,T201,Alex Noren,49,60.94,39,64,-0.38
203,204,200,José de Jesús Rodríguez,51,60.66,37,61,-0.27
204,205,T176,Bubba Watson,47,60.32,38,63,-0.24
205,206,203,Matt Wallace,31,60.0,15,25,-0.13
206,207,205,Graeme McDowell,61,55.71,39,70,-0.21
207,208,206,Charl Schwartzel,34,55.56,15,27,-0.33
208,209,207,Grayson Murray,36,55.38,36,65,-0.28
