,Approaches_from_250-275_yards_RANK THIS WEEK,Approaches_from_250-275_yards_RANK LAST WEEK,Approaches_from_250-275_yards_PLAYER NAME,Approaches_from_250-275_yards_ROUNDS,Approaches_from_250-275_yards_AVG,Approaches_from_250-275_yards_TOTAL DISTANCE (FEET),Approaches_from_250-275_yards_# OF ATTEMPTS,Approaches_from_250-275_yards_RELATIVE TO PAR
143,T144,T147,John Chin,38,"71' 9""",502.417,7,-6
144,T144,T147,Sergio Garcia,39,"71' 9""",1147.833,16,-11
145,T144,T154,Brian Gay,79,"71' 9""",1290.917,18,-7
146,T144,T163,Matt Kuchar,65,"71' 9""",1363.3329999999999,19,-9
147,T148,T149,Harris English,72,"71' 10""",1436.6670000000001,20,-14
148,T148,T149,Martin Trainer,51,"71' 10""",718.25,10,-6
149,150,T135,Nick Watney,67,"71' 11""",1366.5,19,-13
150,T151,T152,Anirban Lahiri,54,"72' 0""",1224.083,17,-6
151,T151,T152,Kevin Tway,62,"72' 0""",720.0830000000001,10,-5
152,T153,T154,Corey Conners,62,"72' 2""",1227.0,17,-8
153,T153,T154,Joel Dahmen,78,"72' 2""",1371.25,19,-13
154,T153,T154,Danny Lee,66,"72' 2""",1155.25,16,-5
155,T153,184,Wes Roach,45,"72' 2""",938.6669999999999,13,-7
156,157,158,Satoshi Kodaira,51,"72' 3""",939.1669999999999,13,-7
157,158,T135,Scott Langley,60,"72' 4""",1012.3330000000001,14,-9
158,159,159,Billy Horschel,73,"72' 5""",1231.417,17,-6
159,160,160,"Ted Potter, Jr.",56,"72' 7""",1306.083,18,-5
160,161,161,Grayson Murray,36,"72' 9""",509.0,7,-3
161,162,T135,Alex Cejka,41,"73' 0""",583.6669999999999,8,-3
162,163,T163,D.J. Trahan,33,"73' 1""",730.8330000000001,10,-6
163,164,143,Ben Crane,41,"73' 3""",805.3330000000001,11,-9
164,T165,162,Hank Lebioda,55,"73' 7""",1544.4170000000001,21,-12
165,T165,165,Danny Willett,47,"73' 7""",1103.417,15,-8
166,167,166,Roger Sloan,62,"73' 11""",1330.0,18,-9
167,T168,T167,Rafa Cabrera Bello,57,"74' 5""",1265.417,17,-8
168,T168,T167,Brice Garnett,63,"74' 5""",1487.5829999999999,20,-10
169,T168,T167,Brian Stuard,76,"74' 5""",1563.0,21,-10
170,171,170,Matthew Fitzpatrick,42,"74' 6""",744.6669999999999,10,-5
171,172,171,Mackenzie Hughes,58,"74' 7""",894.8330000000001,12,-6
172,173,172,Matt Every,38,"74' 8""",746.75,10,-4
173,174,176,Scott Piercy,70,"74' 9""",1346.0,18,-6
174,175,173,Alex Noren,49,"75' 1""",676.0830000000001,9,-6
175,176,191,Roberto Castro,54,"75' 2""",1428.0829999999999,19,-10
176,T177,174,Aaron Baddeley,51,"75' 3""",1279.917,17,-6
177,T177,T179,Dominic Bozzelli,53,"75' 3""",752.8330000000001,10,-5
178,T179,178,Martin Laird,60,"75' 4""",1507.3329999999999,20,-12
179,T179,175,Chez Reavie,67,"75' 4""",978.8330000000001,13,-6
180,181,139,Nate Lashley,44,"75' 5""",754.25,10,-6
181,182,177,Cameron Davis,54,"75' 6""",905.5,12,-5
182,T183,T179,Wyndham Clark,61,"76' 1""",1293.917,17,-9
183,T183,T179,Brandon Harkins,67,"76' 1""",1597.25,21,-11
184,185,182,Cameron Tringale,52,"76' 4""",1144.833,15,-10
185,186,183,Branden Grace,62,"76' 6""",688.6669999999999,9,-4
186,187,185,Chris Stroud,54,"76' 9""",1534.5829999999999,20,-7
187,188,186,Jason Day,45,"77' 2""",849.0830000000001,11,-5
188,189,187,Stewart Cink,33,"77' 3""",154.417,2,-2
189,190,188,Charley Hoffman,58,"77' 4""",773.4169999999999,10,-3
190,191,189,Jon Rahm,51,"77' 5""",1083.833,14,-12
191,192,190,Ben Silverman,54,"77' 11""",1402.8329999999999,18,-11
192,193,192,Charl Schwartzel,34,"79' 6""",238.5,3,-3
193,194,T193,Jhonattan Vegas,60,"80' 2""",1443.0829999999999,18,-7
194,195,195,Patrick Reed,53,"80' 7""",1451.0829999999999,18,-6
195,T196,T193,Jimmy Walker,61,"80' 8""",968.0830000000001,12,-6
196,T196,196,Matt Wallace,31,"80' 8""",806.25,10,-1
197,198,197,Daniel Berger,48,"82' 2""",1315.25,16,-12
198,199,198,Brooks Koepka,49,"85' 2""",851.4169999999999,10,-6
199,200,203,Jim Herman,37,"85' 5""",1195.75,14,-4
200,201,199,Kyoung-Hoon Lee,72,"85' 7""",1797.5,21,-11
201,202,200,J.J. Henry,42,"86' 2""",862.0,10,-2
202,203,202,Joey Garber,44,"86' 3""",948.8330000000001,11,-2
203,204,201,Charles Howell III,64,"86' 4""",1122.083,13,-7
204,205,206,Julián Etulain,55,"89' 5""",804.4169999999999,9,-6
205,206,204,Kiradech Aphibarnrat,49,"89' 7""",1343.3329999999999,15,-7
206,207,205,Kevin Na,54,"91' 0""",818.75,9,-4
207,208,999,Tyrone Van Aswegen,30,"91' 5""",274.25,3,-1
208,209,207,Ernie Els,43,"101' 6""",507.5,5,-3
