,Approaches_from__100_yards_RANK THIS WEEK,Approaches_from__100_yards_RANK LAST WEEK,Approaches_from__100_yards_PLAYER NAME,Approaches_from__100_yards_ROUNDS,Approaches_from__100_yards_AVG,Approaches_from__100_yards_TOTAL DISTANCE (FEET),Approaches_from__100_yards_# OF ATTEMPTS,Approaches_from__100_yards_RELATIVE TO PAR
149,T148,T152,Wes Roach,45,"35' 2""",12720.75,362,-0.12
150,T151,T177,Sangmoon Bae,42,"35' 3""",10782.25,306,-0.06
151,T151,T172,Mackenzie Hughes,58,"35' 3""",17297.5,491,-0.01
152,T153,T139,Julián Etulain,55,"35' 4""",14135.167,400,-0.08
153,T153,T161,Brice Garnett,63,"35' 4""",18633.833,527,E
154,T153,T142,Keith Mitchell,64,"35' 4""",17469.833,495,-0.07
155,T153,T180,José de Jesús Rodríguez,51,"35' 4""",13731.917,389,-0.07
156,T153,T142,Jordan Spieth,57,"35' 4""",16780.333,475,-0.12
157,T153,T144,Chris Stroud,54,"35' 4""",16433.917,465,-0.01
158,T153,T161,Jimmy Walker,61,"35' 4""",17905.833,507,-0.04
159,T160,T144,Matt Jones,67,"35' 5""",19540.333,552,-0.10
160,T160,T144,Patton Kizzire,58,"35' 5""",15367.75,434,-0.06
161,T160,T144,Kyoung-Hoon Lee,72,"35' 5""",20462.083,578,-0.06
162,T163,T149,Freddie Jacobson,37,"35' 6""",9442.75,266,-0.01
163,T163,T149,Satoshi Kodaira,51,"35' 6""",14929.5,421,+0.01
164,165,T157,Roberto Díaz,51,"35' 7""",14022.917,394,-0.05
165,T166,T157,Billy Horschel,73,"35' 9""",19003.333,531,-0.10
166,T166,T157,Kelly Kraft,67,"35' 9""",19431.5,543,-0.01
167,T168,T177,Stephan Jaeger,59,"35' 10""",16112.583,450,-0.10
168,T168,T161,Anirban Lahiri,54,"35' 10""",16957.083,473,-0.03
169,T168,T161,"Ted Potter, Jr.",56,"35' 10""",17756.167,496,+0.03
170,T171,187,Joey Garber,44,"35' 11""",11130.5,310,-0.04
171,T171,166,D.A. Points,33,"35' 11""",8410.667,234,+0.04
172,T171,171,Seth Reeves,52,"35' 11""",13993.5,390,E
173,T171,T172,Nick Taylor,70,"35' 11""",24412.333,679,-0.09
174,T175,T167,Ryan Blaum,67,"36' 0""",22576.583,627,-0.10
175,T175,T180,Dylan Frittelli,55,"36' 0""",17880.833,497,-0.05
176,T175,T161,J.J. Henry,42,"36' 0""",12020.417,334,+0.01
177,T175,T167,Charles Howell III,64,"36' 0""",17908.083,497,-0.16
178,179,170,Brian Gay,79,"36' 1""",26005.417,720,-0.06
