,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
136,137,142,Kramer Hickok,59,20.27,30,148
137,T138,T143,Stewart Cink,33,20.0,14,70
138,T138,T143,Max Homa,61,20.0,32,160
139,T138,T158,Whee Kim,57,20.0,20,100
140,T138,150,Brady Schnell,38,20.0,23,115
141,T138,121,Josh Teater,47,20.0,28,140
142,143,T160,Jim Knous,55,19.87,30,151
143,144,133,Alex Noren,49,19.82,22,111
144,145,146,Joel Dahmen,78,19.8,39,197
145,146,165,Anders Albertson,48,19.7,26,132
146,147,148,Tony Finau,61,19.59,29,148
147,148,130,Chase Wright,53,19.58,28,143
148,T149,149,Patrick Rodgers,44,19.57,27,138
149,T149,134,Chris Stroud,54,19.57,27,138
150,151,T171,Henrik Stenson,46,19.54,17,87
151,152,166,Alex Cejka,41,19.42,20,103
152,153,T131,Joey Garber,44,19.39,19,98
153,154,173,Graeme McDowell,61,19.29,27,140
154,155,152,John Senden,39,19.28,16,83
155,156,T179,Harris English,72,19.21,34,177
156,157,140,Dominic Bozzelli,53,19.13,22,115
157,158,153,Bronson Burgoon,37,19.09,21,110
158,159,174,Adam Svensson,51,19.01,27,142
159,160,155,Jason Dufner,56,18.98,26,137
160,161,156,Tiger Woods,31,18.97,11,58
161,162,157,Chesson Hadley,58,18.93,32,169
162,163,175,Peter Uihlein,65,18.89,34,180
163,164,999,Martin Piller,30,18.84,13,69
164,165,T160,Martin Kaymer,38,18.75,21,112
165,166,162,Jason Kokrak,68,18.67,28,150
166,167,T163,Hunter Mahan,45,18.64,22,118
167,T168,T167,Patton Kizzire,58,18.35,20,109
168,T168,T167,Grayson Murray,36,18.35,20,109
169,170,169,Satoshi Kodaira,51,18.33,22,120
170,171,T158,Harold Varner III,62,18.27,36,197
171,172,T171,Cameron Champ,58,18.18,38,209
172,T173,187,Brice Garnett,63,18.06,26,144
173,T173,T163,D.J. Trahan,33,18.06,13,72
174,175,154,Cody Gribble,52,18.0,27,150
175,176,138,Rod Pampling,40,17.98,16,89
176,177,177,Tyler Duncan,66,17.75,30,169
177,178,178,Brendan Steele,50,17.61,25,142
178,T179,197,Keegan Bradley,65,17.57,26,148
179,T179,188,Seamus Power,58,17.57,26,148
180,181,196,Webb Simpson,53,17.56,23,131
181,T182,182,Haotong Li,32,17.5,14,80
182,T182,T179,Kevin Tway,62,17.5,35,200
183,184,183,Kyle Stanley,53,17.48,18,103
184,185,186,Sam Saunders,53,17.32,31,179
185,186,201,Sangmoon Bae,42,17.2,16,93
186,187,200,Austin Cook,50,17.09,20,117
187,188,189,Billy Horschel,73,16.77,28,167
188,T189,192,Daniel Berger,48,16.67,21,126
189,T189,190,Adam Long,52,16.67,25,150
190,T189,181,Seth Reeves,52,16.67,25,150
191,192,191,Keith Mitchell,64,16.53,20,121
192,193,193,James Hahn,34,16.44,12,73
193,T194,T194,Tyrrell Hatton,46,16.3,15,92
194,T194,T194,Michael Kim,51,16.3,22,135
195,196,176,J.J. Henry,42,16.16,16,99
196,197,170,Bubba Watson,47,16.08,23,143
197,198,198,Byeong Hun An,54,15.93,18,113
198,199,199,C.T. Pan,64,15.89,24,151
199,200,202,Jimmy Walker,61,15.72,25,159
200,201,999,Tyrone Van Aswegen,30,15.48,13,84
201,202,204,Brian Harman,67,15.43,27,175
202,203,184,John Chin,38,15.38,12,78
203,204,185,David Hearn,41,15.29,13,85
204,205,151,Lucas Bjerregaard,37,15.28,11,72
205,206,203,Marc Leishman,52,15.2,19,125
206,207,205,Louis Oosthuizen,43,13.33,10,75
207,208,206,Ernie Els,43,13.19,12,91
208,209,207,Tommy Fleetwood,43,12.94,11,85
