,Approaches_200-225_yards-Rgh_RTP_RANK THIS WEEK,Approaches_200-225_yards-Rgh_RTP_RANK LAST WEEK,Approaches_200-225_yards-Rgh_RTP_PLAYER NAME,Approaches_200-225_yards-Rgh_RTP_ROUNDS,Approaches_200-225_yards-Rgh_RTP_AVG RTP
114,T109,T71,Cameron Tringale,52,+.182
115,116,115,Patrick Cantlay,49,+.188
116,117,116,Nick Taylor,70,+.190
117,T118,T117,Bronson Burgoon,37,+.200
118,T118,T117,Charley Hoffman,58,+.200
119,T118,T117,Whee Kim,57,+.200
120,T118,T117,Si Woo Kim,65,+.200
121,T118,T91,Hank Lebioda,55,+.200
122,T118,124,Curtis Luck,51,+.200
123,T118,999,Martin Piller,30,+.200
124,T118,T117,Seamus Power,58,+.200
125,T118,T117,Chris Stroud,54,+.200
126,127,T126,Tyler Duncan,66,+.214
127,128,125,Sebastián Muñoz,58,+.222
128,T129,T126,Brian Harman,67,+.231
129,T129,T126,Matt Kuchar,65,+.231
130,T131,T129,Matt Jones,67,+.235
131,T131,T129,Vaughn Taylor,69,+.235
132,T133,T145,Roberto Castro,54,+.250
133,T133,T132,Stewart Cink,33,+.250
134,T133,T145,Ben Crane,41,+.250
135,T133,T132,Tony Finau,61,+.250
136,T133,T132,Rickie Fowler,54,+.250
137,T133,T132,Brice Garnett,63,+.250
138,T133,T132,Tyrrell Hatton,46,+.250
139,T133,T132,Jason Kokrak,68,+.250
140,T133,T132,Kevin Na,54,+.250
141,142,140,Brian Stuard,76,+.263
142,T143,T145,Tom Hoge,70,+.267
143,T143,141,C.T. Pan,64,+.267
144,T145,T142,Alex Prugh,54,+.273
145,T145,T142,Chez Reavie,67,+.273
146,147,T129,Bill Haas,58,+.278
147,T148,157,Corey Conners,62,+.286
148,T148,T145,Ernie Els,43,+.286
149,T148,T117,Peter Malnati,64,+.286
150,T148,T145,Graeme McDowell,61,+.286
151,T148,T145,Jon Rahm,51,+.286
152,T148,T145,Michael Thompson,56,+.286
153,T148,T145,Richy Werenski,63,+.286
154,T148,T145,Aaron Wise,52,+.286
155,T156,T154,Alex Cejka,41,+.300
156,T156,T154,Zach Johnson,50,+.300
157,T158,158,Chris Kirk,47,+.313
158,T158,T185,Alex Noren,49,+.313
159,160,159,Kelly Kraft,67,+.316
160,T161,T160,Matt Every,38,+.333
161,T161,T104,Brian Gay,79,+.333
162,T161,T160,Branden Grace,62,+.333
163,T161,T160,Martin Kaymer,38,+.333
164,T161,T160,"Ted Potter, Jr.",56,+.333
165,T161,T160,Sam Saunders,53,+.333
166,T161,T160,Kevin Streelman,63,+.333
167,168,168,Ryan Armour,66,+.350
168,169,169,Denny McCarthy,63,+.357
169,T170,T170,John Chin,38,+.364
170,T170,T185,Sergio Garcia,39,+.364
171,T170,T154,Nate Lashley,44,+.364
172,T173,T172,Talor Gooch,37,+.375
173,T173,T172,Kyle Jones,49,+.375
174,T173,184,Jim Knous,55,+.375
175,T173,T160,Peter Uihlein,65,+.375
176,177,174,Shawn Stefani,57,+.385
177,T178,175,Kiradech Aphibarnrat,49,+.400
178,T178,T185,Roberto Díaz,51,+.400
179,180,T170,Scott Stallings,63,+.417
180,T181,183,Jonas Blixt,66,+.429
181,T181,T176,Matthew Fitzpatrick,42,+.429
182,T181,T176,Beau Hossler,66,+.429
183,T181,T160,Rod Pampling,40,+.429
184,T181,T176,José de Jesús Rodríguez,51,+.429
185,T181,T176,John Senden,39,+.429
186,T181,T176,Henrik Stenson,46,+.429
187,188,181,Kevin Kisner,65,+.444
188,189,182,Satoshi Kodaira,51,+.455
189,T190,T185,Ryan Blaum,67,+.500
190,T190,T185,Jason Dufner,56,+.500
191,T190,T185,Stephan Jaeger,59,+.500
192,T190,T185,Chris Thompson,34,+.500
193,T190,T185,Martin Trainer,51,+.500
194,T190,T185,Tiger Woods,31,+.500
195,T196,T194,Anders Albertson,48,+.538
196,T196,T194,Freddie Jacobson,37,+.538
197,198,T196,Jordan Spieth,57,+.571
198,199,198,Cameron Smith,55,+.588
199,200,199,David Hearn,41,+.600
200,201,200,Russell Henley,56,+.615
201,202,201,Haotong Li,32,+.667
202,T203,T196,Kramer Hickok,59,+.750
203,T203,T202,John Huh,35,+.750
204,T203,T202,Louis Oosthuizen,43,+.750
205,206,204,Jason Day,45,+.778
206,207,205,Jim Herman,37,+.800
207,208,206,Francesco Molinari,41,+1.000
