,Approach__200_yards_RTP_Score_RANK THIS WEEK,Approach__200_yards_RTP_Score_RANK LAST WEEK,Approach__200_yards_RTP_Score_PLAYER NAME,Approach__200_yards_RTP_Score_ROUNDS,Approach__200_yards_RTP_Score_AVG RTP
73,T73,T82,C.T. Pan,64,-.189
74,T73,T48,Adam Schenk,80,-.189
75,76,85,Kevin Kisner,65,-.187
76,T77,T86,Charley Hoffman,58,-.186
77,T77,T86,Charles Howell III,64,-.186
78,T77,T46,Alex Noren,49,-.186
79,T77,101,Webb Simpson,53,-.186
80,81,T92,Tom Hoge,70,-.185
81,82,50,Brooks Koepka,49,-.184
82,T83,59,Austin Cook,50,-.183
83,T83,90,Branden Grace,62,-.183
84,T85,71,Bill Haas,58,-.182
85,T85,T51,Chase Wright,53,-.182
86,T87,T92,Patrick Cantlay,49,-.179
87,T87,T92,Tommy Fleetwood,43,-.179
88,T87,T92,Haotong Li,32,-.179
89,T90,99,Brandon Harkins,67,-.178
90,T90,T53,Nate Lashley,44,-.178
91,92,T96,Jhonattan Vegas,60,-.177
92,93,98,Tyrrell Hatton,46,-.176
93,94,91,Kevin Tway,62,-.173
94,95,T108,Sangmoon Bae,42,-.172
95,96,T108,Dylan Frittelli,55,-.171
96,T97,T102,Jason Day,45,-.167
97,T97,T102,Ryan Moore,54,-.167
98,T97,115,Ben Silverman,54,-.167
99,100,88,Harris English,72,-.164
100,101,T106,Joel Dahmen,78,-.161
101,T102,T96,Danny Lee,66,-.160
102,T102,T108,Adam Long,52,-.160
103,T102,89,Sam Saunders,53,-.160
104,105,105,Peter Malnati,64,-.159
105,106,114,Daniel Berger,48,-.157
106,T107,T82,Adam Svensson,51,-.155
107,T107,T139,Cameron Tringale,52,-.155
108,109,T112,Andrew Landry,56,-.154
109,110,104,Brian Harman,67,-.153
110,T111,T106,Keegan Bradley,65,-.152
111,T111,T124,Sebastián Muñoz,58,-.152
112,113,116,Andrew Putnam,57,-.150
113,T114,T124,Scott Brown,66,-.148
114,T114,T127,Jim Furyk,53,-.148
115,116,100,Alex Prugh,54,-.147
116,T117,119,Ben Crane,41,-.146
117,T117,111,Scott Piercy,70,-.146
118,119,123,Julián Etulain,55,-.145
119,120,80,Anders Albertson,48,-.144
120,121,121,Stewart Cink,33,-.140
121,122,122,Patrick Reed,53,-.138
122,123,T141,Seth Reeves,52,-.135
123,124,126,Kiradech Aphibarnrat,49,-.133
124,125,T127,Grayson Murray,36,-.132
125,T126,118,Zach Johnson,50,-.130
126,T126,T144,Henrik Stenson,46,-.130
127,128,T141,Aaron Wise,52,-.129
128,129,T132,Kyoung-Hoon Lee,72,-.128
129,130,138,Harold Varner III,62,-.127
130,131,T136,Louis Oosthuizen,43,-.126
131,132,T127,Tyler Duncan,66,-.125
132,T133,131,Dominic Bozzelli,53,-.124
133,T133,T139,Kyle Stanley,53,-.124
134,T135,143,Patton Kizzire,58,-.120
135,T135,T112,Peter Uihlein,65,-.120
136,T137,T144,Abraham Ancer,69,-.119
137,T137,999,Shane Lowry,30,-.119
138,139,117,Shawn Stefani,57,-.118
139,140,T132,Fabián Gómez,44,-.116
140,141,147,Rafa Cabrera Bello,57,-.115
141,142,T148,Brian Stuard,76,-.114
142,143,150,Beau Hossler,66,-.113
143,144,T151,Anirban Lahiri,54,-.110
144,145,153,Kevin Na,54,-.109
145,T146,T136,Roberto Díaz,51,-.108
146,T146,T154,Matt Wallace,31,-.108
147,148,178,Roberto Castro,54,-.107
148,T149,156,Matthew Fitzpatrick,42,-.106
149,T149,130,Jim Knous,55,-.106
150,T151,177,John Chin,38,-.105
151,T151,T158,Kramer Hickok,59,-.105
152,153,T134,Russell Henley,56,-.104
153,154,T158,J.T. Poston,76,-.103
154,T155,T160,Billy Horschel,73,-.099
155,T155,175,Graeme McDowell,61,-.099
156,T157,T151,J.B. Holmes,54,-.098
157,T157,T172,Mackenzie Hughes,58,-.098
158,T157,T165,Robert Streb,60,-.098
159,T160,163,Chesson Hadley,58,-.097
160,T160,T148,Johnson Wagner,45,-.097
161,162,999,Martin Piller,30,-.096
162,163,157,Lucas Bjerregaard,37,-.095
163,164,T134,Kyle Jones,49,-.093
164,165,T154,José de Jesús Rodríguez,51,-.092
165,166,167,Cameron Smith,55,-.091
166,T167,120,Josh Teater,47,-.090
167,T167,T165,Jimmy Walker,61,-.090
168,169,146,Roger Sloan,62,-.089
169,T170,170,Cameron Champ,58,-.086
170,T170,T168,Brian Gay,79,-.086
171,T172,T172,Corey Conners,62,-.085
172,T172,171,Chez Reavie,67,-.085
173,174,T160,Joaquin Niemann,68,-.084
174,T175,162,Brice Garnett,63,-.076
175,T175,176,Francesco Molinari,41,-.076
176,T177,196,Rod Pampling,40,-.071
177,T177,T168,Danny Willett,47,-.071
178,179,T172,Curtis Luck,51,-.066
179,180,179,John Huh,35,-.064
180,T181,T184,Jim Herman,37,-.061
181,T181,999,Tyrone Van Aswegen,30,-.061
182,T183,T181,Michael Kim,51,-.059
183,T183,T181,Charl Schwartzel,34,-.059
184,185,T184,Ernie Els,43,-.054
185,186,186,D.A. Points,33,-.053
186,T187,164,Ryan Palmer,56,-.051
187,T187,187,Pat Perez,52,-.051
188,189,190,J.J. Spaun,68,-.040
189,190,189,Bronson Burgoon,37,-.038
190,191,180,Chris Stroud,54,-.034
191,192,188,Ryan Armour,66,-.031
192,193,194,Scott Langley,60,-.028
193,194,192,Satoshi Kodaira,51,-.027
194,195,193,John Senden,39,-.024
195,196,183,Kelly Kraft,67,-.021
196,197,195,Freddie Jacobson,37,-.017
197,198,191,Martin Trainer,51,-.009
198,T199,T197,Jonathan Byrd,43,E
199,T199,T197,Justin Harding,31,E
200,T199,T197,"Ted Potter, Jr.",56,E
201,T199,T203,Chris Thompson,34,E
202,203,201,Phil Mickelson,41,+.011
203,204,T203,David Hearn,41,+.014
204,205,205,Joey Garber,44,+.024
205,206,200,Cameron Davis,54,+.029
206,207,202,Brady Schnell,38,+.041
207,208,206,Alex Cejka,41,+.049
208,209,207,J.J. Henry,42,+.062
